hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
11.67190,32.53120,21.90620,1.00510,-0.21670,0.20970,2.52660,0.79380,4.84050,0.69070,-0.40240,-0.48880,-0.34930
11.67190,32.54690,21.93750,0.99980,-0.21060,0.20480,1.79420,1.22100,4.32170,0.69060,-0.40190,-0.48920,-0.34950
11.60940,32.53120,21.93750,0.99160,-0.20810,0.20190,0.84810,1.83140,3.86400,0.69050,-0.40150,-0.48960,-0.34980
11.68750,32.65620,21.85940,0.98230,-0.21010,0.20040,-0.15900,2.28910,3.55880,0.69020,-0.40130,-0.48990,-0.35010
11.60940,32.53120,21.84380,0.97470,-0.21300,0.19860,-0.76930,2.50280,3.37570,0.68990,-0.40150,-0.49020,-0.35000
11.51560,32.32810,21.76560,0.97010,-0.21550,0.19720,-0.58620,2.38070,3.10100,0.68990,-0.40210,-0.49010,-0.34950
11.50000,32.32810,21.79690,0.96850,-0.21730,0.19620,0.39040,1.86190,2.70430,0.68990,-0.40280,-0.48990,-0.34890
11.50000,32.50000,21.60940,0.96950,-0.21750,0.19570,1.09230,1.46520,2.42960,0.68980,-0.40330,-0.49010,-0.34840
11.57810,32.51560,21.73440,0.97450,-0.21450,0.19530,2.49610,0.64120,1.91080,0.68950,-0.40300,-0.49070,-0.34850
11.73440,32.57810,21.84380,0.98020,-0.21000,0.19340,3.28950,0.03080,1.36150,0.68910,-0.40250,-0.49140,-0.34860
11.54690,32.43750,21.87500,0.98290,-0.20830,0.19020,3.13690,-0.12170,0.84270,0.68880,-0.40220,-0.49210,-0.34870
11.59380,32.56250,21.87500,0.98220,-0.20830,0.18820,2.22140,0.15290,0.41550,0.68840,-0.40210,-0.49280,-0.34870
11.60940,32.57810,21.85940,0.98270,-0.20870,0.18630,1.30590,0.54960,0.20190,0.68800,-0.40200,-0.49340,-0.34870
11.75000,32.60940,21.85940,0.98590,-0.21040,0.18410,0.87860,0.79380,0.07980,0.68760,-0.40210,-0.49390,-0.34870
11.71880,32.51560,21.93750,0.98880,-0.21320,0.18270,1.00070,0.88530,-0.19490,0.68720,-0.40230,-0.49440,-0.34850
11.73440,32.62500,21.98440,0.99040,-0.21400,0.18340,1.58050,0.70220,-0.77470,0.68680,-0.40250,-0.49490,-0.34840
11.62500,32.64060,21.96880,0.99200,-0.21070,0.18450,2.58760,0.12240,-1.41560,0.68640,-0.40240,-0.49560,-0.34840
11.71880,32.70310,21.92190,0.99260,-0.20670,0.18510,3.68620,-0.94570,-1.78180,0.68590,-0.40200,-0.49640,-0.34850
11.70310,32.62500,21.95310,0.99300,-0.20520,0.18620,4.38820,-2.13590,-2.05640,0.68550,-0.40140,-0.49740,-0.34870
11.73440,32.67190,22.04690,0.99470,-0.20460,0.18690,4.38820,-3.08190,-2.45320,0.68500,-0.40070,-0.49840,-0.34900
11.57810,32.64060,22.04690,0.99640,-0.20530,0.18800,3.65570,-3.60070,-3.00250,0.68450,-0.39990,-0.49940,-0.34940
11.67190,32.76560,22.01560,0.99750,-0.21030,0.19050,2.52660,-3.75330,-3.46030,0.68480,-0.40000,-0.49920,-0.34900
11.70310,32.65620,22.00000,0.99920,-0.21870,0.19460,1.58050,-3.81440,-3.61280,0.68510,-0.40020,-0.49890,-0.34870
11.71880,32.67190,22.06250,1.00130,-0.22800,0.20080,1.24480,-3.96700,-3.36870,0.68530,-0.40030,-0.49870,-0.34840
11.64060,32.67190,22.12500,1.00050,-0.23800,0.20770,1.36690,-4.27210,-2.91090,0.68560,-0.40050,-0.49850,-0.34810
11.68750,32.78120,22.03120,0.99740,-0.25140,0.21470,1.55000,-4.66890,-2.39210,0.68580,-0.40070,-0.49820,-0.34770
11.60940,32.62500,21.98440,0.99610,-0.26900,0.22040,1.61110,-5.06560,-1.87330,0.68610,-0.40090,-0.49800,-0.34720
11.76560,32.64060,22.01560,0.99830,-0.29270,0.22370,1.85520,-5.18770,-1.23250,0.68630,-0.40130,-0.49780,-0.34660
11.57810,32.51560,22.06250,1.00420,-0.33030,0.22510,2.83180,-5.12660,-0.53060,0.68660,-0.40170,-0.49760,-0.34590
11.60940,32.62500,22.01560,1.01790,-0.38790,0.22730,4.96800,-5.27920,-0.31690,0.68690,-0.40200,-0.49750,-0.34500
11.57810,32.64060,21.98440,1.04480,-0.47080,0.23470,8.47750,-6.13370,-1.17140,0.68720,-0.40220,-0.49770,-0.34390
11.70310,32.59380,22.01560,1.07440,-0.57760,0.25310,14.61150,-7.78170,-3.12460,0.68760,-0.40190,-0.49810,-0.34270
11.67190,32.51560,22.03120,1.08810,-0.69240,0.28250,25.50630,-10.37560,-4.65040,0.68830,-0.40100,-0.49920,-0.34100
11.73440,32.67190,22.10940,1.08960,-0.80020,0.31620,41.86370,-14.25140,-4.43680,0.68940,-0.39920,-0.50090,-0.33840
11.71880,32.73440,22.09380,1.09580,-0.88480,0.34530,62.49360,-19.19520,-2.27010,0.69100,-0.39640,-0.50340,-0.33470
11.81250,32.79690,22.03120,1.11520,-0.92660,0.35920,85.96160,-23.71180,2.55170,0.69330,-0.39250,-0.50670,-0.32940
11.81250,32.62500,22.06250,1.13400,-0.90050,0.35220,110.34520,-25.23770,12.89720,0.69670,-0.38760,-0.51040,-0.32240
11.82810,32.70310,22.09380,1.13820,-0.82560,0.32960,130.60890,-22.21650,31.78750,0.70130,-0.38210,-0.51380,-0.31340
11.76560,32.71880,22.07810,1.13950,-0.76720,0.30660,139.18430,-14.86170,58.55150,0.70710,-0.37710,-0.51600,-0.30250
11.90620,32.78120,21.98440,1.15190,-0.76000,0.29950,131.92110,-3.84490,88.39770,0.71390,-0.37360,-0.51620,-0.29040
11.85940,32.67190,21.96880,1.17740,-0.81110,0.31080,111.01660,9.85750,114.97850,0.72110,-0.37210,-0.51410,-0.27800
11.92190,32.65620,22.04690,1.20080,-0.90990,0.32510,84.06950,24.44490,134.20450,0.72830,-0.37280,-0.50970,-0.26600
11.75000,32.59380,22.04690,1.20160,-1.04430,0.31870,61.12030,36.92660,146.41161,0.73550,-0.37510,-0.50350,-0.25450
11.87500,32.76560,22.03120,1.18720,-1.18540,0.28610,50.68330,44.12870,154.68179,0.74260,-0.37830,-0.49620,-0.24320
11.87500,32.65620,21.98440,1.18380,-1.28600,0.24390,55.56610,47.30260,164.69160,0.75000,-0.38140,-0.48850,-0.23100
12.00000,32.60940,22.03120,1.19950,-1.33670,0.19980,70.64180,51.45300,181.99510,0.75820,-0.38420,-0.48000,-0.21720
11.81250,32.50000,22.04690,1.22120,-1.36070,0.12740,85.19870,58.96030,205.85980,0.76720,-0.38670,-0.47050,-0.20130
11.78120,32.68750,21.98440,1.24510,-1.39620,-0.00160,88.76930,67.07800,230.06030,0.77660,-0.38960,-0.45960,-0.18390
11.71880,32.62500,21.90620,1.26790,-1.46750,-0.16380,77.93550,70.28230,249.46941,0.78560,-0.39390,-0.44750,-0.16580
11.73440,32.60940,21.89060,1.28030,-1.56850,-0.27360,58.70940,62.56140,263.56851,0.79330,-0.39980,-0.43490,-0.14710
11.54690,32.43750,21.90620,1.28030,-1.70030,-0.26690,40.52100,42.41980,275.10419,0.79930,-0.40750,-0.42280,-0.12750
11.48440,32.45310,21.90620,1.26650,-1.82650,-0.19090,32.92210,14.77080,288.22672,0.80360,-0.41620,-0.41180,-0.10630
11.53120,32.42190,21.76560,1.24910,-1.88460,-0.13480,41.71120,-15.07540,307.08661,0.80680,-0.42500,-0.40200,-0.08230
11.70310,32.57810,21.75000,1.25830,-1.86980,-0.15500,63.50070,-45.83710,330.76819,0.80920,-0.43300,-0.39330,-0.05480
11.76560,32.57810,21.79690,1.32550,-1.82570,-0.24880,86.38890,-77.02600,352.98499,0.81060,-0.43980,-0.38590,-0.02370
11.79690,32.84380,21.96880,1.42530,-1.80820,-0.36500,95.05590,-106.29240,369.06781,0.81050,-0.44600,-0.37950,0.00970
11.68750,33.01560,22.14060,1.50760,-1.84690,-0.43010,80.74310,-130.58440,379.04709,0.80810,-0.45290,-0.37410,0.04420
11.85940,33.26560,22.39060,1.55120,-1.92290,-0.41370,52.97210,-144.10370,386.70700,0.80300,-0.46140,-0.36900,0.07880
11.90620,33.21880,22.67190,1.55660,-1.99080,-0.33080,35.36350,-140.50259,396.80829,0.79620,-0.47080,-0.36290,0.11320
11.95310,33.20310,22.93750,1.53710,-1.97840,-0.21280,46.41090,-120.42200,411.51779,0.78920,-0.47940,-0.35420,0.14780
11.78120,33.10940,23.06250,1.50250,-1.81870,-0.10400,83.00140,-94.66520,430.40811,0.78330,-0.48560,-0.34200,0.18350
11.82810,33.25000,23.07810,1.43100,-1.54120,-0.00680,125.14620,-73.97430,452.47241,0.77830,-0.48900,-0.32640,0.22060
11.84380,33.15620,23.20310,1.30370,-1.23490,0.08510,155.57220,-57.52530,474.17029,0.77330,-0.49030,-0.30760,0.25880
11.87500,33.09380,23.35940,1.16190,-0.98010,0.17030,165.70410,-40.40490,490.68039,0.76750,-0.49060,-0.28610,0.29720
11.62500,32.92190,23.43750,1.06140,-0.84130,0.22200,153.43600,-21.48400,501.33099,0.75990,-0.49150,-0.26260,0.33470
