hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
18.23440,41.00000,29.73440,-0.19070,-0.59300,1.14350,37.56080,65.46050,35.99900,0.96110,-0.14510,0.11380,-0.20540
18.17190,40.90620,29.62500,-0.21660,-0.58420,1.16720,44.27460,77.39290,54.12640,0.96170,-0.14040,0.12040,-0.20230
18.28120,40.90620,29.56250,-0.28570,-0.52360,1.21410,56.93940,94.20810,75.24460,0.96250,-0.13390,0.12880,-0.19770
18.39060,40.89060,29.57810,-0.37600,-0.46420,1.29090,68.62770,115.02110,94.13500,0.96340,-0.12510,0.13930,-0.19170
18.35940,40.73440,29.45310,-0.46210,-0.41940,1.38210,73.84620,135.89510,107.10490,0.96420,-0.11500,0.15160,-0.18490
18.46880,40.76560,29.34380,-0.53540,-0.38310,1.45720,71.13010,152.31360,113.57470,0.96450,-0.10450,0.16520,-0.17760
18.87500,41.00000,29.40620,-0.58900,-0.36360,1.48270,61.42550,162.47591,114.76480,0.96430,-0.09460,0.17970,-0.17010
19.07810,41.17190,29.45310,-0.61500,-0.35330,1.44930,48.39450,167.81650,112.35400,0.96340,-0.08580,0.19490,-0.16260
19.20310,41.20310,29.51560,-0.61880,-0.33940,1.38080,37.65230,170.65460,108.99700,0.96210,-0.07810,0.21030,-0.15510
19.20310,41.20310,29.43750,-0.61440,-0.31530,1.29580,31.27410,172.60770,106.61670,0.96020,-0.07100,0.22600,-0.14780
19.28120,41.21880,29.40620,-0.61780,-0.28290,1.22180,25.32320,174.71350,106.15890,0.95800,-0.06450,0.24180,-0.14030
19.28120,41.10940,29.40620,-0.63360,-0.25850,1.18700,18.02950,177.82620,108.05100,0.95530,-0.05830,0.25790,-0.13250
19.25000,41.15620,29.35940,-0.65280,-0.24860,1.17460,12.78050,182.55650,111.77410,0.95220,-0.05340,0.27380,-0.12460
19.28120,41.12500,29.35940,-0.65790,-0.24350,1.14980,12.96360,188.47690,116.07710,0.94900,-0.04800,0.28910,-0.11630
19.29690,41.09380,29.35940,-0.64610,-0.23110,1.09760,18.36520,193.81750,120.16650,0.94540,-0.04190,0.30460,-0.10780
19.29690,41.09380,29.31250,-0.63040,-0.20600,1.02950,25.23170,198.12041,123.27930,0.94140,-0.03500,0.32040,-0.09920
19.34380,41.10940,29.35940,-0.61840,-0.17560,0.96070,29.53460,201.87410,124.37790,0.93700,-0.02770,0.33620,-0.09050
19.40620,41.12500,29.34380,-0.60460,-0.14250,0.89450,29.53460,205.04790,123.09610,0.93210,-0.02020,0.35220,-0.08190
19.39060,41.07810,29.37500,-0.58480,-0.10820,0.82710,25.38420,207.42830,119.95280,0.92670,-0.01310,0.36830,-0.07340
19.39060,41.04690,29.32810,-0.56060,-0.07980,0.75640,18.15160,209.47301,115.64990,0.92080,-0.00670,0.38440,-0.06490
19.43750,41.07810,29.29690,-0.54120,-0.05700,0.69090,10.88840,211.15140,110.98070,0.91450,-0.00090,0.40060,-0.05650
19.46880,41.12500,29.32810,-0.53300,-0.03080,0.63770,6.86010,212.06700,106.83030,0.90780,0.00440,0.41670,-0.04820
19.48440,41.06250,29.34380,-0.53670,-0.00730,0.58770,6.86010,212.46370,103.56490,0.90060,0.00970,0.43260,-0.04020
19.48440,41.09380,29.28120,-0.54780,0.00160,0.53520,9.11840,212.31110,101.06250,0.89310,0.01510,0.44840,-0.03230
19.59380,41.14060,29.34380,-0.55540,0.00170,0.51420,10.46120,211.67020,100.23850,0.88530,0.02050,0.46400,-0.02460
19.65620,41.15620,29.35940,-0.57530,0.00470,0.48610,13.69600,208.71001,99.65860,0.87720,0.02590,0.47920,-0.01710
19.68750,41.23440,29.34380,-0.59850,0.03010,0.46540,19.34180,204.65120,100.11640,0.86890,0.03200,0.49380,-0.00980
19.78120,41.32810,29.45310,-0.61150,0.07260,0.43590,27.55100,201.78250,100.78780,0.86040,0.03890,0.50810,-0.00250
19.84380,41.37500,29.45310,-0.61390,0.10840,0.39420,35.14990,200.50079,100.72680,0.85150,0.04660,0.52220,0.00450
19.90620,41.40620,29.43750,-0.61360,0.12850,0.34270,38.84250,199.03600,99.29240,0.84220,0.05470,0.53620,0.01140
