hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
27.71880,48.60940,36.25000,0.99560,-0.03460,0.27770,3.41160,1.64830,2.03290,0.71190,-0.29090,-0.53010,-0.35720
27.78120,48.64060,36.28120,0.99160,-0.02520,0.28080,3.89990,1.70930,1.81930,0.71200,-0.28990,-0.53020,-0.35750
27.68750,48.56250,36.20310,0.99030,-0.01890,0.28350,3.22850,1.22100,1.42260,0.71220,-0.28900,-0.53030,-0.35790
27.71880,48.57810,36.21880,0.99010,-0.01930,0.28610,1.82470,0.51910,1.05630,0.71230,-0.28820,-0.53030,-0.35830
27.67190,48.46880,36.20310,0.99050,-0.02350,0.28620,0.14620,-0.27430,0.69010,0.71240,-0.28760,-0.53020,-0.35870
27.37500,48.17190,35.95310,0.99140,-0.02800,0.28430,-1.41020,-1.00680,0.32390,0.71260,-0.28720,-0.52990,-0.35920
27.35940,48.31250,35.76560,0.99200,-0.03110,0.28140,-2.35620,-1.49500,-0.01180,0.71250,-0.28810,-0.52990,-0.35870
27.45310,48.21880,36.00000,0.99270,-0.03400,0.27770,-2.38670,-1.58660,-0.25590,0.71210,-0.28880,-0.53020,-0.35830
27.39060,48.32810,35.89060,0.99310,-0.03570,0.27530,-1.53230,-1.31190,-0.34750,0.71180,-0.28950,-0.53050,-0.35800
27.21880,48.14060,35.82810,0.99370,-0.03310,0.27290,-0.25050,-0.54900,-0.34750,0.71130,-0.28980,-0.53100,-0.35780
27.45310,48.35940,35.89060,0.99440,-0.02910,0.26870,0.84810,0.54960,-0.25590,0.71090,-0.28970,-0.53160,-0.35780
27.60940,48.48440,36.04690,0.99430,-0.02570,0.26690,1.45850,1.55670,-0.13380,0.71050,-0.28940,-0.53220,-0.35790
27.64060,48.50000,36.10940,0.99340,-0.02240,0.26920,1.36690,2.13660,-0.16440,0.71020,-0.28890,-0.53270,-0.35820
27.65620,48.53120,36.14060,0.99270,-0.02050,0.27230,0.66500,2.16710,-0.43900,0.71000,-0.28810,-0.53310,-0.35880
27.70310,48.60940,36.18750,0.99370,-0.02070,0.27080,-0.31160,1.67880,-1.01880,0.70960,-0.28760,-0.53360,-0.35930
27.71880,48.64060,36.23440,0.99520,-0.02470,0.26570,-1.13550,0.73270,-1.72080,0.70910,-0.28780,-0.53410,-0.35930
27.70310,48.64060,36.28120,0.99580,-0.03040,0.26290,-1.31860,-0.36590,-2.45320,0.70880,-0.28830,-0.53440,-0.35910
27.70310,48.60940,36.28120,0.99610,-0.03370,0.26340,-0.73880,-1.37300,-3.24660,0.70840,-0.28880,-0.53480,-0.35880
27.65620,48.56250,36.17190,0.99560,-0.03330,0.26400,0.17670,-2.25800,-4.00960,0.70810,-0.28940,-0.53510,-0.35850
27.65620,48.56250,36.20310,0.99470,-0.03160,0.26350,1.15330,-2.95990,-4.61990,0.70770,-0.28980,-0.53560,-0.35810
27.68750,48.59380,36.25000,0.99450,-0.02980,0.26230,2.16040,-3.38710,-4.92510,0.70720,-0.29010,-0.53630,-0.35780
27.70310,48.57810,36.26560,0.99390,-0.03080,0.26190,3.13690,-3.53970,-4.77250,0.70700,-0.29050,-0.53670,-0.35730
