hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
21.14060,43.75000,31.09380,0.99490,-0.22900,0.15150,0.63450,0.03080,-0.25590,0.52010,-0.56320,-0.33060,-0.55050
21.06250,43.75000,31.00000,0.99630,-0.22900,0.14870,0.54290,0.39710,-0.19490,0.51980,-0.56360,-0.33090,-0.55020
20.92190,43.51560,30.98440,0.99600,-0.22890,0.14730,0.78710,0.58020,-0.25590,0.51950,-0.56400,-0.33120,-0.54990
20.75000,43.46880,30.68750,0.99580,-0.22950,0.14750,1.21430,0.48860,-0.40850,0.51930,-0.56440,-0.33140,-0.54950
20.64060,43.37500,30.68750,0.99670,-0.22890,0.14600,1.55000,0.24450,-0.65260,0.51900,-0.56470,-0.33190,-0.54920
20.78120,43.45310,30.78120,0.99850,-0.22720,0.14490,1.58050,-0.09120,-0.89680,0.51850,-0.56470,-0.33260,-0.54920
20.82810,43.59380,30.70310,1.00030,-0.22680,0.14510,1.27540,-0.42690,-1.07990,0.51790,-0.56470,-0.33340,-0.54930
20.75000,43.50000,30.75000,1.00090,-0.22820,0.14430,0.72600,-0.64050,-1.14090,0.51810,-0.56520,-0.33320,-0.54880
20.92190,43.56250,30.81250,0.99960,-0.22990,0.14270,0.08520,-0.70160,-1.07990,0.51810,-0.56580,-0.33300,-0.54820
20.84380,43.59380,30.67190,0.99880,-0.23160,0.14130,-0.37260,-0.70160,-0.92730,0.51820,-0.56640,-0.33270,-0.54770
20.84380,43.43750,30.85940,0.99960,-0.23350,0.14050,-0.55570,-0.64050,-0.68320,0.51830,-0.56700,-0.33240,-0.54710
20.90620,43.64060,30.79690,1.00020,-0.23450,0.14090,-0.55570,-0.61000,-0.34750,0.51870,-0.56750,-0.33180,-0.54660
20.76560,43.48440,30.76560,1.00140,-0.23400,0.14160,-0.40310,-0.48800,-0.04230,0.51870,-0.56700,-0.33190,-0.54710
20.98440,43.57810,30.90620,1.00290,-0.23170,0.14120,-0.12840,-0.42690,0.11030,0.51810,-0.56690,-0.33260,-0.54730
20.79690,43.51560,30.73440,1.00360,-0.22820,0.14100,0.14620,-0.42690,0.23240,0.51760,-0.56660,-0.33330,-0.54770
20.98440,43.67190,30.92190,1.00350,-0.22550,0.14160,0.29880,-0.51850,0.29340,0.51720,-0.56610,-0.33390,-0.54820
21.10940,43.76560,31.04690,1.00380,-0.22420,0.14200,0.26830,-0.70160,0.29340,0.51680,-0.56570,-0.33450,-0.54860
21.12500,43.78120,31.09380,1.00350,-0.22390,0.14240,-0.00640,-0.91520,0.20190,0.51660,-0.56510,-0.33490,-0.54920
21.09380,43.79690,31.06250,1.00130,-0.22410,0.14320,-0.40310,-1.09830,0.04930,0.51690,-0.56480,-0.33460,-0.54940
21.12500,43.85940,31.10940,0.99930,-0.22440,0.14400,-0.76930,-1.28140,-0.07280,0.51730,-0.56460,-0.33410,-0.54950
21.12500,43.85940,31.12500,0.99780,-0.22540,0.14570,-1.04400,-1.49500,-0.19490,0.51770,-0.56450,-0.33360,-0.54960
21.17190,43.89060,31.14060,0.99640,-0.22590,0.14720,-1.19660,-1.67810,-0.28640,0.51800,-0.56430,-0.33320,-0.54970
21.20310,43.89060,31.17190,0.99640,-0.22540,0.14870,-1.28810,-1.80020,-0.31690,0.51820,-0.56400,-0.33290,-0.55000
21.20310,43.92190,31.21880,0.99760,-0.22480,0.14930,-1.37970,-1.76970,-0.34750,0.51830,-0.56360,-0.33280,-0.55040
21.18750,43.89060,31.20310,0.99770,-0.22510,0.14930,-1.31860,-1.58660,-0.50000,0.51850,-0.56320,-0.33260,-0.55070
21.17190,43.87500,31.20310,0.99690,-0.22670,0.15030,-1.13550,-1.34240,-0.71370,0.51890,-0.56330,-0.33190,-0.55060
21.18750,43.85940,31.21880,0.99500,-0.22740,0.15080,-0.86090,-1.12880,-0.95780,0.51940,-0.56330,-0.33140,-0.55060
21.17190,43.87500,31.23440,0.99280,-0.22730,0.14930,-0.52520,-0.94570,-1.20200,0.51920,-0.56390,-0.33140,-0.55010
21.17190,43.90620,31.23440,0.99270,-0.22790,0.14730,-0.28100,-0.85420,-1.47660,0.51890,-0.56450,-0.33160,-0.54970
21.14060,43.92190,31.21880,0.99480,-0.22950,0.14680,-0.12840,-0.94570,-1.75130,0.51900,-0.56500,-0.33130,-0.54920
21.14060,43.92190,31.21880,0.99720,-0.23120,0.14760,0.08520,-1.15930,-2.02590,0.51950,-0.56490,-0.33080,-0.54920
21.14060,43.87500,31.17190,0.99880,-0.23300,0.14770,0.39040,-1.43400,-2.23950,0.51970,-0.56540,-0.33050,-0.54860
21.18750,43.89060,31.15620,1.00000,-0.23490,0.14750,0.69550,-1.64760,-2.39210,0.52000,-0.56580,-0.33010,-0.54820
21.18750,43.85940,31.18750,1.00140,-0.23590,0.14840,0.90910,-1.70870,-2.45320,0.52030,-0.56540,-0.32990,-0.54840
21.18750,43.87500,31.18750,1.00250,-0.23650,0.15010,0.93970,-1.67810,-2.39210,0.52070,-0.56510,-0.32960,-0.54860
21.20310,43.89060,31.21880,1.00370,-0.23690,0.15200,0.81760,-1.49500,-2.23950,0.52100,-0.56470,-0.32950,-0.54880
21.20310,43.84380,31.20310,1.00520,-0.23750,0.15160,0.63450,-1.12880,-1.99540,0.52140,-0.56500,-0.32900,-0.54840
21.20310,43.85940,31.18750,1.00630,-0.23830,0.14880,0.32930,-0.73210,-1.72080,0.52090,-0.56540,-0.32940,-0.54810
21.14060,43.78120,31.21880,1.00640,-0.23970,0.14550,-0.00640,-0.42690,-1.38510,0.52060,-0.56590,-0.32960,-0.54780
21.14060,43.87500,31.14060,1.00480,-0.24140,0.14290,-0.40310,-0.21330,-0.95780,0.52050,-0.56650,-0.32970,-0.54730
21.18750,43.92190,31.18750,1.00310,-0.24170,0.14270,-0.76930,-0.12170,-0.46950,0.52040,-0.56710,-0.32950,-0.54680
21.15620,44.00000,31.20310,1.00140,-0.24150,0.14370,-1.01350,-0.12170,0.07980,0.52050,-0.56770,-0.32920,-0.54630
21.15620,44.03120,31.17190,0.99980,-0.24110,0.14340,-1.22710,-0.21330,0.59860,0.52060,-0.56840,-0.32880,-0.54570
21.17190,44.00000,31.17190,0.99930,-0.24040,0.14150,-1.41020,-0.27430,1.05630,0.52000,-0.56870,-0.32930,-0.54570
21.15620,43.93750,31.15620,0.99940,-0.23890,0.13910,-1.53230,-0.33540,1.39200,0.51950,-0.56900,-0.32970,-0.54560
21.15620,43.93750,31.06250,0.99970,-0.23740,0.13780,-1.50170,-0.36590,1.60570,0.51890,-0.56920,-0.33020,-0.54560
21.21880,43.95310,31.10940,1.00080,-0.23470,0.13670,-1.37970,-0.33540,1.72770,0.51830,-0.56930,-0.33070,-0.54570
21.23440,43.93750,31.14060,1.00240,-0.23180,0.13540,-1.31860,-0.27430,1.81930,0.51780,-0.56940,-0.33130,-0.54590
21.21880,43.96880,31.12500,1.00360,-0.22990,0.13430,-1.41020,-0.15230,1.78880,0.51720,-0.56940,-0.33180,-0.54600
21.23440,44.00000,31.10940,1.00250,-0.22880,0.13280,-1.56280,-0.09120,1.72770,0.51660,-0.56950,-0.33240,-0.54620
21.26560,44.01560,31.17190,0.99960,-0.22890,0.13160,-1.77640,-0.12170,1.63620,0.51610,-0.56970,-0.33280,-0.54620
21.32810,44.04690,31.20310,0.99690,-0.22910,0.13080,-1.92900,-0.33540,1.57510,0.51550,-0.57000,-0.33330,-0.54610
21.28120,43.93750,31.18750,0.99610,-0.22960,0.13010,-1.89850,-0.73210,1.48360,0.51500,-0.57050,-0.33360,-0.54590
21.29690,43.92190,31.17190,0.99590,-0.23020,0.12890,-1.71540,-1.22040,1.36150,0.51460,-0.57110,-0.33380,-0.54550
21.10940,43.62500,31.09380,0.99600,-0.22990,0.12880,-1.41020,-1.61710,1.30050,0.51420,-0.57080,-0.33420,-0.54590
20.92190,43.45310,30.87500,0.99740,-0.22970,0.13080,-1.07450,-1.86120,1.27000,0.51460,-0.57060,-0.33380,-0.54600
20.98440,43.67190,30.82810,0.99870,-0.22940,0.13360,-0.70830,-1.95280,1.20890,0.51480,-0.57030,-0.33360,-0.54630
20.82810,43.51560,30.87500,0.99890,-0.22880,0.13660,-0.34210,-2.01380,1.17840,0.51500,-0.56990,-0.33350,-0.54660
21.03120,43.59380,30.93750,0.99960,-0.22850,0.13930,0.02410,-2.04440,1.11740,0.51530,-0.56950,-0.33340,-0.54680
20.90620,43.60940,30.78120,1.00030,-0.22780,0.14010,0.26830,-2.04440,1.02580,0.51550,-0.56910,-0.33330,-0.54710
20.89060,43.48440,30.93750,0.99990,-0.22620,0.13870,0.26830,-1.98330,0.96480,0.51550,-0.56860,-0.33340,-0.54750
21.03120,43.65620,30.84380,0.99830,-0.22530,0.13740,0.02410,-1.89180,0.99530,0.51540,-0.56810,-0.33380,-0.54790
20.89060,43.51560,30.82810,0.99720,-0.22640,0.13690,-0.34210,-1.80020,0.99530,0.51550,-0.56770,-0.33370,-0.54820
21.04690,43.54690,30.95310,0.99930,-0.23050,0.13440,-0.76930,-1.80020,0.93430,0.51550,-0.56850,-0.33350,-0.54760
