hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
19.03120,40.57810,27.95310,0.95130,-0.06790,0.17350,22.11890,5.21880,-2.78890,0.68190,-0.33050,-0.57450,-0.30940
19.20310,40.54690,27.92190,0.95490,-0.06330,0.17290,16.22900,3.38780,-4.04010,0.68270,-0.32880,-0.57450,-0.30930
19.04690,40.25000,27.78120,0.96440,-0.06470,0.17240,7.98920,1.03790,-5.47440,0.68320,-0.32750,-0.57460,-0.30960
18.82810,40.14060,27.96880,0.98000,-0.07310,0.17240,-1.59330,-1.06780,-6.51200,0.68330,-0.32690,-0.57440,-0.31040
18.79690,40.18750,27.87500,0.99970,-0.09100,0.17110,-11.14530,-2.62420,-6.90870,0.68300,-0.32700,-0.57400,-0.31150
19.00000,40.46880,27.82810,1.02250,-0.11480,0.16330,-19.01880,-3.50920,-6.75620,0.68260,-0.32800,-0.57330,-0.31260
18.95310,40.29690,27.71880,1.05260,-0.13350,0.14430,-24.32890,-3.60070,-6.20680,0.68200,-0.32980,-0.57260,-0.31360
19.12500,40.25000,27.98440,1.08790,-0.14300,0.11530,-27.13650,-2.65470,-5.29130,0.68090,-0.33190,-0.57210,-0.31460
18.85940,40.29690,27.85940,1.11670,-0.14940,0.09130,-27.89940,-0.27430,-4.04010,0.67970,-0.33390,-0.57170,-0.31570
18.89060,40.40620,27.92190,1.12310,-0.15890,0.08550,-26.73980,3.35730,-2.48370,0.67880,-0.33590,-0.57100,-0.31680
19.04690,40.45310,27.68750,1.09940,-0.17040,0.09700,-23.23030,6.77520,-0.74420,0.67840,-0.33770,-0.57000,-0.31760
19.10940,40.29690,27.78120,1.05910,-0.17760,0.12110,-17.12670,8.20960,0.93430,0.67850,-0.33920,-0.56870,-0.31800
18.95310,40.23440,27.98440,1.02780,-0.17270,0.14130,-9.34480,6.40900,2.49070,0.67900,-0.34030,-0.56750,-0.31800
18.87500,40.35940,27.81250,1.01780,-0.15470,0.14350,-1.71540,1.67880,3.98600,0.67960,-0.34100,-0.56670,-0.31740
18.78120,40.26560,27.70310,1.01950,-0.13340,0.13430,3.77780,-3.69230,5.35930,0.68000,-0.34170,-0.56640,-0.31630
19.06250,40.23440,27.68750,1.01970,-0.11570,0.12610,5.97510,-7.23230,6.33590,0.68000,-0.34250,-0.56680,-0.31480
18.81250,40.03120,27.67190,1.01630,-0.10210,0.12370,4.78490,-7.90370,6.88520,0.67950,-0.34230,-0.56770,-0.31440
18.81250,40.15620,27.87500,1.01130,-0.09430,0.12560,1.21430,-6.37780,7.00730,0.67920,-0.34210,-0.56820,-0.31430
18.84380,40.37500,27.70310,1.00510,-0.09500,0.12830,-2.84450,-4.08900,6.91570,0.67910,-0.34200,-0.56830,-0.31460
19.10940,40.45310,27.76560,0.99960,-0.10270,0.12920,-5.43850,-2.28850,6.64110,0.67920,-0.34220,-0.56780,-0.31480
19.25000,40.43750,27.96880,0.99660,-0.11210,0.12830,-5.62160,-1.15930,6.03070,0.67970,-0.34290,-0.56700,-0.31470
19.25000,40.57810,28.23440,0.99380,-0.12000,0.12550,-3.42430,-0.21330,5.14570,0.68010,-0.34380,-0.56620,-0.31400
