hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
15.03120,36.42190,24.93750,1.01510,-0.19520,0.10200,0.02410,-0.82360,-1.93440,0.74080,-0.11350,-0.66190,0.01480
14.79690,36.34380,24.64060,1.01390,-0.19650,0.09950,-0.12840,-0.97620,-1.96490,0.74030,-0.11380,-0.66240,0.01500
14.81250,36.07810,24.46880,1.01260,-0.19830,0.09770,-0.37260,-1.12880,-1.87330,0.73990,-0.11430,-0.66280,0.01530
14.48440,35.85940,24.42190,1.01200,-0.20000,0.09780,-0.67780,-1.28140,-1.65970,0.73960,-0.11490,-0.66290,0.01580
14.59380,35.90620,24.60940,1.01300,-0.20200,0.09820,-0.98290,-1.31190,-1.35450,0.73950,-0.11560,-0.66290,0.01630
14.45310,36.04690,24.34380,1.01390,-0.20410,0.09680,-1.13550,-1.28140,-1.23250,0.73920,-0.11630,-0.66310,0.01680
14.54690,36.01560,24.43750,1.01370,-0.20590,0.09540,-1.01350,-1.22040,-1.29350,0.73890,-0.11700,-0.66330,0.01730
14.64060,35.93750,24.43750,1.01390,-0.20580,0.09480,-0.64720,-1.09830,-1.41560,0.73850,-0.11760,-0.66370,0.01770
14.59380,36.00000,24.45310,1.01420,-0.20430,0.09380,0.02410,-0.97620,-1.56820,0.73800,-0.11740,-0.66430,0.01740
14.40620,35.87500,24.46880,1.01410,-0.20380,0.09280,0.93970,-0.76260,-1.62920,0.73750,-0.11720,-0.66490,0.01730
14.51560,36.14060,24.35940,1.01370,-0.20370,0.09210,2.09930,-0.42690,-1.53760,0.73780,-0.11750,-0.66450,0.01780
14.43750,35.85940,24.31250,1.01400,-0.20260,0.09200,3.32000,-0.03020,-1.23250,0.73760,-0.11660,-0.66480,0.01730
14.67190,36.09380,24.46880,1.01410,-0.20210,0.09270,3.89990,0.18340,-1.04940,0.73810,-0.11590,-0.66440,0.01720
14.43750,35.96880,24.43750,1.01510,-0.20130,0.09530,4.99850,0.36650,-0.59160,0.73860,-0.11540,-0.66390,0.01740
14.62500,36.15620,24.42190,1.01670,-0.20120,0.09820,5.88350,0.15290,-0.31690,0.73920,-0.11480,-0.66340,0.01770
14.67190,36.14060,24.43750,1.01730,-0.20010,0.09980,6.34130,-0.21330,-0.25590,0.73970,-0.11410,-0.66290,0.01780
14.84380,36.17190,24.57810,1.01570,-0.19670,0.10060,6.34130,-0.67110,-0.46950,0.74000,-0.11300,-0.66280,0.01760
14.70310,36.21880,24.62500,1.01290,-0.19080,0.10210,5.97510,-1.09830,-0.62210,0.74030,-0.11190,-0.66270,0.01740
14.78120,36.31250,24.64060,1.01010,-0.18440,0.10390,5.33420,-1.34240,-0.50000,0.74050,-0.11090,-0.66260,0.01710
14.71880,36.35940,24.57810,1.00760,-0.18060,0.10490,4.35760,-1.31190,-0.04230,0.74070,-0.10990,-0.66250,0.01680
14.89060,36.34380,24.67190,1.00750,-0.18010,0.10470,2.98430,-1.18990,0.65960,0.74090,-0.10910,-0.66250,0.01640
14.75000,36.23440,24.71880,1.00840,-0.18120,0.10420,1.42790,-1.09830,1.36150,0.74110,-0.10840,-0.66240,0.01600
14.81250,36.34380,24.78120,1.00870,-0.18250,0.10390,-0.03690,-1.15930,1.81930,0.74130,-0.10780,-0.66230,0.01560
14.71880,36.32810,24.59380,1.00960,-0.18450,0.10200,-1.34920,-1.34240,2.03290,0.74100,-0.10740,-0.66270,0.01500
14.87500,36.39060,24.64060,1.01100,-0.18740,0.10060,-2.29520,-1.64760,2.00240,0.74060,-0.10830,-0.66300,0.01560
14.75000,36.04690,24.64060,1.01290,-0.19020,0.10060,-2.69190,-1.92230,1.78880,0.74040,-0.10930,-0.66310,0.01620
14.56250,36.12500,24.53120,1.01350,-0.19230,0.10030,-2.41730,-2.07490,1.45310,0.74020,-0.11030,-0.66310,0.01690
14.56250,36.17190,24.53120,1.01320,-0.19400,0.10060,-1.53230,-2.16640,1.14790,0.74030,-0.11100,-0.66280,0.01740
14.78120,36.37500,24.60940,1.01460,-0.19540,0.10220,-0.28100,-2.28850,0.87320,0.74060,-0.11120,-0.66240,0.01770
14.79690,36.23440,24.64060,1.01590,-0.19510,0.10410,1.03120,-2.34950,0.62910,0.74100,-0.11100,-0.66210,0.01770
14.87500,36.31250,24.75000,1.01630,-0.19320,0.10540,2.03830,-2.31900,0.29340,0.74130,-0.11040,-0.66180,0.01760
14.60940,36.10940,24.73440,1.01590,-0.19090,0.10390,2.58760,-2.16640,-0.07280,0.74130,-0.10950,-0.66200,0.01710
14.50000,36.14060,24.34380,1.01470,-0.18920,0.10260,2.58760,-1.86120,-0.37800,0.74100,-0.10870,-0.66240,0.01660
14.60940,36.15620,24.46880,1.01340,-0.19000,0.10370,2.16040,-1.40350,-0.53060,0.74140,-0.10860,-0.66190,0.01690
14.68750,36.15620,24.57810,1.01300,-0.19380,0.10470,1.61110,-1.03730,-0.59160,0.74150,-0.10910,-0.66170,0.01760
14.57810,36.26560,24.67190,1.01290,-0.19800,0.10440,1.15330,-0.85420,-0.59160,0.74150,-0.10970,-0.66160,0.01830
14.70310,36.37500,24.75000,1.01300,-0.20360,0.10420,0.84810,-0.85420,-0.71370,0.74150,-0.11030,-0.66160,0.01900
14.68750,36.37500,24.71880,1.01350,-0.20950,0.10370,0.87860,-1.00680,-1.01880,0.74140,-0.11100,-0.66160,0.01960
14.78120,36.26560,24.70310,1.01400,-0.21170,0.10250,1.30590,-1.18990,-1.32400,0.74120,-0.11150,-0.66160,0.02030
14.68750,36.23440,24.76560,1.01400,-0.21220,0.10160,2.16040,-1.18990,-1.47660,0.74100,-0.11200,-0.66170,0.02100
14.65620,36.34380,24.87500,1.01420,-0.21560,0.10110,3.35060,-0.82360,-1.59870,0.74090,-0.11250,-0.66180,0.02170
14.50000,36.34380,24.64060,1.01460,-0.22130,0.10200,4.78490,-0.15230,-1.78180,0.74090,-0.11280,-0.66170,0.02250
14.73440,36.34380,24.68750,1.01520,-0.22780,0.10490,6.49390,0.51910,-2.17850,0.74100,-0.11300,-0.66150,0.02340
14.57810,36.18750,24.70310,1.01830,-0.23590,0.10930,8.50800,0.85480,-2.72780,0.74120,-0.11290,-0.66120,0.02440
14.62500,36.26560,24.81250,1.02070,-0.24580,0.11330,10.61370,1.00740,-3.30770,0.74150,-0.11270,-0.66090,0.02540
14.51560,36.26560,24.67190,1.02140,-0.25750,0.11920,12.81100,1.34310,-3.97910,0.74190,-0.11230,-0.66050,0.02650
14.67190,36.42190,24.64060,1.02490,-0.27710,0.13330,15.31340,1.70930,-4.89460,0.74230,-0.11170,-0.66010,0.02770
14.67190,36.21880,24.62500,1.03550,-0.30850,0.15760,18.18210,1.49570,-6.57300,0.74290,-0.11060,-0.65960,0.02880
14.71880,36.31250,24.68750,1.05200,-0.34960,0.19650,22.08830,0.00030,-9.44170,0.74340,-0.10920,-0.65920,0.03000
14.60940,36.26560,24.68750,1.06980,-0.39700,0.25260,28.03930,-3.17350,-12.98170,0.74380,-0.10700,-0.65900,0.03120
14.75000,36.42190,24.65620,1.08990,-0.44300,0.32000,36.40110,-8.57510,-16.73540,0.74400,-0.10400,-0.65920,0.03270
14.68750,36.28120,24.54690,1.12340,-0.48670,0.37850,46.56340,-17.12000,-21.40460,0.74390,-0.10010,-0.65990,0.03460
14.78120,36.21880,24.64060,1.17730,-0.52400,0.40270,55.93230,-27.89270,-27.81330,0.74320,-0.09510,-0.66130,0.03660
14.62500,36.14060,24.51560,1.23540,-0.54420,0.39200,62.70720,-36.74280,-34.31350,0.74200,-0.08930,-0.66330,0.03880
14.76560,36.20310,24.60940,1.29870,-0.56050,0.36180,67.31540,-40.46600,-38.21980,0.74060,-0.08310,-0.66560,0.04100
14.81250,36.23440,24.45310,1.37840,-0.58360,0.32830,69.90940,-37.68890,-39.98980,0.73930,-0.07660,-0.66760,0.04320
14.95310,36.21880,24.53120,1.45270,-0.58980,0.30470,72.65600,-32.28730,-38.61650,0.73820,-0.07010,-0.66940,0.04570
15.00000,36.17190,24.68750,1.50890,-0.57700,0.29170,75.70770,-28.89980,-31.04810,0.73730,-0.06390,-0.67080,0.04890
15.00000,36.28120,24.62500,1.56820,-0.56960,0.28320,74.15130,-24.68840,-17.68140,0.73650,-0.05850,-0.67180,0.05280
14.90620,36.20310,24.59380,1.62980,-0.56980,0.28600,67.37640,-16.08240,1.23950,0.73610,-0.05480,-0.67220,0.05750
15.18750,36.34380,24.65620,1.68240,-0.56950,0.30830,59.47240,-3.14300,26.99630,0.73630,-0.05310,-0.67160,0.06330
14.95310,36.12500,24.62500,1.74520,-0.57920,0.32940,51.99560,10.92560,57.69700,0.73710,-0.05370,-0.67000,0.07050
15.10940,36.18750,24.87500,1.83910,-0.60770,0.32660,44.67140,24.23130,89.34370,0.73830,-0.05680,-0.66730,0.07930
