hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
18.09380,40.10940,27.56250,0.99940,-0.23410,0.25440,-23.32180,6.71420,-2.91090,0.71030,-0.38670,-0.47680,-0.34440
18.04690,39.98440,27.42190,0.99850,-0.23710,0.25360,-23.74910,6.74470,-3.24660,0.70940,-0.38830,-0.47610,-0.34550
17.71880,39.75000,27.50000,0.99410,-0.24140,0.25160,-23.53540,6.10380,-3.64340,0.70860,-0.39010,-0.47510,-0.34640
17.75000,39.90620,27.32810,0.98890,-0.24610,0.24970,-22.46730,4.94420,-4.04010,0.70780,-0.39190,-0.47420,-0.34720
17.56250,39.78120,27.17190,0.98510,-0.24930,0.24720,-20.84990,3.60140,-4.43680,0.70710,-0.39360,-0.47330,-0.34790
17.76560,39.70310,27.17190,0.98400,-0.25030,0.24560,-19.41560,2.28910,-4.65040,0.70640,-0.39520,-0.47260,-0.34850
17.75000,39.68750,27.25000,0.98340,-0.25250,0.24950,-18.53050,1.31260,-4.74200,0.70580,-0.39680,-0.47180,-0.34900
17.59380,39.73440,27.15620,0.98040,-0.25690,0.25750,-17.98120,1.16000,-4.68100,0.70550,-0.39800,-0.47070,-0.34970
17.76560,39.79690,27.31250,0.97460,-0.25950,0.26370,-17.40140,1.64830,-4.46730,0.70530,-0.39900,-0.46950,-0.35050
17.75000,39.85940,27.07810,0.96690,-0.25990,0.26650,-16.85210,2.07550,-3.97910,0.70520,-0.39990,-0.46840,-0.35130
17.71880,39.65620,27.39060,0.96030,-0.26000,0.26810,-16.51640,2.22810,-3.27710,0.70510,-0.40080,-0.46720,-0.35210
17.78120,39.78120,27.31250,0.95850,-0.25940,0.26890,-16.54690,2.19760,-2.45320,0.70500,-0.40160,-0.46600,-0.35290
17.64060,39.81250,27.25000,0.95900,-0.25840,0.26840,-16.91310,2.19760,-1.53760,0.70490,-0.40250,-0.46480,-0.35360
17.76560,39.75000,27.29690,0.95760,-0.25880,0.26700,-17.49300,2.31970,-0.65260,0.70480,-0.40350,-0.46350,-0.35430
17.82810,39.89060,27.31250,0.95550,-0.25820,0.26520,-18.13380,2.41120,0.11030,0.70480,-0.40460,-0.46210,-0.35500
17.62500,39.56250,27.34380,0.95640,-0.25520,0.26260,-18.77470,2.38070,0.75120,0.70470,-0.40560,-0.46070,-0.35580
17.50000,39.67190,27.18750,0.95900,-0.25270,0.25820,-19.41560,2.28910,1.23950,0.70460,-0.40670,-0.45940,-0.35650
17.57810,39.82810,27.10940,0.96120,-0.25140,0.25280,-19.78180,2.25860,1.57510,0.70360,-0.40800,-0.45910,-0.35730
17.68750,39.73440,27.18750,0.96310,-0.25060,0.24870,-19.62920,2.35020,1.81930,0.70260,-0.40930,-0.45890,-0.35810
17.65620,39.75000,27.15620,0.96310,-0.25020,0.24560,-19.07990,2.62480,1.91080,0.70160,-0.41060,-0.45870,-0.35890
17.67190,39.71880,27.28120,0.96070,-0.24970,0.24320,-18.34740,3.08260,1.72770,0.70060,-0.41170,-0.45850,-0.35970
17.67190,39.92190,27.21880,0.95970,-0.24700,0.24060,-17.43190,3.47930,1.20890,0.69970,-0.41270,-0.45830,-0.36060
17.89060,39.93750,27.39060,0.96170,-0.24120,0.23850,-16.42480,3.38780,0.44600,0.69880,-0.41330,-0.45830,-0.36170
17.89060,39.81250,27.40620,0.96620,-0.23580,0.23550,-15.41780,2.65540,-0.40850,0.69790,-0.41390,-0.45830,-0.36280
17.68750,39.70310,27.43750,0.97130,-0.23450,0.23020,-14.71590,1.43470,-1.29350,0.69690,-0.41450,-0.45850,-0.36370
17.57810,39.75000,27.28120,0.97460,-0.23810,0.22670,-14.25810,0.06140,-2.33110,0.69580,-0.41530,-0.45870,-0.36460
17.64060,39.71880,27.29690,0.97560,-0.24410,0.22790,-13.58670,-1.25090,-3.58230,0.69470,-0.41620,-0.45910,-0.36530
17.62500,39.73440,27.20310,0.97580,-0.25070,0.23170,-12.21340,-2.59370,-4.95560,0.69350,-0.41710,-0.45950,-0.36580
17.65620,39.59380,27.35940,0.97540,-0.25760,0.23660,-10.01610,-3.84490,-6.20680,0.69300,-0.41830,-0.45930,-0.36590
17.59380,39.70310,27.32810,0.97360,-0.26440,0.24100,-7.33060,-4.69940,-7.12240,0.69270,-0.41890,-0.45890,-0.36600
17.70310,39.92190,27.50000,0.97350,-0.26900,0.24330,-4.58400,-4.91300,-7.51910,0.69260,-0.41940,-0.45870,-0.36610
17.87500,40.06250,27.42190,0.97510,-0.27060,0.24460,-1.99000,-4.72990,-7.45810,0.69250,-0.41960,-0.45850,-0.36620
17.96880,39.95310,27.62500,0.97660,-0.27000,0.24670,0.26830,-4.51630,-7.03080,0.69260,-0.41960,-0.45840,-0.36610
17.85940,40.01560,27.57810,0.97730,-0.26960,0.25110,2.06880,-4.63830,-6.48150,0.69280,-0.41940,-0.45830,-0.36610
17.89060,39.96880,27.65620,0.97660,-0.27050,0.25600,3.41160,-5.03510,-5.99320,0.69300,-0.41910,-0.45830,-0.36610
17.85940,40.10940,27.51560,0.97340,-0.27080,0.26050,4.20500,-5.61490,-5.50490,0.69330,-0.41880,-0.45840,-0.36590
17.96880,40.01560,27.60940,0.97120,-0.26830,0.26400,4.57130,-6.40840,-4.89460,0.69350,-0.41840,-0.45850,-0.36580
17.92190,39.96880,27.56250,0.97280,-0.26440,0.26450,4.69330,-7.35440,-4.00960,0.69370,-0.41800,-0.45870,-0.36560
17.82810,39.95310,27.71880,0.97660,-0.26110,0.26350,4.38820,-8.11730,-3.00250,0.69390,-0.41760,-0.45890,-0.36540
17.81250,40.12500,27.59380,0.97870,-0.25900,0.26150,3.56420,-8.36150,-2.08700,0.69400,-0.41730,-0.45910,-0.36520
17.90620,40.06250,27.59380,0.97670,-0.25710,0.25910,2.43500,-8.11730,-1.56820,0.69420,-0.41710,-0.45930,-0.36500
17.87500,39.98440,27.57810,0.97180,-0.25440,0.25750,1.42790,-7.72060,-1.38510,0.69430,-0.41680,-0.45940,-0.36490
17.92190,39.98440,27.70310,0.96840,-0.25190,0.25600,1.00070,-7.50700,-1.53760,0.69440,-0.41660,-0.45950,-0.36490
17.84380,40.12500,27.62500,0.96830,-0.25080,0.25260,1.24480,-7.53750,-1.78180,0.69450,-0.41640,-0.45960,-0.36490
17.84380,40.12500,27.67190,0.96860,-0.24950,0.24930,2.03830,-7.75110,-2.02590,0.69460,-0.41600,-0.45980,-0.36480
17.90620,40.09380,27.54690,0.96630,-0.24740,0.24530,3.13690,-8.02580,-2.33110,0.69460,-0.41550,-0.46010,-0.36480
17.85940,39.93750,27.68750,0.96120,-0.24580,0.24000,4.41870,-8.39200,-2.72780,0.69470,-0.41500,-0.46050,-0.36480
17.79690,40.03120,27.60940,0.95800,-0.24520,0.23850,5.09010,-8.63610,-3.00250,0.69490,-0.41460,-0.46080,-0.36460
17.85940,40.03120,27.65620,0.95200,-0.24490,0.23780,6.52440,-9.27700,-3.61280,0.69510,-0.41420,-0.46110,-0.36410
17.90620,40.06250,27.56250,0.94880,-0.24550,0.23950,8.08080,-10.04000,-4.28420,0.69540,-0.41380,-0.46150,-0.36370
18.01560,39.92190,27.67190,0.94980,-0.24840,0.24170,9.97290,-10.68080,-4.95560,0.69560,-0.41330,-0.46200,-0.36310
17.98440,40.03120,27.70310,0.95430,-0.25270,0.24330,12.23120,-11.16910,-5.53540,0.69590,-0.41280,-0.46260,-0.36230
17.93750,40.01560,27.70310,0.96130,-0.25620,0.24530,14.70310,-11.35220,-5.99320,0.69630,-0.41210,-0.46340,-0.36140
17.96880,40.21880,27.57810,0.97010,-0.25810,0.24880,17.11400,-11.04700,-6.42050,0.69670,-0.41130,-0.46410,-0.36050
18.07810,40.12500,27.67190,0.98060,-0.25820,0.25420,19.31120,-10.52820,-6.75620,0.69730,-0.41010,-0.46500,-0.35970
17.93750,40.03120,27.54690,0.99000,-0.25760,0.25900,21.02020,-10.22310,-7.03080,0.69790,-0.40870,-0.46600,-0.35890
17.79690,39.87500,27.65620,0.99600,-0.25580,0.26240,21.93580,-10.25360,-7.12240,0.69840,-0.40720,-0.46700,-0.35810
17.48440,39.78120,27.25000,0.99780,-0.25410,0.26370,21.84420,-10.40620,-7.09180,0.69900,-0.40570,-0.46800,-0.35740
17.64060,39.73440,27.29690,0.99600,-0.25440,0.26320,20.65400,-10.49770,-6.87820,0.69960,-0.40430,-0.46900,-0.35660
17.60940,39.70310,27.14060,0.99230,-0.25700,0.26300,18.60930,-10.37560,-6.45100,0.70010,-0.40330,-0.46980,-0.35570
17.56250,39.59380,27.45310,0.98770,-0.26190,0.26360,16.35100,-10.04000,-5.77960,0.70060,-0.40240,-0.47050,-0.35490
17.71880,39.82810,27.31250,0.98500,-0.26760,0.26490,14.55050,-9.55170,-4.83350,0.70100,-0.40180,-0.47100,-0.35400
17.62500,39.76560,27.26560,0.98510,-0.27270,0.26670,13.45190,-8.75820,-3.52130,0.70150,-0.40130,-0.47140,-0.35310
17.79690,39.62500,27.34380,0.98530,-0.27560,0.26820,13.02460,-7.59850,-2.05640,0.70200,-0.40080,-0.47170,-0.35210
17.82810,39.67190,27.42190,0.98350,-0.27460,0.26790,13.29930,-6.07270,-0.43900,0.70270,-0.40040,-0.47180,-0.35110
17.59380,39.68750,27.39060,0.98130,-0.27090,0.26620,14.15380,-4.48580,1.23950,0.70350,-0.39990,-0.47180,-0.35000
17.76560,39.82810,27.40620,0.98070,-0.26510,0.26190,15.16090,-3.11250,2.79590,0.70450,-0.39930,-0.47170,-0.34890
17.68750,39.71880,27.14060,0.98110,-0.25690,0.25370,15.92380,-2.01380,4.04710,0.70550,-0.39890,-0.47150,-0.34760
17.79690,39.53120,27.37500,0.98260,-0.24830,0.24560,16.07640,-1.18990,5.05420,0.70620,-0.39880,-0.47180,-0.34600
17.71880,39.79690,27.23440,0.98500,-0.24170,0.23930,15.52710,-0.54900,5.75610,0.70640,-0.39810,-0.47270,-0.34510
17.60940,39.62500,27.35940,0.98650,-0.23830,0.23510,14.45900,0.03080,6.15280,0.70660,-0.39750,-0.47350,-0.34420
17.78120,39.82810,27.17190,0.98530,-0.23880,0.23390,13.42140,0.58020,6.33590,0.70680,-0.39700,-0.47430,-0.34330
17.76560,39.70310,27.21880,0.98210,-0.24060,0.23540,13.02460,1.06840,6.39690,0.70700,-0.39660,-0.47500,-0.34240
17.75000,39.60940,27.34380,0.97890,-0.24090,0.23900,13.42140,1.43470,6.51900,0.70720,-0.39600,-0.47570,-0.34170
