hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
13.79690,35.14060,24.90620,1.00090,-0.21280,0.22940,-1.37970,0.94640,1.30050,0.77000,-0.03480,-0.62340,0.13130
13.68750,35.15620,24.81250,0.99810,-0.21800,0.22850,-2.29520,1.37360,0.44600,0.77000,-0.03420,-0.62350,0.13060
13.70310,35.21880,24.70310,0.99600,-0.22090,0.22900,-2.60040,1.46520,-0.01180,0.77010,-0.03370,-0.62370,0.12990
13.60940,34.90620,24.65620,0.99140,-0.22600,0.23140,-2.72240,1.34310,-0.80520,0.77040,-0.03440,-0.62320,0.13020
13.37500,34.75000,24.54690,0.98660,-0.22960,0.23350,-2.14260,0.97690,-1.17140,0.77070,-0.03500,-0.62280,0.13050
13.59380,35.01560,24.64060,0.98220,-0.23160,0.23320,-1.16600,0.45810,-1.01880,0.77080,-0.03570,-0.62240,0.13090
13.53120,35.10940,24.57810,0.97930,-0.23280,0.23330,-0.15900,-0.03020,-0.43900,0.77100,-0.03630,-0.62210,0.13140
13.79690,35.09380,24.78120,0.97770,-0.23280,0.23460,0.69550,-0.27430,0.23240,0.77120,-0.03690,-0.62170,0.13200
13.79690,35.20310,24.67190,0.97760,-0.23080,0.23520,1.24480,-0.18280,0.81220,0.77150,-0.03720,-0.62120,0.13250
13.81250,35.15620,24.92190,0.97850,-0.22730,0.23430,1.51950,0.21400,1.17840,0.77190,-0.03670,-0.62070,0.13240
13.81250,35.35940,24.92190,0.97990,-0.22360,0.23160,1.51950,0.88530,1.36150,0.77180,-0.03600,-0.62100,0.13200
13.90620,35.39060,24.92190,0.98110,-0.22180,0.22910,1.18380,1.67880,1.39200,0.77160,-0.03560,-0.62130,0.13170
14.01560,35.37500,24.96880,0.98070,-0.22150,0.22850,0.60400,2.47230,1.33100,0.77140,-0.03520,-0.62160,0.13140
13.95310,35.26560,25.04690,0.97830,-0.22070,0.22770,0.02410,3.02160,1.02580,0.77130,-0.03490,-0.62190,0.13100
13.89060,35.40620,25.03120,0.97730,-0.22030,0.22500,-0.43360,3.08260,0.56810,0.77100,-0.03470,-0.62220,0.13080
13.93750,35.39060,24.96880,0.98000,-0.22160,0.22130,-0.70830,2.65540,0.07980,0.77080,-0.03480,-0.62260,0.13060
13.98440,35.46880,24.90620,0.98570,-0.22320,0.21730,-0.86090,1.89240,-0.43900,0.77040,-0.03480,-0.62310,0.13040
14.06250,35.32810,25.01560,0.99090,-0.22510,0.21520,-0.95240,1.19050,-0.89680,0.77010,-0.03490,-0.62360,0.13020
14.00000,35.35940,25.06250,0.99250,-0.22850,0.21430,-1.10500,0.76330,-1.29350,0.76970,-0.03500,-0.62410,0.13010
13.92190,35.40620,25.04690,0.99170,-0.23320,0.21380,-1.25760,0.73270,-1.50710,0.76930,-0.03530,-0.62450,0.13000
13.92190,35.40620,24.92190,0.99190,-0.23780,0.21490,-1.31860,0.97690,-1.47660,0.76890,-0.03580,-0.62490,0.13020
13.92190,35.28120,24.92190,0.99260,-0.24060,0.21650,-1.25760,1.09900,-1.17140,0.76860,-0.03640,-0.62520,0.13040
13.92190,35.34380,24.96880,0.99270,-0.24030,0.21740,-1.04400,0.91590,-0.62210,0.76830,-0.03710,-0.62550,0.13070
13.85940,35.28120,25.06250,0.99200,-0.23830,0.21700,-0.76930,0.61070,0.04930,0.76790,-0.03770,-0.62590,0.13100
13.89060,35.43750,24.93750,0.99000,-0.23590,0.21670,-0.52520,0.30550,0.72070,0.76750,-0.03820,-0.62630,0.13130
14.00000,35.35940,24.96880,0.98670,-0.23410,0.21690,-0.55570,0.18340,1.23950,0.76700,-0.03870,-0.62680,0.13160
14.03120,35.42190,24.98440,0.98420,-0.23420,0.21730,-0.64720,0.27500,1.63620,0.76660,-0.03940,-0.62710,0.13200
13.92190,35.31250,25.14060,0.98430,-0.23510,0.21710,-0.61670,0.45810,1.97190,0.76630,-0.04020,-0.62740,0.13260
13.90620,35.42190,25.04690,0.98590,-0.23630,0.21710,-0.31160,0.54960,2.24650,0.76600,-0.04000,-0.62780,0.13230
13.96880,35.43750,25.04690,0.98750,-0.23580,0.21780,0.29880,0.51910,2.39910,0.76640,-0.04000,-0.62720,0.13250
14.07810,35.40620,24.98440,0.98760,-0.23200,0.21820,0.97020,0.30550,2.36860,0.76660,-0.03920,-0.62720,0.13210
14.03120,35.34380,25.09380,0.98570,-0.22610,0.21820,1.55000,-0.03020,2.18550,0.76670,-0.03850,-0.62710,0.13170
13.96880,35.40620,25.00000,0.98370,-0.22240,0.21900,1.79420,-0.36590,1.72770,0.76690,-0.03770,-0.62700,0.13140
13.90620,35.40620,24.93750,0.98270,-0.22390,0.22060,1.58050,-0.82360,0.81220,0.76720,-0.03700,-0.62680,0.13110
14.01560,35.42190,24.85940,0.98180,-0.22880,0.22350,1.00070,-1.37300,-0.46950,0.76760,-0.03690,-0.62630,0.13120
14.00000,35.31250,24.98440,0.97990,-0.23400,0.22620,0.51240,-1.83070,-1.50710,0.76780,-0.03720,-0.62590,0.13160
13.85940,35.29690,24.93750,0.97880,-0.23880,0.22750,0.23780,-2.01380,-1.84280,0.76790,-0.03760,-0.62560,0.13200
13.85940,35.32810,24.95310,0.97910,-0.24260,0.22740,0.14620,-1.89180,-1.44610,0.76800,-0.03810,-0.62540,0.13240
13.95310,35.42190,24.87500,0.98240,-0.24550,0.22790,0.29880,-1.58660,-0.71370,0.76800,-0.03870,-0.62520,0.13300
