hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
20.06250,40.34380,28.34380,-0.47300,-0.28150,0.84060,0.42090,0.30550,-0.19490,0.94860,-0.11240,0.26500,-0.13140
20.18750,40.46880,28.42190,-0.47130,-0.28360,0.84210,0.26830,0.21400,-0.13380,0.94880,-0.11230,0.26420,-0.13150
20.15620,40.43750,28.42190,-0.47080,-0.28590,0.84160,0.05470,0.00030,-0.10330,0.94900,-0.11270,0.26340,-0.13180
20.17190,40.35940,28.50000,-0.47200,-0.28810,0.83990,-0.12840,-0.21330,-0.04230,0.94880,-0.11360,0.26330,-0.13200
19.90620,40.20310,28.23440,-0.47270,-0.28950,0.83790,-0.34210,-0.42690,0.07980,0.94860,-0.11440,0.26370,-0.13210
19.95310,40.04690,28.35940,-0.47260,-0.28920,0.83720,-0.58620,-0.70160,0.14080,0.94840,-0.11510,0.26420,-0.13220
19.96880,40.20310,28.23440,-0.47290,-0.28650,0.83640,-0.64720,-0.97620,0.14080,0.94850,-0.11430,0.26430,-0.13190
20.07810,40.26560,28.34380,-0.47350,-0.28470,0.83390,-0.46410,-1.22040,0.14080,0.94850,-0.11360,0.26490,-0.13160
20.15620,40.32810,28.40620,-0.47400,-0.28530,0.83160,-0.25050,-1.43400,0.14080,0.94830,-0.11380,0.26560,-0.13140
20.12500,40.32810,28.40620,-0.47360,-0.28720,0.83050,-0.12840,-1.61710,0.20190,0.94810,-0.11450,0.26590,-0.13150
20.20310,40.42190,28.42190,-0.47260,-0.28890,0.82930,0.02410,-1.67810,0.35440,0.94800,-0.11550,0.26590,-0.13170
20.26560,40.43750,28.46880,-0.47210,-0.28900,0.82890,0.20720,-1.55610,0.50700,0.94780,-0.11630,0.26590,-0.13190
20.26560,40.45310,28.50000,-0.47300,-0.28810,0.82880,0.20720,-1.18990,0.56810,0.94790,-0.11550,0.26620,-0.13150
20.25000,40.48440,28.50000,-0.47380,-0.28650,0.82910,0.08520,-0.67110,0.56810,0.94800,-0.11460,0.26650,-0.13120
20.23440,40.50000,28.48440,-0.47370,-0.28520,0.82940,-0.00640,-0.15230,0.53760,0.94820,-0.11370,0.26630,-0.13090
20.23440,40.50000,28.50000,-0.47320,-0.28640,0.82980,0.02410,0.21400,0.50700,0.94810,-0.11460,0.26620,-0.13120
