hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
23.93750,45.31250,32.87500,1.00710,-0.16510,0.05410,0.97020,-0.36590,-1.47660,0.55050,-0.51350,-0.47990,-0.45050
23.92190,45.37500,32.82810,1.00400,-0.15080,0.05550,4.72380,0.61070,-0.56110,0.55120,-0.51300,-0.47960,-0.45060
23.93750,45.29690,32.85940,1.00350,-0.13750,0.05410,7.10420,1.64830,0.29340,0.55200,-0.51230,-0.47940,-0.45060
23.57810,44.95310,32.64060,1.00510,-0.12720,0.05100,8.56910,2.71640,0.90380,0.55280,-0.51130,-0.47930,-0.45070
23.31250,44.65620,32.26560,1.00750,-0.12060,0.04500,9.78980,3.72350,1.17840,0.55370,-0.51030,-0.47930,-0.45090
23.21880,44.57810,32.12500,1.00970,-0.11520,0.03900,11.19360,4.57800,0.99530,0.55440,-0.50900,-0.47950,-0.45120
23.07810,44.43750,32.01560,1.01250,-0.10970,0.03440,12.93310,5.24940,0.44600,0.55510,-0.50760,-0.48000,-0.45150
23.01560,44.40620,31.92190,1.01650,-0.10440,0.02830,14.76410,5.61560,-0.34750,0.55560,-0.50610,-0.48080,-0.45170
22.87500,44.15620,31.82810,1.02030,-0.10020,0.02120,16.35100,5.64610,-1.32400,0.55600,-0.50460,-0.48180,-0.45180
22.73440,44.10940,31.60940,1.02390,-0.09930,0.01300,17.32760,5.31040,-2.45320,0.55630,-0.50320,-0.48300,-0.45170
22.67190,44.01560,31.59380,1.02780,-0.10130,0.00490,17.57170,4.79160,-3.64340,0.55660,-0.50200,-0.48420,-0.45140
22.67190,44.06250,31.56250,1.02980,-0.10420,-0.00130,17.17500,4.15070,-4.83350,0.55670,-0.50090,-0.48540,-0.45110
22.65620,44.01560,31.54690,1.03060,-0.10750,-0.00570,16.35100,3.50980,-5.90170,0.55690,-0.49990,-0.48670,-0.45070
22.70310,44.06250,31.51560,1.03180,-0.11000,-0.00780,15.19140,2.77740,-6.72560,0.55690,-0.49900,-0.48790,-0.45040
22.65620,44.01560,31.54690,1.03110,-0.11190,-0.00710,13.66550,1.98400,-6.93930,0.55680,-0.49820,-0.48910,-0.45000
22.68750,44.04690,31.53120,1.02840,-0.11290,-0.00350,11.46820,1.09900,-6.48150,0.55670,-0.49760,-0.49020,-0.44960
22.65620,44.06250,31.57810,1.02610,-0.11350,0.00190,8.23340,0.12240,-5.38290,0.55640,-0.49730,-0.49110,-0.44930
22.68750,44.09380,31.56250,1.02400,-0.11620,0.00690,4.11350,-0.82360,-3.73490,0.55600,-0.49740,-0.49180,-0.44890
22.65620,44.04690,31.60940,1.02280,-0.12000,0.01080,-0.15900,-1.70870,-1.81230,0.55570,-0.49780,-0.49220,-0.44850
22.68750,44.07810,31.57810,1.02200,-0.12240,0.01400,-3.42430,-2.38000,0.07980,0.55540,-0.49870,-0.49210,-0.44800
22.67190,44.00000,31.57810,1.02140,-0.12230,0.01700,-5.01130,-2.74630,1.66670,0.55540,-0.49970,-0.49160,-0.44730
