hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
23.07810,44.96880,32.10940,0.99880,-0.23310,0.19290,1.51950,-1.06780,0.50700,0.76290,-0.22590,-0.59770,-0.09850
23.10940,44.95310,32.12500,0.99880,-0.22890,0.19460,1.55000,-0.88470,0.65960,0.76310,-0.22510,-0.59770,-0.09890
23.17190,45.00000,32.20310,0.99710,-0.22490,0.19430,0.93970,-0.48800,0.81220,0.76310,-0.22440,-0.59780,-0.09940
23.07810,44.76560,32.18750,0.99430,-0.22280,0.19240,-0.18950,-0.03020,0.87320,0.76310,-0.22370,-0.59800,-0.10000
22.82810,44.75000,31.75000,0.99110,-0.22510,0.19120,-1.41020,0.30550,0.93430,0.76310,-0.22310,-0.59820,-0.10060
22.92190,44.71880,31.98440,0.98920,-0.22970,0.19040,-2.32570,0.39710,0.99530,0.76300,-0.22400,-0.59800,-0.10010
22.82810,44.76560,31.84380,0.98920,-0.23340,0.18950,-2.63090,0.15290,0.93430,0.76290,-0.22500,-0.59790,-0.09960
22.73440,44.64060,31.90620,0.99080,-0.23490,0.19000,-2.35620,-0.30480,0.75120,0.76280,-0.22590,-0.59770,-0.09900
22.93750,44.82810,31.92190,0.99230,-0.23450,0.19120,-1.59330,-0.82360,0.50700,0.76320,-0.22570,-0.59730,-0.09920
23.04690,44.85940,32.07810,0.99300,-0.23370,0.19270,-0.64720,-1.22040,0.23240,0.76340,-0.22530,-0.59710,-0.09960
22.87500,44.78120,32.00000,0.99270,-0.23320,0.19450,0.26830,-1.43400,0.01880,0.76380,-0.22500,-0.59670,-0.09970
22.85940,44.75000,31.93750,0.99220,-0.23190,0.19620,0.90910,-1.40350,-0.13380,0.76420,-0.22450,-0.59640,-0.09990
22.90620,44.76560,31.95310,0.99280,-0.23000,0.19770,1.24480,-1.18990,-0.22540,0.76450,-0.22390,-0.59620,-0.10020
22.89060,44.75000,31.95310,0.99360,-0.22760,0.19920,1.21430,-0.94570,-0.22540,0.76470,-0.22320,-0.59610,-0.10060
22.85940,44.68750,31.89060,0.99330,-0.22590,0.19990,0.75660,-0.64050,-0.16440,0.76500,-0.22250,-0.59590,-0.10100
22.89060,44.76560,31.87500,0.99210,-0.22600,0.19930,-0.00640,-0.27430,-0.07280,0.76520,-0.22180,-0.59580,-0.10150
22.93750,44.78120,31.93750,0.99110,-0.22740,0.19770,-0.95240,0.06140,0.01880,0.76490,-0.22250,-0.59600,-0.10110
23.01560,44.92190,31.98440,0.99090,-0.23020,0.19600,-1.80690,0.27500,0.14080,0.76460,-0.22330,-0.59610,-0.10070
23.09380,44.93750,32.10940,0.99150,-0.23430,0.19310,-2.26470,0.36650,0.20190,0.76430,-0.22410,-0.59620,-0.10030
23.18750,45.04690,32.17190,0.99140,-0.23720,0.19120,-2.14260,0.27500,0.20190,0.76410,-0.22490,-0.59640,-0.09990
23.17190,45.04690,32.17190,0.99110,-0.23780,0.19120,-1.56280,0.12240,0.07980,0.76380,-0.22560,-0.59650,-0.09950
23.17190,45.03120,32.20310,0.99170,-0.23720,0.19210,-0.73880,-0.06070,-0.10330,0.76360,-0.22640,-0.59660,-0.09900
23.18750,45.04690,32.18750,0.99280,-0.23530,0.19330,0.02410,-0.15230,-0.19490,0.76370,-0.22570,-0.59650,-0.09960
23.17190,45.04690,32.20310,0.99520,-0.23190,0.19340,0.48190,-0.18280,-0.16440,0.76360,-0.22500,-0.59690,-0.10020
23.18750,45.07810,32.28120,0.99830,-0.22840,0.19310,0.45140,-0.12170,-0.07280,0.76340,-0.22430,-0.59730,-0.10080
23.21880,45.03120,32.28120,0.99970,-0.22720,0.19230,-0.09790,0.03080,-0.07280,0.76310,-0.22370,-0.59780,-0.10130
23.18750,45.06250,32.17190,0.99880,-0.22880,0.19130,-0.92190,0.15290,-0.16440,0.76260,-0.22370,-0.59840,-0.10160
23.21880,45.04690,32.20310,0.99640,-0.23170,0.19100,-1.65430,0.18340,-0.22540,0.76260,-0.22450,-0.59820,-0.10100
23.25000,45.07810,32.23440,0.99230,-0.23480,0.19130,-2.05110,0.06140,-0.25590,0.76280,-0.22530,-0.59780,-0.10050
23.26560,45.07810,32.25000,0.98980,-0.23760,0.19150,-1.99000,-0.24380,-0.31690,0.76290,-0.22610,-0.59740,-0.10010
23.26560,45.09380,32.31250,0.98890,-0.23930,0.19220,-1.56280,-0.57950,-0.37800,0.76310,-0.22680,-0.59700,-0.09960
