hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
19.70310,41.98440,28.82810,0.99860,-0.20760,0.16130,0.17670,-0.36590,0.53760,0.75870,-0.17460,-0.62550,-0.05090
19.68750,41.79690,29.00000,0.99720,-0.20810,0.16090,0.57350,-0.03020,0.53760,0.75840,-0.17510,-0.62580,-0.05040
19.70310,42.01560,29.03120,0.99610,-0.20650,0.16040,0.84810,0.30550,0.50700,0.75850,-0.17440,-0.62590,-0.05090
19.65620,42.03120,29.04690,0.99610,-0.20310,0.16030,1.03120,0.58020,0.53760,0.75850,-0.17360,-0.62600,-0.05150
19.68750,42.00000,28.90620,0.99640,-0.20090,0.15990,1.00070,0.85480,0.62910,0.75840,-0.17290,-0.62630,-0.05210
19.59380,41.90620,28.82810,0.99550,-0.20000,0.15920,0.69550,1.09900,0.78170,0.75820,-0.17230,-0.62660,-0.05250
19.70310,41.92190,29.09380,0.99360,-0.19830,0.15890,0.17670,1.28210,0.87320,0.75820,-0.17160,-0.62680,-0.05310
19.50000,42.00000,28.79690,0.99220,-0.19770,0.15860,-0.46410,1.25150,0.90380,0.75790,-0.17120,-0.62720,-0.05360
19.71880,42.15620,28.96880,0.99190,-0.19830,0.15710,-1.07450,0.91590,0.81220,0.75760,-0.17190,-0.62740,-0.05310
19.79690,42.04690,28.98440,0.99280,-0.19950,0.15580,-1.47120,0.45810,0.62910,0.75720,-0.17240,-0.62780,-0.05290
19.82810,42.06250,29.12500,0.99450,-0.20150,0.15530,-1.62380,0.12240,0.32390,0.75690,-0.17320,-0.62800,-0.05250
19.76560,42.10940,29.12500,0.99560,-0.20350,0.15560,-1.50170,-0.03020,-0.01180,0.75690,-0.17400,-0.62770,-0.05190
19.87500,42.23440,29.18750,0.99590,-0.20370,0.15580,-1.13550,-0.09120,-0.34750,0.75720,-0.17350,-0.62750,-0.05250
19.92190,42.21880,29.06250,0.99560,-0.20410,0.15490,-0.55570,-0.18280,-0.59160,0.75690,-0.17400,-0.62780,-0.05220
20.01560,42.15620,29.15620,0.99610,-0.20530,0.15470,0.02410,-0.27430,-0.71370,0.75660,-0.17470,-0.62800,-0.05160
19.78120,42.04690,29.12500,0.99670,-0.20630,0.15580,0.51240,-0.27430,-0.74420,0.75700,-0.17490,-0.62750,-0.05130
19.70310,42.00000,29.07810,0.99720,-0.20670,0.15660,0.75660,-0.21330,-0.74420,0.75750,-0.17490,-0.62690,-0.05110
19.65620,41.95310,28.87500,0.99760,-0.20660,0.15600,0.90910,-0.18280,-0.71370,0.75700,-0.17480,-0.62750,-0.05120
19.78120,41.90620,28.95310,0.99850,-0.20600,0.15550,0.93970,-0.27430,-0.56110,0.75660,-0.17440,-0.62810,-0.05160
19.71880,41.76560,28.93750,0.99960,-0.20590,0.15600,0.90910,-0.39640,-0.37800,0.75710,-0.17440,-0.62750,-0.05140
19.57810,41.75000,28.98440,1.00090,-0.20660,0.15710,0.87860,-0.48800,-0.19490,0.75750,-0.17450,-0.62700,-0.05100
19.53120,41.87500,28.84380,1.00290,-0.20670,0.15800,0.78710,-0.61000,-0.04230,0.75720,-0.17390,-0.62750,-0.05160
19.67190,41.89060,28.93750,1.00380,-0.20580,0.15780,0.63450,-0.76260,0.04930,0.75760,-0.17330,-0.62720,-0.05190
19.78120,42.00000,28.96880,1.00400,-0.20470,0.15750,0.57350,-0.94570,0.04930,0.75710,-0.17340,-0.62780,-0.05190
