hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
15.43750,37.78120,25.84380,1.00880,-0.21920,0.08120,2.58760,-0.70160,-1.26300,0.72550,-0.24040,-0.63550,-0.10930
15.32810,37.98440,25.71880,1.00880,-0.22100,0.08250,2.98430,-0.91520,-1.26300,0.72600,-0.24050,-0.63510,-0.10890
15.28120,37.70310,25.53120,1.00810,-0.22010,0.08180,3.35060,-1.18990,-0.92730,0.72640,-0.24050,-0.63470,-0.10830
15.39060,37.68750,25.37500,1.00640,-0.21570,0.08220,3.50310,-1.40350,-0.40850,0.72640,-0.23960,-0.63490,-0.10870
15.21880,37.45310,25.42190,1.00650,-0.21210,0.08440,3.32000,-1.61710,0.07980,0.72660,-0.23880,-0.63490,-0.10910
15.07810,37.54690,25.59380,1.00800,-0.21040,0.08660,2.74020,-1.76970,0.23240,0.72690,-0.23800,-0.63480,-0.10940
15.10940,37.67190,25.43750,1.00970,-0.21030,0.08600,1.76360,-1.70870,-0.01180,0.72710,-0.23730,-0.63480,-0.10980
15.18750,37.71880,25.18750,1.01150,-0.21170,0.08320,0.48190,-1.58660,-0.37800,0.72660,-0.23690,-0.63550,-0.11020
15.25000,37.43750,25.50000,1.01070,-0.21420,0.08170,-0.76930,-1.34240,-0.59160,0.72630,-0.23760,-0.63560,-0.10960
15.14060,37.57810,25.53120,1.00930,-0.21820,0.08230,-1.50170,-1.00680,-0.46950,0.72630,-0.23840,-0.63540,-0.10910
14.93750,37.56250,25.43750,1.00820,-0.22090,0.08320,-1.41020,-0.54900,-0.10330,0.72650,-0.23900,-0.63500,-0.10850
15.17190,37.79690,25.35940,1.00680,-0.22130,0.08280,-0.76930,-0.15230,0.35440,0.72670,-0.23970,-0.63460,-0.10790
15.29690,37.64060,25.39060,1.00600,-0.22030,0.08220,-0.09790,-0.12170,0.72070,0.72680,-0.24050,-0.63440,-0.10720
15.37500,37.56250,25.65620,1.00660,-0.21860,0.08230,0.23780,-0.42690,0.81220,0.72670,-0.23980,-0.63460,-0.10780
15.14060,37.65620,25.54690,1.00800,-0.21750,0.08220,0.32930,-0.91520,0.62910,0.72650,-0.23920,-0.63500,-0.10840
15.31250,37.92190,25.59380,1.00820,-0.21700,0.08220,0.45140,-1.34240,0.23240,0.72690,-0.23870,-0.63470,-0.10870
15.40620,37.84380,25.53120,1.00650,-0.21510,0.08320,0.81760,-1.58660,-0.04230,0.72690,-0.23790,-0.63490,-0.10930
15.53120,37.82810,25.67190,1.00440,-0.21120,0.08430,1.36690,-1.58660,-0.07280,0.72710,-0.23720,-0.63490,-0.10970
15.31250,37.79690,25.73440,1.00430,-0.20870,0.08500,1.67210,-1.67810,0.11030,0.72720,-0.23640,-0.63500,-0.11020
15.32810,38.01560,25.76560,1.00530,-0.20940,0.08460,1.58050,-1.89180,0.14080,0.72730,-0.23570,-0.63510,-0.11070
15.32810,37.95310,25.62500,1.00630,-0.21130,0.08430,1.24480,-1.95280,-0.16440,0.72710,-0.23630,-0.63510,-0.10990
15.53120,37.90620,25.67190,1.00710,-0.21220,0.08380,1.00070,-1.70870,-0.65260,0.72690,-0.23690,-0.63520,-0.10920
15.35940,37.73440,25.79690,1.00630,-0.21190,0.08320,1.03120,-1.25090,-1.01880,0.72650,-0.23640,-0.63580,-0.10970
15.26560,37.90620,25.78120,1.00550,-0.21210,0.08320,1.30590,-0.91520,-1.01880,0.72680,-0.23670,-0.63540,-0.10920
15.23440,37.87500,25.60940,1.00400,-0.21300,0.08350,1.67210,-0.76260,-0.86630,0.72720,-0.23710,-0.63500,-0.10860
15.25000,37.71880,25.46880,1.00150,-0.21350,0.08360,2.03830,-0.73210,-0.83570,0.72740,-0.23740,-0.63470,-0.10790
15.26560,37.59380,25.46880,1.00180,-0.21350,0.08390,2.37400,-0.91520,-1.04940,0.72730,-0.23660,-0.63500,-0.10850
15.21880,37.76560,25.60940,1.00360,-0.21360,0.08410,2.64870,-1.22040,-1.44610,0.72750,-0.23700,-0.63480,-0.10780
15.21880,37.81250,25.57810,1.00650,-0.21500,0.08390,2.83180,-1.55610,-1.84280,0.72700,-0.23710,-0.63540,-0.10740
15.37500,37.96880,25.54690,1.01100,-0.21820,0.08280,2.92330,-1.73920,-2.17850,0.72690,-0.23750,-0.63540,-0.10670
15.48440,37.78120,25.60940,1.01580,-0.22200,0.08120,2.98430,-1.80020,-2.39210,0.72660,-0.23790,-0.63570,-0.10610
15.37500,37.79690,25.70310,1.01920,-0.22500,0.08110,3.16740,-1.76970,-2.48370,0.72650,-0.23820,-0.63580,-0.10540
14.98440,37.64060,25.50000,1.02140,-0.22970,0.08220,3.56420,-1.58660,-2.48370,0.72660,-0.23860,-0.63570,-0.10460
15.18750,37.87500,25.40620,1.02380,-0.23770,0.08510,4.05250,-1.46450,-2.60580,0.72680,-0.23880,-0.63550,-0.10390
15.29690,37.82810,25.50000,1.02460,-0.24660,0.08990,4.51020,-1.55610,-2.91090,0.72710,-0.23890,-0.63530,-0.10330
15.50000,38.01560,25.70310,1.02180,-0.25540,0.09610,4.99850,-1.86120,-3.33820,0.72740,-0.23890,-0.63500,-0.10260
