hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
-15.10940,-16.73440,-15.06250,0.75510,-0.17160,0.67940,-0.73880,-1.09830,-2.60580,0.71910,0.17780,-0.37150,0.55970
-15.12500,-16.51560,-15.23440,0.76130,-0.17180,0.67900,-0.52520,-2.77680,-2.42270,0.71880,0.17770,-0.37240,0.55950
-14.98440,-16.56250,-15.26560,0.76520,-0.17350,0.68150,-0.46410,-3.38710,-1.65970,0.71840,0.17760,-0.37340,0.55940
-15.21880,-16.89060,-15.42190,0.76580,-0.17350,0.68510,-0.61670,-2.86830,-0.86630,0.71810,0.17710,-0.37410,0.55950
-15.35940,-17.07810,-15.51560,0.76520,-0.16930,0.68790,-0.92190,-1.70870,-0.40850,0.71840,0.17710,-0.37350,0.55950
-15.50000,-17.07810,-15.43750,0.76510,-0.16240,0.68890,-1.25760,-0.42690,-0.37800,0.71880,0.17760,-0.37290,0.55930
-15.37500,-17.00000,-15.42190,0.76410,-0.15750,0.68720,-1.77640,0.79380,-0.53060,0.71920,0.17810,-0.37230,0.55890
-15.28120,-16.81250,-15.68750,0.76130,-0.15820,0.68460,-2.41730,1.64830,-0.71370,0.71960,0.17860,-0.37170,0.55860
-15.26560,-17.10940,-15.31250,0.75750,-0.16220,0.68440,-2.66140,1.83140,-0.95780,0.72010,0.17830,-0.37100,0.55860
-15.26560,-16.82810,-15.32810,0.75370,-0.16350,0.68430,-2.11210,1.12950,-1.41560,0.72040,0.17760,-0.37050,0.55880
-15.42190,-16.90620,-15.37500,0.75600,-0.16230,0.68330,-1.19660,-0.33540,-2.08700,0.72070,0.17850,-0.37040,0.55820
-15.21880,-16.84380,-15.40620,0.76560,-0.16490,0.68310,-0.49470,-2.07490,-2.54470,0.72040,0.17880,-0.37130,0.55790
-15.18750,-16.95310,-15.45310,0.77410,-0.16800,0.68550,-0.09790,-3.32610,-2.39210,0.72010,0.17910,-0.37220,0.55750
-15.29690,-17.09380,-15.29690,0.77780,-0.16620,0.68950,0.02410,-3.41760,-1.87330,0.71980,0.17960,-0.37300,0.55720
-15.39060,-16.96880,-15.26560,0.77730,-0.16270,0.69410,-0.49470,-2.41060,-1.59870,0.72020,0.18030,-0.37250,0.55680
-15.31250,-16.71880,-15.37500,0.77400,-0.16380,0.69990,-1.53230,-0.85420,-1.69020,0.72050,0.17990,-0.37200,0.55690
-15.14060,-16.82810,-15.25000,0.76900,-0.16930,0.70480,-2.20360,0.48860,-1.65970,0.72070,0.17920,-0.37160,0.55700
-15.04690,-16.81250,-15.21880,0.76460,-0.17410,0.70470,-1.62380,1.22100,-1.07990,0.72090,0.17830,-0.37130,0.55730
-15.14060,-16.87500,-15.03120,0.76410,-0.17210,0.69930,0.29880,1.31260,-0.04230,0.72100,0.17750,-0.37100,0.55770
-15.20310,-16.64060,-15.12500,0.76500,-0.16170,0.69220,2.58760,1.00740,0.81220,0.72130,0.17810,-0.37020,0.55770
-15.01560,-16.68750,-15.18750,0.76470,-0.14790,0.68790,3.74730,0.64120,0.99530,0.72140,0.17910,-0.36960,0.55760
-14.93750,-16.75000,-15.17190,0.76360,-0.13870,0.68600,2.74020,0.27500,0.29340,0.72160,0.18010,-0.36910,0.55730
-15.04690,-16.95310,-14.98440,0.76200,-0.13640,0.68600,-0.06740,-0.06070,-1.01880,0.72190,0.18090,-0.36860,0.55700
-15.10940,-16.76560,-15.09380,0.76020,-0.14040,0.68950,-3.39380,-0.18280,-2.39210,0.72240,0.18140,-0.36820,0.55640
-15.09380,-16.79690,-15.10940,0.76110,-0.15170,0.69370,-5.56060,-0.09120,-3.33820,0.72300,0.18110,-0.36770,0.55620
-15.01560,-16.89060,-15.29690,0.76440,-0.16730,0.69530,-5.31640,0.18340,-3.21610,0.72300,0.18000,-0.36820,0.55610
-14.96880,-17.04690,-15.04690,0.76640,-0.17680,0.69360,-2.53930,0.88530,-2.05640,0.72290,0.17910,-0.36880,0.55620
-15.14060,-16.98440,-15.00000,0.76580,-0.17480,0.69030,1.30590,1.83140,-0.56110,0.72260,0.17850,-0.36920,0.55650
-15.17190,-16.92190,-15.03120,0.76410,-0.16680,0.68790,4.11350,2.41120,0.53760,0.72220,0.17820,-0.36960,0.55680
-15.06250,-16.85940,-15.20310,0.76380,-0.15980,0.68710,4.69330,2.28910,0.93430,0.72200,0.17880,-0.36980,0.55680
-15.04690,-17.03120,-15.06250,0.76390,-0.15620,0.68590,3.19800,1.70930,0.62910,0.72200,0.17970,-0.36970,0.55660
-15.17190,-16.96880,-15.00000,0.76200,-0.15410,0.68490,0.69550,1.12950,-0.25590,0.72210,0.18060,-0.36950,0.55620
-15.28120,-17.00000,-15.00000,0.75850,-0.15570,0.68600,-1.68480,0.70220,-1.26300,0.72240,0.18000,-0.36900,0.55640
-15.21880,-16.84380,-15.17190,0.75750,-0.16240,0.68820,-3.18020,0.42760,-1.96490,0.72240,0.17900,-0.36930,0.55650
-15.06250,-17.04690,-15.17190,0.76010,-0.17020,0.68980,-3.45490,0.15290,-2.17850,0.72230,0.17800,-0.36980,0.55660
-15.04690,-17.04690,-15.06250,0.76420,-0.17600,0.69050,-2.63090,0.24450,-1.84280,0.72220,0.17720,-0.37040,0.55670
-15.18750,-17.09380,-14.95310,0.76660,-0.17930,0.68940,-1.01350,1.16000,-0.86630,0.72190,0.17650,-0.37100,0.55680
-15.20310,-16.85940,-15.14060,0.76030,-0.17730,0.68840,0.93970,2.65540,0.32390,0.72170,0.17560,-0.37130,0.55720
-15.07810,-16.90620,-15.06250,0.74930,-0.17200,0.68860,2.31300,3.69300,0.93430,0.72170,0.17480,-0.37080,0.55770
-15.00000,-17.00000,-15.07810,0.74460,-0.16810,0.68810,2.06880,3.23520,0.65960,0.72190,0.17410,-0.37000,0.55820
