hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
12.87500,34.00000,22.75000,0.99630,-0.20060,0.21050,-0.86090,0.12240,1.05630,0.74220,-0.29880,-0.55640,-0.22430
13.00000,33.85940,22.65620,0.99830,-0.19910,0.21120,-0.67780,-0.06070,0.99530,0.74220,-0.29820,-0.55650,-0.22490
12.95310,33.85940,22.70310,0.99940,-0.19820,0.21160,-0.86090,-0.18280,0.90380,0.74220,-0.29760,-0.55660,-0.22550
12.81250,33.62500,22.81250,0.99820,-0.19820,0.21340,-1.19660,-0.24380,0.81220,0.74260,-0.29740,-0.55610,-0.22560
12.60940,33.85940,22.42190,0.99490,-0.19960,0.21600,-1.41020,-0.30480,0.69010,0.74300,-0.29750,-0.55550,-0.22560
12.65620,33.67190,22.51560,0.99150,-0.20290,0.21740,-1.37970,-0.36590,0.56810,0.74340,-0.29790,-0.55490,-0.22530
12.89060,33.75000,22.43750,0.99080,-0.20480,0.21640,-1.04400,-0.36590,0.56810,0.74370,-0.29840,-0.55430,-0.22490
12.62500,33.54690,22.51560,0.99390,-0.20410,0.21490,-0.49470,-0.12170,0.75120,0.74390,-0.29920,-0.55400,-0.22420
12.70310,33.84380,22.67190,0.99880,-0.20130,0.21370,0.05470,0.33600,1.02580,0.74350,-0.29890,-0.55450,-0.22460
12.82810,33.96880,22.67190,1.00360,-0.19830,0.21190,0.42090,0.91590,1.33100,0.74310,-0.29850,-0.55500,-0.22490
12.93750,33.95310,22.59380,1.00590,-0.19680,0.20960,0.57350,1.46520,1.63620,0.74280,-0.29830,-0.55550,-0.22500
12.92190,33.79690,22.76560,1.00520,-0.19500,0.20680,0.54290,1.83140,1.84980,0.74250,-0.29820,-0.55600,-0.22520
12.82810,33.92190,22.85940,1.00210,-0.19220,0.20320,0.51240,1.98400,1.84980,0.74220,-0.29800,-0.55640,-0.22530
12.82810,34.01560,22.85940,0.99850,-0.18920,0.20000,0.69550,1.83140,1.69720,0.74190,-0.29790,-0.55690,-0.22540
12.96880,34.12500,22.78120,0.99500,-0.18670,0.19780,1.12280,1.37360,1.36150,0.74150,-0.29770,-0.55740,-0.22560
12.96880,33.87500,22.81250,0.99100,-0.18580,0.19640,1.61110,0.73270,0.78170,0.74110,-0.29740,-0.55790,-0.22570
12.90620,33.89060,22.87500,0.98610,-0.18630,0.19640,2.00780,0.00030,-0.01180,0.74070,-0.29720,-0.55860,-0.22580
12.84380,33.89060,22.90620,0.98270,-0.18810,0.19770,2.22140,-0.76260,-0.83570,0.74030,-0.29690,-0.55930,-0.22590
12.89060,34.07810,22.75000,0.98240,-0.19150,0.19880,2.37400,-1.52560,-1.47660,0.73980,-0.29710,-0.55990,-0.22560
12.98440,33.92190,22.76560,0.98380,-0.19520,0.19970,2.49610,-2.25800,-1.87330,0.73970,-0.29760,-0.56000,-0.22490
13.00000,33.95310,22.89060,0.98610,-0.19860,0.19940,2.70970,-2.65470,-1.99540,0.73970,-0.29810,-0.56010,-0.22420
12.90620,33.90620,23.01560,0.98990,-0.20000,0.19710,3.04540,-2.65470,-1.87330,0.73940,-0.29850,-0.56050,-0.22360
12.89060,34.04690,22.84380,0.99190,-0.19780,0.19420,3.50310,-2.28850,-1.59870,0.73900,-0.29860,-0.56120,-0.22330
12.95310,34.04690,22.78120,0.99060,-0.19250,0.19350,3.96090,-1.70870,-1.47660,0.73850,-0.29810,-0.56200,-0.22340
13.04690,34.01560,22.81250,0.98650,-0.18310,0.19430,4.38820,-1.31190,-1.56820,0.73830,-0.29710,-0.56260,-0.22380
12.98440,33.96880,22.95310,0.97940,-0.16640,0.19340,4.57130,-1.28140,-1.99540,0.73820,-0.29610,-0.56320,-0.22430
12.90620,34.10940,22.90620,0.97220,-0.14360,0.19090,4.29660,-1.49500,-2.84990,0.73800,-0.29500,-0.56380,-0.22490
12.92190,34.17190,22.84380,0.96780,-0.12540,0.19040,3.47260,-1.58660,-4.25370,0.73770,-0.29390,-0.56440,-0.22550
13.04690,34.12500,22.79690,0.96850,-0.11660,0.18800,2.03830,-1.73920,-6.17630,0.73740,-0.29280,-0.56510,-0.22640
13.06250,33.93750,22.89060,0.97560,-0.11790,0.18460,-0.18950,-2.80730,-8.55670,0.73680,-0.29180,-0.56590,-0.22750
12.92190,34.00000,22.90620,0.98590,-0.13190,0.18720,-2.66140,-4.57730,-11.57790,0.73600,-0.29090,-0.56680,-0.22880
12.90620,34.04690,22.82810,0.99490,-0.15480,0.19340,-4.27880,-6.19470,-14.93490,0.73520,-0.28980,-0.56780,-0.23040
12.92190,34.14060,22.68750,0.99910,-0.16660,0.19600,-4.43140,-6.80510,-16.52180,0.73460,-0.28880,-0.56840,-0.23200
13.04690,34.00000,22.79690,1.00700,-0.18670,0.19860,-3.27180,-7.72060,-18.84110,0.73410,-0.28890,-0.56890,-0.23260
