hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
18.32810,28.06250,11.20310,-0.22340,-1.52250,0.20220,-75.69000,-40.40490,216.69360,0.71660,-0.66440,-0.04120,0.20820
18.43750,27.39060,10.67190,-0.19630,-1.51090,0.19660,-61.98760,-44.03650,224.90280,0.70890,-0.66800,-0.03280,0.22400
18.56250,26.85940,10.18750,-0.19240,-1.44330,0.18270,-42.76150,-43.76190,234.18010,0.70190,-0.67020,-0.02330,0.24030
18.76560,26.62500,9.90620,-0.19350,-1.36480,0.15000,-23.96270,-41.01530,243.30490,0.69540,-0.67110,-0.01290,0.25680
18.79690,26.12500,9.70310,-0.19710,-1.29070,0.10320,-10.68750,-38.08560,251.20889,0.68910,-0.67110,-0.00140,0.27360
18.59380,25.64060,9.25000,-0.21420,-1.22490,0.06650,-0.89140,-34.57610,257.77020,0.68280,-0.67030,0.01080,0.29040
18.87500,25.54690,8.93750,-0.25000,-1.17350,0.06740,10.24750,-29.47970,261.52390,0.67680,-0.66870,0.02390,0.30700
19.14060,25.50000,8.79690,-0.29330,-1.14260,0.10930,22.79030,-24.77990,262.83609,0.67120,-0.66600,0.03760,0.32320
19.28120,25.43750,8.59380,-0.32910,-1.11700,0.15060,33.47140,-22.61320,263.50751,0.66600,-0.66240,0.05180,0.33920
19.29690,25.34380,8.35940,-0.34080,-1.06350,0.14700,39.84960,-23.77290,264.69769,0.66070,-0.65800,0.06620,0.35510
19.21880,25.23440,7.92190,-0.32350,-0.99480,0.10050,41.74170,-25.39030,265.73529,0.65510,-0.65330,0.08050,0.37090
19.15620,25.15620,7.43750,-0.30470,-0.93380,0.04810,40.18530,-21.63660,265.06390,0.64900,-0.64850,0.09500,0.38630
19.20310,25.14060,7.06250,-0.30840,-0.88550,0.02080,36.27900,-12.32880,262.98871,0.64230,-0.64400,0.10970,0.40090
19.25000,25.25000,6.70310,-0.34340,-0.84810,0.02920,31.79290,-3.08190,259.11301,0.63500,-0.63980,0.12450,0.41450
19.31250,25.40620,6.40620,-0.39950,-0.80440,0.07200,29.96190,1.64830,252.88741,0.62760,-0.63560,0.13900,0.42740
19.35940,25.51560,6.12500,-0.44730,-0.76120,0.11980,31.42670,0.54960,246.44820,0.62040,-0.63100,0.15320,0.43990
19.37500,25.57810,5.78120,-0.46270,-0.72330,0.12780,34.63110,-2.34950,241.99260,0.61330,-0.62590,0.16690,0.45200
19.42190,25.59380,5.31250,-0.43990,-0.67510,0.08580,39.45290,-1.83070,239.09351,0.60620,-0.62040,0.18070,0.46370
19.45310,25.59380,4.85940,-0.40290,-0.59550,0.02250,45.55640,2.28910,235.55341,0.59920,-0.61470,0.19480,0.47460
19.46880,25.54690,4.37500,-0.38830,-0.49060,-0.02080,50.34760,7.29400,228.90060,0.59220,-0.60890,0.20900,0.48460
19.51560,25.51560,3.98440,-0.40890,-0.39510,-0.02580,50.34760,11.47490,218.58560,0.58530,-0.60330,0.22300,0.49370
19.54690,25.51560,3.76560,-0.45010,-0.32250,-0.00110,44.57980,13.48910,205.85980,0.57820,-0.59810,0.23630,0.50210
19.48440,25.56250,3.57810,-0.48690,-0.26040,0.02370,34.63110,12.90930,193.01190,0.57090,-0.59340,0.24870,0.51000
19.54690,25.73440,3.48440,-0.50560,-0.20610,0.02760,23.61420,10.98670,182.17821,0.56320,-0.58910,0.26010,0.51780
19.60940,25.95310,3.46880,-0.51470,-0.16900,0.02420,13.78760,8.75890,173.99950,0.55530,-0.58510,0.27060,0.52550
19.68750,26.07810,3.46880,-0.52580,-0.15990,0.02860,5.57830,5.64610,167.16350,0.54720,-0.58130,0.28010,0.53300
19.60940,25.93750,3.39060,-0.53410,-0.18510,0.03690,-0.64720,2.93000,159.86980,0.53920,-0.57800,0.28860,0.54020
19.59380,26.06250,2.98440,-0.54510,-0.20890,0.04780,-3.36330,3.32670,151.69110,0.53170,-0.57500,0.29620,0.54670
19.82810,26.25000,3.03120,-0.57870,-0.19030,0.07040,0.45140,5.92070,142.96310,0.52450,-0.57210,0.30370,0.55250
19.90620,26.12500,2.82810,-0.62160,-0.15750,0.09430,9.27100,6.34800,134.60130,0.51770,-0.56850,0.31180,0.55820
19.93750,26.03120,2.54690,-0.64190,-0.14550,0.10060,16.62570,2.01450,127.73480,0.51170,-0.56420,0.31970,0.56360
20.03120,26.01560,2.29690,-0.63090,-0.14300,0.08470,20.10470,-5.43180,122.39420,0.50650,-0.56010,0.32670,0.56840
20.10940,26.00000,1.95310,-0.60150,-0.13630,0.05080,20.31830,-11.04700,117.51140,0.50170,-0.55580,0.33310,0.57310
20.15620,25.92190,1.73440,-0.57600,-0.11980,0.02500,17.93800,-11.41320,112.17090,0.49710,-0.55170,0.33910,0.57760
20.15620,25.81250,1.43750,-0.57370,-0.08860,0.03650,15.67970,-5.49280,105.39600,0.49230,-0.54800,0.34500,0.58160
20.18750,25.67190,1.12500,-0.58320,-0.07070,0.05580,14.85570,-0.30480,101.55070,0.48750,-0.54470,0.35100,0.58520
20.18750,25.53120,0.81250,-0.62360,-0.04140,0.11210,12.32270,12.32940,94.40960,0.48250,-0.54130,0.35710,0.58880
20.03120,25.35940,0.42190,-0.68160,-0.03710,0.17790,7.77560,22.40020,88.55020,0.47770,-0.53880,0.36260,0.59160
19.93750,25.25000,0.12500,-0.72790,-0.05680,0.22360,2.83180,23.43780,82.05000,0.47310,-0.53680,0.36730,0.59420
19.95310,25.32810,-0.14060,-0.73600,-0.07070,0.22260,0.23780,14.31310,73.90180,0.46910,-0.53480,0.37100,0.59690
20.09380,25.39060,-0.14060,-0.71160,-0.05800,0.18520,1.79420,1.58720,65.35690,0.46610,-0.53230,0.37380,0.59970
20.15620,25.39060,-0.25000,-0.68040,-0.03050,0.14070,4.57130,-7.14080,58.09370,0.46380,-0.52940,0.37620,0.60260
20.15620,25.35940,-0.35940,-0.64850,-0.00910,0.10890,2.95380,-8.97180,53.21090,0.46110,-0.52640,0.37880,0.60560
20.17190,25.29690,-0.54690,-0.61450,-0.01420,0.09540,-5.46900,-4.05850,51.22720,0.45780,-0.52490,0.38130,0.60790
20.15620,25.03120,-0.87500,-0.59360,-0.04210,0.09480,-16.91310,6.25640,51.89860,0.45450,-0.52470,0.38240,0.60980
20.17190,24.57810,-1.35940,-0.59620,-0.05860,0.10860,-23.87110,20.50810,53.66870,0.45050,-0.52520,0.38370,0.61160
20.06250,23.96880,-2.14060,-0.60950,-0.05610,0.12770,-26.03790,37.01820,54.64520,0.44570,-0.52640,0.38560,0.61280
20.04690,23.29690,-3.01560,-0.61320,-0.04120,0.13390,-32.81280,52.15490,54.00430,0.44000,-0.52860,0.38770,0.61370
20.00000,22.39060,-4.06250,-0.60570,-0.00890,0.13000,-49.99420,63.93470,51.74600,0.43320,-0.53180,0.38940,0.61470
19.87500,21.23440,-5.21880,-0.61050,0.02810,0.12860,-72.94340,73.70030,47.68720,0.42480,-0.53640,0.39040,0.61600
19.50000,19.68750,-6.45310,-0.63720,0.05440,0.14020,-95.22120,82.06210,40.21040,0.41540,-0.54240,0.39010,0.61730
19.01560,17.79690,-7.62500,-0.66000,0.07490,0.16430,-116.55300,89.84410,28.97990,0.40530,-0.54990,0.38840,0.61850
18.34380,15.81250,-8.84380,-0.65770,0.09010,0.15370,-141.42480,101.25770,18.39030,0.39400,-0.55910,0.38520,0.61950
17.59380,13.79690,-10.25000,-0.63870,0.08360,0.03330,-167.91409,117.67610,13.50750,0.38040,-0.57050,0.38140,0.62000
16.71880,11.75000,-11.89060,-0.59730,0.06130,-0.13030,-174.99420,127.89950,12.25630,0.36630,-0.58300,0.37710,0.61940
15.67190,9.65620,-13.73440,-0.58670,0.02300,-0.13860,-149.72560,118.59160,11.15770,0.35390,-0.59420,0.37360,0.61810
14.59380,7.53120,-15.56250,-0.72960,-0.00390,-0.02530,-107.42830,96.55790,10.18110,0.34470,-0.60290,0.37120,0.61630
13.39060,5.39060,-17.10940,-0.95900,0.04000,0.06330,-68.39630,75.16510,5.51190,0.33860,-0.60840,0.36980,0.61510
12.15620,3.28120,-18.48440,-1.07860,0.12270,0.09760,-45.90480,56.18320,-5.44390,0.33460,-0.61240,0.36870,0.61400
10.92190,1.25000,-19.65620,-1.03920,0.15800,0.04240,-46.21000,45.28840,-17.07110,0.33130,-0.61620,0.36700,0.61310
9.59380,-1.04690,-20.71880,-0.93710,0.12900,-0.07930,-58.69170,50.44590,-22.74740,0.32710,-0.62130,0.36470,0.61150
8.42190,-3.50000,-21.95310,-0.88700,0.07190,-0.14120,-63.36090,63.35480,-22.01490,0.32240,-0.62750,0.36230,0.60910
7.39060,-6.26560,-23.21880,-0.97110,0.02270,-0.06660,-57.04370,69.45830,-18.13920,0.31810,-0.63390,0.36020,0.60600
6.39060,-9.39060,-24.18750,-1.15060,0.01290,0.05630,-48.16310,68.20710,-12.37140,0.31430,-0.63890,0.35850,0.60380
5.46880,-12.75000,-25.00000,-1.27310,0.02240,0.09110,-39.64870,66.25400,-5.59650,0.31050,-0.64320,0.35760,0.60160
4.57810,-16.00000,-25.92190,-1.27680,0.02670,0.02470,-29.30330,62.98860,-1.65970,0.30730,-0.64700,0.35740,0.59930
3.67190,-18.64060,-26.39060,-1.21980,0.04460,-0.06590,-17.27930,54.04700,-2.27010,0.30490,-0.64990,0.35770,0.59720
3.26560,-20.00000,-26.46880,-1.16360,0.07910,-0.13740,-7.48320,40.95490,-4.25370,0.30270,-0.65230,0.35880,0.59510
2.95310,-20.92190,-26.06250,-1.13260,0.10360,-0.19400,-2.29520,29.35820,-5.47440,0.30140,-0.65420,0.35960,0.59310
2.68750,-21.48440,-25.87500,-1.13750,0.10060,-0.21400,-4.52300,23.10210,-7.24440,0.30020,-0.65600,0.36010,0.59150
2.40620,-21.87500,-25.64060,-1.17220,0.06960,-0.19710,-13.58670,22.24760,-9.50270,0.29870,-0.65810,0.35990,0.59010
2.06250,-22.20310,-25.48440,-1.19600,0.03210,-0.17520,-22.83350,22.73590,-10.44880,0.29710,-0.66060,0.35880,0.58870
1.84380,-22.37500,-25.31250,-1.19980,0.00640,-0.16050,-26.92290,21.75940,-9.56380,0.29600,-0.66310,0.35690,0.58760
1.75000,-22.39060,-25.09380,-1.19850,-0.00340,-0.15190,-24.48150,13.79430,-6.93930,0.29520,-0.66480,0.35500,0.58730
1.81250,-22.14060,-24.71880,-1.17150,0.01830,-0.15330,-17.43190,-2.19690,-3.39920,0.29510,-0.66520,0.35320,0.58790
1.75000,-21.87500,-24.42190,-1.10420,0.04540,-0.18130,-10.10770,-16.78430,-0.98830,0.29460,-0.66480,0.35270,0.58890
2.03120,-20.81250,-23.87500,-1.04120,0.04380,-0.19890,-4.49250,-24.77990,0.01880,0.29470,-0.66400,0.35220,0.59010
2.62500,-19.03120,-22.67190,-1.02580,0.04160,-0.17580,0.69550,-28.71670,0.75120,0.29520,-0.66280,0.35190,0.59140
3.50000,-16.28120,-21.04690,-1.03810,0.04230,-0.13750,5.02900,-32.86710,0.38500,0.29570,-0.66090,0.35190,0.59320
4.73440,-12.35940,-18.73440,-1.05230,0.03010,-0.10810,7.92820,-41.44250,-2.27010,0.29780,-0.65810,0.35100,0.59580
6.43750,-7.37500,-15.54690,-1.06670,0.02410,-0.08730,10.70530,-59.05120,-6.93930,0.30090,-0.65460,0.34930,0.59910
8.50000,-1.60940,-11.34380,-1.07230,0.03180,-0.08050,15.61860,-87.15790,-14.35500,0.30530,-0.64960,0.34690,0.60370
10.70310,4.42190,-6.42190,-1.04360,0.03250,-0.08890,21.29490,-122.58880,-24.63950,0.31080,-0.64300,0.34390,0.60970
12.73440,10.32810,-1.25000,-0.96240,0.00810,-0.09970,25.78100,-156.55490,-35.74780,0.31870,-0.63550,0.33910,0.61610
14.50000,16.20310,3.85940,-0.85120,-0.02110,-0.09960,30.93840,-177.94769,-43.62140,0.32800,-0.62680,0.33340,0.62320
16.03120,21.62500,8.92190,-0.75680,-0.01300,-0.09130,37.71330,-180.60271,-44.84210,0.33760,-0.61760,0.32790,0.63020
17.12500,26.45310,13.17190,-0.69830,-0.00560,-0.06390,45.37330,-170.89810,-40.69170,0.34690,-0.60840,0.32340,0.63630
18.03120,30.48440,16.31250,-0.69630,-0.03860,-0.00980,48.42500,-159.85080,-35.35110,0.35590,-0.59960,0.31930,0.64180
18.68750,33.39060,18.48440,-0.74120,-0.08390,0.04230,44.00000,-148.10150,-33.30640,0.36470,-0.59130,0.31480,0.64680
19.04690,35.31250,19.89060,-0.76990,-0.12480,0.08080,36.12640,-133.30051,-34.95440,0.37270,-0.58390,0.31010,0.65120
19.42190,36.56250,20.85940,-0.73680,-0.13170,0.09670,27.45940,-115.05090,-35.16800,0.37980,-0.57770,0.30540,0.65480
19.64060,37.26560,21.60940,-0.65300,-0.11850,0.08960,19.64690,-92.77310,-31.93320,0.38560,-0.57300,0.30120,0.65750
19.81250,37.76560,22.14060,-0.58910,-0.13640,0.08660,16.68670,-74.21840,-26.37900,0.39040,-0.56920,0.29770,0.65950
19.89060,38.07810,22.62500,-0.57570,-0.15620,0.10710,22.08830,-65.91760,-19.02420,0.39490,-0.56550,0.29510,0.66120
19.98440,38.31250,23.07810,-0.58940,-0.12900,0.12570,29.74830,-58.56290,-13.25640,0.39920,-0.56170,0.29340,0.66260
20.10940,38.50000,23.48440,-0.59130,-0.10730,0.11990,30.60280,-45.53190,-13.01230,0.40310,-0.55870,0.29230,0.66330
20.07810,38.48440,23.84380,-0.58040,-0.13090,0.11960,27.42890,-34.75920,-16.97950,0.40690,-0.55650,0.29120,0.66330
19.90620,38.45310,23.98440,-0.59280,-0.17010,0.14830,27.55100,-28.80830,-21.77080,0.41080,-0.55470,0.29000,0.66300
19.78120,38.51560,24.26560,-0.61310,-0.20190,0.19090,30.90790,-22.49110,-27.53860,0.41500,-0.55310,0.28890,0.66210
19.67190,38.46880,24.50000,-0.61230,-0.21470,0.21180,33.07470,-14.61760,-33.67270,0.41940,-0.55190,0.28790,0.66070
19.56250,38.42190,24.62500,-0.59310,-0.20200,0.18770,32.31170,-6.74410,-37.67050,0.42390,-0.55140,0.28700,0.65870
19.43750,38.42190,24.78120,-0.56760,-0.17030,0.13910,32.28120,-1.80020,-39.13530,0.42830,-0.55140,0.28620,0.65620
19.48440,38.54690,24.93750,-0.56170,-0.14890,0.09870,37.01140,-2.22750,-39.25740,0.43270,-0.55150,0.28590,0.65340
19.59380,38.62500,25.10940,-0.59950,-0.13960,0.07430,43.45070,-4.60780,-39.22690,0.43730,-0.55120,0.28600,0.65050
19.76560,38.79690,25.28120,-0.65810,-0.13270,0.05260,45.95310,-3.17350,-40.66120,0.44180,-0.55090,0.28650,0.64750
19.84380,38.75000,25.37500,-0.70060,-0.13650,0.03000,43.84740,2.47230,-44.20120,0.44630,-0.55100,0.28700,0.64410
