hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
20.04690,42.81250,29.59380,1.00530,-0.17820,0.13240,-2.29520,-0.36590,-1.44610,0.74920,-0.16160,-0.63950,-0.05980
20.00000,42.81250,29.57810,1.00850,-0.18080,0.13300,-2.20360,-0.48800,-1.20200,0.74910,-0.16240,-0.63940,-0.05940
19.60940,42.48440,29.32810,1.01150,-0.18240,0.13470,-1.53230,-0.57950,-0.95780,0.74920,-0.16320,-0.63930,-0.05890
19.78120,42.65620,29.31250,1.01100,-0.18100,0.13680,-0.73880,-0.61000,-0.80520,0.74940,-0.16370,-0.63890,-0.05840
19.68750,42.59380,29.35940,1.00870,-0.17780,0.13910,-0.28100,-0.61000,-0.68320,0.74980,-0.16380,-0.63840,-0.05840
19.82810,42.59380,29.39060,1.00730,-0.17660,0.14150,-0.34210,-0.57950,-0.56110,0.75030,-0.16360,-0.63790,-0.05840
19.71880,42.62500,29.23440,1.00790,-0.17730,0.14270,-0.70830,-0.54900,-0.43900,0.75070,-0.16360,-0.63740,-0.05850
19.84380,42.70310,29.39060,1.01070,-0.17820,0.14380,-1.10500,-0.57950,-0.28640,0.75110,-0.16360,-0.63690,-0.05850
19.93750,42.79690,29.48440,1.01470,-0.17840,0.14500,-1.34920,-0.64050,-0.13380,0.75150,-0.16360,-0.63640,-0.05860
19.92190,42.79690,29.50000,1.01620,-0.17810,0.14570,-1.41020,-0.67110,-0.07280,0.75190,-0.16350,-0.63590,-0.05870
20.00000,42.89060,29.51560,1.01840,-0.17780,0.14660,-1.44070,-0.64050,0.11030,0.75230,-0.16330,-0.63550,-0.05900
20.01560,42.92190,29.56250,1.01860,-0.17770,0.14610,-1.41020,-0.45740,0.23240,0.75270,-0.16300,-0.63510,-0.05930
20.04690,43.00000,29.59380,1.01730,-0.17650,0.14570,-1.31860,-0.12170,0.29340,0.75240,-0.16260,-0.63550,-0.05990
20.07810,42.95310,29.64060,1.01450,-0.17470,0.14650,-1.25760,0.30550,0.23240,0.75280,-0.16240,-0.63500,-0.06010
20.12500,43.00000,29.62500,1.01260,-0.17410,0.14790,-1.34920,0.58020,0.14080,0.75330,-0.16220,-0.63450,-0.06040
20.09380,42.96880,29.67190,1.01200,-0.17420,0.14780,-1.65430,0.67170,0.04930,0.75380,-0.16230,-0.63390,-0.06040
20.14060,43.03120,29.67190,1.01180,-0.17520,0.14500,-2.02050,0.64120,0.04930,0.75330,-0.16270,-0.63430,-0.06040
20.10940,42.96880,29.70310,1.01150,-0.17700,0.14210,-2.20360,0.67170,0.07980,0.75290,-0.16320,-0.63470,-0.06030
20.12500,43.01560,29.73440,1.01170,-0.17820,0.14020,-2.05110,0.82430,0.14080,0.75250,-0.16360,-0.63510,-0.06020
20.15620,42.98440,29.79690,1.01210,-0.17950,0.13940,-1.68480,1.03790,0.07980,0.75210,-0.16420,-0.63540,-0.06000
20.06250,42.93750,29.65620,1.01210,-0.18060,0.13880,-1.16600,1.28210,-0.10330,0.75180,-0.16470,-0.63570,-0.05980
20.03120,42.89060,29.65620,1.01210,-0.18080,0.13780,-0.55570,1.46520,-0.25590,0.75140,-0.16510,-0.63600,-0.05960
20.07810,42.93750,29.64060,1.01310,-0.17930,0.13580,0.14620,1.49570,-0.31690,0.75110,-0.16520,-0.63650,-0.05950
20.10940,42.85940,29.67190,1.01400,-0.17660,0.13300,0.60400,1.34310,-0.25590,0.75070,-0.16510,-0.63690,-0.05960
20.09380,42.95310,29.67190,1.01400,-0.17450,0.13060,0.57350,1.09900,-0.19490,0.75030,-0.16490,-0.63740,-0.05980
20.06250,42.92190,29.67190,1.01390,-0.17430,0.12890,0.14620,0.79380,-0.16440,0.74990,-0.16490,-0.63790,-0.06000
20.09380,42.95310,29.67190,1.01250,-0.17580,0.12890,-0.43360,0.39710,-0.13380,0.74940,-0.16490,-0.63840,-0.06000
20.03120,42.89060,29.67190,1.01030,-0.17760,0.13110,-0.73880,0.06140,-0.07280,0.74900,-0.16530,-0.63890,-0.05990
20.06250,42.95310,29.67190,1.00900,-0.17880,0.13250,-0.64720,-0.21330,0.01880,0.74880,-0.16600,-0.63900,-0.05940
20.03120,42.92190,29.70310,1.00860,-0.17840,0.13230,-0.18950,-0.39640,0.07980,0.74830,-0.16620,-0.63950,-0.05930
20.06250,43.00000,29.67190,1.00990,-0.17590,0.13220,0.39040,-0.45740,0.20190,0.74840,-0.16550,-0.63940,-0.05990
20.04690,42.93750,29.65620,1.01210,-0.17290,0.13330,0.81760,-0.33540,0.32390,0.74860,-0.16470,-0.63940,-0.06040
20.10940,42.93750,29.65620,1.01350,-0.17080,0.13510,0.84810,-0.12170,0.41550,0.74880,-0.16400,-0.63930,-0.06090
20.00000,42.78120,29.57810,1.01300,-0.17020,0.13600,0.54290,0.06140,0.47650,0.74910,-0.16340,-0.63910,-0.06130
19.93750,42.70310,29.46880,1.01140,-0.17060,0.13650,0.08520,0.21400,0.59860,0.74950,-0.16290,-0.63870,-0.06160
19.90620,42.64060,29.40620,1.01070,-0.17120,0.13740,-0.34210,0.27500,0.72070,0.75000,-0.16290,-0.63810,-0.06160
19.89060,42.67190,29.37500,1.01180,-0.17090,0.13770,-0.61670,0.21400,0.72070,0.75030,-0.16240,-0.63780,-0.06210
19.87500,42.62500,29.42190,1.01260,-0.16930,0.13740,-0.61670,0.00030,0.65960,0.74990,-0.16210,-0.63830,-0.06240
19.85940,42.64060,29.40620,1.01250,-0.16840,0.13780,-0.55570,-0.33540,0.56810,0.75020,-0.16160,-0.63810,-0.06290
19.82810,42.56250,29.39060,1.01390,-0.16850,0.13790,-0.46410,-0.57950,0.50700,0.74980,-0.16220,-0.63850,-0.06250
19.87500,42.59380,29.39060,1.01670,-0.16810,0.13800,-0.37260,-0.70160,0.44600,0.74990,-0.16150,-0.63840,-0.06310
19.92190,42.64060,29.42190,1.01870,-0.16790,0.13800,-0.28100,-0.79310,0.32390,0.74960,-0.16090,-0.63880,-0.06360
20.00000,42.71880,29.50000,1.01910,-0.16770,0.13770,-0.18950,-0.85420,0.11030,0.74970,-0.16160,-0.63860,-0.06300
19.98440,42.73440,29.59380,1.01780,-0.16720,0.13790,-0.18950,-0.73210,-0.19490,0.74980,-0.16090,-0.63860,-0.06360
20.06250,42.81250,29.64060,1.01580,-0.16830,0.13950,-0.40310,-0.45740,-0.59160,0.75020,-0.16130,-0.63810,-0.06330
20.03120,42.81250,29.65620,1.01260,-0.17040,0.14180,-0.73880,-0.24380,-0.89680,0.75060,-0.16160,-0.63760,-0.06310
20.03120,42.82810,29.64060,1.00870,-0.17270,0.14350,-0.92190,-0.21330,-1.01880,0.75090,-0.16200,-0.63710,-0.06280
20.03120,42.82810,29.65620,1.00660,-0.17450,0.14390,-0.70830,-0.24380,-0.98830,0.75120,-0.16240,-0.63670,-0.06240
20.06250,42.89060,29.64060,1.00660,-0.17540,0.14380,-0.12840,-0.18280,-0.83570,0.75150,-0.16290,-0.63620,-0.06200
20.07810,42.84380,29.65620,1.00760,-0.17490,0.14440,0.54290,-0.06070,-0.65260,0.75190,-0.16330,-0.63580,-0.06150
20.06250,42.75000,29.64060,1.00900,-0.17310,0.14460,1.06170,0.00030,-0.50000,0.75240,-0.16310,-0.63520,-0.06150
19.92190,42.67190,29.54690,1.01150,-0.17160,0.14340,1.30590,-0.03020,-0.37800,0.75200,-0.16260,-0.63580,-0.06180
20.04690,42.81250,29.56250,1.01410,-0.17090,0.14170,1.30590,-0.18280,-0.28640,0.75160,-0.16230,-0.63630,-0.06200
19.98440,42.76560,29.60940,1.01480,-0.16950,0.14070,1.15330,-0.30480,-0.22540,0.75120,-0.16190,-0.63690,-0.06230
20.04690,42.85940,29.62500,1.01500,-0.16870,0.14150,0.90910,-0.33540,-0.19490,0.75110,-0.16110,-0.63710,-0.06290
20.04690,42.79690,29.67190,1.01500,-0.16850,0.14260,0.66500,-0.24380,-0.13380,0.75150,-0.16110,-0.63660,-0.06280
20.06250,42.82810,29.65620,1.01470,-0.16720,0.14260,0.48190,-0.09120,-0.01180,0.75140,-0.16040,-0.63690,-0.06340
20.04690,42.78120,29.65620,1.01570,-0.16600,0.14120,0.39040,0.09190,0.04930,0.75090,-0.16030,-0.63750,-0.06350
20.07810,42.84380,29.59380,1.01790,-0.16540,0.14110,0.26830,0.18340,0.04930,0.75070,-0.15970,-0.63790,-0.06410
20.07810,42.84380,29.60940,1.01860,-0.16520,0.14170,-0.03690,0.33600,-0.04230,0.75110,-0.15990,-0.63730,-0.06380
20.06250,42.85940,29.59380,1.01720,-0.16500,0.14160,-0.58620,0.45810,-0.16440,0.75070,-0.15970,-0.63780,-0.06410
20.03120,42.84380,29.57810,1.01540,-0.16560,0.14110,-1.10500,0.42760,-0.28640,0.75100,-0.16040,-0.63740,-0.06360
20.04690,42.85940,29.53120,1.01390,-0.16770,0.13980,-1.44070,0.21400,-0.43900,0.75070,-0.16110,-0.63760,-0.06320
