hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
18.71880,41.25000,28.42190,1.01430,-0.01020,0.24240,-0.83040,-0.51850,0.38500,0.62370,-0.38220,-0.48710,-0.47720
18.71880,41.23440,28.37500,1.01360,-0.01100,0.24350,-0.89140,-0.64050,0.29340,0.62330,-0.38160,-0.48740,-0.47780
18.65620,41.09380,28.32810,1.01280,-0.01320,0.24490,-0.89140,-0.76260,0.20190,0.62380,-0.38200,-0.48680,-0.47750
18.42190,40.95310,28.01560,1.01150,-0.01510,0.24420,-0.73880,-0.97620,0.14080,0.62410,-0.38260,-0.48630,-0.47710
18.59380,41.00000,28.21880,1.01120,-0.01580,0.24320,-0.61670,-1.12880,0.11030,0.62420,-0.38340,-0.48610,-0.47650
18.78120,41.26560,28.37500,1.01010,-0.01730,0.24230,-0.28100,-1.40350,0.17130,0.62440,-0.38420,-0.48580,-0.47590
18.71880,41.18750,28.40620,1.00850,-0.01820,0.24330,-0.00640,-1.67810,0.23240,0.62480,-0.38390,-0.48540,-0.47610
18.85940,41.29690,28.54690,1.00760,-0.01590,0.24530,0.11570,-1.76970,0.20190,0.62480,-0.38340,-0.48540,-0.47650
18.73440,41.25000,28.51560,1.00900,-0.01270,0.24570,0.17670,-1.70870,0.11030,0.62460,-0.38270,-0.48570,-0.47700
18.98440,41.56250,28.60940,1.01040,-0.01190,0.24370,0.23780,-1.46450,0.01880,0.62410,-0.38230,-0.48640,-0.47730
19.25000,41.71880,28.85940,1.00990,-0.01240,0.24230,0.26830,-1.22040,-0.04230,0.62350,-0.38240,-0.48710,-0.47730
19.28120,41.78120,28.93750,1.00820,-0.01330,0.24370,0.26830,-0.88470,-0.07280,0.62400,-0.38230,-0.48650,-0.47730
19.32810,41.78120,28.98440,1.00690,-0.01450,0.24620,0.42090,-0.51850,-0.07280,0.62440,-0.38210,-0.48600,-0.47740
19.37500,41.87500,29.01560,1.00690,-0.01590,0.24760,0.72600,-0.27430,-0.10330,0.62490,-0.38200,-0.48550,-0.47740
19.40620,41.85940,29.06250,1.00690,-0.01650,0.24820,1.12280,-0.24380,-0.16440,0.62540,-0.38200,-0.48490,-0.47730
19.39060,41.85940,29.04690,1.00660,-0.01560,0.24970,1.48900,-0.45740,-0.34750,0.62580,-0.38160,-0.48450,-0.47750
19.34380,41.82810,29.07810,1.00750,-0.01330,0.25100,1.82470,-0.76260,-0.62210,0.62590,-0.38090,-0.48450,-0.47790
19.39060,41.87500,29.06250,1.00970,-0.01140,0.25080,2.00780,-1.06780,-0.80520,0.62570,-0.38010,-0.48500,-0.47840
19.26560,41.71880,29.03120,1.01150,-0.01130,0.25000,1.94670,-1.28140,-0.80520,0.62510,-0.37990,-0.48580,-0.47840
19.15620,41.62500,28.89060,1.01200,-0.01250,0.25030,1.73310,-1.31190,-0.77470,0.62560,-0.38020,-0.48530,-0.47800
19.12500,41.60940,28.84380,1.01150,-0.01480,0.25130,1.48900,-1.18990,-0.74420,0.62610,-0.38040,-0.48480,-0.47770
19.09380,41.51560,28.79690,1.00960,-0.01700,0.25100,1.36690,-1.03730,-0.65260,0.62650,-0.38080,-0.48440,-0.47730
18.98440,41.40620,28.71880,1.00730,-0.01680,0.25000,1.42790,-0.91520,-0.50000,0.62690,-0.38130,-0.48390,-0.47680
18.95310,41.35940,28.67190,1.00620,-0.01650,0.24950,1.64160,-0.79310,-0.34750,0.62650,-0.38070,-0.48460,-0.47710
18.67190,41.14060,28.56250,1.00730,-0.01660,0.24840,1.82470,-0.70160,-0.25590,0.62660,-0.38130,-0.48470,-0.47650
18.68750,41.12500,28.50000,1.00930,-0.01500,0.24750,1.88570,-0.57950,-0.25590,0.62610,-0.38110,-0.48550,-0.47650
18.70310,41.15620,28.43750,1.01170,-0.01290,0.24680,1.79420,-0.42690,-0.19490,0.62560,-0.38070,-0.48620,-0.47670
18.82810,41.35940,28.50000,1.01360,-0.01250,0.24560,1.61110,-0.30480,-0.10330,0.62520,-0.38080,-0.48690,-0.47650
19.03120,41.43750,28.67190,1.01350,-0.01430,0.24400,1.27540,-0.12170,-0.07280,0.62510,-0.38130,-0.48710,-0.47600
19.07810,41.50000,28.75000,1.01190,-0.01580,0.24310,0.93970,0.06140,-0.10330,0.62520,-0.38200,-0.48700,-0.47540
19.10940,41.50000,28.76560,1.01130,-0.01590,0.24180,0.69550,0.18340,-0.10330,0.62500,-0.38250,-0.48730,-0.47500
19.26560,41.68750,28.87500,1.01140,-0.01480,0.24100,0.63450,0.27500,-0.07280,0.62460,-0.38230,-0.48790,-0.47510
19.39060,41.78120,29.01560,1.01190,-0.01270,0.24150,0.69550,0.36650,-0.01180,0.62440,-0.38150,-0.48820,-0.47560
19.46880,41.79690,29.12500,1.01180,-0.01120,0.24180,0.75660,0.36650,0.11030,0.62420,-0.38080,-0.48860,-0.47610
19.46880,41.85940,29.12500,1.01100,-0.01040,0.24180,0.63450,0.30550,0.17130,0.62370,-0.38030,-0.48920,-0.47640
19.46880,41.85940,29.14060,1.01030,-0.01010,0.24110,0.32930,0.18340,0.23240,0.62420,-0.38090,-0.48870,-0.47590
19.45310,41.89060,29.10940,1.01020,-0.00970,0.23960,-0.03690,0.00030,0.26290,0.62370,-0.38100,-0.48930,-0.47590
19.35940,41.79690,29.06250,1.01020,-0.00990,0.23770,-0.34210,-0.15230,0.23240,0.62330,-0.38140,-0.48970,-0.47560
19.34380,41.78120,29.03120,1.00920,-0.01120,0.23620,-0.55570,-0.27430,0.14080,0.62320,-0.38200,-0.48990,-0.47520
19.42190,41.79690,29.03120,1.00880,-0.01290,0.23710,-0.64720,-0.39640,-0.04230,0.62360,-0.38250,-0.48930,-0.47480
19.45310,41.82810,29.06250,1.00870,-0.01350,0.23940,-0.58620,-0.48800,-0.25590,0.62400,-0.38230,-0.48870,-0.47500
19.45310,41.78120,29.07810,1.00810,-0.01350,0.24040,-0.46410,-0.54900,-0.40850,0.62430,-0.38200,-0.48830,-0.47530
19.29690,41.68750,28.92190,1.00740,-0.01300,0.24010,-0.18950,-0.51850,-0.43900,0.62440,-0.38150,-0.48810,-0.47570
19.15620,41.60940,28.81250,1.00840,-0.01160,0.23980,0.14620,-0.51850,-0.37800,0.62390,-0.38150,-0.48870,-0.47570
19.10940,41.59380,28.75000,1.00980,-0.01030,0.23960,0.45140,-0.64050,-0.25590,0.62340,-0.38100,-0.48940,-0.47610
19.10940,41.60940,28.78120,1.01010,-0.00960,0.23940,0.51240,-0.76260,-0.19490,0.62380,-0.38170,-0.48900,-0.47550
19.12500,41.65620,28.75000,1.01010,-0.00840,0.24010,0.26830,-0.85420,-0.25590,0.62350,-0.38100,-0.48940,-0.47600
