hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
15.17190,36.84380,23.28120,1.00760,-0.09330,0.18020,-1.22710,0.73270,0.84270,0.74690,-0.20210,-0.60940,-0.17290
15.04690,36.96880,23.32810,1.00480,-0.09210,0.17850,-1.25760,0.82430,0.81220,0.74650,-0.20200,-0.60990,-0.17320
15.04690,36.95310,23.25000,1.00330,-0.09240,0.17840,-1.28810,0.73270,0.65960,0.74610,-0.20230,-0.61030,-0.17310
15.21880,37.12500,23.20310,1.00320,-0.09350,0.17900,-1.41020,0.54960,0.26290,0.74660,-0.20240,-0.60970,-0.17310
15.23440,36.87500,23.29690,1.00350,-0.09390,0.17830,-1.59330,0.36650,-0.25590,0.74630,-0.20310,-0.60990,-0.17270
15.14060,37.03120,23.34380,1.00420,-0.09470,0.17670,-1.65430,0.21400,-0.77470,0.74580,-0.20330,-0.61040,-0.17280
14.93750,36.98440,23.15620,1.00360,-0.09580,0.17680,-1.53230,0.15290,-1.11040,0.74610,-0.20390,-0.60990,-0.17250
15.17190,37.04690,23.25000,1.00290,-0.09710,0.17780,-1.28810,0.12240,-1.29350,0.74650,-0.20430,-0.60930,-0.17230
15.21880,36.98440,23.14060,1.00380,-0.09950,0.17680,-1.10500,0.12240,-1.47660,0.74630,-0.20490,-0.60950,-0.17190
15.12500,36.93750,23.25000,1.00580,-0.10140,0.17580,-1.13550,0.18340,-1.75130,0.74610,-0.20550,-0.60970,-0.17160
15.09380,37.03120,23.26560,1.00820,-0.10360,0.17640,-1.34920,0.39710,-2.02590,0.74610,-0.20620,-0.60960,-0.17110
15.04690,37.14060,23.04690,1.01140,-0.10650,0.17730,-1.56280,0.61070,-2.20900,0.74620,-0.20690,-0.60930,-0.17080
15.15620,37.12500,23.14060,1.01370,-0.10860,0.17770,-1.62380,0.70220,-2.30060,0.74620,-0.20770,-0.60910,-0.17040
15.35940,37.09380,23.26560,1.01450,-0.10970,0.17720,-1.56280,0.73270,-2.23950,0.74620,-0.20840,-0.60900,-0.17000
15.15620,37.04690,23.37500,1.01500,-0.11050,0.17570,-1.56280,0.76330,-2.08700,0.74600,-0.20900,-0.60910,-0.16970
15.25000,37.18750,23.29690,1.01620,-0.11150,0.17410,-1.68480,0.70220,-2.05640,0.74570,-0.20950,-0.60940,-0.16950
15.23440,37.20310,23.25000,1.01640,-0.11260,0.17310,-1.80690,0.48860,-2.08700,0.74530,-0.21010,-0.60960,-0.16930
15.42190,37.15620,23.31250,1.01590,-0.11440,0.17370,-1.92900,0.18340,-2.11750,0.74530,-0.21080,-0.60960,-0.16890
15.23440,37.00000,23.34380,1.01570,-0.11710,0.17510,-2.14260,-0.06070,-2.02590,0.74550,-0.21150,-0.60920,-0.16860
15.00000,36.90620,23.21880,1.01410,-0.11950,0.17590,-2.32570,-0.21330,-1.84280,0.74570,-0.21220,-0.60880,-0.16830
15.04690,37.07810,23.09380,1.01140,-0.12120,0.17480,-2.35620,-0.33540,-1.56820,0.74580,-0.21290,-0.60850,-0.16790
15.29690,37.12500,23.25000,1.00980,-0.12110,0.17370,-2.29520,-0.45740,-1.29350,0.74580,-0.21380,-0.60830,-0.16750
15.28120,37.00000,23.26560,1.00990,-0.11980,0.17480,-2.17310,-0.51850,-1.01880,0.74610,-0.21420,-0.60780,-0.16730
15.06250,37.03120,23.20310,1.01120,-0.11980,0.17670,-1.95950,-0.51850,-0.86630,0.74650,-0.21400,-0.60730,-0.16760
15.10940,37.07810,23.18750,1.01200,-0.12020,0.17880,-1.74590,-0.54900,-0.89680,0.74690,-0.21400,-0.60680,-0.16780
15.25000,37.23440,23.23440,1.01210,-0.11940,0.18020,-1.50170,-0.61000,-1.07990,0.74720,-0.21370,-0.60640,-0.16820
15.31250,37.04690,23.29690,1.01150,-0.11890,0.18010,-1.19660,-0.64050,-1.29350,0.74750,-0.21330,-0.60600,-0.16860
15.32810,37.14060,23.35940,1.01140,-0.11900,0.18010,-0.83040,-0.57950,-1.38510,0.74730,-0.21400,-0.60620,-0.16820
15.21880,37.07810,23.39060,1.01170,-0.11910,0.18120,-0.46410,-0.54900,-1.35450,0.74760,-0.21350,-0.60580,-0.16860
15.31250,37.26560,23.37500,1.01180,-0.11980,0.18220,-0.22000,-0.57950,-1.32400,0.74800,-0.21360,-0.60530,-0.16850
15.32810,37.17190,23.37500,1.01260,-0.12070,0.18230,-0.15900,-0.70160,-1.32400,0.74820,-0.21430,-0.60510,-0.16800
15.51560,37.26560,23.48440,1.01350,-0.12080,0.18210,-0.34210,-0.82360,-1.35450,0.74770,-0.21370,-0.60560,-0.16860
15.29690,37.14060,23.50000,1.01400,-0.12010,0.18190,-0.46410,-0.79310,-1.35450,0.74810,-0.21400,-0.60520,-0.16830
15.32810,37.23440,23.42190,1.01640,-0.11980,0.18160,-0.40310,-0.70160,-1.26300,0.74760,-0.21370,-0.60580,-0.16870
15.28120,37.21880,23.40620,1.02020,-0.12000,0.17990,-0.22000,-0.64050,-1.11040,0.74710,-0.21380,-0.60640,-0.16870
15.43750,37.14060,23.42190,1.02350,-0.11970,0.17900,-0.06740,-0.54900,-0.86630,0.74660,-0.21380,-0.60700,-0.16870
15.23440,37.01560,23.43750,1.02690,-0.11910,0.17800,-0.00640,-0.36590,-0.71370,0.74610,-0.21380,-0.60760,-0.16890
15.29690,37.12500,23.46880,1.02980,-0.11830,0.17610,-0.00640,-0.18280,-0.62210,0.74560,-0.21370,-0.60820,-0.16900
15.26560,37.14060,23.32810,1.03110,-0.11790,0.17630,-0.03690,-0.15230,-0.59160,0.74510,-0.21350,-0.60880,-0.16920
15.07810,36.82810,23.10940,1.03160,-0.11890,0.17750,0.05470,-0.30480,-0.53060,0.74550,-0.21370,-0.60820,-0.16900
