hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
14.07810,35.17190,22.79690,1.01390,-0.13720,0.13500,0.57350,0.39710,-0.37800,0.34090,-0.62260,-0.21910,-0.66950
14.12500,34.98440,22.82810,1.01320,-0.13780,0.13680,-0.09790,0.42760,0.23240,0.34140,-0.62220,-0.21860,-0.66970
14.23440,34.95310,22.78120,1.01560,-0.13750,0.13610,-0.83040,0.24450,0.78170,0.34180,-0.62190,-0.21810,-0.67000
14.12500,34.87500,23.00000,1.01940,-0.13730,0.13490,-1.50170,-0.15230,1.08690,0.34140,-0.62240,-0.21830,-0.66970
14.04690,34.95310,22.78120,1.02330,-0.13910,0.13390,-1.89850,-0.51850,0.96480,0.34140,-0.62300,-0.21800,-0.66910
14.10940,35.09380,22.64060,1.02680,-0.14240,0.13340,-1.83740,-0.64050,0.26290,0.34170,-0.62360,-0.21740,-0.66870
14.25000,34.87500,22.71880,1.02910,-0.14340,0.13320,-1.37970,-0.51850,-0.71370,0.34200,-0.62410,-0.21690,-0.66820
14.09380,34.76560,22.79690,1.02830,-0.14220,0.13340,-0.67780,-0.15230,-1.53760,0.34150,-0.62360,-0.21740,-0.66870
13.79690,34.71880,22.65620,1.02470,-0.14080,0.13350,0.08520,0.33600,-1.84280,0.34140,-0.62300,-0.21760,-0.66930
14.07810,34.90620,22.67190,1.02170,-0.13960,0.13270,0.72600,0.79380,-1.69020,0.34120,-0.62340,-0.21780,-0.66900
14.06250,34.90620,22.56250,1.02090,-0.13900,0.13270,0.93970,1.03790,-1.29350,0.34060,-0.62340,-0.21860,-0.66900
14.31250,34.85940,22.81250,1.02120,-0.13910,0.13320,0.51240,0.88530,-0.95780,0.34110,-0.62320,-0.21800,-0.66910
14.00000,34.79690,22.75000,1.02060,-0.13960,0.13320,-0.40310,0.45810,-0.74420,0.34170,-0.62340,-0.21730,-0.66890
14.04690,34.82810,22.79690,1.01920,-0.14030,0.13360,-1.28810,0.00030,-0.62210,0.34170,-0.62290,-0.21720,-0.66940
14.01560,35.00000,22.59380,1.01900,-0.14100,0.13580,-1.83740,-0.36590,-0.50000,0.34200,-0.62270,-0.21660,-0.66960
14.31250,35.00000,22.75000,1.02010,-0.14250,0.13790,-1.95950,-0.54900,-0.31690,0.34230,-0.62240,-0.21610,-0.66990
14.25000,34.93750,22.87500,1.02190,-0.14370,0.13800,-1.77640,-0.54900,-0.04230,0.34280,-0.62240,-0.21530,-0.66990
14.26560,35.10940,22.98440,1.02580,-0.14390,0.13720,-1.44070,-0.39640,0.11030,0.34240,-0.62290,-0.21560,-0.66960
14.23440,35.21880,22.87500,1.02780,-0.14370,0.13570,-1.01350,-0.09120,-0.07280,0.34200,-0.62330,-0.21590,-0.66930
14.50000,35.25000,22.92190,1.02520,-0.14250,0.13390,-0.43360,0.27500,-0.62210,0.34150,-0.62370,-0.21630,-0.66900
14.40620,35.06250,22.92190,1.02050,-0.14040,0.13190,0.14620,0.58020,-1.11040,0.34090,-0.62390,-0.21690,-0.66890
14.32810,35.09380,23.09380,1.01590,-0.13930,0.13080,0.54290,0.85480,-1.23250,0.34050,-0.62420,-0.21740,-0.66870
14.15620,35.18750,22.90620,1.01360,-0.13850,0.13100,0.63450,1.03790,-0.95780,0.34070,-0.62360,-0.21730,-0.66920
14.29690,35.31250,22.93750,1.01390,-0.13760,0.12940,0.32930,1.09900,-0.65260,0.34040,-0.62390,-0.21760,-0.66890
14.34380,35.15620,22.89060,1.01340,-0.13850,0.12740,-0.43360,0.91590,-0.43900,0.34020,-0.62440,-0.21770,-0.66850
14.40620,35.17190,23.09380,1.01190,-0.13980,0.12720,-1.34920,0.61070,-0.37800,0.34030,-0.62500,-0.21730,-0.66810
14.15620,35.15620,23.09380,1.01080,-0.14140,0.12690,-2.14260,0.24450,-0.40850,0.34060,-0.62550,-0.21670,-0.66770
14.25000,35.34380,22.92190,1.01030,-0.14260,0.12660,-2.38670,0.06140,-0.43900,0.34090,-0.62600,-0.21600,-0.66730
14.31250,35.17190,22.90620,1.01120,-0.14510,0.12570,-2.60040,-0.30480,-0.46950,0.34110,-0.62650,-0.21530,-0.66690
14.42190,35.07810,22.96880,1.01400,-0.14710,0.12500,-2.32570,-0.45740,-0.53060,0.34130,-0.62710,-0.21480,-0.66640
14.12500,35.00000,23.12500,1.01620,-0.14840,0.12560,-1.71540,-0.51850,-0.62210,0.34180,-0.62740,-0.21400,-0.66620
14.25000,35.29690,23.07810,1.01790,-0.14860,0.12560,-0.92190,-0.48800,-0.62210,0.34100,-0.62740,-0.21470,-0.66630
14.35940,35.28120,22.95310,1.01870,-0.14860,0.12550,-0.15900,-0.42690,-0.62210,0.34160,-0.62750,-0.21400,-0.66620
14.45310,35.12500,23.00000,1.01810,-0.14880,0.12530,0.48190,-0.30480,-0.68320,0.34110,-0.62770,-0.21460,-0.66600
