hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
-21.39060,-22.50000,-21.45310,0.94450,-0.25960,0.35740,2.28240,-0.24380,0.96480,0.43750,-0.54870,-0.16670,-0.69260
-21.21880,-22.25000,-21.62500,0.94340,-0.25710,0.35520,1.79420,0.03080,0.99530,0.43710,-0.54870,-0.16750,-0.69260
-21.39060,-22.73440,-21.65620,0.94380,-0.25460,0.35390,1.30590,0.00030,0.56810,0.43670,-0.54880,-0.16830,-0.69270
-21.50000,-22.73440,-22.01560,0.94470,-0.25330,0.35420,1.03120,-0.42690,0.17130,0.43620,-0.54870,-0.16920,-0.69280
-21.51560,-22.70310,-21.73440,0.94480,-0.25350,0.35480,1.12280,-1.12880,0.14080,0.43600,-0.54820,-0.16980,-0.69320
-21.25000,-22.45310,-21.62500,0.94530,-0.25360,0.35390,1.58050,-1.92230,0.29340,0.43610,-0.54880,-0.16980,-0.69260
-21.65620,-22.71880,-21.81250,0.94650,-0.25140,0.35220,1.97730,-2.31900,0.35440,0.43570,-0.54910,-0.17060,-0.69240
-21.31250,-22.64060,-21.76560,0.94710,-0.24870,0.35250,1.97730,-2.19690,0.07980,0.43530,-0.54890,-0.17160,-0.69260
-21.59380,-22.70310,-21.82810,0.94630,-0.24800,0.35320,1.79420,-1.80020,-0.56110,0.43510,-0.54840,-0.17220,-0.69300
-21.43750,-22.53120,-21.71880,0.94500,-0.25040,0.35330,1.55000,-1.43400,-1.14090,0.43570,-0.54840,-0.17160,-0.69280
-21.45310,-22.46880,-21.75000,0.94390,-0.25230,0.35280,1.27540,-1.18990,-1.41560,0.43610,-0.54860,-0.17100,-0.69250
-21.18750,-22.40620,-21.73440,0.94480,-0.25200,0.35170,0.97020,-0.91520,-1.62920,0.43610,-0.54920,-0.17100,-0.69200
-21.28120,-22.54690,-21.67190,0.94740,-0.25260,0.35030,0.66500,-0.67110,-1.65970,0.43580,-0.54980,-0.17130,-0.69170
-21.18750,-22.39060,-21.51560,0.94610,-0.25260,0.35080,0.45140,-0.39640,-1.14090,0.43630,-0.54960,-0.17070,-0.69180
-21.31250,-22.34380,-21.56250,0.94300,-0.25260,0.35060,0.48190,-0.12170,-0.22540,0.43670,-0.54920,-0.17020,-0.69190
-21.14060,-22.25000,-21.57810,0.94340,-0.25160,0.34840,0.72600,-0.12170,0.75120,0.43640,-0.54960,-0.17070,-0.69160
-21.12500,-22.46880,-21.60940,0.94710,-0.24750,0.34840,1.12280,-0.57950,1.48360,0.43600,-0.54970,-0.17150,-0.69160
-21.09380,-22.39060,-21.42190,0.95180,-0.24470,0.35000,1.42790,-1.06780,1.39200,0.43560,-0.54960,-0.17230,-0.69170
-21.28120,-22.45310,-21.53120,0.95210,-0.24470,0.35300,1.42790,-0.85420,0.41550,0.43530,-0.54920,-0.17310,-0.69200
-21.15620,-22.23440,-21.68750,0.94860,-0.24610,0.35480,0.93970,0.21400,-1.01880,0.43530,-0.54850,-0.17330,-0.69250
-21.15620,-22.50000,-21.71880,0.94380,-0.24870,0.35390,0.08520,1.09900,-2.05640,0.43560,-0.54810,-0.17280,-0.69280
-21.00000,-22.45310,-21.65620,0.94030,-0.25320,0.35210,-0.70830,0.88530,-2.30060,0.43600,-0.54820,-0.17210,-0.69270
-21.32810,-22.56250,-21.65620,0.94200,-0.25590,0.35030,-1.07450,-0.18280,-2.08700,0.43620,-0.54860,-0.17150,-0.69230
-21.17190,-22.29690,-21.70310,0.94670,-0.25600,0.34940,-1.07450,-1.25090,-1.56820,0.43620,-0.54930,-0.17110,-0.69190
-21.26560,-22.39060,-21.79690,0.95190,-0.25720,0.35020,-0.95240,-1.61710,-0.89680,0.43610,-0.55000,-0.17090,-0.69140
-21.04690,-22.43750,-21.75000,0.95370,-0.25930,0.35300,-0.86090,-0.88470,-0.16440,0.43650,-0.55040,-0.17010,-0.69100
-21.28120,-22.57810,-21.68750,0.94980,-0.26110,0.35740,-0.70830,0.45810,0.75120,0.43700,-0.55010,-0.16950,-0.69120
-21.21880,-22.39060,-21.73440,0.94590,-0.26110,0.35910,-0.46410,1.19050,1.57510,0.43750,-0.54960,-0.16880,-0.69140
-21.39060,-22.37500,-21.85940,0.94610,-0.26120,0.35640,-0.09790,0.91590,1.84980,0.43810,-0.54930,-0.16810,-0.69140
-21.03120,-22.32810,-21.87500,0.94780,-0.26190,0.35330,0.20720,0.30550,1.66670,0.43830,-0.54990,-0.16770,-0.69090
-21.17190,-22.56250,-21.79690,0.95070,-0.26180,0.35080,0.42090,0.18340,1.30050,0.43810,-0.55050,-0.16790,-0.69050
-21.07810,-22.39060,-21.76560,0.95100,-0.26120,0.34920,0.45140,0.91590,0.93430,0.43790,-0.55090,-0.16820,-0.69030
-21.17190,-22.35940,-21.93750,0.94560,-0.26220,0.35090,-0.03690,2.13660,0.53760,0.43850,-0.55090,-0.16730,-0.69010
-20.85940,-22.20310,-22.00000,0.94110,-0.26870,0.35040,-0.98290,1.83140,0.35440,0.43900,-0.55100,-0.16640,-0.68990
