hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
14.79690,35.87500,25.78120,0.99100,-0.26500,0.17800,1.85520,-1.15930,-0.77470,0.68090,-0.43150,-0.47850,-0.34810
14.76560,35.84380,25.71880,0.99050,-0.26670,0.17790,1.91620,-0.64050,-0.74420,0.68140,-0.43150,-0.47800,-0.34780
14.45310,35.67190,25.51560,0.98870,-0.26770,0.17790,1.91620,-0.12170,-0.62210,0.68190,-0.43180,-0.47750,-0.34720
14.53120,35.50000,25.46880,0.98640,-0.26740,0.17780,1.82470,0.24450,-0.46950,0.68240,-0.43190,-0.47690,-0.34680
14.53120,35.60940,25.37500,0.98530,-0.26590,0.17640,1.55000,0.36650,-0.28640,0.68200,-0.43170,-0.47760,-0.34700
14.35940,35.57810,25.54690,0.98680,-0.26510,0.17560,1.12280,0.27500,-0.13380,0.68150,-0.43160,-0.47820,-0.34720
14.48440,35.64060,25.50000,0.99030,-0.26530,0.17640,0.72600,0.06140,0.01880,0.68110,-0.43120,-0.47890,-0.34750
14.53120,35.76560,25.34380,0.99380,-0.26640,0.17750,0.42090,-0.09120,0.07980,0.68160,-0.43130,-0.47820,-0.34730
14.70310,35.71880,25.56250,0.99610,-0.26700,0.17800,0.26830,-0.15230,-0.01180,0.68120,-0.43110,-0.47890,-0.34750
14.75000,35.78120,25.68750,0.99780,-0.26650,0.17860,0.29880,-0.18280,-0.19490,0.68150,-0.43070,-0.47860,-0.34780
14.65620,35.78120,25.68750,0.99920,-0.26680,0.18050,0.48190,-0.15230,-0.31690,0.68190,-0.43030,-0.47820,-0.34800
14.76560,35.95310,25.64060,0.99860,-0.26690,0.18340,0.60400,-0.12170,-0.22540,0.68240,-0.42990,-0.47780,-0.34810
14.85940,35.89060,25.67190,0.99550,-0.26530,0.18510,0.42090,-0.09120,-0.01180,0.68280,-0.42950,-0.47750,-0.34840
14.85940,35.82810,25.75000,0.99190,-0.26290,0.18470,-0.28100,0.03080,0.32390,0.68300,-0.42890,-0.47730,-0.34880
14.76560,35.85940,25.78120,0.99040,-0.26120,0.18280,-1.34920,0.45810,0.78170,0.68250,-0.42870,-0.47790,-0.34930
14.79690,36.01560,25.71880,0.99080,-0.26060,0.18060,-2.50880,1.12950,1.27000,0.68210,-0.42900,-0.47820,-0.34930
14.79690,36.00000,25.62500,0.98990,-0.26160,0.17800,-3.42430,1.92290,1.60570,0.68170,-0.42970,-0.47830,-0.34920
14.95310,35.93750,25.67190,0.98760,-0.26270,0.17410,-3.66850,2.56380,1.84980,0.68140,-0.43030,-0.47830,-0.34900
14.76560,35.84380,25.70310,0.98650,-0.26150,0.17130,-3.14970,2.80790,1.94140,0.68100,-0.43090,-0.47830,-0.34890
14.73440,35.98440,25.76560,0.98600,-0.25840,0.17010,-1.95950,2.65540,1.94140,0.68060,-0.43110,-0.47860,-0.34900
14.76560,36.01560,25.62500,0.98420,-0.25480,0.16910,-0.58620,2.19760,1.75830,0.68020,-0.43120,-0.47900,-0.34920
14.90620,35.96880,25.62500,0.98220,-0.25130,0.16850,0.57350,1.43470,1.30050,0.67990,-0.43100,-0.47960,-0.34940
14.82810,35.84380,25.65620,0.98150,-0.24920,0.16820,1.15330,0.48860,0.65960,0.67950,-0.43070,-0.48020,-0.34960
14.78120,35.92190,25.75000,0.98120,-0.24910,0.16860,1.27540,-0.36590,-0.04230,0.67900,-0.43040,-0.48090,-0.34990
14.71880,35.98440,25.70310,0.98010,-0.25140,0.16980,1.30590,-0.82360,-0.71370,0.67850,-0.43000,-0.48170,-0.35020
14.81250,35.96880,25.60940,0.98050,-0.25460,0.17070,1.64160,-0.88470,-1.23250,0.67880,-0.43050,-0.48130,-0.34960
14.84380,35.85940,25.60940,0.98240,-0.25670,0.17230,2.37400,-0.73210,-1.56820,0.67930,-0.43040,-0.48080,-0.34940
14.81250,35.87500,25.75000,0.98500,-0.25690,0.17530,3.16740,-0.48800,-1.81230,0.67980,-0.42980,-0.48060,-0.34950
14.68750,35.90620,25.73440,0.98820,-0.25580,0.17680,3.47260,-0.39640,-2.08700,0.68010,-0.42890,-0.48070,-0.34990
14.75000,36.04690,25.62500,0.99060,-0.25540,0.17590,3.01490,-0.39640,-2.39210,0.67960,-0.42840,-0.48150,-0.35030
14.78120,35.92190,25.62500,0.99270,-0.25710,0.17420,1.79420,-0.36590,-2.63630,0.67950,-0.42880,-0.48170,-0.34980
14.84380,35.84380,25.71880,0.99420,-0.26170,0.17360,0.26830,-0.27430,-2.66680,0.67950,-0.42940,-0.48150,-0.34940
14.68750,35.84380,25.76560,0.99440,-0.26870,0.17420,-0.98290,-0.09120,-2.42270,0.67960,-0.42990,-0.48110,-0.34900
14.73440,36.03120,25.68750,0.99390,-0.27510,0.17420,-1.50170,0.06140,-1.93440,0.67980,-0.43050,-0.48060,-0.34850
14.79690,36.01560,25.57810,0.99360,-0.27820,0.17410,-1.25760,0.03080,-1.20200,0.68000,-0.43110,-0.48020,-0.34810
14.93750,35.93750,25.62500,0.99370,-0.27720,0.17410,-0.49470,-0.15230,-0.37800,0.68020,-0.43180,-0.47970,-0.34750
14.79690,35.89060,25.75000,0.99440,-0.27290,0.17330,0.29880,-0.30480,0.44600,0.68040,-0.43240,-0.47930,-0.34690
14.78120,36.01560,25.82810,0.99550,-0.26750,0.17350,0.78710,-0.36590,1.14790,0.68000,-0.43280,-0.47970,-0.34660
14.75000,36.06250,25.62500,0.99610,-0.26250,0.17460,0.81760,-0.42690,1.57510,0.68000,-0.43210,-0.48000,-0.34700
14.93750,36.01560,25.59380,0.99550,-0.25850,0.17470,0.45140,-0.45740,1.57510,0.67990,-0.43150,-0.48030,-0.34750
14.87500,35.87500,25.68750,0.99450,-0.25690,0.17440,-0.06740,-0.45740,1.27000,0.67980,-0.43090,-0.48070,-0.34800
14.78120,36.00000,25.75000,0.99270,-0.25770,0.17390,-0.49470,-0.42690,0.78170,0.67960,-0.43040,-0.48110,-0.34860
14.68750,36.06250,25.62500,0.98880,-0.26060,0.17480,-0.58620,-0.39640,0.29340,0.68010,-0.43050,-0.48040,-0.34840
14.87500,36.09380,25.54690,0.98390,-0.26370,0.17720,-0.31160,-0.42690,-0.07280,0.68050,-0.43060,-0.47980,-0.34820
14.92190,35.92190,25.65620,0.98040,-0.26460,0.17860,0.20720,-0.61000,-0.19490,0.68100,-0.43070,-0.47920,-0.34800
14.84380,35.95310,25.73440,0.97900,-0.26290,0.17890,0.69550,-0.85420,-0.10330,0.68150,-0.43060,-0.47870,-0.34790
14.71880,36.00000,25.75000,0.98020,-0.26020,0.17840,0.87860,-1.03730,0.04930,0.68180,-0.43000,-0.47860,-0.34820
14.85940,36.14060,25.59380,0.98400,-0.25840,0.17860,0.60400,-1.00680,0.23240,0.68160,-0.42940,-0.47900,-0.34870
14.92190,35.96880,25.53120,0.98930,-0.25840,0.18000,0.08520,-0.64050,0.32390,0.68160,-0.42870,-0.47930,-0.34930
14.92190,35.96880,25.71880,0.99340,-0.25980,0.18020,-0.43360,-0.03020,0.29340,0.68110,-0.42840,-0.47990,-0.34970
14.73440,35.96880,25.76560,0.99540,-0.26120,0.17810,-0.70830,0.51910,0.14080,0.68100,-0.42910,-0.47980,-0.34920
14.81250,36.15620,25.62500,0.99580,-0.26250,0.17610,-0.67780,0.85480,-0.10330,0.68070,-0.42960,-0.47990,-0.34890
14.85940,36.07810,25.53120,0.99420,-0.26450,0.17400,-0.40310,0.88530,-0.28640,0.68060,-0.43020,-0.47990,-0.34840
14.92190,35.93750,25.64060,0.99210,-0.26540,0.17300,0.02410,0.64120,-0.34750,0.68050,-0.43090,-0.47980,-0.34790
14.76560,35.85940,25.70310,0.99050,-0.26560,0.17400,0.51240,0.12240,-0.19490,0.68060,-0.43150,-0.47960,-0.34730
14.73440,36.03120,25.70310,0.99050,-0.26500,0.17630,1.00070,-0.54900,0.04930,0.68110,-0.43120,-0.47910,-0.34730
14.76560,36.07810,25.54690,0.99170,-0.26180,0.18010,1.30590,-1.15930,0.32390,0.68130,-0.43060,-0.47910,-0.34770
14.95310,36.03120,25.60940,0.99390,-0.25730,0.18390,1.45850,-1.55610,0.62910,0.68140,-0.42990,-0.47920,-0.34800
14.84380,35.93750,25.75000,0.99560,-0.25310,0.18660,1.27540,-1.58660,0.78170,0.68160,-0.42930,-0.47940,-0.34840
14.76560,36.06250,25.79690,0.99550,-0.25090,0.18770,0.72600,-1.22040,0.69010,0.68160,-0.42870,-0.47950,-0.34880
14.65620,36.04690,25.62500,0.99270,-0.25160,0.18660,-0.03690,-0.48800,0.41550,0.68180,-0.42810,-0.47950,-0.34930
