hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
21.12500,42.75000,31.51560,0.69310,-0.82040,0.20580,2.09930,-7.41540,-3.79590,0.71680,-0.60510,-0.20910,-0.27630
21.17190,42.71880,31.50000,0.68860,-0.79400,0.16970,4.51020,-6.80510,-4.19270,0.71630,-0.60520,-0.21040,-0.27620
20.90620,42.53120,31.25000,0.68110,-0.77440,0.14730,6.73800,-3.20400,-4.13160,0.71600,-0.60520,-0.21140,-0.27620
20.75000,42.43750,31.17190,0.68210,-0.76010,0.13720,8.44700,2.16710,-3.70440,0.71600,-0.60490,-0.21210,-0.27650
20.92190,42.56250,31.25000,0.70530,-0.73880,0.13950,10.12550,7.72130,-3.24660,0.71610,-0.60430,-0.21260,-0.27720
21.00000,42.65620,31.25000,0.74500,-0.71230,0.16030,11.46820,12.23790,-2.48370,0.71650,-0.60310,-0.21300,-0.27830
21.03120,42.70310,31.29690,0.77210,-0.68890,0.20320,11.43770,14.98450,-0.83570,0.71720,-0.60170,-0.21310,-0.27960
21.04690,42.73440,31.32810,0.77370,-0.66590,0.25300,9.48460,15.62530,1.36150,0.71800,-0.60030,-0.21280,-0.28070
21.09380,42.79690,31.35940,0.76750,-0.63810,0.29000,6.34130,14.67930,3.34520,0.71880,-0.59910,-0.21230,-0.28170
21.07810,42.79690,31.37500,0.76290,-0.61730,0.30470,3.59470,13.09240,4.59640,0.71940,-0.59810,-0.21170,-0.28260
20.96880,42.62500,31.29690,0.75150,-0.60340,0.30030,3.10640,12.14630,4.38280,0.72000,-0.59720,-0.21120,-0.28340
20.90620,42.64060,31.17190,0.73000,-0.58440,0.29160,5.57830,13.15340,2.36860,0.72070,-0.59600,-0.21080,-0.28440
21.03120,42.68750,31.20310,0.70070,-0.56910,0.28720,9.88130,16.57140,-1.32400,0.72160,-0.59440,-0.21050,-0.28560
21.07810,42.71880,31.23440,0.66660,-0.55590,0.28780,14.18430,21.72880,-6.11530,0.72280,-0.59230,-0.21010,-0.28740
21.06250,42.73440,31.26560,0.62600,-0.52640,0.28940,17.29710,27.28300,-10.96760,0.72400,-0.58980,-0.20970,-0.28970
