hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
-32.67190,-64.17190,-42.40620,0.96480,-0.20230,-0.26030,0.45140,-0.36590,0.35440,0.53740,-0.49150,-0.62100,-0.28980
-32.73440,-64.26560,-42.45310,0.97120,-0.18790,-0.25610,3.93040,-1.09830,-0.62210,0.53800,-0.49170,-0.62070,-0.28900
-32.98440,-64.37500,-42.64060,0.98100,-0.17580,-0.25570,6.09710,-1.55610,-1.14090,0.53870,-0.49110,-0.62060,-0.28890
-33.01560,-64.50000,-42.62500,0.98860,-0.16700,-0.25980,6.28020,-1.55610,-1.29350,0.53860,-0.49020,-0.62120,-0.28930
-32.84380,-64.32810,-42.68750,0.99220,-0.16330,-0.26370,4.81540,-1.12880,-1.17140,0.53830,-0.48950,-0.62180,-0.28960
-32.79690,-64.29690,-42.62500,0.99230,-0.16450,-0.26700,2.92330,-0.67110,-1.01880,0.53780,-0.48910,-0.62250,-0.28990
-32.81250,-64.34380,-42.56250,0.98830,-0.16790,-0.27000,1.85520,-0.33540,-0.92730,0.53720,-0.48910,-0.62300,-0.28980
-33.00000,-64.43750,-42.75000,0.98400,-0.16990,-0.26870,1.88570,-0.12170,-0.86630,0.53680,-0.48920,-0.62350,-0.28950
-32.98440,-64.50000,-42.62500,0.98160,-0.17030,-0.26490,2.46550,0.00030,-0.89680,0.53670,-0.48960,-0.62360,-0.28870
-32.90620,-64.39060,-42.65620,0.97980,-0.16640,-0.26370,3.07590,-0.24380,-0.98830,0.53660,-0.48890,-0.62400,-0.28930
-32.82810,-64.28120,-42.57810,0.97930,-0.15950,-0.26430,3.41160,-0.76260,-1.04940,0.53620,-0.48820,-0.62460,-0.28980
-32.82810,-64.28120,-42.54690,0.98110,-0.15460,-0.26440,3.19800,-1.15930,-1.07990,0.53590,-0.48760,-0.62520,-0.29030
-32.60940,-64.07810,-42.43750,0.98270,-0.15490,-0.26490,2.25190,-1.03730,-1.14090,0.53550,-0.48700,-0.62570,-0.29090
-32.51560,-64.01560,-42.28120,0.98180,-0.16120,-0.26670,0.93970,-0.45740,-1.04940,0.53490,-0.48700,-0.62620,-0.29090
-32.46880,-63.92190,-42.20310,0.97900,-0.16930,-0.26880,-0.25050,-0.03020,-0.74420,0.53500,-0.48750,-0.62610,-0.29020
-32.42190,-63.96880,-42.15620,0.97760,-0.17450,-0.26610,-1.01350,0.03080,-0.31690,0.53530,-0.48800,-0.62570,-0.28960
-32.40620,-63.92190,-42.14060,0.97930,-0.17720,-0.25790,-1.10500,0.00030,-0.01180,0.53590,-0.48820,-0.62510,-0.28930
-32.45310,-63.96880,-42.15620,0.98130,-0.17990,-0.25160,-0.40310,-0.12170,-0.04230,0.53650,-0.48820,-0.62460,-0.28920
-32.45310,-63.96880,-42.15620,0.98020,-0.18100,-0.25190,0.48190,-0.48800,-0.13380,0.53710,-0.48830,-0.62420,-0.28890
-32.43750,-64.01560,-42.15620,0.97770,-0.17870,-0.25630,0.93970,-0.82360,-0.13380,0.53770,-0.48840,-0.62370,-0.28850
-32.40620,-63.93750,-42.20310,0.97730,-0.17500,-0.26010,1.27540,-0.67110,-0.07280,0.53830,-0.48870,-0.62330,-0.28790
-32.40620,-63.96880,-42.14060,0.97850,-0.17150,-0.26440,1.88570,-0.27430,-0.04230,0.53780,-0.48890,-0.62370,-0.28760
-32.35940,-63.95310,-42.17190,0.98000,-0.16840,-0.26940,2.28240,-0.27430,-0.04230,0.53730,-0.48880,-0.62430,-0.28750
-32.40620,-64.00000,-42.15620,0.98370,-0.16750,-0.27180,2.06880,-0.73210,-0.13380,0.53670,-0.48870,-0.62490,-0.28740
