hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
22.43750,44.73440,32.10940,1.01240,-0.13040,0.14810,0.54290,1.73980,-0.86630,0.73400,-0.23750,-0.60910,-0.18360
22.31250,44.56250,32.04690,1.01470,-0.12940,0.14600,0.29880,1.16000,-0.95780,0.73360,-0.23770,-0.60960,-0.18360
22.14060,44.39060,31.84380,1.01800,-0.12890,0.14440,-0.22000,0.64120,-1.07990,0.73320,-0.23770,-0.61010,-0.18360
21.71880,43.95310,31.54690,1.02080,-0.12990,0.14460,-0.92190,0.51910,-1.07990,0.73270,-0.23800,-0.61050,-0.18360
21.39060,43.65620,31.18750,1.02360,-0.13100,0.14460,-1.62380,0.67170,-0.92730,0.73230,-0.23840,-0.61090,-0.18340
21.21880,43.50000,30.96880,1.02580,-0.13040,0.14560,-2.17310,0.70220,-0.65260,0.73180,-0.23850,-0.61140,-0.18370
21.07810,43.42190,30.79690,1.02630,-0.12710,0.14980,-2.90550,0.82430,-0.31690,0.73220,-0.23820,-0.61090,-0.18430
21.04690,43.34380,30.76560,1.02600,-0.12320,0.14990,-4.18730,1.12950,0.01880,0.73230,-0.23780,-0.61070,-0.18510
20.98440,43.26560,30.64060,1.02420,-0.12130,0.14370,-6.07940,1.80090,0.20190,0.73190,-0.23770,-0.61100,-0.18580
21.01560,43.32810,30.64060,1.02080,-0.12380,0.13800,-8.21560,2.53330,0.38500,0.73140,-0.23830,-0.61120,-0.18630
21.06250,43.34380,30.67190,1.01620,-0.13240,0.13650,-9.86360,2.74690,0.69010,0.73110,-0.23950,-0.61110,-0.18640
21.06250,43.35940,30.71880,1.01170,-0.14380,0.13790,-10.16870,2.28910,1.05630,0.73100,-0.24090,-0.61070,-0.18630
21.03120,43.34380,30.73440,1.01010,-0.15110,0.14020,-8.79540,1.25150,1.42260,0.73100,-0.24220,-0.61020,-0.18600
21.06250,43.35940,30.73440,1.01170,-0.15120,0.13950,-6.07940,-0.42690,1.57510,0.73090,-0.24340,-0.61000,-0.18560
20.96880,43.25000,30.75000,1.01410,-0.14530,0.13720,-2.81400,-2.07490,1.54460,0.73070,-0.24440,-0.61000,-0.18500
20.85940,43.14060,30.57810,1.01510,-0.13680,0.13740,0.26830,-3.20400,1.42260,0.73010,-0.24480,-0.61060,-0.18460
20.78120,43.09380,30.51560,1.01520,-0.12920,0.13950,2.61810,-3.69230,1.30050,0.72990,-0.24410,-0.61110,-0.18490
20.76560,43.04690,30.48440,1.01500,-0.12290,0.14310,3.99140,-3.14300,1.11740,0.72990,-0.24320,-0.61130,-0.18520
20.73440,42.95310,30.45310,1.01370,-0.11780,0.14750,4.47970,-1.83070,0.81220,0.73010,-0.24230,-0.61140,-0.18540
20.67190,43.00000,30.39060,1.01320,-0.11340,0.14950,4.05250,-1.06780,0.50700,0.73030,-0.24150,-0.61140,-0.18570
20.73440,43.15620,30.42190,1.01290,-0.11200,0.14940,2.67920,-1.03730,0.29340,0.73050,-0.24070,-0.61140,-0.18610
20.87500,43.23440,30.57810,1.01530,-0.11380,0.14480,0.78710,-0.97620,0.14080,0.73050,-0.23990,-0.61160,-0.18660
20.90620,43.25000,30.65620,1.01800,-0.11560,0.14550,-0.89140,0.67170,-0.10330,0.73050,-0.23920,-0.61150,-0.18730
20.96880,43.29690,30.73440,1.01790,-0.11790,0.15190,-2.08160,1.49570,-0.31690,0.73090,-0.23880,-0.61110,-0.18790
20.93750,43.31250,30.71880,1.01810,-0.12260,0.15310,-3.05810,-0.06070,-0.31690,0.73130,-0.23880,-0.61060,-0.18820
20.98440,43.31250,30.76560,1.01920,-0.12840,0.15090,-3.63800,-1.52560,-0.22540,0.73160,-0.23920,-0.61000,-0.18820
20.92190,43.31250,30.78120,1.01970,-0.13170,0.14900,-3.39380,-1.89180,-0.16440,0.73170,-0.24000,-0.60960,-0.18780
20.92190,43.34380,30.73440,1.02010,-0.13160,0.14940,-2.44780,-1.22040,-0.13380,0.73200,-0.24060,-0.60920,-0.18750
20.95310,43.32810,30.75000,1.01980,-0.12940,0.15050,-1.47120,-0.42690,-0.07280,0.73240,-0.24070,-0.60860,-0.18760
20.95310,43.32810,30.78120,1.01760,-0.12570,0.15190,-0.83040,0.12240,0.07980,0.73270,-0.24020,-0.60830,-0.18800
21.01560,43.32810,30.75000,1.01470,-0.12180,0.15160,-0.55570,0.45810,0.17130,0.73280,-0.23950,-0.60830,-0.18870
20.95310,43.32810,30.73440,1.01290,-0.11910,0.15080,-0.61670,0.42760,0.23240,0.73280,-0.23880,-0.60840,-0.18930
21.00000,43.34380,30.71880,1.01430,-0.11800,0.14940,-1.01350,-0.09120,0.29340,0.73250,-0.23820,-0.60880,-0.19000
21.00000,43.29690,30.71880,1.01920,-0.11830,0.14820,-1.41020,-0.51850,0.26290,0.73200,-0.23800,-0.60930,-0.19040
21.00000,43.29690,30.71880,1.02360,-0.11920,0.14900,-1.80690,-0.39640,0.07980,0.73160,-0.23770,-0.60980,-0.19090
21.01560,43.34380,30.76560,1.02550,-0.12190,0.15030,-2.26470,-0.27430,-0.22540,0.73190,-0.23830,-0.60930,-0.19050
20.98440,43.29690,30.67190,1.02580,-0.12600,0.14980,-2.32570,-0.48800,-0.59160,0.73190,-0.23920,-0.60910,-0.19000
20.92190,43.25000,30.60940,1.02410,-0.12930,0.14830,-1.80690,-0.27430,-0.98830,0.73180,-0.24000,-0.60900,-0.18960
21.01560,43.29690,30.67190,1.02140,-0.13000,0.14900,-0.92190,0.58020,-1.32400,0.73200,-0.24060,-0.60870,-0.18910
21.01560,43.32810,30.68750,1.01950,-0.12890,0.15100,-0.12840,0.51910,-1.38510,0.73250,-0.24080,-0.60810,-0.18890
21.00000,43.32810,30.68750,1.01740,-0.12750,0.15210,0.11570,-0.51850,-1.14090,0.73290,-0.24050,-0.60770,-0.18910
21.03120,43.32810,30.68750,1.01570,-0.12760,0.15140,-0.15900,-0.88470,-0.83570,0.73330,-0.24080,-0.60720,-0.18890
21.01560,43.32810,30.68750,1.01510,-0.12760,0.15220,-0.58620,-0.06070,-0.56110,0.73350,-0.24020,-0.60690,-0.18940
21.01560,43.31250,30.68750,1.01570,-0.12650,0.15450,-0.95240,0.33600,-0.25590,0.73390,-0.24000,-0.60640,-0.18970
21.04690,43.29690,30.64060,1.01830,-0.12640,0.15410,-1.34920,-0.51850,0.14080,0.73340,-0.24000,-0.60700,-0.18980
20.96880,43.29690,30.64060,1.02060,-0.12700,0.15280,-1.68480,-0.67110,0.38500,0.73300,-0.24060,-0.60740,-0.18950
20.96880,43.23440,30.65620,1.02070,-0.12730,0.15320,-1.65430,0.51910,0.44600,0.73340,-0.24050,-0.60680,-0.18970
20.89060,43.23440,30.59380,1.01870,-0.12720,0.15390,-1.37970,1.55670,0.35440,0.73400,-0.24040,-0.60620,-0.18990
20.93750,43.34380,30.62500,1.01650,-0.12670,0.15300,-1.07450,1.37360,0.23240,0.73350,-0.24060,-0.60660,-0.18990
21.01560,43.35940,30.68750,1.01540,-0.12640,0.15120,-0.83040,0.79380,0.07980,0.73310,-0.24070,-0.60710,-0.19000
21.04690,43.34380,30.68750,1.01470,-0.12540,0.15090,-0.58620,0.70220,-0.10330,0.73270,-0.24050,-0.60760,-0.19030
20.95310,43.26560,30.62500,1.01560,-0.12490,0.15100,-0.61670,0.58020,-0.28640,0.73250,-0.23980,-0.60780,-0.19100
20.95310,43.23440,30.59380,1.01730,-0.12610,0.15040,-1.01350,-0.12170,-0.37800,0.73240,-0.24060,-0.60780,-0.19040
20.93750,43.28120,30.59380,1.01810,-0.12760,0.14900,-1.37970,-0.64050,-0.34750,0.73210,-0.24130,-0.60800,-0.19000
20.98440,43.29690,30.59380,1.01810,-0.12880,0.14820,-1.44070,-0.30480,-0.31690,0.73190,-0.24200,-0.60820,-0.18950
21.01560,43.29690,30.64060,1.01790,-0.12950,0.14880,-1.25760,0.18340,-0.25590,0.73220,-0.24270,-0.60770,-0.18910
20.98440,43.23440,30.64060,1.01830,-0.12960,0.15010,-1.04400,0.30550,-0.19490,0.73250,-0.24230,-0.60730,-0.18950
20.92190,43.23440,30.62500,1.01850,-0.12920,0.15120,-0.70830,0.64120,-0.16440,0.73290,-0.24190,-0.60680,-0.18990
20.96880,43.29690,30.67190,1.01910,-0.12880,0.15220,-0.37260,1.34310,-0.13380,0.73320,-0.24130,-0.60650,-0.19040
20.98440,43.29690,30.71880,1.01940,-0.12810,0.15250,-0.25050,1.83140,-0.10330,0.73300,-0.24160,-0.60680,-0.19020
21.00000,43.31250,30.70310,1.01740,-0.12710,0.15170,-0.37260,1.80090,-0.19490,0.73260,-0.24120,-0.60720,-0.19070
20.98440,43.28120,30.71880,1.01510,-0.12650,0.15080,-0.49470,1.52620,-0.37800,0.73240,-0.24170,-0.60730,-0.19030
20.98440,43.28120,30.68750,1.01390,-0.12720,0.15010,-0.64720,1.19050,-0.56110,0.73260,-0.24250,-0.60710,-0.18980
20.95310,43.26560,30.65620,1.01390,-0.12950,0.14980,-0.86090,0.70220,-0.65260,0.73240,-0.24310,-0.60720,-0.18930
20.98440,43.29690,30.65620,1.01480,-0.13150,0.14930,-0.98290,0.18340,-0.68320,0.73240,-0.24390,-0.60700,-0.18880
21.01560,43.32810,30.70310,1.01590,-0.13240,0.14940,-0.89140,-0.03020,-0.68320,0.73260,-0.24320,-0.60690,-0.18940
