hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
16.28120,38.28120,25.17190,1.02490,-0.08200,0.11920,-1.44070,0.12240,-0.01180,0.60820,-0.42780,-0.50950,-0.43300
16.42190,38.26560,25.32810,1.02710,-0.08170,0.11840,-1.99000,0.09190,-0.59160,0.60760,-0.42800,-0.51000,-0.43300
16.46880,38.43750,25.15620,1.02880,-0.08440,0.11760,-2.44780,0.36650,-1.20200,0.60780,-0.42870,-0.50950,-0.43260
16.45310,38.26560,25.32810,1.02660,-0.08870,0.11710,-2.56990,0.76330,-1.53760,0.60810,-0.42930,-0.50900,-0.43230
16.54690,38.48440,25.32810,1.02180,-0.09040,0.11740,-2.29520,1.09900,-1.53760,0.60840,-0.42990,-0.50830,-0.43200
16.45310,38.45310,25.50000,1.01690,-0.08670,0.11870,-1.95950,1.19050,-1.14090,0.60880,-0.42970,-0.50780,-0.43240
16.57810,38.53120,25.37500,1.01450,-0.08200,0.12010,-1.80690,1.00740,-0.65260,0.60860,-0.42900,-0.50780,-0.43310
16.59380,38.51560,25.34380,1.01560,-0.07970,0.12040,-2.08160,0.64120,-0.43900,0.60840,-0.42840,-0.50800,-0.43390
16.50000,38.39060,25.45310,1.01800,-0.08010,0.12080,-2.75300,0.30550,-0.71370,0.60800,-0.42790,-0.50820,-0.43460
16.62500,38.54690,25.54690,1.02050,-0.08460,0.12110,-3.51590,0.12240,-1.44610,0.60830,-0.42850,-0.50760,-0.43440
16.42190,38.46880,25.29690,1.02220,-0.09200,0.12070,-3.85160,0.03080,-2.23950,0.60840,-0.42920,-0.50710,-0.43410
16.50000,38.42190,25.37500,1.02330,-0.09850,0.12020,-3.33280,0.00030,-2.69730,0.60850,-0.42990,-0.50670,-0.43380
16.34380,38.21880,25.18750,1.02380,-0.10130,0.11990,-2.08160,0.06140,-2.63630,0.60870,-0.43050,-0.50620,-0.43350
16.35940,38.34380,25.32810,1.02350,-0.10220,0.12030,-0.86090,0.24450,-2.17850,0.60890,-0.43100,-0.50580,-0.43310
16.39060,38.43750,25.31250,1.02390,-0.10220,0.12110,-0.31160,0.51910,-1.62920,0.60930,-0.43150,-0.50530,-0.43270
