hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
13.92190,36.03120,23.81250,1.01400,-0.20870,-0.00520,-0.06740,-0.88470,-1.26300,0.69230,-0.27380,-0.65390,-0.13490
13.65620,35.93750,23.70310,1.01260,-0.20860,-0.00580,0.20720,-0.67110,-1.35450,0.69180,-0.27340,-0.65450,-0.13540
13.84380,35.92190,23.90620,1.01210,-0.20650,-0.00660,0.48190,-0.61000,-1.23250,0.69150,-0.27270,-0.65490,-0.13600
13.75000,36.10940,23.64060,1.01360,-0.20410,-0.00620,0.81760,-0.57950,-1.01880,0.69160,-0.27200,-0.65500,-0.13670
13.92190,36.01560,23.89060,1.01610,-0.20150,-0.00490,1.06170,-0.42690,-0.80520,0.69180,-0.27120,-0.65500,-0.13730
13.81250,36.06250,23.73440,1.01700,-0.19780,-0.00430,1.03120,-0.18280,-0.71370,0.69180,-0.27040,-0.65520,-0.13800
13.65620,35.84380,23.93750,1.01750,-0.19500,-0.00600,0.69550,0.00030,-0.77470,0.69150,-0.26980,-0.65560,-0.13860
13.73440,35.96880,23.68750,1.01950,-0.19650,-0.00780,0.20720,-0.09120,-1.01880,0.69100,-0.26950,-0.65610,-0.13900
13.68750,35.93750,23.67190,1.01920,-0.20140,-0.00780,-0.18950,-0.33540,-1.44610,0.69090,-0.27010,-0.65610,-0.13840
13.59380,35.79690,23.64060,1.01650,-0.20570,-0.00690,-0.15900,-0.36590,-1.96490,0.69100,-0.27070,-0.65590,-0.13780
13.68750,36.01560,23.84380,1.01390,-0.20590,-0.00610,0.26830,-0.03020,-2.33110,0.69130,-0.27110,-0.65560,-0.13730
13.56250,36.03120,23.67190,1.01300,-0.20240,-0.00630,0.81760,0.33600,-2.39210,0.69160,-0.27140,-0.65520,-0.13680
13.81250,36.14060,23.89060,1.01420,-0.19910,-0.00790,1.18380,0.36650,-2.27010,0.69130,-0.27080,-0.65570,-0.13740
