hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
3.87500,32.54690,23.48440,0.86550,-0.28820,0.49820,0.84810,-0.45740,0.35440,0.76100,-0.36840,-0.35300,-0.40070
3.68750,32.76560,23.34380,0.86480,-0.29160,0.49970,0.35980,-0.30480,0.62910,0.76140,-0.36880,-0.35220,-0.40030
3.76560,32.70310,23.37500,0.86350,-0.29360,0.50110,0.42090,0.06140,0.78170,0.76180,-0.36890,-0.35150,-0.40000
4.00000,32.89060,23.21880,0.86240,-0.29120,0.50050,0.72600,0.33600,0.69010,0.76210,-0.36830,-0.35120,-0.40020
4.03120,32.62500,23.53120,0.86220,-0.28710,0.49830,0.84810,0.36650,0.35440,0.76180,-0.36790,-0.35190,-0.40050
3.85940,32.68750,23.42190,0.86330,-0.28570,0.49660,0.35980,0.18340,-0.07280,0.76140,-0.36780,-0.35270,-0.40070
3.60940,32.62500,23.42190,0.86410,-0.28780,0.49620,-0.55570,-0.09120,-0.40850,0.76100,-0.36820,-0.35320,-0.40060
3.87500,32.85940,23.32810,0.86570,-0.29040,0.49650,-1.50170,-0.39640,-0.59160,0.76080,-0.36900,-0.35320,-0.40030
3.93750,32.67190,23.31250,0.86790,-0.29410,0.49700,-1.92900,-0.57950,-0.56110,0.76070,-0.36990,-0.35290,-0.39990
3.85940,32.53120,23.57810,0.86810,-0.29870,0.49660,-1.71540,-0.39640,-0.28640,0.76070,-0.37070,-0.35250,-0.39950
3.81250,32.65620,23.51560,0.86690,-0.29840,0.49670,-0.86090,0.00030,0.07980,0.76090,-0.37140,-0.35190,-0.39900
3.81250,32.84380,23.21880,0.86560,-0.29570,0.49760,0.32930,0.27500,0.44600,0.76130,-0.37090,-0.35150,-0.39920
3.93750,32.60940,23.34380,0.86480,-0.29350,0.49760,1.42790,0.33600,0.69010,0.76130,-0.37010,-0.35180,-0.39960
4.01560,32.75000,23.35940,0.86570,-0.29130,0.49720,2.12990,0.21400,0.90380,0.76110,-0.36950,-0.35260,-0.39990
3.79690,32.48440,23.68750,0.86630,-0.28930,0.49730,2.28240,0.00030,0.99530,0.76090,-0.36880,-0.35330,-0.40020
3.89060,32.89060,23.39060,0.86570,-0.28750,0.49840,1.76360,-0.21330,0.84270,0.76110,-0.36800,-0.35350,-0.40050
3.96880,32.95310,23.40620,0.86560,-0.28690,0.50040,0.54290,-0.39640,0.44600,0.76130,-0.36730,-0.35330,-0.40080
4.20310,32.89060,23.54690,0.86690,-0.28780,0.50100,-1.04400,-0.42690,-0.13380,0.76170,-0.36720,-0.35260,-0.40080
4.03120,32.76560,23.67190,0.86880,-0.29160,0.50050,-2.38670,-0.21330,-0.59160,0.76140,-0.36800,-0.35260,-0.40050
4.06250,33.03120,23.60940,0.86780,-0.29730,0.49980,-2.81400,0.18340,-0.56110,0.76140,-0.36890,-0.35210,-0.40020
4.07810,33.01560,23.59380,0.86330,-0.29950,0.49940,-1.80690,0.58020,0.01880,0.76160,-0.36960,-0.35140,-0.39980
4.20310,33.12500,23.45310,0.86000,-0.29730,0.49770,0.08520,0.79380,0.93430,0.76190,-0.37020,-0.35070,-0.39930
4.18750,32.85940,23.68750,0.86080,-0.29380,0.49610,1.73310,0.67170,1.57510,0.76160,-0.37030,-0.35130,-0.39920
4.15620,33.07810,23.76560,0.86560,-0.29040,0.49550,2.25190,0.30550,1.72770,0.76140,-0.36990,-0.35210,-0.39930
4.03120,33.12500,23.68750,0.87080,-0.28860,0.49480,1.61110,-0.06070,1.45310,0.76110,-0.36970,-0.35290,-0.39940
4.18750,33.21880,23.62500,0.87270,-0.28940,0.49540,0.35980,-0.27430,1.11740,0.76070,-0.36970,-0.35360,-0.39950
4.17190,32.98440,23.65620,0.86990,-0.29340,0.49810,-0.98290,-0.30480,0.87320,0.76110,-0.37010,-0.35280,-0.39910
4.18750,33.06250,23.75000,0.86500,-0.29930,0.50150,-1.95950,-0.15230,0.69010,0.76140,-0.37040,-0.35200,-0.39890
3.95310,33.06250,23.76560,0.86080,-0.30660,0.50460,-2.50880,0.00030,0.50700,0.76170,-0.37080,-0.35110,-0.39870
4.09380,33.25000,23.60940,0.85730,-0.31420,0.50790,-2.44780,0.00030,0.50700,0.76210,-0.37120,-0.35020,-0.39840
4.15620,32.95310,23.67190,0.85400,-0.31970,0.51090,-1.62380,-0.18280,0.93430,0.76240,-0.37160,-0.34940,-0.39810
4.17190,32.95310,23.68750,0.85260,-0.32080,0.51280,-0.22000,-0.61000,1.88030,0.76290,-0.37190,-0.34860,-0.39770
3.96880,32.85940,23.79690,0.85410,-0.31910,0.51520,1.09230,-1.06780,3.04000,0.76340,-0.37200,-0.34790,-0.39730
4.04690,33.12500,23.65620,0.85540,-0.31910,0.52050,1.39740,-1.22040,4.07760,0.76390,-0.37210,-0.34710,-0.39680
4.00000,33.00000,23.54690,0.85480,-0.32600,0.53010,0.14620,-0.76260,4.87100,0.76450,-0.37220,-0.34630,-0.39630
4.20310,33.03120,23.60940,0.85410,-0.34350,0.54450,-2.72240,0.36650,5.51190,0.76500,-0.37250,-0.34530,-0.39590
4.03120,32.92190,23.79690,0.85590,-0.37050,0.56150,-6.87280,1.89240,6.42740,0.76550,-0.37320,-0.34390,-0.39550
4.04690,33.17190,23.71880,0.86140,-0.40000,0.57790,-11.69460,3.72350,7.98380,0.76590,-0.37430,-0.34230,-0.39520
4.00000,33.17190,23.65620,0.86990,-0.42810,0.59220,-16.85210,6.01230,10.27270,0.76620,-0.37570,-0.34020,-0.39500
4.21880,33.15620,23.60940,0.87990,-0.46490,0.60320,-22.46730,9.15560,13.14130,0.76660,-0.37760,-0.33760,-0.39470
4.06250,33.01560,23.73440,0.88720,-0.51730,0.61300,-28.81500,13.42810,16.37620,0.76690,-0.37990,-0.33440,-0.39460
4.09380,33.15620,23.79690,0.89110,-0.57650,0.62910,-36.59700,18.55500,19.88570,0.76720,-0.38270,-0.33050,-0.39450
4.01560,33.23440,23.67190,0.88890,-0.62520,0.66300,-47.49170,24.01770,24.00560,0.76740,-0.38620,-0.32570,-0.39470
4.25000,33.40620,23.64060,0.87790,-0.65760,0.70690,-64.03230,29.11410,29.52920,0.76750,-0.39060,-0.31980,-0.39520
