hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
12.29690,33.29690,23.28120,0.98060,-0.21880,0.24440,1.27540,1.95350,-0.98830,0.49030,-0.55470,-0.27050,-0.61540
11.85940,33.18750,23.01560,0.98210,-0.21990,0.24480,1.15330,1.34310,-1.26300,0.49030,-0.55520,-0.27050,-0.61500
11.96880,33.34380,22.98440,0.98160,-0.22260,0.24530,0.90910,0.85480,-1.47660,0.49070,-0.55550,-0.26990,-0.61470
12.04690,33.32810,22.89060,0.97990,-0.22660,0.24550,0.60400,0.64120,-1.56820,0.49110,-0.55580,-0.26930,-0.61440
12.12500,33.07810,22.96880,0.97850,-0.23070,0.24550,0.48190,0.76330,-1.50710,0.49150,-0.55600,-0.26860,-0.61410
12.09380,33.21880,23.14060,0.97910,-0.23450,0.24600,0.72600,1.09900,-1.26300,0.49200,-0.55620,-0.26800,-0.61380
11.93750,33.34380,22.93750,0.98230,-0.23590,0.24560,1.27540,1.43470,-0.83570,0.49250,-0.55650,-0.26740,-0.61340
12.18750,33.60940,23.10940,0.98600,-0.23540,0.24460,1.88570,1.61780,-0.40850,0.49280,-0.55690,-0.26700,-0.61290
12.43750,33.60940,23.20310,0.98760,-0.23460,0.24560,2.28240,1.58720,-0.10330,0.49310,-0.55730,-0.26670,-0.61240
12.42190,33.57810,23.40620,0.98610,-0.23320,0.24680,2.37400,1.43470,0.11030,0.49380,-0.55730,-0.26600,-0.61220
12.32810,33.65620,23.45310,0.98490,-0.23170,0.24750,2.16040,1.19050,0.38500,0.49360,-0.55670,-0.26670,-0.61260
12.34380,33.79690,23.39060,0.98500,-0.23000,0.24770,1.67210,1.12950,0.81220,0.49320,-0.55630,-0.26740,-0.61300
12.46880,33.81250,23.31250,0.98530,-0.22790,0.24720,0.78710,1.34310,1.33100,0.49280,-0.55610,-0.26810,-0.61320
12.57810,33.65620,23.42190,0.98650,-0.22570,0.24680,-0.34210,1.77030,1.84980,0.49240,-0.55590,-0.26870,-0.61340
12.39060,33.65620,23.50000,0.98710,-0.22590,0.24720,-1.53230,2.35020,2.33810,0.49190,-0.55580,-0.26910,-0.61370
12.39060,33.76560,23.51560,0.98590,-0.22740,0.24660,-2.44780,2.89950,2.64330,0.49240,-0.55630,-0.26820,-0.61330
12.40620,33.78120,23.35940,0.98320,-0.22900,0.24390,-2.84450,3.29620,2.79590,0.49240,-0.55690,-0.26770,-0.61290
12.54690,33.64060,23.37500,0.97930,-0.22930,0.24070,-2.69190,3.41830,2.88740,0.49240,-0.55750,-0.26730,-0.61260
12.45310,33.65620,23.48440,0.97620,-0.22720,0.23740,-2.17310,3.23520,3.04000,0.49210,-0.55790,-0.26730,-0.61240
12.39060,33.76560,23.56250,0.97490,-0.22390,0.23630,-1.62380,2.86900,3.25360,0.49180,-0.55820,-0.26750,-0.61240
12.39060,33.87500,23.43750,0.97520,-0.22040,0.23850,-1.28810,2.28910,3.49780,0.49140,-0.55800,-0.26790,-0.61260
12.51560,33.81250,23.40620,0.97570,-0.21800,0.24100,-1.31860,1.49570,3.52830,0.49110,-0.55770,-0.26830,-0.61300
12.51560,33.68750,23.45310,0.97520,-0.21650,0.24010,-1.50170,0.76330,3.43670,0.49080,-0.55750,-0.26870,-0.61330
12.42190,33.68750,23.60940,0.97610,-0.21570,0.23780,-1.56280,0.36650,3.25360,0.49030,-0.55750,-0.26920,-0.61340
12.37500,33.82810,23.45310,0.97790,-0.21560,0.23740,-1.31860,0.39710,2.97900,0.48990,-0.55750,-0.26970,-0.61350
12.50000,33.82810,23.43750,0.97930,-0.21610,0.23790,-0.73880,0.73270,2.64330,0.48940,-0.55750,-0.27030,-0.61370
12.54690,33.73440,23.40620,0.98000,-0.21680,0.23940,0.05470,1.09900,2.18550,0.48910,-0.55720,-0.27080,-0.61400
12.50000,33.64060,23.59380,0.97950,-0.21630,0.23960,0.81760,1.09900,1.66670,0.48880,-0.55680,-0.27150,-0.61430
12.45310,33.75000,23.59380,0.97870,-0.21590,0.23800,1.27540,0.73270,1.08690,0.48840,-0.55700,-0.27200,-0.61420
12.43750,33.85940,23.45310,0.97820,-0.21680,0.23690,1.33640,0.06140,0.56810,0.48840,-0.55750,-0.27210,-0.61370
12.57810,33.79690,23.39060,0.97820,-0.21930,0.23710,1.15330,-0.64050,0.20190,0.48890,-0.55790,-0.27150,-0.61320
12.57810,33.67190,23.50000,0.97940,-0.22320,0.23840,1.12280,-1.25090,0.04930,0.48950,-0.55810,-0.27090,-0.61290
12.39060,33.57810,23.50000,0.98240,-0.22670,0.24130,1.39740,-1.70870,0.01880,0.49000,-0.55810,-0.27030,-0.61260
12.37500,33.70310,23.45310,0.98610,-0.22880,0.24560,2.03830,-2.07490,0.01880,0.49060,-0.55790,-0.26990,-0.61260
12.39060,33.75000,23.32810,0.98920,-0.22900,0.25020,2.77070,-2.38000,0.01880,0.49110,-0.55750,-0.26970,-0.61260
12.54690,33.60940,23.43750,0.99140,-0.22870,0.25420,3.25900,-2.59370,0.04930,0.49150,-0.55700,-0.26970,-0.61270
12.39060,33.64060,23.45310,0.99270,-0.22780,0.25700,3.35060,-2.59370,0.17130,0.49190,-0.55650,-0.26970,-0.61290
12.34380,33.67190,23.50000,0.99270,-0.22590,0.25820,2.98430,-2.25800,0.41550,0.49220,-0.55600,-0.26980,-0.61300
12.39060,33.79690,23.29690,0.99150,-0.22430,0.25800,2.19090,-1.67810,0.62910,0.49250,-0.55540,-0.26980,-0.61330
12.51560,33.70310,23.35940,0.98920,-0.22390,0.25790,1.15330,-0.91520,0.84270,0.49280,-0.55490,-0.26970,-0.61360
12.51560,33.64060,23.39060,0.98660,-0.22470,0.25830,0.05470,-0.21330,1.05630,0.49310,-0.55440,-0.26940,-0.61390
12.42190,33.64060,23.51560,0.98460,-0.22590,0.25800,-0.83040,0.33600,1.23950,0.49350,-0.55400,-0.26900,-0.61420
12.34380,33.64060,23.37500,0.98290,-0.22730,0.25590,-1.44070,0.70220,1.42260,0.49390,-0.55370,-0.26830,-0.61430
12.37500,33.71880,23.37500,0.98150,-0.22800,0.25330,-1.65430,0.85480,1.63620,0.49450,-0.55380,-0.26740,-0.61420
12.45310,33.60940,23.29690,0.97980,-0.22740,0.25150,-1.53230,0.88530,1.91080,0.49430,-0.55440,-0.26740,-0.61380
12.40620,33.59380,23.46880,0.97890,-0.22640,0.25090,-1.13550,0.76330,2.21600,0.49390,-0.55410,-0.26790,-0.61420
12.26560,33.53120,23.39060,0.97910,-0.22360,0.25110,-0.67780,0.45810,2.36860,0.49360,-0.55380,-0.26840,-0.61450
12.09380,33.51560,23.15620,0.97940,-0.21950,0.25220,-0.28100,0.06140,2.27710,0.49330,-0.55330,-0.26890,-0.61490
12.15620,33.42190,23.09380,0.97950,-0.21690,0.25350,-0.00640,-0.30480,1.97190,0.49310,-0.55290,-0.26930,-0.61530
12.17190,33.32810,23.17190,0.98060,-0.21560,0.25390,0.20720,-0.61000,1.51410,0.49290,-0.55240,-0.26990,-0.61570
12.09380,33.32810,23.18750,0.98280,-0.21420,0.25390,0.20720,-0.73210,0.96480,0.49250,-0.55200,-0.27050,-0.61610
12.09380,33.43750,23.14060,0.98570,-0.21450,0.25390,-0.00640,-0.73210,0.38500,0.49200,-0.55170,-0.27120,-0.61640
12.12500,33.50000,23.07810,0.98820,-0.21730,0.25470,-0.40310,-0.64050,-0.16440,0.49160,-0.55130,-0.27180,-0.61690
12.29690,33.51560,23.25000,0.98900,-0.22160,0.25630,-0.95240,-0.57950,-0.65260,0.49200,-0.55160,-0.27110,-0.61660
12.25000,33.57810,23.31250,0.98780,-0.22740,0.25800,-1.41020,-0.51850,-0.98830,0.49240,-0.55180,-0.27030,-0.61640
12.29690,33.64060,23.42190,0.98550,-0.23310,0.26080,-1.56280,-0.64050,-1.14090,0.49280,-0.55200,-0.26960,-0.61620
12.23440,33.70310,23.31250,0.98290,-0.23750,0.26370,-1.25760,-1.00680,-1.07990,0.49320,-0.55210,-0.26890,-0.61610
12.34380,33.64060,23.35940,0.98010,-0.24040,0.26600,-0.55570,-1.49500,-0.83570,0.49370,-0.55220,-0.26820,-0.61600
12.35940,33.65620,23.35940,0.97830,-0.24180,0.26860,0.35980,-1.92230,-0.53060,0.49420,-0.55220,-0.26770,-0.61590
12.31250,33.64060,23.46880,0.97820,-0.24140,0.27120,1.15330,-2.07490,-0.28640,0.49470,-0.55210,-0.26720,-0.61570
12.31250,33.71880,23.40620,0.97900,-0.24110,0.27340,1.73310,-1.76970,-0.19490,0.49520,-0.55190,-0.26670,-0.61570
12.40620,33.75000,23.43750,0.98020,-0.24160,0.27470,2.03830,-1.06780,-0.10330,0.49580,-0.55160,-0.26630,-0.61560
12.45310,33.70310,23.42190,0.98220,-0.24160,0.27410,2.06880,-0.03020,0.04930,0.49640,-0.55130,-0.26580,-0.61560
12.43750,33.71880,23.59380,0.98450,-0.24140,0.27150,1.79420,1.09900,0.20190,0.49700,-0.55100,-0.26520,-0.61560
12.35940,33.73440,23.50000,0.98620,-0.24210,0.26740,1.24480,2.01450,0.32390,0.49770,-0.55100,-0.26440,-0.61540
12.34380,33.70310,23.51560,0.98660,-0.24370,0.26300,0.51240,2.62480,0.59860,0.49820,-0.55140,-0.26370,-0.61500
12.39060,33.64060,23.43750,0.98500,-0.24600,0.26010,-0.12840,2.89950,0.99530,0.49850,-0.55180,-0.26310,-0.61460
12.35940,33.60940,23.53120,0.98260,-0.24700,0.25770,-0.52520,2.83850,1.45310,0.49880,-0.55230,-0.26250,-0.61420
12.29690,33.64060,23.53120,0.98130,-0.24640,0.25600,-0.61670,2.53330,1.94140,0.49900,-0.55290,-0.26200,-0.61380
12.32810,33.68750,23.53120,0.98150,-0.24510,0.25460,-0.43360,2.19760,2.39910,0.49910,-0.55340,-0.26170,-0.61330
12.35940,33.70310,23.46880,0.98230,-0.24270,0.25350,-0.22000,2.07550,2.73480,0.49900,-0.55390,-0.26170,-0.61290
12.45310,33.65620,23.56250,0.98320,-0.24000,0.25170,-0.12840,2.10600,2.94840,0.49880,-0.55430,-0.26180,-0.61260
12.32810,33.62500,23.54690,0.98320,-0.23830,0.25090,-0.15900,2.22810,3.04000,0.49860,-0.55460,-0.26200,-0.61240
12.39060,33.64060,23.56250,0.98160,-0.23680,0.25000,-0.28100,2.44170,3.10100,0.49840,-0.55490,-0.26230,-0.61230
12.31250,33.71880,23.46880,0.97880,-0.23660,0.25000,-0.46410,2.65540,3.10100,0.49810,-0.55510,-0.26260,-0.61220
12.43750,33.60940,23.46880,0.97250,-0.23680,0.25060,-0.55570,2.77740,3.07050,0.49780,-0.55540,-0.26280,-0.61210
12.34380,33.64060,23.43750,0.96400,-0.23820,0.25240,-0.49470,2.77740,3.13150,0.49850,-0.55510,-0.26190,-0.61210
12.34380,33.62500,23.53120,0.95790,-0.24270,0.25570,-0.25050,2.56380,3.28410,0.49930,-0.55490,-0.26100,-0.61210
12.35940,33.70310,23.43750,0.95900,-0.25030,0.26010,0.29880,2.10600,3.40620,0.50010,-0.55480,-0.26000,-0.61200
12.35940,33.68750,23.48440,0.96880,-0.25850,0.26620,1.18380,1.46520,3.37570,0.50090,-0.55470,-0.25910,-0.61180
12.42190,33.67190,23.45310,0.98550,-0.26920,0.27280,2.37400,0.91590,3.34520,0.50170,-0.55460,-0.25830,-0.61150
12.35940,33.67190,23.57810,1.00490,-0.28200,0.27950,3.71680,0.73270,3.52830,0.50270,-0.55460,-0.25760,-0.61110
12.39060,33.67190,23.45310,1.01870,-0.29100,0.28690,4.96800,1.09900,4.23020,0.50370,-0.55440,-0.25690,-0.61070
12.42190,33.68750,23.48440,1.02030,-0.29340,0.29310,5.73090,1.92290,5.42040,0.50490,-0.55410,-0.25610,-0.61030
12.42190,33.62500,23.48440,1.01400,-0.29060,0.29610,5.42580,2.86900,6.85470,0.50610,-0.55370,-0.25530,-0.61000
12.39060,33.59380,23.56250,1.00470,-0.28720,0.30090,3.93040,3.72350,8.44160,0.50730,-0.55330,-0.25430,-0.60980
12.32810,33.64060,23.46880,0.99310,-0.28810,0.31130,1.73310,4.42540,10.12010,0.50840,-0.55280,-0.25330,-0.60970
12.34380,33.68750,23.48440,0.98240,-0.29260,0.32220,-0.58620,4.82210,11.70700,0.50960,-0.55250,-0.25200,-0.60960
