hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
17.35940,38.65620,26.81250,-0.62470,-0.52140,0.95860,-5.46900,-18.12710,-10.93710,0.93340,-0.15620,0.30920,-0.09320
17.46880,38.82810,26.95310,-0.71580,-0.65880,1.15310,-10.96220,-35.52210,-14.44660,0.93410,-0.15860,0.30560,-0.09400
17.48440,38.75000,27.07810,-0.80790,-0.86600,1.37160,-17.12670,-61.85880,-20.06180,0.93530,-0.16180,0.30000,-0.09460
17.45310,38.96880,27.06250,-0.86050,-1.03710,1.49040,-18.46950,-90.02650,-25.92120,0.93710,-0.16560,0.29210,-0.09530
17.37500,39.21880,27.14060,-0.86790,-1.06780,1.41840,-8.67340,-108.27600,-27.23340,0.93930,-0.16880,0.28270,-0.09610
17.62500,39.62500,27.59380,-0.81860,-0.96230,1.22280,7.10420,-112.54850,-21.58770,0.94180,-0.17060,0.27320,-0.09660
17.84380,39.90620,28.04690,-0.74090,-0.81770,1.05020,16.59520,-106.75020,-9.89950,0.94420,-0.17120,0.26440,-0.09640
18.00000,40.09380,28.40620,-0.70900,-0.69550,0.95450,19.83000,-95.73330,4.71850,0.94650,-0.17090,0.25680,-0.09510
18.23440,40.17190,28.68750,-0.74020,-0.59730,0.90380,24.52980,-79.52850,16.58980,0.94840,-0.16960,0.25100,-0.09300
18.48440,40.32810,28.90620,-0.77790,-0.52400,0.86590,28.40550,-59.84460,25.47040,0.95010,-0.16740,0.24700,-0.09060
18.75000,40.43750,29.01560,-0.76930,-0.47630,0.87510,19.70800,-42.99890,38.01310,0.95140,-0.16540,0.24470,-0.08710
18.96880,40.48440,29.06250,-0.73980,-0.46620,0.96070,-5.74370,-28.93030,56.78140,0.95210,-0.16490,0.24400,-0.08160
19.10940,40.60940,29.03120,-0.75620,-0.47810,1.07080,-32.47710,-10.77240,79.08980,0.95220,-0.16590,0.24540,-0.07400
19.18750,40.64060,29.04690,-0.83150,-0.45050,1.14500,-40.16750,15.01500,103.65640,0.95180,-0.16660,0.24920,-0.06450
19.26560,40.70310,29.07810,-0.92230,-0.33900,1.16640,-23.10820,45.34940,128.43671,0.95110,-0.16490,0.25570,-0.05370
19.32810,40.71880,29.09380,-0.99020,-0.18630,1.16110,6.55490,74.18860,148.76140,0.95010,-0.16000,0.26460,-0.04230
19.31250,40.78120,29.04690,-1.02950,-0.06780,1.15150,30.72480,97.07670,161.30420,0.94870,-0.15260,0.27530,-0.03070
19.29690,40.82810,29.06250,-1.03570,-0.01350,1.13880,41.28390,113.52570,165.36301,0.94680,-0.14410,0.28720,-0.01920
19.34380,40.79690,29.04690,-1.00380,-0.01840,1.11960,41.22290,124.17640,162.09760,0.94430,-0.13550,0.29990,-0.00810
19.37500,40.81250,29.03120,-0.94060,-0.05510,1.08040,36.18750,131.13440,154.10201,0.94120,-0.12760,0.31290,0.00250
19.35940,40.73440,29.04690,-0.87050,-0.08200,1.01130,28.92430,139.19099,144.64160,0.93750,-0.12040,0.32620,0.01230
19.32810,40.73440,29.00000,-0.82660,-0.08350,0.93120,19.40280,150.29939,136.43230,0.93310,-0.11420,0.34030,0.02170
19.40620,40.84380,29.06250,-0.82250,-0.08040,0.88110,8.69110,161.74350,130.08470,0.92800,-0.10900,0.35500,0.03080
19.48440,40.87500,29.09380,-0.84590,-0.09180,0.87180,0.69550,170.71570,125.35440,0.92210,-0.10470,0.37030,0.03970
19.53120,40.89060,29.15620,-0.86830,-0.11840,0.87540,-1.10500,177.09380,122.66890,0.91580,-0.10050,0.38580,0.04830
19.54690,40.95310,29.17190,-0.86380,-0.14420,0.85700,4.08300,181.48840,122.21110,0.90930,-0.09610,0.40090,0.05660
19.54690,40.90620,29.20310,-0.83340,-0.14730,0.79890,14.45900,184.23489,123.79800,0.90250,-0.09130,0.41590,0.06440
19.56250,40.96880,29.15620,-0.79240,-0.12640,0.70690,26.11670,185.82190,126.72770,0.89540,-0.08580,0.43090,0.07190
19.70310,41.07810,29.28120,-0.75550,-0.09660,0.61020,35.02780,187.07310,129.65739,0.88800,-0.07960,0.44590,0.07910
19.79690,41.17190,29.34380,-0.73590,-0.07350,0.53230,40.79560,189.42290,131.45799,0.87960,-0.07330,0.46200,0.08600
19.87500,41.20310,29.39060,-0.73590,-0.06040,0.47790,46.62450,194.76350,131.48849,0.87060,-0.06640,0.47850,0.09270
19.87500,41.21880,29.29690,-0.75180,-0.03830,0.45100,53.76560,202.20979,129.65739,0.86090,-0.05910,0.49550,0.09880
20.00000,41.32810,29.37500,-0.78140,0.00620,0.44890,60.87620,208.43539,125.96480,0.85070,-0.05010,0.51260,0.10500
20.03120,41.34380,29.39060,-0.79890,0.03110,0.44970,64.01950,210.48010,123.37080,0.84060,-0.04140,0.52870,0.11050
20.06250,41.42190,29.34380,-0.82980,0.07330,0.43740,68.44450,212.64680,116.71800,0.83000,-0.03250,0.54480,0.11550
20.23440,41.51560,29.45310,-0.84020,0.10330,0.39540,67.77320,212.43320,108.50870,0.81890,-0.02390,0.56070,0.12000
20.31250,41.62500,29.46880,-0.82140,0.12440,0.33080,60.63200,209.10680,99.01780,0.80750,-0.01600,0.57640,0.12420
20.39060,41.71880,29.54690,-0.78340,0.13820,0.25490,48.24190,203.18640,88.33660,0.79590,-0.00980,0.59160,0.12810
20.50000,41.75000,29.60940,-0.74030,0.14590,0.18900,33.41040,196.80820,76.98410,0.78440,-0.00530,0.60610,0.13170
20.54690,41.79690,29.64060,-0.70950,0.15110,0.14500,19.28070,192.13901,66.05880,0.77290,-0.00230,0.61990,0.13530
20.62500,41.84380,29.67190,-0.70070,0.15200,0.11300,7.86720,190.03329,56.68990,0.76140,-0.00070,0.63330,0.13880
20.65620,41.85940,29.68750,-0.70170,0.14270,0.09040,-0.12840,188.75150,49.18260,0.74980,-0.00010,0.64630,0.14210
20.71880,41.92190,29.73440,-0.70300,0.13690,0.08450,-4.43140,185.18100,43.50630,0.73820,-0.00020,0.65880,0.14520
20.76560,41.95310,29.76560,-0.70990,0.14260,0.09110,-5.10280,177.30740,39.35590,0.72700,-0.00020,0.67050,0.14810
20.85940,42.03120,29.81250,-0.72150,0.14690,0.10340,-2.93610,164.15440,35.93790,0.71730,-0.00040,0.68030,0.15070
20.98440,42.12500,29.84380,-0.72650,0.14300,0.10390,1.70260,145.32500,32.18430,0.70860,-0.00040,0.68890,0.15260
20.98440,41.96880,29.87500,-0.72660,0.12610,0.07620,8.35540,122.28430,26.01970,0.70140,-0.00030,0.69610,0.15340
21.01560,41.95310,29.73440,-0.72940,0.10670,0.03450,14.58100,96.31380,15.88790,0.69560,-0.00040,0.70200,0.15290
21.18750,42.07810,29.75000,-0.73960,0.10150,0.01150,17.54120,66.37610,2.70430,0.69160,-0.00070,0.70620,0.15130
21.46880,42.18750,29.81250,-0.76130,0.09920,0.02840,18.57880,30.82310,-11.97470,0.69020,-0.00140,0.70810,0.14890
21.71880,42.29690,29.98440,-0.78810,0.09340,0.07340,22.69870,-8.88030,-27.17240,0.69160,-0.00190,0.70740,0.14560
21.96880,42.45310,30.17190,-0.79730,0.08470,0.12570,30.45020,-45.89810,-40.93580,0.69550,-0.00230,0.70460,0.14100
22.17190,42.59380,30.39060,-0.77040,0.08740,0.15470,34.11230,-70.86150,-49.17560,0.70090,-0.00260,0.70020,0.13590
22.28120,42.70310,30.56250,-0.70510,0.10020,0.14760,29.74830,-78.09420,-49.38920,0.70670,-0.00300,0.69530,0.13100
22.32810,42.76560,30.71880,-0.63890,0.12340,0.11650,23.27850,-68.63370,-43.37720,0.71180,-0.00340,0.69080,0.12710
22.39060,42.84380,30.82810,-0.62930,0.15260,0.08900,21.38640,-51.45230,-35.65630,0.71570,-0.00330,0.68730,0.12390
22.43750,42.85940,30.89060,-0.66540,0.15050,0.09330,25.71990,-35.36950,-30.04110,0.71850,-0.00280,0.68490,0.12090
22.48440,42.89060,30.96880,-0.68810,0.13930,0.11950,33.95970,-22.15540,-27.05030,0.72050,-0.00190,0.68340,0.11740
22.51560,42.96880,31.04690,-0.68150,0.12830,0.14560,39.42230,-13.61050,-25.67700,0.72200,-0.00070,0.68250,0.11360
22.50000,42.98440,31.10940,-0.67900,0.10960,0.16150,37.43870,-13.00020,-25.03620,0.72350,0.00030,0.68150,0.10990
22.53120,43.00000,31.12500,-0.69780,0.10430,0.15300,31.85400,-17.39470,-24.79200,0.72520,0.00100,0.68020,0.10650
22.51560,43.01560,31.12500,-0.70480,0.12590,0.11630,27.52050,-20.59900,-24.73100,0.72710,0.00170,0.67870,0.10350
22.51560,42.95310,31.14060,-0.65700,0.17790,0.09700,20.62350,-19.86660,-23.29670,0.72870,0.00230,0.67730,0.10130
22.40620,42.79690,31.03120,-0.57930,0.20840,0.13360,7.56200,-10.22310,-17.62040,0.72970,0.00240,0.67640,0.10030
22.21880,42.54690,30.78120,-0.53670,0.16820,0.19550,-8.55130,14.31310,-6.72560,0.72930,0.00160,0.67670,0.10070
21.87500,42.10940,30.35940,-0.53920,0.08660,0.25320,-19.99540,50.47640,7.00730,0.72670,0.00030,0.67930,0.10240
21.40620,41.50000,29.67190,-0.59390,0.02580,0.30000,-20.60570,90.45440,22.66280,0.72150,-0.00060,0.68440,0.10500
20.64060,40.64060,28.68750,-0.73320,0.02160,0.28580,-12.82380,128.20470,38.31830,0.71390,-0.00040,0.69180,0.10810
19.54690,39.65620,27.34380,-0.86980,0.09010,0.14990,-7.30010,156.03670,49.15210,0.70450,0.00040,0.70090,0.11150
18.21880,38.43750,25.46880,-0.84910,0.16920,-0.04510,-17.27930,168.03011,48.02290,0.69310,0.00090,0.71150,0.11570
16.76560,36.87500,23.18750,-0.77310,0.18090,-0.19010,-41.93750,169.64751,34.50360,0.68160,-0.00100,0.72170,0.12040
15.15620,34.87500,20.54690,-0.66380,0.15220,-0.28140,-62.38430,165.95490,23.48680,0.67030,-0.00490,0.73140,0.12570
13.32810,32.09380,17.26560,-0.38020,0.08870,-0.36300,-61.89600,145.53870,25.13470,0.66000,-0.00850,0.73970,0.13090
