hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
18.68750,39.82810,30.18750,-0.66910,-0.44460,0.70800,-4.95020,9.12510,7.37350,0.90710,-0.19380,0.36720,-0.06860
18.67190,39.84380,30.15620,-0.66320,-0.42760,0.68020,-2.78350,10.92560,6.73260,0.90660,-0.19460,0.36800,-0.06860
18.60940,39.64060,30.25000,-0.65540,-0.40140,0.66020,-1.34920,13.03130,5.96970,0.90610,-0.19380,0.36980,-0.06790
18.51560,39.75000,30.07810,-0.64750,-0.37660,0.64740,-1.65430,15.16760,5.69500,0.90570,-0.19280,0.37140,-0.06720
18.43750,39.64060,30.14060,-0.64030,-0.36230,0.63050,-3.57690,17.39530,6.21380,0.90520,-0.19200,0.37320,-0.06650
18.65620,39.73440,30.17190,-0.63520,-0.36370,0.61560,-5.89630,18.70760,7.31250,0.90450,-0.19140,0.37550,-0.06560
18.73440,39.81250,30.21880,-0.62740,-0.37290,0.61610,-7.91040,18.03620,8.53320,0.90390,-0.19080,0.37740,-0.06460
18.68750,39.76560,30.17190,-0.61600,-0.37760,0.60820,-9.68050,18.24980,10.18110,0.90320,-0.19180,0.37850,-0.06410
18.81250,39.89060,30.18750,-0.60560,-0.38160,0.59480,-9.46680,20.41660,12.56150,0.90240,-0.19280,0.38000,-0.06360
18.92190,39.95310,30.21880,-0.61070,-0.39010,0.60710,-6.75080,21.14900,14.48410,0.90180,-0.19340,0.38130,-0.06300
19.01560,39.98440,30.25000,-0.64060,-0.40220,0.63630,-3.85160,20.44710,15.39960,0.90130,-0.19340,0.38250,-0.06230
19.00000,39.93750,30.18750,-0.68350,-0.40950,0.65630,-1.59330,20.53870,15.30810,0.90100,-0.19290,0.38360,-0.06160
19.01560,39.95310,30.12500,-0.71870,-0.39870,0.65350,0.75660,21.14900,13.72110,0.90020,-0.19180,0.38620,-0.06050
19.03120,39.98440,30.10940,-0.72300,-0.37280,0.62860,3.10640,21.21000,10.30320,0.89940,-0.19060,0.38870,-0.05980
19.04690,40.00000,29.95310,-0.68740,-0.35660,0.58350,3.22850,20.81330,6.67160,0.89860,-0.18960,0.39120,-0.05940
