hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
20.53120,42.71880,30.01560,0.99710,-0.25410,0.12040,-0.09790,0.12240,-0.16440,0.44650,-0.61420,-0.25390,-0.59910
20.42190,42.71880,29.96880,0.99720,-0.25240,0.11930,0.05470,0.36650,-0.25590,0.44600,-0.61460,-0.25430,-0.59890
20.51560,42.75000,30.03120,0.99610,-0.25070,0.11820,0.11570,0.54960,-0.37800,0.44550,-0.61470,-0.25500,-0.59890
20.14060,42.48440,29.84380,0.99550,-0.24980,0.11680,-0.00640,0.67170,-0.50000,0.44510,-0.61500,-0.25530,-0.59870
20.25000,42.42190,29.90620,0.99640,-0.25080,0.11480,-0.34210,0.64120,-0.56110,0.44490,-0.61560,-0.25530,-0.59830
20.20310,42.51560,29.75000,0.99710,-0.25310,0.11420,-0.79980,0.54960,-0.65260,0.44500,-0.61610,-0.25490,-0.59780
20.15620,42.37500,29.85940,0.99720,-0.25580,0.11470,-1.16600,0.36650,-0.77470,0.44550,-0.61640,-0.25420,-0.59750
20.20310,42.37500,29.78120,0.99770,-0.25750,0.11510,-1.19660,0.21400,-0.86630,0.44590,-0.61670,-0.25350,-0.59720
20.15620,42.43750,29.67190,0.99860,-0.25830,0.11490,-0.89140,0.03080,-0.95780,0.44630,-0.61700,-0.25280,-0.59680
20.28120,42.48440,29.82810,0.99980,-0.25880,0.11420,-0.37260,-0.18280,-0.98830,0.44600,-0.61750,-0.25300,-0.59640
20.40620,42.60940,29.85940,1.00080,-0.25840,0.11320,0.08520,-0.36590,-1.01880,0.44530,-0.61770,-0.25370,-0.59640
20.40620,42.60940,29.85940,1.00020,-0.25710,0.11490,0.51240,-0.45740,-0.95780,0.44560,-0.61720,-0.25360,-0.59680
20.50000,42.64060,29.93750,0.99820,-0.25460,0.11860,0.87860,-0.45740,-0.77470,0.44570,-0.61660,-0.25370,-0.59730
20.51560,42.65620,30.00000,0.99560,-0.25260,0.12060,1.00070,-0.36590,-0.59160,0.44590,-0.61600,-0.25380,-0.59770
20.56250,42.73440,30.01560,0.99420,-0.25160,0.12080,0.69550,-0.30480,-0.46950,0.44600,-0.61550,-0.25390,-0.59820
20.51560,42.70310,30.04690,0.99440,-0.25190,0.11910,0.02410,-0.27430,-0.34750,0.44600,-0.61490,-0.25400,-0.59870
20.54690,42.73440,30.04690,0.99580,-0.25350,0.11710,-0.64720,-0.24380,-0.31690,0.44580,-0.61550,-0.25400,-0.59820
20.46880,42.67190,30.06250,0.99670,-0.25610,0.11680,-0.89140,-0.12170,-0.43900,0.44620,-0.61600,-0.25340,-0.59780
20.54690,42.68750,30.03120,0.99560,-0.25810,0.11790,-0.67780,0.03080,-0.59160,0.44670,-0.61600,-0.25270,-0.59760
20.48440,42.64060,30.00000,0.99470,-0.25790,0.11900,-0.15900,0.15290,-0.68320,0.44720,-0.61560,-0.25220,-0.59780
20.54690,42.68750,30.00000,0.99450,-0.25700,0.11850,0.48190,0.12240,-0.83570,0.44660,-0.61550,-0.25300,-0.59810
20.48440,42.65620,29.98440,0.99440,-0.25650,0.11810,1.06170,0.00030,-0.92730,0.44710,-0.61570,-0.25240,-0.59770
20.50000,42.67190,29.96880,0.99420,-0.25580,0.11910,1.39740,-0.18280,-0.92730,0.44690,-0.61510,-0.25290,-0.59820
20.43750,42.64060,29.90620,0.99490,-0.25460,0.12090,1.33640,-0.39640,-0.80520,0.44700,-0.61450,-0.25310,-0.59870
20.51560,42.70310,29.90620,0.99670,-0.25460,0.12230,0.93970,-0.61000,-0.62210,0.44710,-0.61400,-0.25320,-0.59920
20.51560,42.68750,29.96880,0.99920,-0.25580,0.12260,0.42090,-0.73210,-0.37800,0.44770,-0.61400,-0.25260,-0.59890
20.54690,42.71880,29.96880,1.00160,-0.25620,0.12290,0.02410,-0.67110,-0.22540,0.44710,-0.61400,-0.25330,-0.59910
20.53120,42.65620,29.95310,1.00270,-0.25560,0.12290,-0.06740,-0.39640,-0.19490,0.44700,-0.61340,-0.25350,-0.59970
20.56250,42.70310,29.95310,1.00260,-0.25500,0.12250,-0.00640,-0.21330,-0.19490,0.44690,-0.61400,-0.25360,-0.59920
20.54690,42.67190,29.96880,1.00140,-0.25440,0.12220,0.14620,0.15290,-0.19490,0.44630,-0.61390,-0.25430,-0.59940
20.54690,42.71880,30.00000,0.99780,-0.25390,0.12140,0.26830,0.48860,-0.19490,0.44680,-0.61410,-0.25360,-0.59910
20.50000,42.67190,30.00000,0.99430,-0.25410,0.12110,0.26830,0.64120,-0.16440,0.44740,-0.61440,-0.25290,-0.59870
20.51560,42.73440,29.98440,0.99340,-0.25370,0.12130,0.29880,0.58020,-0.10330,0.44700,-0.61390,-0.25350,-0.59920
20.48440,42.67190,29.98440,0.99440,-0.25310,0.12040,0.39040,0.42760,-0.04230,0.44670,-0.61430,-0.25370,-0.59890
20.56250,42.73440,29.96880,0.99420,-0.25250,0.11990,0.48190,0.27500,0.04930,0.44620,-0.61440,-0.25440,-0.59890
20.50000,42.68750,29.98440,0.99390,-0.25190,0.12130,0.54290,0.12240,0.17130,0.44660,-0.61390,-0.25410,-0.59920
20.59380,42.73440,30.01560,0.99530,-0.25160,0.12220,0.51240,0.03080,0.32390,0.44680,-0.61340,-0.25410,-0.59970
20.56250,42.67190,30.00000,0.99700,-0.25140,0.12200,0.42090,0.00030,0.44600,0.44630,-0.61360,-0.25460,-0.59960
20.59380,42.70310,30.03120,0.99860,-0.25130,0.12190,0.32930,0.06140,0.53760,0.44670,-0.61310,-0.25430,-0.59990
20.54690,42.70310,30.00000,0.99970,-0.25090,0.12140,0.32930,0.18340,0.59860,0.44630,-0.61350,-0.25470,-0.59960
20.57810,42.78120,30.03120,0.99850,-0.24930,0.12230,0.45140,0.39710,0.62910,0.44600,-0.61300,-0.25520,-0.60010
20.56250,42.70310,30.04690,0.99490,-0.24640,0.12330,0.63450,0.61070,0.65960,0.44590,-0.61240,-0.25560,-0.60070
20.57810,42.75000,30.03120,0.99140,-0.24350,0.12220,0.78710,0.76330,0.62910,0.44540,-0.61220,-0.25630,-0.60100
20.53120,42.68750,29.98440,0.98980,-0.24230,0.12200,0.75660,0.82430,0.53760,0.44490,-0.61190,-0.25700,-0.60130
20.56250,42.73440,29.95310,0.99090,-0.24310,0.12290,0.57350,0.73270,0.38500,0.44560,-0.61180,-0.25630,-0.60120
20.54690,42.67190,29.96880,0.99430,-0.24470,0.12360,0.35980,0.48860,0.17130,0.44580,-0.61230,-0.25590,-0.60070
20.59380,42.73440,29.96880,0.99850,-0.24610,0.12390,0.20720,0.27500,-0.16440,0.44550,-0.61180,-0.25640,-0.60130
20.54690,42.68750,29.95310,1.00110,-0.24680,0.12230,0.14620,0.15290,-0.59160,0.44540,-0.61230,-0.25640,-0.60080
20.59380,42.75000,29.96880,1.00210,-0.24700,0.12130,0.29880,0.12240,-0.86630,0.44510,-0.61280,-0.25660,-0.60040
20.51560,42.67190,29.92190,1.00140,-0.24740,0.12180,0.57350,0.21400,-0.98830,0.44560,-0.61310,-0.25600,-0.60000
