hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
20.85940,43.14060,30.46880,0.98550,-0.26350,0.18360,-0.34210,-1.12880,-2.39210,0.61770,-0.49880,-0.40430,-0.45410
20.84380,43.18750,30.39060,0.98540,-0.26370,0.18240,-0.28100,-1.22040,-2.11750,0.61790,-0.49920,-0.40380,-0.45370
20.50000,42.65620,30.28120,0.98600,-0.26400,0.18020,-0.18950,-1.15930,-1.78180,0.61800,-0.49990,-0.40350,-0.45320
20.17190,42.59380,29.68750,0.98860,-0.26420,0.17780,-0.09790,-0.91520,-1.38510,0.61770,-0.50040,-0.40370,-0.45280
20.29690,42.57810,29.89060,0.99050,-0.26500,0.17660,0.08520,-0.57950,-0.92730,0.61750,-0.50100,-0.40390,-0.45240
20.21880,42.62500,29.73440,0.99110,-0.26510,0.17670,0.35980,-0.21330,-0.53060,0.61730,-0.50150,-0.40400,-0.45190
20.17190,42.53120,29.78120,0.99160,-0.26440,0.17790,0.81760,0.15290,-0.22540,0.61750,-0.50090,-0.40400,-0.45240
20.37500,42.68750,29.84380,0.99140,-0.26390,0.17840,1.42790,0.39710,-0.04230,0.61730,-0.50140,-0.40410,-0.45190
20.43750,42.84380,29.93750,0.99110,-0.26330,0.17850,2.06880,0.42760,0.04930,0.61750,-0.50060,-0.40420,-0.45240
20.67190,43.00000,30.18750,0.99100,-0.26270,0.17850,2.61810,0.30550,0.04930,0.61720,-0.50070,-0.40480,-0.45220
20.76560,43.00000,30.28120,0.99090,-0.26080,0.17850,2.89280,0.03080,-0.04230,0.61730,-0.49990,-0.40510,-0.45260
20.82810,43.07810,30.32810,0.99030,-0.25850,0.17910,2.89280,-0.27430,-0.19490,0.61720,-0.49920,-0.40570,-0.45310
20.85940,43.10940,30.34380,0.98790,-0.25710,0.17970,2.58760,-0.61000,-0.25590,0.61750,-0.49850,-0.40570,-0.45350
20.90620,43.17190,30.45310,0.98510,-0.25620,0.18100,2.16040,-0.94570,-0.22540,0.61800,-0.49800,-0.40540,-0.45350
20.90620,43.21880,30.43750,0.98280,-0.25610,0.18220,1.73310,-1.18990,-0.13380,0.61840,-0.49770,-0.40510,-0.45360
20.93750,43.23440,30.45310,0.98160,-0.25600,0.18270,1.27540,-1.31190,0.07980,0.61890,-0.49740,-0.40470,-0.45360
20.90620,43.21880,30.42190,0.98330,-0.25560,0.18320,0.81760,-1.25090,0.35440,0.61840,-0.49710,-0.40550,-0.45390
20.92190,43.17190,30.43750,0.98650,-0.25550,0.18280,0.42090,-1.00680,0.62910,0.61810,-0.49760,-0.40580,-0.45350
20.92190,43.21880,30.42190,0.98840,-0.25560,0.18250,0.17670,-0.67110,0.84270,0.61820,-0.49700,-0.40590,-0.45390
