hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
19.46880,41.21880,28.53120,1.00140,-0.15750,0.18240,-0.06740,-0.45740,-0.01180,0.65770,-0.41240,-0.49030,-0.39620
19.57810,41.15620,28.50000,1.00200,-0.15850,0.18160,-0.25050,-0.54900,0.11030,0.65730,-0.41270,-0.49080,-0.39600
19.40620,40.96880,28.60940,1.00130,-0.15870,0.18380,-0.43360,-0.42690,0.29340,0.65770,-0.41250,-0.49030,-0.39610
19.35940,41.03120,28.53120,1.00130,-0.15890,0.18490,-0.52520,-0.21330,0.47650,0.65810,-0.41230,-0.48980,-0.39630
19.17190,40.95310,28.40620,1.00200,-0.15980,0.18440,-0.43360,-0.12170,0.56810,0.65780,-0.41280,-0.49010,-0.39590
19.32810,40.95310,28.28120,1.00290,-0.15930,0.18390,-0.28100,-0.27430,0.53760,0.65730,-0.41280,-0.49070,-0.39600
19.43750,41.06250,28.40620,1.00400,-0.15860,0.18350,-0.12840,-0.51850,0.41550,0.65690,-0.41220,-0.49120,-0.39650
19.31250,40.95310,28.35940,1.00440,-0.15800,0.18290,-0.03690,-0.61000,0.23240,0.65690,-0.41290,-0.49120,-0.39600
19.37500,41.04690,28.51560,1.00430,-0.15630,0.18320,0.05470,-0.61000,0.07980,0.65670,-0.41230,-0.49140,-0.39650
19.31250,41.15620,28.31250,1.00550,-0.15570,0.18410,0.26830,-0.70160,-0.04230,0.65680,-0.41160,-0.49150,-0.39700
19.35940,41.04690,28.45310,1.00770,-0.15650,0.18380,0.42090,-0.88470,-0.19490,0.65660,-0.41220,-0.49170,-0.39650
19.40620,41.04690,28.48440,1.00960,-0.15760,0.18340,0.32930,-0.85420,-0.43900,0.65690,-0.41280,-0.49130,-0.39590
19.25000,41.01560,28.46880,1.00950,-0.15880,0.18400,-0.00640,-0.57950,-0.59160,0.65710,-0.41230,-0.49110,-0.39630
19.28120,41.09380,28.42190,1.00760,-0.15940,0.18440,-0.28100,-0.27430,-0.59160,0.65740,-0.41280,-0.49050,-0.39590
19.34380,41.06250,28.35940,1.00620,-0.16060,0.18490,-0.31160,-0.15230,-0.43900,0.65790,-0.41290,-0.48990,-0.39570
19.45310,41.03120,28.45310,1.00490,-0.16210,0.18460,-0.12840,-0.21330,-0.16440,0.65800,-0.41360,-0.48970,-0.39520
19.48440,41.06250,28.65620,1.00360,-0.16140,0.18470,0.08520,-0.30480,0.17130,0.65800,-0.41300,-0.48980,-0.39570
19.43750,41.17190,28.54690,1.00310,-0.15950,0.18520,0.08520,-0.30480,0.50700,0.65780,-0.41230,-0.49010,-0.39630
19.53120,41.28120,28.62500,1.00400,-0.15820,0.18460,-0.09790,-0.24380,0.72070,0.65730,-0.41230,-0.49080,-0.39640
19.53120,41.17190,28.51560,1.00410,-0.15760,0.18410,-0.34210,-0.24380,0.84270,0.65690,-0.41190,-0.49130,-0.39670
19.57810,41.14060,28.67190,1.00200,-0.15660,0.18430,-0.49470,-0.30480,0.81220,0.65740,-0.41190,-0.49070,-0.39670
19.48440,41.15620,28.59380,0.99930,-0.15590,0.18390,-0.55570,-0.33540,0.72070,0.65700,-0.41150,-0.49130,-0.39710
