hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
14.65620,36.29690,24.45310,1.01040,-0.21170,0.05960,4.32710,-1.09830,-1.14090,0.72570,-0.15640,-0.67000,-0.01110
14.76560,36.17190,24.54690,1.00990,-0.21690,0.05930,2.34350,-1.06780,-1.20200,0.72610,-0.15580,-0.66970,-0.01130
14.81250,36.26560,24.60940,1.01240,-0.22260,0.05660,0.84810,-0.91520,-1.32400,0.72600,-0.15640,-0.66960,-0.01060
14.71880,36.26560,24.64060,1.01640,-0.22680,0.05430,0.11570,-1.00680,-1.38510,0.72570,-0.15690,-0.66980,-0.01010
14.70310,36.34380,24.42190,1.01790,-0.23080,0.05410,0.14620,-1.46450,-1.23250,0.72540,-0.15750,-0.66990,-0.00950
14.60940,36.09380,24.48440,1.01740,-0.23640,0.05630,0.93970,-1.52560,-1.01880,0.72540,-0.15810,-0.66980,-0.00880
14.75000,36.17190,24.57810,1.01650,-0.23980,0.06150,2.80120,-0.36590,-0.95780,0.72580,-0.15840,-0.66940,-0.00820
14.54690,36.06250,24.45310,1.01590,-0.23550,0.06420,5.39520,1.77030,-1.07990,0.72630,-0.15820,-0.66880,-0.00760
14.60940,36.14060,24.50000,1.01620,-0.22390,0.06090,7.92820,4.12020,-1.44610,0.72700,-0.15700,-0.66840,-0.00780
14.62500,36.17190,24.40620,1.01370,-0.21190,0.05520,9.05730,5.49350,-1.87330,0.72730,-0.15570,-0.66840,-0.00810
14.68750,36.14060,24.35940,1.00810,-0.20830,0.05540,8.14180,5.37140,-2.20900,0.72750,-0.15450,-0.66840,-0.00850
14.76560,36.12500,24.57810,1.00330,-0.21590,0.06240,6.06660,4.45590,-2.45320,0.72810,-0.15330,-0.66800,-0.00890
14.65620,36.28120,24.43750,0.99940,-0.22340,0.06690,4.29660,3.57090,-2.63630,0.72870,-0.15330,-0.66730,-0.00830
14.59380,36.03120,24.46880,0.99660,-0.22320,0.06490,3.44210,3.26570,-2.84990,0.72910,-0.15360,-0.66690,-0.00770
14.70310,36.25000,24.34380,0.99610,-0.21910,0.06000,2.98430,3.02160,-3.06350,0.72880,-0.15340,-0.66720,-0.00770
14.53120,35.95310,24.50000,0.99910,-0.21760,0.05520,2.00780,1.83140,-2.97200,0.72850,-0.15320,-0.66770,-0.00780
14.67190,36.25000,24.50000,1.00400,-0.22190,0.05270,0.57350,-0.15230,-2.69730,0.72800,-0.15320,-0.66820,-0.00780
14.71880,36.29690,24.59380,1.00710,-0.22760,0.05340,-0.22000,-1.76970,-2.36160,0.72750,-0.15360,-0.66860,-0.00760
14.82810,36.39060,24.54690,1.00950,-0.23080,0.05560,0.08520,-2.41060,-2.20900,0.72710,-0.15410,-0.66900,-0.00720
14.90620,36.26560,24.65620,1.01260,-0.23120,0.05710,0.84810,-2.41060,-2.20900,0.72680,-0.15460,-0.66920,-0.00660
14.89060,36.31250,24.71880,1.01610,-0.23020,0.05630,1.36690,-2.50210,-2.14800,0.72630,-0.15500,-0.66960,-0.00610
14.75000,36.31250,24.68750,1.01760,-0.23160,0.05490,1.67210,-2.74630,-1.99540,0.72590,-0.15540,-0.67000,-0.00550
14.81250,36.37500,24.54690,1.01540,-0.23390,0.05590,2.31300,-2.22750,-1.90390,0.72580,-0.15590,-0.67000,-0.00480
14.84380,36.29690,24.60940,1.01100,-0.23160,0.05740,3.41160,-0.73210,-1.84280,0.72610,-0.15600,-0.66970,-0.00410
14.93750,36.39060,24.75000,1.00690,-0.22440,0.05750,4.44920,1.00740,-1.72080,0.72640,-0.15500,-0.66960,-0.00460
14.82810,36.39060,24.78120,1.00510,-0.21870,0.05700,4.75440,2.25860,-1.50710,0.72660,-0.15390,-0.66960,-0.00520
14.89060,36.53120,24.71880,1.00530,-0.21550,0.05540,4.11350,2.65540,-1.20200,0.72660,-0.15290,-0.66980,-0.00570
14.89060,36.37500,24.62500,1.00460,-0.21390,0.05280,2.74020,2.31970,-0.89680,0.72640,-0.15230,-0.67010,-0.00610
14.93750,36.29690,24.60940,1.00310,-0.21460,0.05150,1.09230,1.52620,-0.71370,0.72610,-0.15190,-0.67060,-0.00640
14.73440,36.20310,24.70310,1.00250,-0.21790,0.05120,-0.37260,0.51910,-0.62210,0.72560,-0.15200,-0.67100,-0.00650
14.85940,36.37500,24.70310,1.00270,-0.22200,0.05030,-1.37970,-0.54900,-0.56110,0.72520,-0.15250,-0.67140,-0.00620
14.82810,36.35940,24.65620,1.00330,-0.22370,0.04940,-1.77640,-1.46450,-0.40850,0.72470,-0.15320,-0.67180,-0.00590
14.96880,36.43750,24.60940,1.00460,-0.22380,0.04950,-1.50170,-2.16640,-0.25590,0.72420,-0.15380,-0.67220,-0.00550
14.85940,36.31250,24.75000,1.00660,-0.22390,0.04970,-0.76930,-2.65470,-0.10330,0.72370,-0.15450,-0.67260,-0.00500
14.89060,36.40620,24.78120,1.00750,-0.22330,0.04860,0.05470,-2.99040,0.07980,0.72320,-0.15410,-0.67320,-0.00540
14.78120,36.26560,24.64060,1.00640,-0.22190,0.04680,0.72600,-3.20400,0.17130,0.72260,-0.15380,-0.67390,-0.00570
14.89060,36.39060,24.57810,1.00540,-0.22020,0.04570,1.30590,-3.14300,0.14080,0.72250,-0.15300,-0.67420,-0.00620
14.85940,36.20310,24.70310,1.00570,-0.21870,0.04650,1.94670,-2.92940,-0.04230,0.72280,-0.15260,-0.67400,-0.00620
14.82810,36.31250,24.73440,1.00540,-0.21790,0.04720,2.46550,-2.74630,-0.16440,0.72310,-0.15200,-0.67380,-0.00640
14.76560,36.32810,24.71880,1.00410,-0.21700,0.04640,2.77070,-2.68520,-0.28640,0.72250,-0.15180,-0.67450,-0.00630
14.90620,36.48440,24.65620,1.00380,-0.21620,0.04600,2.86230,-2.53260,-0.40850,0.72280,-0.15120,-0.67430,-0.00650
14.89060,36.28120,24.64060,1.00510,-0.21630,0.04680,2.89280,-2.38000,-0.59160,0.72310,-0.15120,-0.67390,-0.00600
14.82810,36.23440,24.65620,1.00580,-0.21740,0.04780,2.80120,-2.50210,-0.71370,0.72340,-0.15130,-0.67360,-0.00550
14.71880,36.25000,24.65620,1.00600,-0.21850,0.04890,2.64870,-2.95990,-0.77470,0.72370,-0.15130,-0.67330,-0.00500
14.78120,36.39060,24.62500,1.00730,-0.21880,0.05010,2.46550,-3.41760,-0.83570,0.72410,-0.15090,-0.67300,-0.00500
14.70310,36.21880,24.57810,1.00870,-0.21880,0.05000,2.25190,-3.78390,-0.92730,0.72340,-0.15070,-0.67380,-0.00490
14.81250,36.29690,24.62500,1.00980,-0.22020,0.04990,2.03830,-3.96700,-0.95780,0.72360,-0.15080,-0.67350,-0.00440
14.75000,36.25000,24.75000,1.01130,-0.22270,0.05140,1.91620,-3.87540,-0.92730,0.72380,-0.15100,-0.67330,-0.00390
14.79690,36.42190,24.68750,1.01320,-0.22510,0.05420,1.97730,-3.50920,-0.89680,0.72400,-0.15110,-0.67300,-0.00340
14.73440,36.31250,24.56250,1.01400,-0.22780,0.05740,2.37400,-2.89880,-0.92730,0.72430,-0.15110,-0.67270,-0.00300
14.90620,36.37500,24.64060,1.01350,-0.22990,0.06080,2.92330,-2.31900,-0.98830,0.72470,-0.15110,-0.67230,-0.00260
14.73440,36.20310,24.67190,1.01350,-0.22970,0.06430,3.47260,-1.98330,-1.01880,0.72510,-0.15090,-0.67190,-0.00220
14.79690,36.32810,24.68750,1.01500,-0.22870,0.06620,3.74730,-1.89180,-0.98830,0.72550,-0.15060,-0.67160,-0.00190
14.65620,36.07810,24.59380,1.01630,-0.22880,0.06550,3.65570,-1.83070,-0.92730,0.72590,-0.15040,-0.67120,-0.00150
14.62500,36.12500,24.42190,1.01580,-0.22960,0.06350,3.10640,-1.58660,-0.92730,0.72630,-0.15030,-0.67080,-0.00110
14.57810,35.93750,24.46880,1.01480,-0.23120,0.06220,2.28240,-1.03730,-0.95780,0.72660,-0.15040,-0.67030,-0.00060
14.48440,36.00000,24.34380,1.01410,-0.23480,0.06270,1.42790,-0.39640,-1.01880,0.72690,-0.15080,-0.66990,-0.00010
14.26560,35.92190,24.21880,1.01350,-0.23980,0.06470,0.93970,0.21400,-1.04940,0.72720,-0.15120,-0.66950,0.00050
14.40620,35.81250,24.28120,1.01240,-0.24520,0.06690,1.15330,0.76330,-1.01880,0.72750,-0.15160,-0.66910,0.00110
13.98440,35.54690,23.89060,1.01170,-0.24870,0.06910,2.16040,1.19050,-0.92730,0.72790,-0.15200,-0.66860,0.00170
14.21880,35.78120,23.95310,1.01150,-0.24790,0.07230,3.68620,1.37360,-0.71370,0.72840,-0.15210,-0.66810,0.00240
14.40620,35.87500,24.29690,1.01180,-0.24440,0.07420,5.15110,1.28210,-0.40850,0.72890,-0.15210,-0.66750,0.00300
14.48440,36.12500,24.18750,1.01250,-0.24060,0.07310,6.09710,1.25150,-0.10330,0.72950,-0.15190,-0.66690,0.00360
14.35940,35.82810,24.31250,1.01230,-0.23710,0.07040,6.64650,1.58720,-0.01180,0.73010,-0.15150,-0.66630,0.00420
14.50000,35.96880,24.17190,1.01140,-0.23540,0.06710,6.67700,2.22810,-0.13380,0.72990,-0.15100,-0.66670,0.00430
14.21880,35.75000,24.17190,1.01040,-0.23740,0.06540,6.15820,2.77740,-0.50000,0.72970,-0.15100,-0.66690,0.00500
14.45310,36.01560,24.15620,1.01100,-0.24520,0.06310,5.30370,2.96050,-0.86630,0.72960,-0.15130,-0.66690,0.00570
14.43750,36.07810,24.17190,1.01150,-0.25420,0.06460,4.84590,3.11310,-1.41560,0.72980,-0.15160,-0.66660,0.00650
14.56250,36.01560,24.39060,1.01310,-0.26400,0.07060,5.09010,3.02160,-1.99540,0.73010,-0.15190,-0.66630,0.00730
14.64060,36.25000,24.53120,1.02130,-0.28310,0.07240,5.66990,1.95350,-2.33110,0.73030,-0.15210,-0.66600,0.00820
14.62500,36.20310,24.53120,1.03430,-0.30790,0.07420,6.09710,0.54960,-2.81940,0.73040,-0.15220,-0.66580,0.00900
14.60940,36.15620,24.56250,1.04810,-0.33960,0.08580,6.03610,-0.88470,-3.88750,0.73050,-0.15230,-0.66560,0.00980
14.68750,36.26560,24.42190,1.06030,-0.38420,0.11070,5.79200,-2.22750,-5.56600,0.73060,-0.15220,-0.66550,0.01040
14.62500,36.09380,24.60940,1.07440,-0.44680,0.14600,7.04320,-3.38710,-7.42750,0.73080,-0.15190,-0.66540,0.01100
14.73440,36.26560,24.65620,1.10040,-0.53210,0.18620,11.16310,-4.21110,-9.28910,0.73090,-0.15120,-0.66540,0.01170
14.53120,36.09380,24.45310,1.14450,-0.63530,0.22400,17.44970,-5.06560,-11.15070,0.73110,-0.14990,-0.66550,0.01260
14.71880,36.15620,24.51560,1.20770,-0.74230,0.26180,24.56030,-6.68300,-12.37140,0.73120,-0.14820,-0.66570,0.01390
14.64060,35.95310,24.39060,1.24310,-0.78960,0.28570,28.40550,-7.26290,-12.70710,0.73140,-0.14620,-0.66590,0.01540
14.75000,35.98440,24.56250,1.31570,-0.86310,0.34530,36.27900,-7.20180,-11.91360,0.73170,-0.14360,-0.66610,0.01740
14.67190,36.00000,24.51560,1.40740,-0.91830,0.38940,44.67140,-5.49280,-7.33600,0.73220,-0.14080,-0.66610,0.02010
14.71880,36.07810,24.57810,1.52430,-0.95810,0.40110,55.10840,-1.40350,2.91790,0.73300,-0.13800,-0.66570,0.02410
14.78120,36.00000,24.59380,1.65200,-0.99300,0.38330,67.77320,6.40900,19.88570,0.73430,-0.13540,-0.66450,0.02980
14.79690,36.10940,24.50000,1.77480,-1.02370,0.35750,81.07880,18.15830,41.85840,0.73640,-0.13320,-0.66230,0.03750
14.76560,35.93750,24.73440,1.89080,-1.03810,0.35100,94.01830,33.08140,66.27240,0.73930,-0.13170,-0.65870,0.04750
14.87500,36.20310,24.64060,2.01480,-1.03930,0.37120,105.58440,48.79790,90.74750,0.74300,-0.13090,-0.65370,0.05940
14.81250,36.04690,24.68750,2.15380,-1.03790,0.40220,113.79370,62.59190,113.57470,0.74730,-0.13090,-0.64730,0.07320
15.14060,36.15620,24.84380,2.28400,-1.01380,0.41800,119.16480,74.58530,136.15770,0.75210,-0.13190,-0.63970,0.08850
15.00000,36.17190,24.92190,2.36530,-0.95510,0.40330,124.99360,87.58580,161.97549,0.75700,-0.13410,-0.63070,0.10570
15.09380,36.15620,25.20310,2.38210,-0.88030,0.36730,132.53149,103.57700,191.45551,0.76180,-0.13700,-0.62070,0.12450
15.07810,36.29690,25.14060,2.36100,-0.81010,0.32390,140.06931,123.01670,221.78999,0.76720,-0.14070,-0.60880,0.14490
15.00000,36.09380,25.14060,2.32110,-0.75830,0.28830,145.16570,146.57620,251.57510,0.77300,-0.14580,-0.59440,0.16720
15.01560,36.00000,25.29690,2.26100,-0.69960,0.26410,148.21750,175.53740,279.28510,0.77930,-0.15240,-0.57710,0.19090
15.00000,36.04690,25.40620,2.18450,-0.61730,0.24070,151.11670,208.92371,301.07458,0.78610,-0.16030,-0.55670,0.21560
14.93750,35.90620,25.59380,2.07870,-0.54130,0.22990,152.36790,243.46960,313.98361,0.79340,-0.16910,-0.53300,0.24040
15.06250,36.00000,25.60940,1.94090,-0.49770,0.25960,150.23170,276.94739,320.45331,0.80110,-0.17880,-0.50620,0.26480
14.87500,35.70310,25.60940,1.80950,-0.48210,0.32250,145.56250,307.46490,325.03091,0.80860,-0.18940,-0.47650,0.28850
14.90620,35.67190,25.87500,1.70480,-0.45280,0.38180,140.03880,333.19131,329.21191,0.81570,-0.20090,-0.44420,0.31120
14.59380,35.40620,25.71880,1.59480,-0.37870,0.41200,135.55270,354.43149,333.94211,0.82200,-0.21300,-0.40970,0.33330
14.51560,35.39060,25.75000,1.44330,-0.26930,0.39430,132.16530,372.74200,338.55020,0.82710,-0.22570,-0.37310,0.35450
14.48440,35.18750,25.76560,1.25520,-0.15320,0.34040,127.09930,388.27551,341.54099,0.83090,-0.23880,-0.33480,0.37480
14.31250,35.10940,25.70310,1.07460,-0.06300,0.29970,115.56370,399.68909,342.70059,0.83300,-0.25260,-0.29520,0.39390
14.12500,34.84380,25.84380,0.94640,-0.03650,0.29690,94.75070,405.39581,340.77802,0.83310,-0.26750,-0.25540,0.41140
13.96880,34.93750,25.56250,0.87460,-0.08720,0.30100,68.68870,404.69391,335.49850,0.83090,-0.28360,-0.21610,0.42710
13.78120,34.62500,25.64060,0.82380,-0.15890,0.26630,48.42500,399.65851,328.57101,0.82670,-0.30040,-0.17780,0.44120
13.89060,34.70310,25.50000,0.75650,-0.18060,0.19920,41.83320,395.29449,320.36179,0.82100,-0.31680,-0.13990,0.45390
13.54690,34.60940,25.45310,0.65840,-0.15680,0.15830,47.78410,395.44711,310.84030,0.81430,-0.33210,-0.10180,0.46510
13.57810,34.64060,25.50000,0.56350,-0.16380,0.17610,61.57810,398.13269,300.37271,0.80690,-0.34590,-0.06310,0.47470
13.29690,34.57810,25.32810,0.49140,-0.19830,0.21680,80.74310,397.36969,288.59299,0.79900,-0.35760,-0.02380,0.48280
13.31250,34.43750,25.25000,0.41950,-0.18520,0.21410,105.18770,389.28259,276.99631,0.79100,-0.36660,0.01560,0.48960
