hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
16.93750,38.67190,26.35940,0.82490,-0.14140,0.61760,-10.38240,-0.73210,-2.88040,0.88350,-0.13890,-0.42890,-0.12680
17.23440,38.85940,26.32810,0.83420,-0.14880,0.61200,-8.97850,-0.82360,-2.60580,0.88310,-0.14000,-0.42950,-0.12720
16.98440,38.59380,26.23440,0.84420,-0.15320,0.60440,-5.37750,-0.24380,-1.53760,0.88260,-0.14080,-0.43000,-0.12730
17.15620,38.71880,26.46880,0.84680,-0.15000,0.60070,-0.67780,1.06840,-0.01180,0.88230,-0.14110,-0.43060,-0.12730
16.89060,38.64060,26.26560,0.84100,-0.13960,0.60250,3.25900,2.65540,1.36150,0.88210,-0.14080,-0.43110,-0.12720
17.04690,38.65620,26.29690,0.83220,-0.12630,0.60690,4.84590,3.75400,2.09390,0.88220,-0.13970,-0.43130,-0.12730
17.00000,38.64060,26.21880,0.82540,-0.11520,0.60880,3.65570,3.81500,2.03290,0.88240,-0.13860,-0.43130,-0.12750
16.96880,38.56250,26.15620,0.82320,-0.11160,0.60870,0.11570,2.71640,1.27000,0.88240,-0.13770,-0.43120,-0.12790
16.89060,38.50000,26.39060,0.82570,-0.11630,0.60680,-4.09570,0.97690,0.23240,0.88230,-0.13720,-0.43150,-0.12850
17.09380,38.79690,26.23440,0.83250,-0.12630,0.60380,-6.93390,-0.61000,-0.65260,0.88190,-0.13730,-0.43210,-0.12900
16.92190,38.62500,26.31250,0.84140,-0.13420,0.60130,-7.54420,-1.43400,-0.98830,0.88140,-0.13790,-0.43280,-0.12940
17.34380,38.82810,26.39060,0.84810,-0.13810,0.59830,-6.04890,-1.31190,-0.77470,0.88090,-0.13860,-0.43360,-0.12970
16.89060,38.57810,26.39060,0.84800,-0.13640,0.59880,-2.93610,-0.33540,-0.16440,0.88050,-0.13890,-0.43420,-0.12980
17.18750,38.87500,26.42190,0.84250,-0.12810,0.60220,0.45140,1.00740,0.47650,0.88020,-0.13840,-0.43480,-0.13000
17.21880,38.92190,26.48440,0.83670,-0.11840,0.60360,2.34350,1.92290,0.69010,0.88020,-0.13750,-0.43510,-0.13030
17.37500,38.96880,26.50000,0.83200,-0.11250,0.60350,1.82470,1.98400,0.32390,0.88030,-0.13650,-0.43520,-0.13070
17.23440,38.89060,26.50000,0.82900,-0.11170,0.60420,-0.61670,1.37360,-0.53060,0.88030,-0.13560,-0.43530,-0.13120
17.35940,39.06250,26.54690,0.82780,-0.11440,0.60460,-3.69900,0.39710,-1.62920,0.88020,-0.13500,-0.43530,-0.13200
17.21880,39.00000,26.51560,0.82900,-0.11970,0.60400,-5.89630,-0.67110,-2.48370,0.88010,-0.13450,-0.43560,-0.13280
17.40620,39.10940,26.57810,0.83420,-0.12780,0.60240,-6.14040,-1.46450,-2.63630,0.87960,-0.13530,-0.43620,-0.13300
17.31250,38.93750,26.59380,0.84040,-0.13630,0.60090,-4.21780,-1.61710,-2.08700,0.87930,-0.13630,-0.43660,-0.13300
17.35940,39.00000,26.64060,0.84030,-0.13930,0.60250,-0.98290,-1.09830,-1.20200,0.87910,-0.13720,-0.43680,-0.13270
17.21880,39.01560,26.62500,0.83330,-0.13410,0.60690,1.85520,-0.18280,-0.56110,0.87940,-0.13740,-0.43620,-0.13240
17.32810,39.00000,26.57810,0.82670,-0.12600,0.60990,2.55710,0.27500,-0.53060,0.87970,-0.13670,-0.43570,-0.13260
17.31250,38.89060,26.59380,0.82390,-0.12200,0.61060,0.60400,-0.12170,-1.26300,0.88000,-0.13610,-0.43520,-0.13290
17.32810,38.92190,26.67190,0.82560,-0.12640,0.61300,-2.93610,-1.09830,-2.42270,0.88020,-0.13600,-0.43470,-0.13320
17.18750,38.89060,26.65620,0.82950,-0.13790,0.61500,-5.92680,-2.04440,-3.33820,0.88030,-0.13680,-0.43420,-0.13340
17.32810,39.06250,26.59380,0.83250,-0.15030,0.61470,-6.72020,-2.50210,-3.39920,0.88030,-0.13800,-0.43390,-0.13350
17.28120,38.90620,26.65620,0.83370,-0.15700,0.61640,-5.10280,-2.31900,-2.69730,0.88020,-0.13920,-0.43370,-0.13340
17.45310,38.96880,26.59380,0.83390,-0.15650,0.61800,-2.17310,-1.64760,-1.62920,0.88030,-0.14000,-0.43340,-0.13320
17.25000,38.85940,26.59380,0.83360,-0.14970,0.61640,0.63450,-1.03730,-0.68320,0.88040,-0.14070,-0.43290,-0.13280
17.32810,38.87500,26.53120,0.83150,-0.14080,0.61540,2.00780,-0.51850,-0.19490,0.88080,-0.14060,-0.43230,-0.13260
17.15620,38.87500,26.35940,0.82700,-0.13590,0.61790,1.39740,-0.12170,-0.19490,0.88110,-0.14020,-0.43170,-0.13270
17.39060,38.92190,26.51560,0.82440,-0.13760,0.62170,-0.61670,0.03080,-0.56110,0.88140,-0.14000,-0.43100,-0.13280
17.20310,38.82810,26.54690,0.82580,-0.14470,0.62300,-2.50880,-0.12170,-0.92730,0.88170,-0.14040,-0.43030,-0.13270
17.28120,39.00000,26.59380,0.82960,-0.15310,0.62080,-2.87500,-0.18280,-0.95780,0.88180,-0.14140,-0.42990,-0.13250
17.18750,38.89060,26.57810,0.83200,-0.15680,0.61790,-1.22710,0.09190,-0.34750,0.88190,-0.14230,-0.42960,-0.13210
17.34380,38.92190,26.54690,0.83100,-0.15250,0.61570,1.64160,0.70220,0.69010,0.88190,-0.14310,-0.42950,-0.13160
17.28120,38.87500,26.51560,0.82930,-0.14330,0.61430,4.32710,1.25150,1.66670,0.88180,-0.14210,-0.42990,-0.13170
17.39060,38.93750,26.60940,0.82820,-0.13390,0.61230,5.39520,1.31260,2.12450,0.88190,-0.14090,-0.43020,-0.13180
17.28120,38.92190,26.53120,0.82770,-0.12730,0.60980,4.29660,0.88530,1.84980,0.88180,-0.13990,-0.43050,-0.13190
17.40620,39.06250,26.60940,0.82630,-0.12590,0.60800,1.79420,0.39710,1.02580,0.88170,-0.13900,-0.43100,-0.13220
17.31250,38.87500,26.57810,0.82580,-0.12780,0.60700,-0.89140,0.12240,0.04930,0.88150,-0.13840,-0.43150,-0.13260
17.37500,38.93750,26.60940,0.82920,-0.13120,0.60550,-2.81400,0.06140,-0.68320,0.88110,-0.13840,-0.43210,-0.13290
17.17190,38.87500,26.56250,0.83560,-0.13620,0.60290,-3.51590,0.09190,-0.92730,0.88080,-0.13890,-0.43270,-0.13300
17.35940,39.06250,26.57810,0.84320,-0.14100,0.59980,-2.60040,0.18340,-0.50000,0.88040,-0.13950,-0.43330,-0.13300
17.26560,38.93750,26.57810,0.84770,-0.14270,0.59820,-0.03690,0.54960,0.50700,0.88010,-0.13990,-0.43380,-0.13290
17.42190,39.04690,26.59380,0.84480,-0.14200,0.60070,3.13690,1.19050,1.78880,0.87990,-0.14010,-0.43430,-0.13250
17.26560,38.92190,26.70310,0.83690,-0.13980,0.60590,5.60890,1.70930,2.88740,0.87980,-0.14040,-0.43460,-0.13180
17.42190,39.09380,26.64060,0.83120,-0.13590,0.61020,6.31080,1.55670,3.31470,0.88030,-0.13960,-0.43400,-0.13140
17.29690,38.98440,26.57810,0.83090,-0.13580,0.61470,5.15110,0.82430,3.04000,0.88080,-0.13900,-0.43330,-0.13110
17.42190,38.96880,26.60940,0.83280,-0.14790,0.62360,2.64870,0.09190,2.33810,0.88110,-0.13930,-0.43260,-0.13060
17.26560,38.79690,26.60940,0.83480,-0.17620,0.63780,-0.49470,-0.09120,1.57510,0.88140,-0.14000,-0.43200,-0.13010
17.37500,38.90620,26.65620,0.84160,-0.21700,0.65930,-3.76000,0.51910,1.14790,0.88150,-0.14110,-0.43140,-0.12980
17.23440,38.84380,26.59380,0.85600,-0.26210,0.68770,-7.08650,2.53330,1.84980,0.88180,-0.14240,-0.43060,-0.12950
17.25000,38.64060,26.51560,0.86940,-0.30820,0.72580,-10.26030,6.62260,4.90160,0.88210,-0.14390,-0.42940,-0.12920
