hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
17.35938,37.87500,28.17188,0.99479,-0.13691,0.25846,1.36691,-0.57951,1.97188,0.78049,-0.17720,-0.58679,-0.12289
17.25000,37.90625,28.03125,0.99149,-0.13618,0.26103,1.94675,-0.76261,2.61275,0.78093,-0.17697,-0.58631,-0.12273
17.25000,37.73438,27.89062,0.98721,-0.13388,0.26311,2.77072,-0.79313,3.10103,0.78136,-0.17657,-0.58589,-0.12261
17.09375,37.59375,27.59375,0.98110,-0.12589,0.26421,3.65573,-0.67106,3.37569,0.78167,-0.17587,-0.58567,-0.12264
17.10938,37.59375,27.85938,0.97682,-0.11343,0.26372,4.29660,-0.42692,3.58931,0.78187,-0.17502,-0.58565,-0.12274
16.93750,37.65625,27.75000,0.97853,-0.10157,0.26176,4.23557,-0.06071,3.61983,0.78196,-0.17414,-0.58575,-0.12287
16.87500,37.65625,27.54688,0.98513,-0.09564,0.26042,3.41159,0.39706,3.07051,0.78200,-0.17329,-0.58591,-0.12310
17.23438,37.71875,27.68750,0.99088,-0.09915,0.26164,2.12985,0.70223,1.75825,0.78201,-0.17246,-0.58606,-0.12349
17.35938,37.78125,27.89062,0.99430,-0.10968,0.26360,1.12277,0.58016,-0.04228,0.78200,-0.17161,-0.58620,-0.12405
17.31250,37.85938,28.10938,1.00017,-0.12166,0.26299,0.78708,0.09188,-1.65972,0.78178,-0.17078,-0.58659,-0.12468
17.29688,38.00000,27.96875,1.00811,-0.13158,0.25993,0.90915,-0.51847,-2.51421,0.78141,-0.17110,-0.58705,-0.12445
17.43750,38.01562,27.96875,1.01410,-0.13933,0.25846,1.09225,-1.06779,-2.48369,0.78110,-0.17156,-0.58740,-0.12408
17.53125,37.85938,28.03125,1.01704,-0.14514,0.25871,0.97018,-1.37296,-1.69023,0.78087,-0.17214,-0.58765,-0.12358
17.43750,37.84375,28.21875,1.01692,-0.14937,0.25871,0.66501,-1.46452,-0.40849,0.78069,-0.17285,-0.58781,-0.12298
17.34375,38.00000,28.14062,1.01093,-0.15107,0.25859,0.63449,-1.31193,1.05635,0.78060,-0.17364,-0.58784,-0.12225
17.40625,37.98438,28.04688,0.99748,-0.14962,0.25920,1.09225,-1.00675,2.30757,0.78070,-0.17445,-0.58764,-0.12142
17.45312,37.93750,27.98438,0.97926,-0.14344,0.26103,1.97726,-0.79313,3.10103,0.78108,-0.17495,-0.58714,-0.12068
17.48438,37.87500,28.20312,0.96166,-0.13316,0.26274,2.92331,-0.82365,3.37569,0.78156,-0.17482,-0.58662,-0.12031
17.39062,37.95312,28.17188,0.95213,-0.12396,0.26323,3.44211,-1.15934,3.22310,0.78196,-0.17436,-0.58625,-0.12017
17.34375,38.04688,28.10938,0.95164,-0.11791,0.26311,3.19797,-1.64762,2.67378,0.78225,-0.17373,-0.58604,-0.12020
17.48438,38.04688,27.98438,0.95726,-0.11428,0.26421,2.19089,-2.07487,1.66670,0.78244,-0.17304,-0.58595,-0.12041
17.51562,37.89062,28.10938,0.96680,-0.11512,0.26641,0.72604,-2.22746,0.38496,0.78258,-0.17238,-0.58588,-0.12079
17.35938,37.85938,28.23438,0.97706,-0.12142,0.26543,-0.76932,-2.07487,-0.86626,0.78269,-0.17176,-0.58580,-0.12133
17.21875,37.90625,28.18750,0.98587,-0.13049,0.26030,-1.86795,-1.61710,-1.90386,0.78214,-0.17203,-0.58644,-0.12141
