hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
19.51560,40.89060,27.90620,-0.50780,-0.21180,0.83870,0.60400,0.67170,-0.68320,0.95570,-0.08840,0.27170,-0.07050
19.51560,40.89060,27.89060,-0.50570,-0.21700,0.83530,0.23780,0.73270,-0.95780,0.95560,-0.08930,0.27170,-0.07090
19.28120,40.60940,27.85940,-0.50320,-0.21960,0.83090,0.08520,0.76330,-1.14090,0.95550,-0.09030,0.27180,-0.07120
19.20310,40.51560,27.67190,-0.50280,-0.21910,0.82800,0.20720,0.88530,-1.20200,0.95530,-0.09120,0.27200,-0.07160
19.34380,40.79690,27.62500,-0.50450,-0.21680,0.82960,0.39040,1.09900,-1.23250,0.95510,-0.09210,0.27230,-0.07190
19.45310,40.90620,27.82810,-0.50610,-0.21290,0.83230,0.45140,1.28210,-1.20200,0.95510,-0.09120,0.27270,-0.07180
19.51560,40.90620,27.95310,-0.50710,-0.20940,0.83480,0.42090,1.31260,-1.17140,0.95520,-0.09020,0.27260,-0.07160
19.51560,40.90620,27.98440,-0.50730,-0.20950,0.83730,0.29880,1.34310,-1.14090,0.95540,-0.08950,0.27220,-0.07160
19.34380,40.76560,27.81250,-0.50930,-0.20940,0.83950,0.29880,1.40410,-1.01880,0.95550,-0.08860,0.27220,-0.07150
19.32810,40.71880,27.75000,-0.51260,-0.20720,0.84090,0.39040,1.49570,-0.89680,0.95540,-0.08790,0.27290,-0.07130
19.25000,40.62500,27.68750,-0.51300,-0.20650,0.84010,0.35980,1.49570,-0.89680,0.95530,-0.08710,0.27350,-0.07110
19.28120,40.60940,27.65620,-0.51140,-0.20690,0.83920,0.29880,1.25150,-0.92730,0.95540,-0.08760,0.27290,-0.07150
19.29690,40.64060,27.71880,-0.51080,-0.20640,0.84010,0.20720,0.88530,-0.83570,0.95560,-0.08690,0.27240,-0.07140
19.32810,40.71880,27.71880,-0.51230,-0.20570,0.84300,0.02410,0.54960,-0.71370,0.95560,-0.08600,0.27260,-0.07120
19.46880,40.90620,27.84380,-0.51520,-0.20860,0.84670,-0.25050,0.12240,-0.68320,0.95550,-0.08690,0.27270,-0.07150
19.53120,40.95310,27.96880,-0.51930,-0.21280,0.85580,-0.22000,-0.79310,-0.65260,0.95550,-0.08790,0.27230,-0.07180
19.59380,40.98440,28.01560,-0.52410,-0.21500,0.86850,0.14620,-2.59370,-0.59160,0.95580,-0.08800,0.27120,-0.07200
19.62500,41.03120,28.01560,-0.52820,-0.21870,0.88160,0.51240,-5.09610,-0.74420,0.95610,-0.08820,0.26990,-0.07220
19.57810,41.04690,28.09380,-0.53280,-0.22760,0.90070,1.24480,-8.14790,-1.38510,0.95640,-0.08880,0.26850,-0.07250
19.57810,41.03120,28.09380,-0.54050,-0.23990,0.92940,4.81540,-11.38270,-2.36160,0.95680,-0.08910,0.26680,-0.07300
19.50000,40.92190,28.12500,-0.55220,-0.24970,0.96310,12.38380,-12.23720,-3.61280,0.95730,-0.08890,0.26500,-0.07370
19.42190,40.92190,28.07810,-0.56860,-0.25320,1.00290,20.68450,-9.27700,-5.23030,0.95780,-0.08760,0.26320,-0.07470
19.51560,41.04690,28.40620,-0.59570,-0.23600,1.05480,25.59790,-6.56100,-6.54250,0.95830,-0.08500,0.26190,-0.07570
19.50000,41.10940,28.81250,-0.64190,-0.18750,1.11380,25.71990,-7.53750,-5.19980,0.95880,-0.08210,0.26110,-0.07640
19.54690,41.18750,29.20310,-0.70020,-0.11120,1.15130,22.45460,-11.65740,-0.40850,0.95930,-0.07930,0.26010,-0.07660
19.64060,41.37500,29.57810,-0.74070,-0.01540,1.15470,14.30640,-18.24920,4.59640,0.95980,-0.07720,0.25880,-0.07610
19.78120,41.53120,30.03120,-0.75960,0.03020,1.16930,-1.62380,-24.10860,3.31470,0.96040,-0.07650,0.25700,-0.07540
19.93750,41.78120,30.40620,-0.80830,-0.04410,1.26610,-20.39210,-24.01700,-5.68800,0.96080,-0.07760,0.25540,-0.07500
20.18750,42.03120,30.73440,-0.91290,-0.15590,1.44640,-30.73760,-18.27970,-13.07330,0.96090,-0.07970,0.25440,-0.07500
20.45310,42.28120,31.07810,-1.04740,-0.19160,1.65040,-28.50980,-8.39200,-13.22590,0.96070,-0.08160,0.25430,-0.07520
20.71880,42.51560,31.32810,-1.16440,-0.15450,1.80990,-18.34740,8.20960,-8.40410,0.96040,-0.08240,0.25540,-0.07530
20.96880,42.70310,31.56250,-1.21190,-0.09680,1.86190,-5.53010,33.32550,0.11030,0.95960,-0.08180,0.25860,-0.07510
21.21880,42.90620,31.73440,-1.15840,-0.10220,1.79750,7.10420,65.21640,7.80070,0.95820,-0.07970,0.26440,-0.07480
21.45310,43.03120,31.92190,-1.04140,-0.18690,1.67000,19.12810,98.32800,9.17400,0.95610,-0.07630,0.27280,-0.07490
21.65620,43.14060,32.15620,-0.96870,-0.24120,1.55960,29.16840,126.37360,7.70920,0.95330,-0.07190,0.28330,-0.07550
21.87500,43.28120,32.26560,-0.98700,-0.22310,1.49540,31.85400,148.40730,7.37350,0.94990,-0.06710,0.29570,-0.07630
22.03120,43.40620,32.45310,-1.04290,-0.19140,1.44690,23.79730,168.21320,5.42040,0.94550,-0.06300,0.30990,-0.07710
22.21880,43.54690,32.54690,-1.07140,-0.17720,1.37750,10.12550,187.74451,2.21600,0.94030,-0.06000,0.32570,-0.07790
