hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
21.28120,43.65620,25.50000,-0.20980,-0.56100,0.81010,-1.37970,-13.91570,-1.07990,0.94600,-0.28370,0.13340,-0.08280
21.07810,43.53120,25.43750,-0.20360,-0.56490,0.81080,0.05470,-15.92980,1.20890,0.94620,-0.28410,0.13130,-0.08260
20.81250,43.34380,25.06250,-0.19410,-0.57770,0.81000,2.55710,-18.34070,3.07050,0.94630,-0.28470,0.12930,-0.08220
20.87500,43.64060,25.01560,-0.18730,-0.58680,0.80810,6.46330,-20.41590,4.47430,0.94650,-0.28510,0.12730,-0.08160
21.07810,43.95310,25.17190,-0.18380,-0.58190,0.80750,10.33910,-21.05680,5.72550,0.94680,-0.28510,0.12520,-0.08090
21.01560,44.00000,25.26560,-0.17890,-0.57490,0.81000,13.29930,-20.14130,7.19040,0.94730,-0.28470,0.12290,-0.08030
21.17190,44.23440,25.28120,-0.17430,-0.57550,0.81450,16.01540,-18.70690,8.83830,0.94780,-0.28400,0.12080,-0.07950
21.09380,44.28120,25.32810,-0.17390,-0.57350,0.81830,19.06710,-17.54730,10.54730,0.94850,-0.28310,0.11870,-0.07870
21.18750,44.46880,25.37500,-0.17590,-0.56510,0.82020,21.60010,-16.17400,12.10370,0.94920,-0.28180,0.11670,-0.07780
21.10940,44.45310,25.42190,-0.17830,-0.55410,0.82410,22.72920,-14.58710,13.35490,0.95020,-0.27910,0.11540,-0.07660
21.14060,44.56250,25.48440,-0.17980,-0.54410,0.83330,22.63770,-13.51900,14.11790,0.95130,-0.27630,0.11440,-0.07530
21.07810,44.54690,25.50000,-0.18130,-0.54100,0.83980,22.24090,-13.00020,14.42300,0.95230,-0.27350,0.11360,-0.07390
21.15620,44.64060,25.57810,-0.18670,-0.54130,0.84100,21.99680,-11.90150,14.66720,0.95310,-0.27100,0.11350,-0.07230
21.07810,44.51560,25.57810,-0.19630,-0.53790,0.84040,22.11890,-9.94840,14.88080,0.95380,-0.26880,0.11380,-0.07080
21.12500,44.56250,25.60940,-0.20780,-0.52820,0.83930,22.27150,-8.42250,14.66720,0.95450,-0.26650,0.11420,-0.06930
21.00000,44.51560,25.70310,-0.21710,-0.51610,0.83830,21.29490,-7.84270,13.90430,0.95520,-0.26420,0.11460,-0.06790
21.14060,44.57810,25.79690,-0.22100,-0.50800,0.84110,19.34180,-7.96480,12.77510,0.95580,-0.26210,0.11500,-0.06650
21.06250,44.56250,25.82810,-0.21680,-0.50780,0.84590,18.21260,-8.42250,11.49340,0.95650,-0.26000,0.11530,-0.06530
21.15620,44.71880,25.89060,-0.20840,-0.51420,0.84740,18.97560,-8.69720,9.87590,0.95700,-0.25810,0.11560,-0.06420
21.03120,44.67190,25.89060,-0.20230,-0.51880,0.84650,20.25730,-8.26990,7.86180,0.95740,-0.25670,0.11580,-0.06330
21.09380,44.84380,25.96880,-0.19740,-0.51430,0.84540,20.07420,-7.38490,5.96970,0.95780,-0.25540,0.11600,-0.06270
21.01560,44.81250,26.00000,-0.19110,-0.50440,0.84760,18.36520,-6.86610,4.38280,0.95850,-0.25300,0.11530,-0.06230
21.12500,45.01560,26.04690,-0.18500,-0.49590,0.85400,16.19850,-6.77460,3.19260,0.95920,-0.25100,0.11410,-0.06210
21.01560,44.96880,26.09380,-0.17670,-0.49410,0.85910,15.00830,-6.40840,2.46020,0.95980,-0.24940,0.11280,-0.06210
21.14060,45.14060,26.10940,-0.16690,-0.50040,0.86030,15.31340,-5.24870,1.97190,0.96020,-0.24830,0.11130,-0.06230
21.04690,45.07810,26.14060,-0.16090,-0.50250,0.86220,16.01540,-3.53970,1.63620,0.96060,-0.24730,0.11010,-0.06250
21.12500,45.17190,26.18750,-0.16000,-0.49400,0.86770,15.98480,-1.83070,1.66670,0.96110,-0.24600,0.10890,-0.06270
21.04690,45.15620,26.20310,-0.16280,-0.48570,0.87290,15.77120,-0.42690,2.18550,0.96160,-0.24430,0.10800,-0.06280
21.14060,45.26560,26.25000,-0.16550,-0.48510,0.87190,16.50360,1.37360,3.04000,0.96210,-0.24260,0.10720,-0.06300
21.07810,45.14060,26.29690,-0.16740,-0.48630,0.86850,17.35810,3.90660,3.83340,0.96250,-0.24130,0.10660,-0.06320
21.14060,45.25000,26.37500,-0.17230,-0.48140,0.86830,16.96140,5.95130,4.23020,0.96290,-0.23970,0.10620,-0.06330
21.07810,45.07810,26.43750,-0.18180,-0.47190,0.87000,15.52710,7.04990,4.10810,0.96330,-0.23760,0.10730,-0.06300
21.18750,45.12500,26.53120,-0.19060,-0.46610,0.87110,13.48240,7.99590,3.37570,0.96360,-0.23580,0.10880,-0.06280
21.07810,44.95310,26.56250,-0.19870,-0.46530,0.87140,11.59030,9.24720,2.18550,0.96380,-0.23440,0.11040,-0.06270
21.17190,45.00000,26.62500,-0.20580,-0.46700,0.87350,10.88840,10.43730,0.65960,0.96390,-0.23320,0.11220,-0.06270
21.12500,44.92190,26.64060,-0.20650,-0.47080,0.87830,11.10200,11.41390,-0.98830,0.96390,-0.23210,0.11400,-0.06290
21.25000,44.93750,26.79690,-0.20010,-0.47940,0.87940,11.89550,12.05480,-2.45320,0.96380,-0.23180,0.11540,-0.06340
21.17190,44.73440,26.98440,-0.19330,-0.49000,0.87540,13.39080,12.81770,-3.58230,0.96370,-0.23150,0.11630,-0.06420
21.25000,44.62500,27.14060,-0.19390,-0.48910,0.87300,15.46600,13.97740,-4.40630,0.96370,-0.23110,0.11720,-0.06510
21.17190,44.37500,27.29690,-0.20160,-0.47400,0.87020,17.14450,14.92340,-5.19980,0.96360,-0.23040,0.11870,-0.06600
21.29690,44.23440,27.50000,-0.21140,-0.45400,0.86880,17.60230,15.01500,-6.14580,0.96380,-0.22830,0.12050,-0.06670
21.04690,43.78120,27.57810,-0.22180,-0.43940,0.87290,16.71730,14.13000,-6.93930,0.96400,-0.22620,0.12210,-0.06750
21.04690,43.64060,27.64060,-0.23230,-0.43100,0.87720,14.58100,12.45150,-7.76320,0.96420,-0.22430,0.12350,-0.06840
20.95310,43.42190,27.76560,-0.23970,-0.42480,0.87830,11.46820,10.22370,-9.07550,0.96440,-0.22260,0.12480,-0.06920
21.04690,43.43750,27.85940,-0.24260,-0.42230,0.87910,7.74510,8.02650,-10.66240,0.96450,-0.22140,0.12590,-0.07010
20.96880,43.40620,27.95310,-0.23230,-0.43300,0.88480,3.80830,6.37850,-11.85260,0.96450,-0.22040,0.12680,-0.07100
21.07810,43.46880,28.01560,-0.20560,-0.46140,0.88710,1.24480,5.92070,-12.15780,0.96430,-0.22110,0.12640,-0.07240
21.10940,43.46880,28.18750,-0.17840,-0.49460,0.88040,1.45850,7.23300,-11.45590,0.96410,-0.22180,0.12620,-0.07380
21.29690,43.53120,28.42190,-0.16880,-0.50420,0.87440,4.05250,9.39970,-10.08260,0.96390,-0.22220,0.12620,-0.07510
21.23440,43.39060,28.62500,-0.17910,-0.48290,0.87390,7.95870,10.86460,-8.98390,0.96370,-0.22230,0.12620,-0.07640
21.37500,43.43750,28.82810,-0.19520,-0.45230,0.88010,12.32270,11.99370,-9.10600,0.96390,-0.22140,0.12600,-0.07770
21.32810,43.32810,29.04690,-0.20910,-0.43000,0.88760,16.22900,12.97030,-9.96050,0.96420,-0.21920,0.12660,-0.07890
21.42190,43.40620,29.26560,-0.22020,-0.41750,0.89140,17.90740,12.63460,-10.72340,0.96450,-0.21680,0.12750,-0.08010
21.34380,43.31250,29.42190,-0.22900,-0.41020,0.89030,15.16090,10.58990,-11.15070,0.96480,-0.21470,0.12840,-0.08130
21.43750,43.35940,29.51560,-0.23820,-0.41230,0.88490,8.56910,7.59920,-11.36430,0.96490,-0.21330,0.12930,-0.08230
21.32810,43.26560,29.64060,-0.24260,-0.42670,0.87820,1.61110,4.85260,-11.42530,0.96480,-0.21290,0.13040,-0.08310
21.42190,43.35940,29.71880,-0.23630,-0.45180,0.87280,-3.02760,3.14360,-11.42530,0.96440,-0.21380,0.13120,-0.08400
21.39060,43.31250,29.81250,-0.22340,-0.48020,0.86920,-4.12630,2.47230,-11.60840,0.96400,-0.21510,0.13140,-0.08500
21.43750,43.35940,29.87500,-0.21060,-0.49690,0.87010,-1.65430,2.71640,-11.94410,0.96360,-0.21630,0.13140,-0.08620
21.34380,43.28120,29.89060,-0.20200,-0.49660,0.87280,3.28950,3.60140,-12.21880,0.96330,-0.21700,0.13120,-0.08740
21.39060,43.29690,29.95310,-0.19790,-0.48510,0.87450,8.72160,4.73060,-12.52400,0.96320,-0.21720,0.13100,-0.08890
21.34380,43.17190,30.07810,-0.19980,-0.46680,0.87770,13.26880,5.64610,-12.76810,0.96320,-0.21700,0.13060,-0.09040
21.37500,43.21880,30.14060,-0.20260,-0.45680,0.87980,15.13030,5.85970,-12.85970,0.96320,-0.21650,0.13000,-0.09200
21.28120,43.15620,30.17190,-0.21020,-0.43550,0.88620,17.75490,5.82920,-12.92070,0.96360,-0.21430,0.12980,-0.09340
21.42190,43.26560,30.23440,-0.21960,-0.41780,0.88990,17.96850,5.55450,-12.89020,0.96390,-0.21200,0.13010,-0.09460
21.29690,43.07810,30.29690,-0.22570,-0.41170,0.89010,15.25240,5.31040,-12.64600,0.96420,-0.21000,0.13050,-0.09580
21.28120,43.14060,30.32810,-0.22540,-0.41790,0.88670,11.31560,4.42540,-12.27980,0.96440,-0.20830,0.13100,-0.09680
21.28120,43.15620,30.35940,-0.22130,-0.43170,0.88090,8.17230,2.62480,-11.79160,0.96430,-0.20800,0.13190,-0.09780
21.39060,43.26560,30.46880,-0.21610,-0.44480,0.87730,6.40230,0.64120,-11.21170,0.96400,-0.20840,0.13190,-0.09890
21.29690,43.20310,30.48440,-0.21310,-0.45240,0.87830,5.42580,-0.39640,-10.35720,0.96390,-0.20900,0.13160,-0.09990
21.32810,43.25000,30.51560,-0.21090,-0.45460,0.88340,5.09010,-0.51850,-9.22810,0.96370,-0.20960,0.13130,-0.10080
21.28120,43.23440,30.53120,-0.20780,-0.45090,0.88610,5.88350,-0.64050,-8.09890,0.96350,-0.21010,0.13080,-0.10170
21.39060,43.29690,30.56250,-0.20470,-0.44880,0.88730,7.77560,-0.91520,-7.06130,0.96350,-0.21030,0.13010,-0.10260
21.34380,43.25000,30.53120,-0.20230,-0.45040,0.88950,9.85080,-0.85420,-5.90170,0.96350,-0.21040,0.12940,-0.10340
21.45310,43.32810,30.54690,-0.20310,-0.44420,0.89120,11.46820,-0.57950,-4.61990,0.96360,-0.21020,0.12850,-0.10410
21.35940,43.21880,30.54690,-0.20650,-0.43170,0.89270,12.50580,-0.67110,-3.58230,0.96400,-0.20830,0.12810,-0.10450
21.46880,43.29690,30.53120,-0.20800,-0.42440,0.89340,12.56690,-1.18990,-3.06350,0.96440,-0.20640,0.12790,-0.10470
21.35940,43.09380,30.51560,-0.20510,-0.42270,0.89280,11.55980,-1.73920,-2.88040,0.96480,-0.20460,0.12750,-0.10500
21.28120,43.07810,30.39060,-0.20230,-0.42270,0.89040,10.12550,-1.89180,-2.69730,0.96520,-0.20330,0.12640,-0.10540
21.15620,43.00000,30.34380,-0.20320,-0.42340,0.88970,9.17940,-1.58660,-2.57520,0.96510,-0.20330,0.12660,-0.10570
21.23440,43.06250,30.37500,-0.20650,-0.42190,0.89190,8.75220,-1.34240,-2.72780,0.96520,-0.20240,0.12730,-0.10580
21.12500,42.96880,30.34380,-0.20860,-0.41810,0.89490,8.29440,-1.67810,-3.15510,0.96550,-0.20100,0.12760,-0.10590
21.18750,43.04690,30.34380,-0.20500,-0.41750,0.89740,7.22630,-2.80730,-3.52130,0.96580,-0.19970,0.12680,-0.10620
21.12500,42.98440,30.35940,-0.19650,-0.42180,0.90160,5.54780,-4.21110,-3.42970,0.96590,-0.19970,0.12540,-0.10680
21.20310,43.04690,30.42190,-0.18860,-0.42620,0.90560,4.17450,-4.72990,-2.81940,0.96600,-0.19990,0.12410,-0.10720
21.12500,43.01560,30.42190,-0.18440,-0.42510,0.90450,4.02190,-3.99750,-2.27010,0.96610,-0.20000,0.12280,-0.10760
21.34380,43.20310,30.59380,-0.18640,-0.42000,0.90260,4.90700,-2.34950,-1.96490,0.96620,-0.19990,0.12160,-0.10800
21.26560,43.10940,30.62500,-0.19330,-0.41640,0.90380,5.76140,-0.51850,-1.59870,0.96650,-0.19870,0.12090,-0.10820
21.37500,43.23440,30.71880,-0.19880,-0.41630,0.90640,6.00560,0.64120,-1.17140,0.96660,-0.19790,0.12180,-0.10820
21.31250,43.18750,30.76560,-0.20000,-0.41770,0.90780,5.88350,0.76330,-0.86630,0.96650,-0.19760,0.12270,-0.10810
21.42190,43.31250,30.82810,-0.19710,-0.41670,0.90730,5.79200,0.24450,-0.65260,0.96650,-0.19790,0.12220,-0.10850
21.31250,43.20310,30.82810,-0.19490,-0.41300,0.90740,5.76140,-0.15230,-0.59160,0.96680,-0.19670,0.12160,-0.10860
21.39060,43.26560,30.82810,-0.19710,-0.40730,0.90780,5.66990,-0.12170,-0.50000,0.96710,-0.19530,0.12170,-0.10860
21.32810,43.18750,30.81250,-0.20000,-0.40340,0.90780,5.48680,0.18340,-0.43900,0.96730,-0.19400,0.12210,-0.10850
21.43750,43.29690,30.84380,-0.19900,-0.40400,0.90820,5.15110,0.48860,-0.53060,0.96750,-0.19270,0.12250,-0.10840
21.35940,43.20310,30.82810,-0.19590,-0.40710,0.90740,4.47970,0.70220,-0.53060,0.96750,-0.19320,0.12190,-0.10870
21.45310,43.28120,30.84380,-0.19370,-0.40960,0.90600,3.71680,0.88530,-0.43900,0.96740,-0.19370,0.12160,-0.10900
21.34380,43.21880,30.85940,-0.19340,-0.40900,0.90690,3.38110,1.03790,-0.25590,0.96730,-0.19420,0.12110,-0.10930
21.46880,43.31250,30.90620,-0.19390,-0.40670,0.90820,3.59470,1.34310,-0.10330,0.96760,-0.19310,0.12070,-0.10940
21.37500,43.21880,30.84380,-0.19570,-0.40560,0.90970,3.83880,1.67880,-0.07280,0.96760,-0.19240,0.12160,-0.10920
21.46880,43.34380,30.90620,-0.20010,-0.40540,0.90930,3.71680,1.61780,-0.07280,0.96750,-0.19210,0.12270,-0.10910
21.31250,43.15620,30.85940,-0.20340,-0.40520,0.90490,3.28950,0.91590,-0.04230,0.96740,-0.19200,0.12360,-0.10900
21.40620,43.28120,30.79690,-0.20380,-0.40810,0.90140,2.67920,-0.09120,0.07980,0.96730,-0.19250,0.12420,-0.10890
21.37500,43.26560,30.84380,-0.20330,-0.41430,0.90150,2.22140,-1.03730,0.29340,0.96710,-0.19310,0.12440,-0.10890
21.51560,43.40620,30.92190,-0.20050,-0.41790,0.90210,2.22140,-1.55610,0.50700,0.96700,-0.19380,0.12440,-0.10900
21.46880,43.35940,30.90620,-0.19620,-0.41750,0.90230,2.74020,-1.37300,0.59860,0.96690,-0.19450,0.12400,-0.10910
21.57810,43.48440,30.90620,-0.19320,-0.41590,0.90370,3.59470,-0.61000,0.53760,0.96690,-0.19500,0.12340,-0.10920
21.46880,43.32810,30.85940,-0.19260,-0.41080,0.90620,4.47970,0.21400,0.38500,0.96700,-0.19490,0.12240,-0.10950
21.60940,43.43750,30.92190,-0.19500,-0.40270,0.90870,5.05950,0.82430,0.17130,0.96730,-0.19360,0.12210,-0.10950
21.53120,43.32810,30.87500,-0.19700,-0.39700,0.91010,5.02900,1.22100,0.07980,0.96750,-0.19230,0.12210,-0.10950
21.65620,43.42190,30.87500,-0.19660,-0.39490,0.91190,4.26610,1.40410,0.07980,0.96780,-0.19100,0.12200,-0.10950
21.59380,43.39060,30.85940,-0.19480,-0.39450,0.91390,3.07590,1.61780,0.14080,0.96800,-0.18990,0.12180,-0.10960
21.65620,43.50000,30.90620,-0.19370,-0.39630,0.91360,1.82470,1.86190,0.29340,0.96820,-0.18910,0.12130,-0.10970
21.57810,43.39060,30.92190,-0.19660,-0.39980,0.91230,0.84810,2.13660,0.50700,0.96800,-0.18990,0.12180,-0.10970
21.65620,43.50000,30.93750,-0.20180,-0.40200,0.90980,0.32930,2.28910,0.69010,0.96790,-0.19010,0.12290,-0.10950
21.53120,43.39060,30.93750,-0.20560,-0.40460,0.90710,0.20720,1.98400,0.81220,0.96770,-0.19050,0.12390,-0.10930
21.64060,43.46880,30.92190,-0.20700,-0.40950,0.90620,0.45140,1.09900,0.99530,0.96750,-0.19110,0.12460,-0.10920
