hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
-14.82810,-67.62500,-44.18750,0.95480,-0.07780,0.40130,1.24480,-0.94570,1.20890,0.68460,-0.35390,-0.42770,-0.47230
-14.84380,-67.57810,-44.26560,0.95440,-0.07530,0.40320,0.72600,-0.88470,1.02580,0.68460,-0.35320,-0.42790,-0.47270
-14.89060,-67.65620,-44.26560,0.95480,-0.07770,0.40420,0.05470,-1.03730,0.87320,0.68470,-0.35260,-0.42780,-0.47310
-14.90620,-67.65620,-44.32810,0.95210,-0.08010,0.40700,-0.43360,-0.88470,0.69010,0.68500,-0.35220,-0.42740,-0.47330
-14.89060,-67.70310,-44.34380,0.94880,-0.08050,0.40870,-0.64720,-0.45740,0.47650,0.68540,-0.35190,-0.42690,-0.47350
-14.89060,-67.64060,-44.32810,0.94880,-0.08100,0.40680,-0.70830,-0.39640,0.32390,0.68570,-0.35160,-0.42640,-0.47370
-14.87500,-67.65620,-44.32810,0.95130,-0.08280,0.40530,-0.55570,-0.79310,0.35440,0.68610,-0.35180,-0.42570,-0.47360
-14.87500,-67.59380,-44.37500,0.95150,-0.08300,0.40860,-0.15900,-0.82360,0.56810,0.68650,-0.35150,-0.42520,-0.47370
-14.87500,-67.71880,-44.37500,0.95180,-0.08060,0.41180,0.14620,-0.45740,0.78170,0.68670,-0.35100,-0.42490,-0.47400
-14.92190,-67.70310,-44.45310,0.95470,-0.07820,0.41120,-0.00640,-0.24380,0.90380,0.68670,-0.35030,-0.42510,-0.47440
-14.93750,-67.75000,-44.46880,0.95580,-0.07750,0.41080,-0.46410,-0.21330,0.99530,0.68650,-0.34960,-0.42540,-0.47490
-14.95310,-67.70310,-44.51560,0.95460,-0.07750,0.41130,-0.73880,-0.03020,0.99530,0.68650,-0.34900,-0.42540,-0.47530
-14.98440,-67.73440,-44.48440,0.95360,-0.07550,0.41020,-0.64720,0.30550,0.84270,0.68610,-0.34850,-0.42600,-0.47570
-14.92190,-67.65620,-44.45310,0.95270,-0.07350,0.40960,-0.40310,0.45810,0.56810,0.68580,-0.34800,-0.42650,-0.47610
-14.87500,-67.65620,-44.40620,0.95150,-0.07250,0.41200,-0.25050,0.33600,0.11030,0.68600,-0.34740,-0.42620,-0.47650
-14.87500,-67.62500,-44.45310,0.95160,-0.07320,0.41560,-0.34210,0.03080,-0.34750,0.68630,-0.34700,-0.42570,-0.47680
-14.53120,-67.18750,-44.20310,0.95540,-0.07750,0.41690,-0.64720,-0.30480,-0.59160,0.68670,-0.34730,-0.42500,-0.47660
-14.21880,-66.92190,-43.84380,0.95980,-0.08300,0.41680,-0.89140,-0.45740,-0.56110,0.68690,-0.34800,-0.42450,-0.47620
-14.06250,-66.85940,-43.62500,0.96130,-0.08580,0.41780,-0.76930,-0.03020,-0.28640,0.68720,-0.34870,-0.42400,-0.47580
-13.98440,-66.71880,-43.54690,0.95910,-0.08520,0.41900,-0.28100,0.85480,0.14080,0.68770,-0.34910,-0.42320,-0.47550
-14.15620,-67.00000,-43.50000,0.95520,-0.08200,0.41730,0.51240,1.58720,0.56810,0.68820,-0.34900,-0.42250,-0.47550
-14.21880,-67.09380,-43.73440,0.95360,-0.07680,0.41150,1.21430,1.61780,0.87320,0.68790,-0.34880,-0.42310,-0.47560
-14.71880,-67.50000,-44.07810,0.95510,-0.07190,0.40530,1.73310,1.19050,1.02580,0.68760,-0.34860,-0.42380,-0.47550
-14.93750,-67.62500,-44.35940,0.95480,-0.06800,0.40300,2.09930,0.94640,0.90380,0.68720,-0.34840,-0.42450,-0.47550
-15.01560,-67.73440,-44.39060,0.95210,-0.06370,0.40490,2.25190,1.12950,0.35440,0.68690,-0.34790,-0.42520,-0.47570
-15.03120,-67.73440,-44.48440,0.95290,-0.05960,0.40600,2.03830,1.19050,-0.37800,0.68660,-0.34730,-0.42590,-0.47600
-15.03120,-67.79690,-44.48440,0.95840,-0.06010,0.40380,1.39740,0.73270,-0.98830,0.68620,-0.34690,-0.42670,-0.47620
-15.04690,-67.75000,-44.54690,0.96240,-0.06530,0.40310,0.63450,0.33600,-1.23250,0.68570,-0.34680,-0.42740,-0.47630
-15.03120,-67.79690,-44.53120,0.96120,-0.07020,0.40490,0.20720,0.58020,-1.23250,0.68530,-0.34700,-0.42790,-0.47620
-15.06250,-67.76560,-44.56250,0.95880,-0.07090,0.40540,-0.00640,1.06840,-1.26300,0.68490,-0.34730,-0.42840,-0.47610
-15.04690,-67.78120,-44.54690,0.95850,-0.06900,0.40310,-0.43360,1.06840,-1.29350,0.68450,-0.34750,-0.42900,-0.47610
-15.06250,-67.71880,-44.56250,0.95920,-0.06840,0.39930,-1.07450,0.64120,-1.29350,0.68410,-0.34770,-0.42950,-0.47610
-15.07810,-67.76560,-44.54690,0.95860,-0.07130,0.39820,-1.47120,0.45810,-1.26300,0.68370,-0.34820,-0.42980,-0.47590
-15.04690,-67.73440,-44.60940,0.95550,-0.07460,0.40250,-1.22710,0.85480,-1.23250,0.68390,-0.34890,-0.42940,-0.47560
-15.01560,-67.75000,-44.56250,0.95130,-0.07570,0.40860,-0.86090,1.58720,-1.26300,0.68430,-0.34880,-0.42860,-0.47580
-15.00000,-67.65620,-44.59380,0.94910,-0.07710,0.41150,-1.04400,2.04500,-1.29350,0.68470,-0.34870,-0.42780,-0.47600
-15.00000,-67.68750,-44.54690,0.94820,-0.08140,0.41290,-1.80690,1.89240,-1.20200,0.68510,-0.34870,-0.42700,-0.47610
-15.01560,-67.60940,-44.57810,0.94480,-0.08550,0.41400,-2.50880,1.61780,-1.11040,0.68550,-0.34900,-0.42610,-0.47610
-15.00000,-67.60940,-44.54690,0.94040,-0.08580,0.41230,-2.56990,1.49570,-1.04940,0.68590,-0.34920,-0.42520,-0.47610
-15.01560,-67.70310,-44.57810,0.93980,-0.08490,0.40760,-2.08160,1.12950,-1.07990,0.68630,-0.34970,-0.42440,-0.47600
-15.17190,-67.90620,-44.70310,0.94410,-0.08600,0.40280,-1.44070,0.21400,-1.07990,0.68620,-0.35050,-0.42430,-0.47560
-15.23440,-67.89060,-44.79690,0.94920,-0.08760,0.40150,-0.52520,-0.70160,-0.86630,0.68610,-0.35130,-0.42440,-0.47520
-15.25000,-67.92190,-44.81250,0.94960,-0.08780,0.40490,0.60400,-0.85420,-0.50000,0.68620,-0.35200,-0.42420,-0.47470
-15.23440,-67.87500,-44.89060,0.94760,-0.08600,0.40920,1.51950,-0.33540,-0.25590,0.68660,-0.35190,-0.42360,-0.47450
-15.25000,-67.90620,-44.81250,0.94890,-0.08450,0.41080,1.64160,0.06140,-0.28640,0.68700,-0.35150,-0.42320,-0.47470
-15.29690,-67.81250,-44.82810,0.95310,-0.08640,0.41100,0.93970,0.21400,-0.40850,0.68730,-0.35210,-0.42270,-0.47420
-15.25000,-67.81250,-44.70310,0.95520,-0.08890,0.41130,0.11570,0.54960,-0.53060,0.68750,-0.35280,-0.42240,-0.47380
