hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
23.89060,45.89060,33.65620,0.99420,-0.26760,0.11330,-5.22490,0.85480,0.72070,0.73780,-0.25450,-0.61750,-0.09770
23.84380,45.92190,33.59380,0.98320,-0.26520,0.11290,-5.07230,1.00740,1.27000,0.73810,-0.25530,-0.61680,-0.09740
23.89060,45.84380,33.67190,0.97320,-0.26130,0.11310,-4.98070,1.19050,1.94140,0.73860,-0.25570,-0.61610,-0.09750
23.48440,45.42190,33.40620,0.96670,-0.25700,0.11360,-4.98070,1.46520,2.58220,0.73890,-0.25560,-0.61560,-0.09800
23.29690,45.29690,33.03120,0.96360,-0.25270,0.11370,-4.98070,1.67880,3.07050,0.73910,-0.25540,-0.61540,-0.09870
23.23440,45.26560,33.00000,0.96310,-0.25030,0.11270,-4.85870,1.70930,3.34520,0.73910,-0.25520,-0.61540,-0.09940
23.15620,45.15620,32.89060,0.96420,-0.24910,0.11300,-4.37040,1.58720,3.31470,0.73910,-0.25490,-0.61540,-0.10020
23.17190,45.15620,32.87500,0.96670,-0.24730,0.11400,-3.57690,1.34310,3.04000,0.73910,-0.25460,-0.61540,-0.10080
22.81250,44.81250,32.64060,0.97070,-0.24540,0.11400,-2.60040,1.09900,2.49070,0.73900,-0.25420,-0.61560,-0.10150
22.82810,44.81250,32.53120,0.97570,-0.24310,0.11270,-1.59330,0.88530,1.81930,0.73890,-0.25370,-0.61580,-0.10210
22.79690,44.76560,32.56250,0.98040,-0.24230,0.11320,-0.70830,0.64120,1.02580,0.73870,-0.25320,-0.61610,-0.10280
22.81250,44.71880,32.56250,0.98440,-0.24540,0.11650,-0.00640,0.36650,0.11030,0.73880,-0.25250,-0.61620,-0.10340
22.78120,44.71880,32.53120,0.98920,-0.25030,0.11810,0.57350,0.06140,-0.92730,0.73910,-0.25180,-0.61600,-0.10390
22.79690,44.78120,32.51560,0.99470,-0.25440,0.11860,1.18380,-0.24380,-1.90390,0.73940,-0.25220,-0.61560,-0.10330
22.79690,44.82810,32.54690,0.99890,-0.25720,0.11950,1.76360,-0.42690,-2.66680,0.73960,-0.25260,-0.61540,-0.10280
22.81250,44.79690,32.57810,1.00250,-0.25900,0.11950,2.22140,-0.51850,-3.09400,0.73950,-0.25300,-0.61540,-0.10220
22.81250,44.79690,32.54690,1.00550,-0.26040,0.11950,2.46550,-0.45740,-3.21610,0.73930,-0.25340,-0.61550,-0.10170
22.79690,44.85940,32.53120,1.00760,-0.26220,0.12080,2.31300,-0.30480,-3.12460,0.73980,-0.25310,-0.61510,-0.10160
22.79690,44.81250,32.51560,1.00850,-0.26500,0.12240,1.76360,-0.09120,-2.78890,0.74010,-0.25330,-0.61460,-0.10110
22.79690,44.82810,32.51560,1.00800,-0.26770,0.12310,0.93970,0.12240,-2.23950,0.74040,-0.25370,-0.61430,-0.10060
22.78120,44.82810,32.50000,1.00680,-0.26850,0.12300,0.02410,0.21400,-1.50710,0.74060,-0.25430,-0.61390,-0.10010
22.76560,44.79690,32.51560,1.00530,-0.26800,0.12200,-0.86090,0.21400,-0.65260,0.74050,-0.25500,-0.61380,-0.09960
22.81250,44.84380,32.51560,1.00290,-0.26730,0.12130,-1.59330,0.27500,0.20190,0.74010,-0.25560,-0.61400,-0.09930
22.81250,44.89060,32.51560,1.00080,-0.26560,0.12200,-2.02050,0.51910,0.99530,0.74040,-0.25520,-0.61370,-0.09980
