hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
19.21880,42.14060,28.96880,0.98110,-0.22450,0.20360,1.24480,-0.82360,0.26290,0.77220,-0.18150,-0.60690,-0.04930
19.23440,42.18750,28.92190,0.98150,-0.22450,0.20470,1.12280,-0.76260,-0.22540,0.77250,-0.18080,-0.60670,-0.04960
19.15620,42.00000,28.78120,0.98240,-0.22600,0.20560,0.90910,-0.79310,-0.71370,0.77290,-0.18080,-0.60620,-0.04950
19.17190,41.96880,28.81250,0.98290,-0.22780,0.20710,0.66500,-0.91520,-1.17140,0.77320,-0.18110,-0.60570,-0.04910
19.01560,42.01560,28.67190,0.98320,-0.23010,0.20760,0.48190,-1.00680,-1.56820,0.77340,-0.18160,-0.60540,-0.04860
18.98440,41.93750,28.71880,0.98370,-0.23280,0.20770,0.35980,-0.94570,-1.81230,0.77340,-0.18220,-0.60520,-0.04800
19.32810,42.18750,28.75000,0.98330,-0.23540,0.20830,0.26830,-0.79310,-1.93440,0.77350,-0.18270,-0.60500,-0.04750
19.15620,42.01560,28.73440,0.98290,-0.23770,0.20900,0.23780,-0.70160,-1.90390,0.77370,-0.18330,-0.60470,-0.04710
19.17190,41.95310,28.90620,0.98290,-0.23810,0.21030,0.23780,-0.67110,-1.72080,0.77390,-0.18370,-0.60430,-0.04670
19.10940,42.07810,28.82810,0.98290,-0.23820,0.21190,0.17670,-0.61000,-1.41560,0.77430,-0.18390,-0.60380,-0.04640
19.09380,42.06250,28.73440,0.98320,-0.23890,0.21260,0.08520,-0.54900,-1.11040,0.77460,-0.18420,-0.60330,-0.04610
19.25000,42.00000,28.75000,0.98380,-0.23870,0.21240,-0.00640,-0.51850,-0.83570,0.77500,-0.18450,-0.60270,-0.04580
19.26560,42.04690,28.78120,0.98540,-0.23770,0.21160,-0.12840,-0.51850,-0.56110,0.77460,-0.18410,-0.60330,-0.04620
19.10940,41.89060,28.85940,0.98700,-0.23700,0.21130,-0.25050,-0.45740,-0.31690,0.77420,-0.18360,-0.60390,-0.04670
19.14060,42.14060,28.70310,0.98680,-0.23640,0.21200,-0.37260,-0.33540,-0.16440,0.77470,-0.18350,-0.60330,-0.04670
19.25000,42.15620,28.76560,0.98550,-0.23550,0.21250,-0.55570,-0.18280,-0.07280,0.77500,-0.18310,-0.60300,-0.04700
19.42190,42.17190,28.89060,0.98390,-0.23490,0.21370,-0.73880,-0.15230,-0.01180,0.77550,-0.18310,-0.60240,-0.04700
19.26560,42.10940,28.95310,0.98280,-0.23480,0.21430,-0.95240,-0.12170,-0.04230,0.77590,-0.18300,-0.60190,-0.04710
19.31250,42.25000,28.98440,0.98210,-0.23520,0.21360,-1.19660,-0.06070,-0.10330,0.77540,-0.18340,-0.60240,-0.04700
19.29690,42.20310,28.87500,0.98110,-0.23530,0.21270,-1.37970,0.06140,-0.19490,0.77500,-0.18390,-0.60280,-0.04680
19.39060,42.18750,28.90620,0.97990,-0.23630,0.21240,-1.50170,0.18340,-0.28640,0.77530,-0.18440,-0.60230,-0.04650
19.26560,41.96880,28.95310,0.97880,-0.23760,0.21320,-1.53230,0.21400,-0.34750,0.77560,-0.18490,-0.60170,-0.04610
19.20310,42.14060,28.87500,0.97880,-0.23850,0.21450,-1.41020,0.12240,-0.43900,0.77610,-0.18500,-0.60110,-0.04610
19.18750,42.18750,28.87500,0.97980,-0.23830,0.21530,-1.10500,-0.03020,-0.53060,0.77600,-0.18430,-0.60140,-0.04690
19.34380,42.23440,28.89060,0.98150,-0.23780,0.21510,-0.70830,-0.09120,-0.56110,0.77570,-0.18500,-0.60160,-0.04640
19.32810,42.17190,28.98440,0.98440,-0.23740,0.21350,-0.34210,0.00030,-0.62210,0.77530,-0.18460,-0.60210,-0.04690
19.37500,42.28120,29.07810,0.98650,-0.23640,0.21200,-0.09790,0.12240,-0.74420,0.77490,-0.18430,-0.60270,-0.04730
19.25000,42.31250,29.00000,0.98710,-0.23540,0.21140,0.02410,0.30550,-0.86630,0.77460,-0.18400,-0.60330,-0.04770
19.42190,42.43750,29.00000,0.98720,-0.23490,0.21090,-0.06740,0.45810,-0.98830,0.77420,-0.18370,-0.60380,-0.04810
19.37500,42.28120,28.98440,0.98700,-0.23570,0.21050,-0.28100,0.54960,-1.04940,0.77410,-0.18440,-0.60370,-0.04750
19.45310,42.28120,29.07810,0.98550,-0.23690,0.20970,-0.49470,0.51910,-1.01880,0.77390,-0.18500,-0.60390,-0.04720
19.32810,42.23440,29.09380,0.98340,-0.23740,0.20910,-0.64720,0.36650,-0.89680,0.77410,-0.18560,-0.60340,-0.04670
19.35940,42.35940,28.93750,0.98110,-0.23760,0.21010,-0.70830,0.21400,-0.77470,0.77450,-0.18510,-0.60300,-0.04710
19.34380,42.28120,28.92190,0.97960,-0.23770,0.21010,-0.67780,0.00030,-0.68320,0.77440,-0.18590,-0.60300,-0.04660
19.46880,42.25000,29.01560,0.98040,-0.23780,0.20850,-0.55570,-0.21330,-0.59160,0.77390,-0.18570,-0.60360,-0.04690
19.28120,42.17190,29.03120,0.98230,-0.23750,0.20770,-0.37260,-0.42690,-0.46950,0.77350,-0.18550,-0.60420,-0.04720
19.39060,42.35940,29.03120,0.98430,-0.23650,0.20850,-0.25050,-0.48800,-0.34750,0.77370,-0.18490,-0.60410,-0.04770
19.37500,42.29690,28.95310,0.98500,-0.23650,0.20940,-0.15900,-0.48800,-0.28640,0.77410,-0.18490,-0.60350,-0.04760
19.51560,42.29690,29.00000,0.98510,-0.23620,0.21010,-0.03690,-0.39640,-0.37800,0.77400,-0.18420,-0.60390,-0.04820
19.39060,42.21880,29.09380,0.98600,-0.23460,0.21040,0.05470,-0.27430,-0.53060,0.77440,-0.18370,-0.60350,-0.04850
19.37500,42.31250,29.10940,0.98650,-0.23340,0.20990,0.14620,-0.18280,-0.65260,0.77390,-0.18360,-0.60410,-0.04870
19.32810,42.31250,29.00000,0.98510,-0.23340,0.20910,0.14620,-0.06070,-0.77470,0.77360,-0.18410,-0.60440,-0.04840
19.43750,42.34380,28.96880,0.98450,-0.23400,0.21010,0.02410,0.12240,-0.80520,0.77400,-0.18390,-0.60390,-0.04850
19.31250,42.17190,28.89060,0.98440,-0.23460,0.21140,-0.12840,0.24450,-0.77470,0.77450,-0.18400,-0.60330,-0.04830
19.37500,42.31250,28.96880,0.98400,-0.23490,0.21180,-0.34210,0.21400,-0.74420,0.77490,-0.18430,-0.60280,-0.04800
19.28120,42.32810,28.96880,0.98430,-0.23540,0.21080,-0.64720,0.15290,-0.65260,0.77440,-0.18450,-0.60330,-0.04810
19.42190,42.42190,29.00000,0.98500,-0.23590,0.20980,-1.04400,0.15290,-0.46950,0.77400,-0.18480,-0.60370,-0.04800
19.29690,42.17190,28.98440,0.98530,-0.23590,0.20970,-1.44070,0.18340,-0.34750,0.77410,-0.18420,-0.60370,-0.04870
19.20310,42.10940,28.95310,0.98540,-0.23630,0.20970,-1.77640,0.18340,-0.22540,0.77400,-0.18500,-0.60370,-0.04830
18.98440,42.01560,28.84380,0.98560,-0.23720,0.21010,-1.83740,0.15290,-0.10330,0.77410,-0.18580,-0.60330,-0.04780
19.06250,42.14060,28.78120,0.98600,-0.23880,0.20990,-1.71540,0.15290,0.01880,0.77380,-0.18650,-0.60350,-0.04740
19.09380,42.01560,28.78120,0.98640,-0.24010,0.20960,-1.50170,0.15290,0.01880,0.77410,-0.18690,-0.60290,-0.04710
19.10940,42.00000,28.90620,0.98570,-0.24040,0.20970,-1.19660,0.15290,-0.04230,0.77370,-0.18670,-0.60350,-0.04750
19.01560,41.93750,28.92190,0.98280,-0.24030,0.21080,-0.79980,0.09190,-0.07280,0.77420,-0.18690,-0.60290,-0.04740
19.12500,42.04690,28.87500,0.97880,-0.24040,0.21250,-0.49470,0.00030,-0.01180,0.77460,-0.18700,-0.60230,-0.04730
19.09380,41.98440,28.82810,0.97580,-0.24140,0.21310,-0.37260,0.00030,0.04930,0.77500,-0.18720,-0.60180,-0.04700
19.17190,41.92190,28.81250,0.97520,-0.24310,0.21340,-0.43360,0.03080,0.07980,0.77530,-0.18770,-0.60120,-0.04660
19.06250,41.87500,28.85940,0.97760,-0.24450,0.21430,-0.55570,0.00030,0.14080,0.77560,-0.18820,-0.60070,-0.04610
19.15620,42.03120,28.87500,0.98040,-0.24660,0.21570,-0.64720,-0.06070,0.32390,0.77590,-0.18870,-0.60020,-0.04570
19.15620,42.09380,28.82810,0.98210,-0.24900,0.21690,-0.61670,-0.09120,0.62910,0.77620,-0.18940,-0.59970,-0.04510
19.32810,42.10940,28.84380,0.98230,-0.25150,0.21710,-0.49470,-0.03020,0.99530,0.77630,-0.19010,-0.59930,-0.04450
19.07810,41.85940,28.76560,0.98230,-0.25620,0.21740,-0.34210,0.12240,1.23950,0.77640,-0.19100,-0.59910,-0.04380
18.93750,41.84380,28.85940,0.98330,-0.26600,0.21870,-0.22000,0.24450,1.36150,0.77640,-0.19180,-0.59870,-0.04310
18.98440,41.89060,28.73440,0.98570,-0.28060,0.22020,-0.03690,0.33600,1.42260,0.77650,-0.19260,-0.59840,-0.04240
19.04690,42.01560,28.65620,0.98900,-0.29650,0.22280,0.17670,0.39710,1.72770,0.77660,-0.19340,-0.59810,-0.04160
18.95310,41.79690,28.70310,0.99480,-0.31620,0.22740,0.29880,0.36650,2.36860,0.77670,-0.19420,-0.59780,-0.04080
19.14060,41.93750,28.84380,1.00370,-0.33900,0.23220,0.02410,0.12240,3.25360,0.77680,-0.19510,-0.59740,-0.04000
18.95310,41.90620,28.70310,1.01260,-0.35720,0.23840,-0.58620,-0.54900,4.62690,0.77690,-0.19610,-0.59700,-0.03910
18.98440,41.85940,28.81250,1.01780,-0.37150,0.24710,-1.56280,-1.55610,6.88520,0.77690,-0.19720,-0.59670,-0.03810
18.98440,41.79690,28.62500,1.01670,-0.38830,0.26010,-2.72240,-2.65470,10.30320,0.77700,-0.19860,-0.59630,-0.03690
19.03120,41.85940,28.70310,1.01410,-0.41100,0.27780,-3.69900,-3.87540,14.75870,0.77700,-0.20020,-0.59580,-0.03550
19.00000,41.82810,28.79690,1.01790,-0.44230,0.29110,-4.79760,-5.06560,19.39740,0.77690,-0.20210,-0.59530,-0.03380
19.01560,41.96880,28.64060,1.02780,-0.47580,0.29760,-6.44560,-6.04220,23.48680,0.77670,-0.20440,-0.59490,-0.03190
19.01560,41.95310,28.81250,1.03830,-0.50810,0.30650,-8.94800,-6.65250,26.75210,0.77650,-0.20700,-0.59440,-0.02980
19.31250,42.18750,28.89060,1.04590,-0.54450,0.32770,-12.21340,-7.01870,29.43770,0.77620,-0.20990,-0.59380,-0.02780
19.09380,42.03120,28.93750,1.04540,-0.58980,0.36360,-15.47880,-7.65960,32.18430,0.77590,-0.21310,-0.59320,-0.02580
19.28120,42.17190,29.09380,1.04320,-0.64810,0.40760,-17.49300,-9.39910,35.60220,0.77540,-0.21660,-0.59270,-0.02360
19.14060,42.23440,28.96880,1.05490,-0.71730,0.45020,-17.61500,-12.75600,39.72210,0.77480,-0.22030,-0.59220,-0.02110
19.32810,42.10940,29.14060,1.07580,-0.78370,0.48700,-15.99760,-17.76090,44.20820,0.77390,-0.22420,-0.59200,-0.01820
19.20310,42.12500,29.10940,1.09160,-0.83500,0.51910,-13.03740,-23.19300,49.12150,0.77280,-0.22800,-0.59210,-0.01460
19.10940,42.06250,29.04690,1.10460,-0.86850,0.54450,-9.92460,-27.77070,54.85880,0.77150,-0.23200,-0.59240,-0.01040
19.18750,42.14060,29.06250,1.13020,-0.89380,0.55520,-8.30720,-31.70740,62.03050,0.77000,-0.23610,-0.59270,-0.00560
19.21880,42.21880,29.01560,1.16650,-0.91890,0.55790,-9.13110,-34.82020,70.94160,0.76830,-0.24080,-0.59300,-0.00010
19.25000,42.01560,29.20310,1.19840,-0.94090,0.56040,-11.96930,-35.61370,81.56170,0.76650,-0.24620,-0.59320,0.00590
19.23440,42.20310,29.23440,1.22520,-0.96270,0.56130,-16.42480,-33.44690,93.18890,0.76460,-0.25240,-0.59280,0.01240
19.14060,42.14060,29.21880,1.24390,-0.98400,0.56510,-21.85700,-28.80830,105.24340,0.76280,-0.25960,-0.59190,0.01940
19.40620,42.43750,29.42190,1.25250,-0.99850,0.57090,-27.04500,-22.15540,117.78610,0.76110,-0.26770,-0.59020,0.02670
19.37500,42.20310,29.29690,1.26350,-1.00830,0.56760,-31.37840,-14.58710,130.84760,0.75960,-0.27670,-0.58760,0.03460
19.45310,42.14060,29.54690,1.28330,-1.01840,0.54840,-35.01000,-6.13370,144.33640,0.75830,-0.28660,-0.58400,0.04290
19.39060,42.29690,29.59380,1.30190,-1.02810,0.51800,-38.48900,4.15070,158.00830,0.75720,-0.29740,-0.57930,0.05160
19.35940,42.35940,29.46880,1.31570,-1.03270,0.48180,-42.54790,16.75450,171.03931,0.75640,-0.30900,-0.57330,0.06070
19.35940,42.23440,29.50000,1.32750,-1.03500,0.44260,-47.91900,31.46400,182.54440,0.75600,-0.32150,-0.56580,0.06990
19.48440,42.34380,29.50000,1.33560,-1.03650,0.40210,-54.35820,47.82140,192.24899,0.75590,-0.33490,-0.55700,0.07880
19.26560,42.14060,29.75000,1.34000,-1.03320,0.36740,-60.49220,65.15540,200.33611,0.75620,-0.34880,-0.54660,0.08730
19.40620,42.35940,29.59380,1.33960,-1.02300,0.34390,-64.85620,82.18420,207.47720,0.75690,-0.36300,-0.53500,0.09510
19.21880,42.26560,29.54690,1.32940,-1.01080,0.32170,-66.77880,97.13780,214.06900,0.75770,-0.37750,-0.52240,0.10250
19.50000,42.25000,29.62500,1.30870,-0.99990,0.29490,-66.99250,110.07720,220.05051,0.75850,-0.39220,-0.50880,0.10970
19.18750,42.17190,29.54690,1.28460,-0.99180,0.26780,-66.16850,121.91810,225.45210,0.75930,-0.40710,-0.49400,0.11690
19.14060,42.12500,29.73440,1.26230,-0.98470,0.24600,-63.17780,132.56870,230.57910,0.76020,-0.42190,-0.47810,0.12410
19.10940,42.29690,29.57810,1.24110,-0.96990,0.22830,-56.86060,141.38831,235.85860,0.76130,-0.43650,-0.46120,0.13150
19.06250,42.15620,29.56250,1.22080,-0.94690,0.20760,-48.49880,148.74300,241.19920,0.76240,-0.45050,-0.44320,0.13920
19.12500,41.90620,29.56250,1.20090,-0.92300,0.19040,-40.35060,155.54840,245.99040,0.76360,-0.46410,-0.42420,0.14720
18.64060,41.70310,29.37500,1.17360,-0.90290,0.18680,-34.09450,162.35381,249.62199,0.76480,-0.47710,-0.40420,0.15530
18.45310,41.54690,29.34380,1.13040,-0.88570,0.19550,-29.08960,169.25079,252.00240,0.76590,-0.48970,-0.38340,0.16340
18.57810,41.79690,29.23440,1.08340,-0.86540,0.19750,-22.31470,176.57500,253.37570,0.76700,-0.50160,-0.36160,0.17140
18.43750,41.48440,29.23440,1.06640,-0.85480,0.19180,-17.76760,180.35921,253.65030,0.76790,-0.51300,-0.33930,0.17920
18.51560,41.54690,29.43750,1.03760,-0.83670,0.16870,-6.87280,187.77499,252.97900,0.76890,-0.52330,-0.31610,0.18690
18.20310,41.46880,29.29690,1.00740,-0.83100,0.13720,5.94450,194.67200,250.62910,0.77020,-0.53260,-0.29210,0.19430
18.17190,41.50000,29.37500,0.98260,-0.83540,0.11210,21.41700,202.05721,246.75340,0.77190,-0.54040,-0.26740,0.20130
18.12500,41.32810,29.29690,0.96180,-0.83430,0.08380,39.75800,210.14439,241.68750,0.77420,-0.54670,-0.24180,0.20800
18.06250,41.18750,29.23440,0.93770,-0.82620,0.03690,60.14380,219.45219,236.19431,0.77710,-0.55130,-0.21530,0.21400
17.90620,41.07810,29.48440,0.91000,-0.79760,0.00320,81.93330,233.30721,231.52510,0.78070,-0.55420,-0.18760,0.21940
17.79690,41.10940,29.29690,0.86740,-0.74680,-0.02530,104.66890,252.38071,228.96159,0.78520,-0.55540,-0.15800,0.22380
17.50000,40.87500,29.25000,0.80310,-0.71000,-0.07270,128.74730,276.85580,229.72459,0.79030,-0.55490,-0.12620,0.22720
17.65620,40.81250,29.18750,0.71850,-0.68590,-0.11540,153.98531,306.88510,235.27879,0.79590,-0.55280,-0.09130,0.22950
17.28120,40.53120,29.15620,0.62080,-0.66750,-0.14070,179.25391,336.91440,246.38721,0.80160,-0.54890,-0.05320,0.23110
17.37500,40.64060,29.20310,0.52730,-0.68120,-0.16170,205.40739,359.37531,263.01920,0.80690,-0.54280,-0.01210,0.23250
17.17190,40.64060,28.95310,0.42200,-0.71690,-0.16580,234.82640,368.95789,286.02951,0.81170,-0.53400,0.03150,0.23470
17.31250,40.40620,29.07810,0.26930,-0.74000,-0.10160,269.28070,360.53500,316.69958,0.81560,-0.52140,0.07660,0.23880
