hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
15.76560,37.79690,25.93750,1.00710,-0.24460,0.07010,-1.68480,2.19760,1.30050,0.72600,-0.23920,-0.63880,-0.08770
15.78120,37.76560,26.00000,1.00620,-0.24210,0.06800,-0.95240,2.07550,1.42260,0.72560,-0.23930,-0.63920,-0.08790
15.65620,37.67190,26.09380,1.00540,-0.23990,0.06790,-0.46410,1.89240,1.63620,0.72530,-0.23910,-0.63950,-0.08830
15.60940,37.84380,25.93750,1.00410,-0.23820,0.07010,-0.06740,1.89240,1.78880,0.72530,-0.23850,-0.63960,-0.08890
15.76560,37.95310,25.79690,1.00360,-0.23650,0.07280,0.26830,1.98400,1.88030,0.72570,-0.23790,-0.63930,-0.08930
15.78120,37.73440,25.92190,1.00510,-0.23530,0.07430,0.35980,1.83140,1.97190,0.72610,-0.23740,-0.63900,-0.08970
15.81250,37.90620,26.03120,1.00640,-0.23430,0.07410,0.14620,1.46520,1.97190,0.72630,-0.23670,-0.63900,-0.09030
15.53120,37.81250,25.82810,1.00690,-0.23470,0.07230,-0.28100,1.28210,1.91080,0.72600,-0.23650,-0.63940,-0.09060
15.75000,37.90620,25.90620,1.00740,-0.23640,0.07120,-0.64720,1.40410,1.78880,0.72560,-0.23690,-0.63970,-0.09040
15.68750,37.82810,25.71880,1.00800,-0.23750,0.07090,-0.64720,1.73980,1.63620,0.72530,-0.23750,-0.63990,-0.09010
15.76560,37.75000,25.93750,1.00910,-0.23800,0.06990,-0.37260,2.13660,1.51410,0.72490,-0.23760,-0.64020,-0.09010
15.71880,37.85940,26.00000,1.00960,-0.23930,0.06920,0.02410,2.28910,1.54460,0.72480,-0.23830,-0.64020,-0.08950
15.45310,37.50000,25.81250,1.00910,-0.24010,0.07020,0.39040,2.25860,1.66670,0.72540,-0.23830,-0.63950,-0.08940
15.37500,37.56250,25.45310,1.00740,-0.23800,0.07260,0.69550,2.22810,1.78880,0.72590,-0.23770,-0.63920,-0.08980
15.64060,37.59380,25.65620,1.00620,-0.23420,0.07320,0.87860,2.38070,2.03290,0.72610,-0.23710,-0.63910,-0.09030
15.48440,37.46880,25.75000,1.00600,-0.23030,0.07070,0.90910,2.59430,2.30760,0.72600,-0.23660,-0.63940,-0.09080
15.34380,37.57810,25.50000,1.00620,-0.22670,0.06750,0.54290,2.65540,2.55170,0.72580,-0.23630,-0.63960,-0.09110
15.42190,37.71880,25.54690,1.00630,-0.22610,0.06590,-0.46410,2.44170,2.76530,0.72550,-0.23610,-0.64000,-0.09140
15.71880,37.79690,25.70310,1.00580,-0.22790,0.06710,-1.80690,2.07550,2.91790,0.72520,-0.23610,-0.64030,-0.09180
15.81250,37.92190,25.92190,1.00460,-0.22820,0.06790,-2.75300,1.83140,2.82640,0.72480,-0.23600,-0.64060,-0.09220
15.95310,38.04690,26.17190,1.00330,-0.22680,0.06710,-2.93610,1.77030,2.61270,0.72450,-0.23600,-0.64090,-0.09270
