hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
-10.03120,0.29690,-8.76560,0.56630,-0.37950,0.78900,-0.25050,1.86190,-2.02590,0.87730,-0.07130,-0.33210,0.33910
-10.18750,0.06250,-9.01560,0.55570,-0.38070,0.79310,-1.44070,2.22810,-1.75130,0.87710,-0.07220,-0.33240,0.33910
-10.17190,0.04690,-9.01560,0.54870,-0.37900,0.79600,-2.05110,2.10600,-1.20200,0.87700,-0.07330,-0.33230,0.33920
-10.25000,0.10940,-9.00000,0.54790,-0.37720,0.79650,-1.74590,1.61780,-0.13380,0.87690,-0.07440,-0.33210,0.33940
-10.10940,0.23440,-8.95310,0.55170,-0.37430,0.79590,-0.49470,0.85480,1.39200,0.87660,-0.07530,-0.33240,0.33970
-10.18750,0.26560,-9.09380,0.55560,-0.37000,0.79300,1.51950,-0.21330,3.28410,0.87640,-0.07500,-0.33310,0.33970
-9.87500,0.32810,-8.89060,0.55680,-0.36480,0.78940,3.83880,-1.40350,5.02360,0.87620,-0.07410,-0.33360,0.33990
-10.04690,0.34380,-8.78120,0.55610,-0.36110,0.78730,5.88350,-2.50210,6.27490,0.87600,-0.07290,-0.33400,0.34020
-9.93750,0.48440,-8.62500,0.55520,-0.35830,0.78780,7.28730,-3.29560,7.09880,0.87580,-0.07160,-0.33420,0.34070
-9.98440,0.51560,-8.79690,0.55790,-0.35480,0.79200,7.83660,-3.75330,7.49560,0.87570,-0.07010,-0.33420,0.34120
-9.82810,0.54690,-8.64060,0.56230,-0.35160,0.79780,7.34840,-3.84490,7.49560,0.87570,-0.06880,-0.33420,0.34180
-9.82810,0.45310,-8.70310,0.56190,-0.34970,0.80200,5.97510,-3.47870,7.09880,0.87560,-0.06750,-0.33400,0.34230
-9.87500,0.48440,-8.51560,0.55740,-0.34940,0.80430,4.23560,-2.99040,6.27490,0.87570,-0.06670,-0.33350,0.34280
-9.93750,0.51560,-8.71880,0.55530,-0.35230,0.80770,2.83180,-2.56310,5.26780,0.87570,-0.06620,-0.33290,0.34340
-9.87500,0.48440,-8.70310,0.55720,-0.35720,0.81020,2.52660,-2.22750,4.93210,0.87580,-0.06590,-0.33210,0.34390
-9.92190,0.28120,-8.90620,0.55970,-0.35910,0.80800,3.71680,-1.58660,5.72550,0.87590,-0.06570,-0.33130,0.34460
-10.00000,0.26560,-8.70310,0.56060,-0.35530,0.80300,5.51730,-0.57950,6.82420,0.87570,-0.06470,-0.33170,0.34500
