hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
12.93750,34.04690,23.07810,1.00130,-0.20660,0.19550,1.15330,0.97690,2.36860,0.55310,-0.53060,-0.35130,-0.53770
12.79690,33.93750,23.14060,1.00140,-0.20710,0.19450,0.32930,0.85480,2.09390,0.55270,-0.53040,-0.35180,-0.53790
12.50000,33.65620,22.79690,0.99880,-0.21170,0.19310,-0.67780,0.97690,1.48360,0.55220,-0.53060,-0.35230,-0.53790
12.51560,33.71880,22.56250,0.99490,-0.21800,0.19110,-1.22710,1.22100,0.69010,0.55220,-0.53120,-0.35210,-0.53750
12.35940,33.42190,22.35940,0.98920,-0.22360,0.18910,-0.86090,1.52620,-0.07280,0.55240,-0.53180,-0.35170,-0.53710
12.39060,33.51560,22.56250,0.98230,-0.22550,0.18730,0.45140,1.86190,-0.65260,0.55260,-0.53220,-0.35120,-0.53660
12.25000,33.51560,22.46880,0.97570,-0.22310,0.18620,2.34350,2.10600,-1.04940,0.55290,-0.53260,-0.35090,-0.53610
12.20310,33.59380,22.43750,0.97330,-0.21810,0.18570,4.14400,2.13660,-1.26300,0.55300,-0.53290,-0.35110,-0.53570
12.56250,33.76560,22.51560,0.97550,-0.21420,0.18630,5.30370,1.83140,-1.41560,0.55270,-0.53260,-0.35200,-0.53570
12.73440,33.96880,22.75000,0.97990,-0.21240,0.18780,5.66990,1.25150,-1.78180,0.55240,-0.53190,-0.35290,-0.53600
12.65620,33.85940,22.90620,0.98640,-0.21070,0.18940,5.42580,0.61070,-2.36160,0.55210,-0.53120,-0.35400,-0.53640
12.64060,33.96880,22.76560,0.99410,-0.20980,0.19070,4.78490,-0.09120,-2.91090,0.55170,-0.53060,-0.35500,-0.53680
12.59380,33.82810,22.67190,1.00190,-0.21030,0.19170,3.99140,-0.67110,-3.27710,0.55110,-0.53010,-0.35610,-0.53700
12.65620,33.71880,22.56250,1.00740,-0.21270,0.19260,3.22850,-0.82360,-3.49080,0.55130,-0.53050,-0.35610,-0.53650
12.46880,33.57810,22.57810,1.00790,-0.21790,0.19170,2.43500,-0.57950,-3.61280,0.55160,-0.53080,-0.35580,-0.53610
12.39060,33.60940,22.51560,1.00540,-0.22410,0.19070,1.82470,-0.12170,-3.70440,0.55190,-0.53110,-0.35550,-0.53570
