hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
19.46880,41.56250,29.84380,0.51120,-0.67190,0.56920,0.23780,-0.03020,-0.37800,0.86700,-0.42230,-0.19690,-0.17640
19.46880,41.57810,29.82810,0.50920,-0.66730,0.57180,0.57350,-0.03020,-0.34750,0.86680,-0.42210,-0.19780,-0.17690
19.62500,41.73440,29.90620,0.50850,-0.66380,0.57830,0.48190,-0.24380,-0.40850,0.86690,-0.42150,-0.19840,-0.17730
19.65620,41.64060,29.98440,0.51110,-0.66290,0.58510,0.14620,-0.51850,-0.50000,0.86710,-0.42080,-0.19890,-0.17770
19.42190,41.53120,29.75000,0.51400,-0.66970,0.59200,-0.28100,-0.70160,-0.65260,0.86730,-0.42010,-0.19920,-0.17810
19.31250,41.48440,29.79690,0.51520,-0.68110,0.59400,-0.61670,-0.79310,-0.83570,0.86750,-0.41940,-0.19930,-0.17840
19.54690,41.67190,29.87500,0.51600,-0.68580,0.59180,-0.70830,-0.82360,-0.89680,0.86720,-0.42020,-0.19920,-0.17810
19.71880,41.84380,30.00000,0.51760,-0.69120,0.58490,-0.52520,-1.00680,-0.89680,0.86680,-0.42090,-0.19940,-0.17800
19.76560,41.81250,30.06250,0.51510,-0.69100,0.57820,0.17670,-1.06780,-0.71370,0.86650,-0.42160,-0.19960,-0.17780
19.70310,41.75000,30.00000,0.51080,-0.68620,0.57410,1.09230,-0.91520,-0.43900,0.86620,-0.42220,-0.19970,-0.17760
19.75000,41.78120,30.01560,0.50880,-0.68010,0.57380,1.64160,-0.67110,-0.34750,0.86590,-0.42280,-0.19990,-0.17740
19.68750,41.78120,29.96880,0.50880,-0.67480,0.57570,1.51950,-0.61000,-0.40850,0.86600,-0.42210,-0.20070,-0.17780
19.73440,41.82810,30.03120,0.50700,-0.67080,0.58020,0.81760,-0.67110,-0.43900,0.86630,-0.42140,-0.20050,-0.17790
19.71880,41.84380,30.03120,0.50390,-0.67080,0.58490,0.02410,-0.57950,-0.34750,0.86670,-0.42080,-0.20020,-0.17790
19.76560,41.84380,30.06250,0.50260,-0.67400,0.58820,-0.40310,-0.42690,-0.31690,0.86700,-0.42040,-0.19960,-0.17780
19.79690,41.84380,30.06250,0.50470,-0.67670,0.58930,-0.52520,-0.61000,-0.37800,0.86740,-0.42010,-0.19910,-0.17770
19.76560,41.84380,30.06250,0.50840,-0.68030,0.58820,-0.79980,-1.25090,-0.56110,0.86760,-0.42000,-0.19840,-0.17750
19.79690,41.87500,30.06250,0.51280,-0.69010,0.58890,-1.19660,-2.13590,-0.86630,0.86730,-0.42080,-0.19840,-0.17720
19.81250,41.89060,30.09380,0.52000,-0.70670,0.59160,-1.10500,-2.74630,-1.29350,0.86690,-0.42160,-0.19860,-0.17690
19.79690,41.85940,30.12500,0.52640,-0.72160,0.59340,-0.37260,-3.02090,-1.53760,0.86650,-0.42240,-0.19870,-0.17670
19.81250,41.89060,30.14060,0.52920,-0.72590,0.59520,-0.03690,-3.32610,-1.01880,0.86620,-0.42320,-0.19890,-0.17640
19.82810,41.89060,30.18750,0.53500,-0.72140,0.60330,-2.11210,-3.66180,0.72070,0.86570,-0.42410,-0.19930,-0.17600
19.82810,41.93750,30.18750,0.54490,-0.72160,0.62790,-7.45270,-3.26510,3.77240,0.86570,-0.42400,-0.19930,-0.17600
19.79690,41.98440,30.15620,0.55510,-0.74280,0.66400,-14.16650,-1.18990,7.73970,0.86570,-0.42460,-0.19860,-0.17570
19.76560,41.95310,30.17190,0.56690,-0.78530,0.69170,-18.86620,3.57090,12.07320,0.86560,-0.42570,-0.19710,-0.17520
19.73440,41.95310,30.15620,0.58660,-0.83110,0.70020,-20.23950,11.59700,17.07810,0.86560,-0.42730,-0.19440,-0.17430
