hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
15.70310,38.06250,27.59380,0.47870,-0.61860,0.66520,-2.23420,4.21180,2.06340,0.89880,-0.36140,-0.22880,-0.09590
15.71880,38.12500,27.57810,0.47670,-0.62790,0.67350,-1.13550,2.96050,1.33100,0.89910,-0.36130,-0.22770,-0.09570
15.76560,38.15620,27.60940,0.48260,-0.63170,0.67300,-1.77640,0.64120,0.35440,0.89940,-0.36120,-0.22690,-0.09550
15.70310,38.18750,27.51560,0.49380,-0.63000,0.66540,-3.76000,-1.67810,-0.19490,0.89960,-0.36100,-0.22650,-0.09550
15.92190,38.23440,27.75000,0.50900,-0.62950,0.65400,-5.77420,-2.86830,0.01880,0.89910,-0.36170,-0.22740,-0.09570
15.90620,38.37500,27.68750,0.51820,-0.63570,0.64430,-6.87280,-2.44110,0.53760,0.89850,-0.36260,-0.22820,-0.09590
16.03120,38.46880,27.84380,0.51360,-0.64170,0.64120,-7.42210,-1.09830,0.90380,0.89790,-0.36370,-0.22870,-0.09600
16.03120,38.42190,27.90620,0.50290,-0.63910,0.64250,-7.91040,0.06140,1.30050,0.89730,-0.36500,-0.22890,-0.09600
15.96880,38.37500,27.82810,0.49520,-0.63210,0.64540,-8.03250,0.39710,2.12450,0.89680,-0.36640,-0.22880,-0.09580
15.95310,38.40620,27.82810,0.49270,-0.63160,0.64940,-7.57470,-0.18280,3.10100,0.89690,-0.36660,-0.22800,-0.09560
15.92190,38.40620,27.78120,0.49400,-0.63710,0.64960,-6.59820,-1.61710,3.52830,0.89680,-0.36760,-0.22720,-0.09500
15.96880,38.31250,27.82810,0.49290,-0.63860,0.64530,-5.19440,-3.14300,3.07050,0.89630,-0.36880,-0.22730,-0.09450
15.93750,38.42190,27.71880,0.49240,-0.63630,0.64010,-3.69900,-3.96700,2.06340,0.89580,-0.36960,-0.22810,-0.09440
16.12500,38.57810,27.90620,0.49650,-0.63680,0.63450,-2.17310,-3.38710,1.20890,0.89530,-0.37020,-0.22900,-0.09440
16.17190,38.57810,28.04690,0.49510,-0.64030,0.63540,-0.67780,-1.55610,0.96480,0.89490,-0.37100,-0.22930,-0.09420
16.17190,38.60940,28.06250,0.48870,-0.64450,0.64220,0.20720,0.06140,1.08690,0.89510,-0.37110,-0.22850,-0.09370
16.10940,38.56250,27.98440,0.48770,-0.65140,0.65150,0.08520,0.70220,1.20890,0.89540,-0.37120,-0.22750,-0.09330
16.17190,38.64060,28.04690,0.49160,-0.65960,0.66210,-0.58620,0.54960,1.11740,0.89570,-0.37110,-0.22660,-0.09300
16.20310,38.64060,28.06250,0.49580,-0.66150,0.66700,-0.98290,-0.33540,0.78170,0.89600,-0.37100,-0.22590,-0.09270
16.21880,38.67190,28.10940,0.49890,-0.65550,0.66370,-0.73880,-1.22040,0.53760,0.89630,-0.37040,-0.22560,-0.09270
16.26560,38.68750,28.10940,0.50180,-0.64860,0.65440,-0.34210,-1.58660,0.78170,0.89620,-0.37000,-0.22650,-0.09300
16.28120,38.67190,28.09380,0.50030,-0.64500,0.64560,-0.06740,-1.67810,1.33100,0.89590,-0.37010,-0.22740,-0.09320
16.23440,38.65620,28.03120,0.49210,-0.64080,0.64150,0.20720,-1.98330,1.81930,0.89550,-0.37060,-0.22800,-0.09300
16.17190,38.56250,28.00000,0.48580,-0.63130,0.63760,0.66500,-2.16640,1.97190,0.89590,-0.37000,-0.22790,-0.09290
15.98440,38.43750,27.87500,0.48540,-0.61960,0.63270,0.63450,-1.86120,2.00240,0.89610,-0.36920,-0.22830,-0.09300
15.90620,38.39060,27.81250,0.48220,-0.61390,0.63370,-0.64720,-1.49500,1.84980,0.89630,-0.36860,-0.22840,-0.09300
16.04690,38.53120,27.87500,0.47720,-0.61290,0.63780,-2.72240,-1.40350,1.48360,0.89650,-0.36820,-0.22820,-0.09300
16.10940,38.59380,27.98440,0.47590,-0.61150,0.63950,-4.43140,-1.34240,1.11740,0.89670,-0.36790,-0.22790,-0.09310
16.14060,38.65620,28.00000,0.47930,-0.61210,0.64010,-5.28590,-1.34240,0.93430,0.89680,-0.36760,-0.22780,-0.09320
16.15620,38.70310,28.07810,0.48420,-0.61660,0.64140,-5.43850,-1.31190,0.78170,0.89690,-0.36730,-0.22780,-0.09340
16.15620,38.65620,28.07810,0.48170,-0.62530,0.64820,-5.19440,-0.94570,0.35440,0.89710,-0.36720,-0.22740,-0.09350
16.17190,38.70310,28.06250,0.47380,-0.63590,0.65850,-4.49250,-0.21330,-0.53060,0.89720,-0.36730,-0.22660,-0.09340
16.09380,38.60940,28.04690,0.46470,-0.63390,0.66690,-3.08870,0.15290,-1.65970,0.89740,-0.36720,-0.22590,-0.09340
15.98440,38.53120,27.93750,0.45860,-0.61390,0.67070,-2.35620,-0.67110,-2.30060,0.89760,-0.36690,-0.22550,-0.09350
15.92190,38.46880,27.87500,0.45880,-0.58710,0.67050,-4.43140,-2.86830,-2.08700,0.89780,-0.36660,-0.22550,-0.09380
15.93750,38.42190,27.89060,0.46050,-0.56830,0.67120,-10.65700,-6.10320,-1.35450,0.89760,-0.36670,-0.22570,-0.09400
15.93750,38.40620,27.93750,0.46020,-0.56120,0.67730,-20.60570,-9.55170,-0.46950,0.89710,-0.36770,-0.22620,-0.09430
15.90620,38.39060,27.92190,0.45680,-0.55520,0.69010,-32.41600,-12.45080,0.65960,0.89610,-0.36970,-0.22660,-0.09460
15.78120,38.34380,27.92190,0.44460,-0.54580,0.70850,-44.10430,-14.77020,2.36860,0.89470,-0.37270,-0.22710,-0.09490
16.00000,38.56250,27.95310,0.42570,-0.52930,0.72200,-55.06010,-17.08950,4.07760,0.89300,-0.37650,-0.22750,-0.09520
16.20310,38.71880,28.10940,0.40330,-0.49890,0.73160,-67.99950,-19.50040,5.17620,0.89070,-0.38150,-0.22800,-0.09560
16.28120,38.75000,28.14060,0.39380,-0.49580,0.76410,-86.46270,-22.88790,5.14570,0.88770,-0.38790,-0.22860,-0.09620
16.35940,38.75000,28.23440,0.42940,-0.58680,0.82830,-109.93070,-29.54070,0.62910,0.88370,-0.39610,-0.22960,-0.09740
16.09380,38.56250,28.10940,0.50070,-0.79250,0.92430,-131.96440,-41.47310,-12.70710,0.87850,-0.40580,-0.23160,-0.09950
16.21880,38.65620,28.10940,0.65070,-1.16850,1.05670,-145.84990,-60.54650,-36.44980,0.87200,-0.41670,-0.23540,-0.10280
16.31250,38.68750,28.21880,0.94720,-1.76380,1.23860,-142.21831,-80.87130,-70.72100,0.86440,-0.42720,-0.24210,-0.10760
16.23440,38.64060,28.18750,1.36050,-2.49570,1.48710,-103.73560,-91.64400,-112.40800,0.85730,-0.43420,-0.25180,-0.11440
16.14060,38.54690,28.15620,1.82750,-3.12630,1.78170,-22.34520,-91.12520,-153.33211,0.85270,-0.43400,-0.26370,-0.12250
16.01560,38.50000,28.06250,2.38460,-3.46950,2.04020,76.40960,-89.44670,-166.88190,0.85140,-0.42610,-0.27710,-0.12930
