hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
20.89060,43.76560,30.53120,1.02580,-0.14540,-0.03760,1.88570,0.06140,0.07980,0.69410,-0.12050,-0.70940,-0.01860
20.76560,43.60940,30.48440,1.02950,-0.14500,-0.04030,2.03830,0.03080,0.14080,0.69370,-0.12020,-0.70990,-0.01870
20.57810,43.43750,30.31250,1.03280,-0.14310,-0.04150,2.16040,0.09190,0.07980,0.69330,-0.11980,-0.71040,-0.01900
20.25000,43.15620,30.07810,1.03430,-0.14110,-0.04190,2.16040,0.21400,0.01880,0.69300,-0.11910,-0.71080,-0.01940
20.31250,43.23440,29.98440,1.03430,-0.14080,-0.04240,2.09930,0.33600,-0.10330,0.69270,-0.11860,-0.71120,-0.01980
20.51560,43.39060,30.07810,1.03160,-0.14090,-0.04220,2.00780,0.42760,-0.25590,0.69230,-0.11810,-0.71160,-0.02010
20.48440,43.32810,30.12500,1.02610,-0.14090,-0.03980,1.76360,0.45810,-0.43900,0.69280,-0.11810,-0.71110,-0.01980
20.48440,43.43750,30.01560,1.02030,-0.14050,-0.03680,1.42790,0.27500,-0.56110,0.69340,-0.11800,-0.71060,-0.01970
20.40620,43.35940,30.14060,1.01650,-0.14110,-0.03460,1.27540,-0.09120,-0.62210,0.69390,-0.11800,-0.71010,-0.01940
20.65620,43.56250,30.20310,1.01520,-0.14140,-0.03350,1.51950,-0.48800,-0.59160,0.69430,-0.11800,-0.70960,-0.01920
20.65620,43.60940,30.28120,1.01540,-0.14010,-0.03370,1.79420,-0.79310,-0.59160,0.69480,-0.11780,-0.70920,-0.01910
20.75000,43.67190,30.34380,1.01680,-0.13900,-0.03480,1.64160,-1.09830,-0.62210,0.69460,-0.11700,-0.70950,-0.01970
20.76560,43.62500,30.37500,1.01870,-0.13810,-0.03450,1.15330,-1.18990,-0.62210,0.69510,-0.11660,-0.70910,-0.01990
20.84380,43.73440,30.37500,1.02060,-0.13760,-0.03410,0.87860,-0.91520,-0.71370,0.69480,-0.11590,-0.70950,-0.02050
