hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
19.92190,42.60940,29.71880,1.02060,-0.05360,0.17580,0.51240,0.36650,-0.16440,0.58970,-0.43640,-0.47460,-0.48640
19.95310,42.62500,29.68750,1.02030,-0.05360,0.17620,-0.25050,0.21400,-0.07280,0.58970,-0.43580,-0.47450,-0.48690
19.89060,42.48440,29.62500,1.02140,-0.05510,0.17590,-0.92190,-0.03020,-0.13380,0.59000,-0.43650,-0.47410,-0.48640
19.43750,42.20310,29.26560,1.02270,-0.05750,0.17610,-1.22710,-0.18280,-0.25590,0.59040,-0.43710,-0.47360,-0.48600
19.62500,42.40620,29.32810,1.02290,-0.05990,0.17570,-1.10500,-0.18280,-0.37800,0.59060,-0.43780,-0.47310,-0.48550
19.56250,42.34380,29.29690,1.02230,-0.06090,0.17480,-0.64720,-0.09120,-0.37800,0.59060,-0.43850,-0.47310,-0.48500
19.60940,42.29690,29.43750,1.02180,-0.06020,0.17480,-0.06740,0.06140,-0.31690,0.59040,-0.43780,-0.47330,-0.48560
19.76560,42.50000,29.46880,1.02140,-0.05810,0.17470,0.42090,0.12240,-0.28640,0.58990,-0.43730,-0.47400,-0.48590
19.85940,42.56250,29.64060,1.02090,-0.05520,0.17360,0.57350,0.03080,-0.28640,0.58940,-0.43700,-0.47460,-0.48620
19.84380,42.50000,29.67190,1.02090,-0.05250,0.17400,0.39040,-0.06070,-0.34750,0.58900,-0.43630,-0.47510,-0.48670
19.59380,42.23440,29.45310,1.02120,-0.05130,0.17530,0.02410,-0.06070,-0.40850,0.58890,-0.43570,-0.47530,-0.48730
19.71880,42.50000,29.42190,1.02240,-0.05240,0.17470,-0.40310,-0.03020,-0.46950,0.58890,-0.43630,-0.47520,-0.48680
19.95310,42.67190,29.70310,1.02310,-0.05550,0.17310,-0.61670,0.03080,-0.53060,0.58900,-0.43700,-0.47500,-0.48630
20.03120,42.76560,29.81250,1.02250,-0.05730,0.17310,-0.43360,0.12240,-0.56110,0.58930,-0.43760,-0.47450,-0.48580
20.07810,42.78120,29.81250,1.02220,-0.05680,0.17400,-0.00640,0.21400,-0.53060,0.58970,-0.43720,-0.47410,-0.48620
20.10940,42.82810,29.82810,1.02220,-0.05470,0.17420,0.45140,0.24450,-0.43900,0.58920,-0.43670,-0.47480,-0.48660
20.15620,42.85940,29.89060,1.02130,-0.05380,0.17370,0.69550,0.24450,-0.34750,0.58870,-0.43640,-0.47540,-0.48680
20.18750,42.89060,29.89060,1.02070,-0.05390,0.17330,0.69550,0.12240,-0.28640,0.58910,-0.43690,-0.47490,-0.48630
20.14060,42.81250,29.90620,1.01920,-0.05230,0.17390,0.60400,-0.09120,-0.19490,0.58890,-0.43620,-0.47530,-0.48690
19.81250,42.50000,29.67190,1.01750,-0.05010,0.17500,0.35980,-0.24380,-0.13380,0.58880,-0.43550,-0.47540,-0.48740
19.95310,42.64060,29.62500,1.01790,-0.04920,0.17560,-0.03690,-0.33540,-0.19490,0.58870,-0.43480,-0.47560,-0.48800
19.96880,42.70310,29.71880,1.01980,-0.04980,0.17560,-0.49470,-0.42690,-0.34750,0.58890,-0.43550,-0.47530,-0.48740
20.00000,42.71880,29.73440,1.02300,-0.05120,0.17450,-0.79980,-0.39640,-0.68320,0.58840,-0.43580,-0.47580,-0.48730
19.98440,42.71880,29.68750,1.02520,-0.05280,0.17310,-0.79980,-0.18280,-1.01880,0.58840,-0.43640,-0.47570,-0.48690
20.01560,42.76560,29.70310,1.02510,-0.05360,0.17240,-0.49470,0.06140,-1.17140,0.58840,-0.43710,-0.47570,-0.48640
20.12500,42.81250,29.81250,1.02390,-0.05410,0.17140,-0.03690,0.24450,-1.11040,0.58820,-0.43760,-0.47580,-0.48590
20.12500,42.76560,29.85940,1.02270,-0.05410,0.16980,0.35980,0.33600,-0.95780,0.58770,-0.43770,-0.47630,-0.48580
20.12500,42.82810,29.78120,1.02170,-0.05320,0.16860,0.63450,0.33600,-0.74420,0.58720,-0.43760,-0.47700,-0.48590
20.17190,42.82810,29.84380,1.02110,-0.05100,0.16950,0.57350,0.15290,-0.56110,0.58740,-0.43690,-0.47690,-0.48640
20.18750,42.81250,29.89060,1.02120,-0.04880,0.17200,0.17670,-0.24380,-0.46950,0.58740,-0.43630,-0.47690,-0.48700
20.18750,42.81250,29.87500,1.02070,-0.04660,0.17340,-0.28100,-0.61000,-0.43900,0.58740,-0.43570,-0.47690,-0.48750
20.23440,42.84380,29.85940,1.02080,-0.04550,0.17310,-0.73880,-0.76260,-0.43900,0.58720,-0.43510,-0.47710,-0.48810
