hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
15.53120,37.43750,24.00000,1.01140,-0.08780,0.19500,0.57350,0.73270,-2.94150,0.72910,-0.25540,-0.58290,-0.25160
15.50000,37.56250,24.03120,1.01460,-0.08910,0.19320,0.42090,0.51910,-2.69730,0.72900,-0.25590,-0.58300,-0.25120
15.12500,37.31250,23.87500,1.01810,-0.08910,0.19210,0.26830,0.61070,-2.36160,0.72880,-0.25640,-0.58320,-0.25080
15.20310,37.45310,23.45310,1.02190,-0.08850,0.19290,0.35980,0.85480,-2.02590,0.72860,-0.25690,-0.58350,-0.25050
15.37500,37.14060,23.64060,1.02620,-0.08840,0.19380,0.57350,1.12950,-1.78180,0.72840,-0.25730,-0.58370,-0.25010
15.45310,37.25000,23.73440,1.02930,-0.08900,0.19490,0.78710,1.28210,-1.65970,0.72840,-0.25780,-0.58370,-0.24960
15.12500,37.29690,23.65620,1.03070,-0.08970,0.19570,0.93970,1.37360,-1.59870,0.72870,-0.25830,-0.58320,-0.24920
15.28120,37.37500,23.70310,1.03110,-0.08990,0.19510,0.93970,1.43470,-1.53760,0.72830,-0.25810,-0.58370,-0.24930
15.35940,37.46880,23.56250,1.02980,-0.08930,0.19420,0.81760,1.40410,-1.35450,0.72800,-0.25820,-0.58420,-0.24930
15.45310,37.32810,23.71880,1.02760,-0.08950,0.19340,0.60400,1.28210,-1.07990,0.72840,-0.25860,-0.58370,-0.24880
15.42190,37.34380,23.87500,1.02500,-0.09090,0.19310,0.32930,1.12950,-0.68320,0.72820,-0.25910,-0.58380,-0.24840
15.28120,37.51560,23.65620,1.02200,-0.09070,0.19280,-0.03690,1.00740,-0.25590,0.72860,-0.25850,-0.58350,-0.24890
15.43750,37.42190,23.70310,1.01980,-0.08960,0.19310,-0.46410,0.82430,0.23240,0.72820,-0.25810,-0.58390,-0.24930
15.56250,37.48440,23.64060,1.01780,-0.08870,0.19450,-0.83040,0.64120,0.75120,0.72870,-0.25810,-0.58330,-0.24930
15.48440,37.46880,23.96880,1.01630,-0.08860,0.19640,-1.13550,0.51910,1.27000,0.72910,-0.25800,-0.58270,-0.24950
15.53120,37.65620,24.06250,1.01530,-0.08750,0.19780,-1.25760,0.36650,1.69720,0.72950,-0.25780,-0.58220,-0.24970
15.45310,37.73440,23.90620,1.01320,-0.08500,0.19880,-1.16600,0.30550,2.06340,0.72980,-0.25730,-0.58190,-0.25020
15.70310,37.75000,23.89060,1.01030,-0.08350,0.19990,-1.04400,0.45810,2.33810,0.73000,-0.25690,-0.58160,-0.25060
15.67190,37.56250,24.00000,1.00770,-0.08210,0.20280,-0.95240,0.79380,2.52120,0.73040,-0.25650,-0.58120,-0.25090
15.60940,37.60940,24.09380,1.00600,-0.07940,0.20480,-0.95240,1.03790,2.61270,0.73070,-0.25610,-0.58080,-0.25130
15.45310,37.60940,23.98440,1.00430,-0.07600,0.20450,-0.95240,1.12950,2.64330,0.73090,-0.25560,-0.58060,-0.25170
