hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
13.00000,35.57810,23.23440,1.00420,-0.23990,0.05580,0.39040,-0.61000,-0.62210,0.33560,-0.66710,-0.16750,-0.64370
12.78120,35.34380,23.31250,1.00100,-0.23920,0.05750,0.14620,-0.03020,-0.86630,0.33580,-0.66650,-0.16750,-0.64410
13.03120,35.67190,23.21880,1.00110,-0.23920,0.05640,-0.28100,0.24450,-0.80520,0.33560,-0.66700,-0.16750,-0.64370
12.87500,35.34380,23.20310,1.00420,-0.23950,0.05170,-0.92190,0.06140,-0.59160,0.33520,-0.66750,-0.16770,-0.64330
13.00000,35.45310,23.25000,1.00790,-0.24100,0.04790,-1.56280,-0.24380,-0.37800,0.33490,-0.66810,-0.16770,-0.64290
12.75000,35.31250,23.15620,1.00930,-0.24330,0.04810,-2.14260,-0.18280,-0.31690,0.33470,-0.66870,-0.16750,-0.64240
12.76560,35.40620,23.15620,1.00770,-0.24490,0.05090,-2.50880,0.21400,-0.31690,0.33510,-0.66900,-0.16670,-0.64210
13.03120,35.51560,23.31250,1.00590,-0.24550,0.05210,-2.44780,0.73270,-0.25590,0.33560,-0.66900,-0.16590,-0.64210
12.96880,35.42190,23.10940,1.00580,-0.24630,0.05030,-2.02050,0.82430,-0.01180,0.33570,-0.66950,-0.16540,-0.64170
12.92190,35.23440,23.35940,1.00590,-0.24630,0.04790,-1.28810,0.54960,0.26290,0.33550,-0.67000,-0.16540,-0.64120
13.00000,35.51560,23.28120,1.00540,-0.24540,0.04730,-0.34210,0.45810,0.38500,0.33510,-0.67040,-0.16560,-0.64090
12.81250,35.34380,23.29690,1.00490,-0.24340,0.04760,0.54290,0.45810,0.38500,0.33460,-0.67030,-0.16630,-0.64120
13.03120,35.43750,23.17190,1.00420,-0.24060,0.04750,1.24480,0.39710,0.29340,0.33400,-0.67010,-0.16710,-0.64140
12.95310,35.37500,23.12500,1.00360,-0.23880,0.04760,1.70260,0.18340,0.20190,0.33350,-0.66990,-0.16790,-0.64170
13.09380,35.59380,23.40620,1.00370,-0.23830,0.04860,1.82470,-0.42690,0.20190,0.33350,-0.66930,-0.16820,-0.64220
13.06250,35.62500,23.32810,1.00320,-0.23800,0.05120,1.64160,-0.94570,0.14080,0.33390,-0.66880,-0.16820,-0.64260
13.18750,35.75000,23.35940,1.00250,-0.23800,0.05270,1.09230,-1.18990,0.04930,0.33420,-0.66840,-0.16810,-0.64290
13.21880,35.64060,23.48440,1.00240,-0.23800,0.05200,0.35980,-1.18990,-0.04230,0.33450,-0.66800,-0.16790,-0.64320
13.18750,35.62500,23.51560,1.00310,-0.23940,0.05060,-0.25050,-1.00680,-0.01180,0.33440,-0.66860,-0.16780,-0.64260
13.04690,35.59380,23.43750,1.00440,-0.24270,0.04900,-0.58620,-0.76260,0.11030,0.33470,-0.66910,-0.16740,-0.64210
13.26560,35.84380,23.45310,1.00400,-0.24450,0.04860,-0.58620,-0.15230,0.04930,0.33500,-0.66960,-0.16680,-0.64160
13.28120,35.64060,23.50000,1.00320,-0.24450,0.04940,-0.25050,0.61070,-0.10330,0.33560,-0.66970,-0.16610,-0.64130
13.31250,35.67190,23.50000,1.00420,-0.24400,0.04830,0.20720,0.97690,-0.16440,0.33520,-0.67000,-0.16650,-0.64110
13.10940,35.57810,23.50000,1.00540,-0.24270,0.04600,0.66500,0.82430,-0.16440,0.33480,-0.67030,-0.16690,-0.64090
13.20310,35.71880,23.46880,1.00570,-0.24220,0.04550,0.90910,0.48860,-0.19490,0.33440,-0.67060,-0.16730,-0.64060
13.09380,35.56250,23.39060,1.00410,-0.24260,0.04550,1.00070,0.24450,-0.34750,0.33460,-0.67110,-0.16710,-0.64010
