hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
15.92190,37.25000,24.96880,1.01540,-0.19690,0.18720,21.69160,-5.00460,-7.30550,0.28460,-0.65020,-0.11530,-0.69490
15.98440,37.21880,25.12500,1.01610,-0.20470,0.19160,19.86060,-3.32610,-7.15290,0.28540,-0.64930,-0.11700,-0.69510
15.53120,36.96880,24.93750,1.01700,-0.21390,0.19270,19.06710,-2.50210,-6.93930,0.28610,-0.64840,-0.11860,-0.69540
15.56250,37.23440,24.56250,1.02110,-0.21720,0.18820,19.73850,-2.25800,-6.60360,0.28700,-0.64750,-0.12010,-0.69570
15.57810,37.01560,24.70310,1.02450,-0.21550,0.18050,21.44750,-2.10540,-6.42050,0.28800,-0.64650,-0.12180,-0.69590
15.95310,37.25000,24.84380,1.02360,-0.21300,0.17460,23.15650,-1.86120,-6.54250,0.28900,-0.64540,-0.12350,-0.69620
15.54690,37.10940,24.85940,1.02030,-0.21060,0.17000,23.88890,-1.43400,-6.96980,0.29010,-0.64430,-0.12530,-0.69640
15.76560,37.37500,24.95310,1.01720,-0.20950,0.16460,23.58370,-0.76260,-7.61060,0.29120,-0.64310,-0.12710,-0.69670
15.82810,37.46880,24.98440,1.01450,-0.21050,0.15970,22.82080,0.00030,-8.19050,0.29220,-0.64200,-0.12870,-0.69710
16.10940,37.43750,25.12500,1.01100,-0.21060,0.15700,21.99680,0.73270,-8.67880,0.29340,-0.64090,-0.13000,-0.69730
15.92190,37.32810,25.12500,1.00750,-0.21040,0.15520,21.17280,1.61780,-8.98390,0.29460,-0.63990,-0.13110,-0.69750
16.04690,37.46880,25.20310,1.00580,-0.21130,0.15370,20.31830,2.50280,-9.01450,0.29590,-0.63920,-0.13200,-0.69750
15.96880,37.48440,25.09380,1.00490,-0.21210,0.15250,19.09760,3.14360,-8.83130,0.29700,-0.63860,-0.13290,-0.69730
16.21880,37.54690,25.14060,1.00140,-0.21070,0.14930,17.29710,3.29620,-8.58720,0.29790,-0.63830,-0.13380,-0.69710
16.12500,37.40620,25.15620,0.99690,-0.20630,0.14500,14.94720,2.77740,-8.28200,0.29840,-0.63820,-0.13480,-0.69680
