hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
-15.81250,-11.40620,-20.20310,0.98180,-0.18520,0.33140,-0.09790,-1.22040,1.45310,0.71380,-0.36930,-0.45460,-0.38410
-15.64060,-11.34380,-20.31250,0.98160,-0.18100,0.32990,0.17670,0.48860,1.72770,0.71360,-0.36880,-0.45500,-0.38450
-15.87500,-11.75000,-20.31250,0.97820,-0.17700,0.32800,0.51240,1.95350,1.23950,0.71340,-0.36810,-0.45540,-0.38490
-15.82810,-11.79690,-20.20310,0.97120,-0.17540,0.32470,0.75660,2.74690,0.44600,0.71310,-0.36760,-0.45590,-0.38540
-16.01560,-11.62500,-20.37500,0.96280,-0.17650,0.31980,0.87860,2.86900,-0.34750,0.71280,-0.36750,-0.45640,-0.38540
-15.96880,-11.67190,-20.34380,0.95760,-0.17930,0.31530,0.97020,2.35020,-1.11040,0.71260,-0.36790,-0.45660,-0.38520
-15.84380,-11.71880,-20.45310,0.95740,-0.18130,0.31320,1.09230,1.16000,-1.87330,0.71240,-0.36830,-0.45680,-0.38490
-15.98440,-11.92190,-20.45310,0.96310,-0.18270,0.31380,1.12280,-0.30480,-2.27010,0.71210,-0.36880,-0.45710,-0.38460
-15.98440,-11.78120,-20.14060,0.97170,-0.18470,0.31480,0.93970,-1.43400,-2.05640,0.71180,-0.36920,-0.45760,-0.38420
-15.93750,-11.50000,-20.17190,0.97760,-0.18730,0.31820,0.54290,-1.64760,-1.53760,0.71160,-0.36990,-0.45770,-0.38380
-15.85940,-11.51560,-20.25000,0.97960,-0.18910,0.32240,0.11570,-0.94570,-1.04940,0.71180,-0.37050,-0.45730,-0.38330
-15.67190,-11.57810,-20.06250,0.98170,-0.19050,0.32310,-0.12840,0.12240,-0.77470,0.71210,-0.37110,-0.45680,-0.38290
-15.79690,-11.60940,-19.90620,0.98260,-0.19140,0.32170,-0.18950,1.22100,-0.71370,0.71220,-0.37170,-0.45650,-0.38240
-15.82810,-11.40620,-19.96880,0.98090,-0.19160,0.31760,-0.09790,2.13660,-0.83570,0.71200,-0.37220,-0.45670,-0.38210
-15.81250,-11.39060,-20.09380,0.97660,-0.19160,0.31230,-0.09790,2.59430,-0.98830,0.71170,-0.37260,-0.45680,-0.38200
-15.59380,-11.45310,-20.07810,0.97130,-0.19130,0.30860,-0.43360,2.38070,-0.92730,0.71150,-0.37300,-0.45700,-0.38180
-15.70310,-11.57810,-19.95310,0.96850,-0.19050,0.30750,-1.04400,1.67880,-0.71370,0.71120,-0.37350,-0.45720,-0.38160
-15.70310,-11.42190,-19.85940,0.96810,-0.18990,0.30710,-1.53230,0.88530,-0.43900,0.71080,-0.37400,-0.45750,-0.38150
-15.79690,-11.34380,-19.95310,0.96920,-0.18970,0.30610,-1.68480,0.18340,-0.01180,0.71040,-0.37450,-0.45790,-0.38130
-15.62500,-11.31250,-20.03120,0.97020,-0.19000,0.30580,-1.50170,-0.27430,0.47650,0.71000,-0.37500,-0.45820,-0.38110
-15.59380,-11.50000,-19.95310,0.97120,-0.19220,0.30760,-1.13550,-0.42690,0.72070,0.70980,-0.37580,-0.45830,-0.38060
-15.70310,-11.48440,-19.87500,0.97230,-0.19480,0.31080,-0.64720,-0.51850,0.47650,0.71030,-0.37610,-0.45760,-0.38030
-15.81250,-11.43750,-19.90620,0.97270,-0.19540,0.31150,-0.34210,-0.61000,0.23240,0.71070,-0.37630,-0.45690,-0.38010
-15.67190,-11.26560,-20.01560,0.97290,-0.19490,0.31200,0.42090,-0.73210,-0.28640,0.71100,-0.37590,-0.45660,-0.38030
-15.60940,-11.48440,-20.01560,0.97210,-0.19270,0.31160,1.18380,-0.67110,-0.71370,0.71060,-0.37530,-0.45740,-0.38070
-15.62500,-11.50000,-19.87500,0.96970,-0.19040,0.30960,1.85520,-0.48800,-0.98830,0.71020,-0.37500,-0.45820,-0.38090
-15.79690,-11.51560,-19.79690,0.96810,-0.18760,0.30790,2.37400,-0.42690,-1.17140,0.70970,-0.37450,-0.45900,-0.38120
-15.75000,-11.32810,-19.87500,0.96740,-0.18360,0.30790,2.67920,-0.57950,-1.23250,0.70950,-0.37370,-0.45960,-0.38170
-15.71880,-11.46880,-19.95310,0.96660,-0.18140,0.30700,2.64870,-0.82360,-1.07990,0.70920,-0.37290,-0.46040,-0.38210
-15.59380,-11.59380,-19.92190,0.96670,-0.18250,0.30640,2.22140,-1.31190,-0.74420,0.70880,-0.37320,-0.46100,-0.38180
-15.78120,-11.70310,-19.81250,0.96860,-0.18600,0.30700,1.51950,-2.01380,-0.37800,0.70920,-0.37360,-0.46050,-0.38130
-15.85940,-11.64060,-19.95310,0.97070,-0.18960,0.30790,0.81760,-2.99040,-0.07280,0.70940,-0.37420,-0.46020,-0.38070
-15.93750,-11.70310,-20.14060,0.97340,-0.19060,0.30990,0.39040,-3.90590,0.01880,0.70970,-0.37450,-0.45970,-0.38030
-15.81250,-11.78120,-20.17190,0.97840,-0.19060,0.31260,0.35980,-4.60780,-0.04230,0.71000,-0.37440,-0.45950,-0.38020
-15.95310,-11.92190,-20.04690,0.98280,-0.18910,0.31630,0.60400,-4.79090,-0.16440,0.71010,-0.37400,-0.45960,-0.38040
-16.01560,-11.84380,-20.03120,0.98430,-0.18640,0.32030,0.90910,-4.11950,-0.25590,0.71020,-0.37350,-0.45960,-0.38060
-16.01560,-11.82810,-20.17190,0.98570,-0.18480,0.32310,0.90910,-2.74630,-0.19490,0.71030,-0.37290,-0.45960,-0.38090
-15.84380,-11.67190,-20.20310,0.98440,-0.18530,0.32560,0.54290,-1.03730,-0.04230,0.71060,-0.37240,-0.45940,-0.38120
-15.81250,-11.75000,-20.12500,0.97940,-0.18740,0.32510,0.08520,0.51910,0.32390,0.71100,-0.37210,-0.45890,-0.38140
-15.84380,-11.60940,-19.92190,0.97390,-0.18900,0.32220,-0.31160,1.46520,0.87320,0.71150,-0.37190,-0.45820,-0.38140
-15.92190,-11.53120,-19.95310,0.96900,-0.18850,0.31970,-0.52520,1.73980,1.39200,0.71210,-0.37180,-0.45740,-0.38140
-15.82810,-11.43750,-20.00000,0.96590,-0.18670,0.31790,-0.43360,1.34310,1.39200,0.71260,-0.37150,-0.45680,-0.38160
-15.71880,-11.56250,-19.96880,0.96630,-0.18460,0.31760,-0.12840,0.39710,0.72070,0.71250,-0.37080,-0.45710,-0.38210
-15.71880,-11.50000,-19.81250,0.96830,-0.18240,0.31730,0.14620,-0.97620,-0.22540,0.71200,-0.37030,-0.45780,-0.38250
-15.82810,-11.54690,-19.73440,0.97000,-0.18180,0.31760,0.14620,-2.19690,-0.86630,0.71160,-0.36980,-0.45850,-0.38300
-15.78120,-11.34380,-19.85940,0.97350,-0.18300,0.32030,-0.03690,-2.71570,-1.04940,0.71190,-0.36970,-0.45810,-0.38300
-15.75000,-11.48440,-19.89060,0.97760,-0.18540,0.32410,-0.37260,-2.62420,-1.11040,0.71220,-0.36970,-0.45770,-0.38290
