hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
16.43750,37.92190,26.28120,-0.11460,-0.93120,0.32170,-0.98290,-0.48800,-1.11040,0.79780,-0.57980,-0.04290,0.15930
16.18750,37.76560,26.09380,-0.11650,-0.93160,0.32340,0.17670,-0.27430,-0.89680,0.79820,-0.57930,-0.04260,0.15960
16.07810,37.48440,25.96880,-0.11750,-0.93290,0.32410,1.21430,-0.57950,-0.62210,0.79840,-0.57890,-0.04200,0.16010
15.71880,37.34380,25.65620,-0.11730,-0.93410,0.32530,1.73310,-1.09830,-0.59160,0.79890,-0.57830,-0.04260,0.15970
15.92190,37.51560,25.67190,-0.11700,-0.93630,0.32440,1.42790,-1.70870,-0.98830,0.79850,-0.57880,-0.04270,0.15980
16.04690,37.64060,25.78120,-0.11730,-0.93770,0.32030,0.42090,-2.25800,-1.62920,0.79820,-0.57930,-0.04290,0.15970
16.06250,37.70310,25.89060,-0.11710,-0.93840,0.31650,-0.73880,-2.83780,-2.23950,0.79770,-0.57990,-0.04320,0.15970
16.20310,37.84380,25.98440,-0.11510,-0.94130,0.31430,-1.50170,-3.38710,-2.66680,0.79730,-0.58050,-0.04380,0.15950
16.35940,37.93750,26.12500,-0.11190,-0.94460,0.31450,-1.34920,-3.72280,-2.94150,0.79690,-0.58110,-0.04450,0.15920
16.45310,38.01560,26.25000,-0.10870,-0.94640,0.31760,-0.25050,-3.57020,-2.88040,0.79670,-0.58140,-0.04550,0.15870
16.50000,38.07810,26.25000,-0.10520,-0.94880,0.32040,1.39740,-3.05140,-2.27010,0.79670,-0.58140,-0.04660,0.15820
16.50000,38.10940,26.29690,-0.10180,-0.95300,0.32290,2.95380,-2.47160,-1.14090,0.79700,-0.58110,-0.04760,0.15760
16.51560,38.12500,26.29690,-0.10050,-0.95500,0.32680,3.83880,-1.76970,0.04930,0.79740,-0.58050,-0.04840,0.15720
16.45310,38.09380,26.26560,-0.10260,-0.95450,0.33110,3.62520,-0.88470,0.75120,0.79800,-0.57970,-0.04870,0.15710
16.45310,38.06250,26.29690,-0.10760,-0.95470,0.33590,2.22140,-0.12170,0.84270,0.79850,-0.57900,-0.04850,0.15740
16.46880,38.04690,26.29690,-0.11480,-0.95710,0.34310,-0.00640,0.12240,0.81220,0.79880,-0.57850,-0.04800,0.15780
16.37500,37.96880,26.20310,-0.12200,-0.96540,0.35310,-2.69190,-0.61000,1.20890,0.79900,-0.57820,-0.04760,0.15820
16.46880,38.06250,26.21880,-0.12960,-0.98360,0.36730,-5.74370,-2.31900,2.52120,0.79890,-0.57810,-0.04730,0.15880
16.53120,38.14060,26.29690,-0.14210,-1.01660,0.38280,-9.34480,-4.91300,5.26780,0.79860,-0.57830,-0.04700,0.15980
16.57810,38.20310,26.35940,-0.16220,-1.05930,0.40000,-13.70880,-7.75110,9.41820,0.79800,-0.57880,-0.04670,0.16120
16.62500,38.28120,26.39060,-0.18960,-1.10430,0.42630,-19.41560,-9.76530,15.00290,0.79700,-0.57970,-0.04620,0.16320
16.68750,38.34380,26.37500,-0.22780,-1.17140,0.46480,-26.67870,-10.61980,22.84590,0.79540,-0.58120,-0.04560,0.16570
16.65620,38.42190,26.40620,-0.29170,-1.27260,0.51390,-35.34570,-10.46720,33.95430,0.79320,-0.58330,-0.04440,0.16890
16.71880,38.45310,26.43750,-0.38590,-1.37990,0.56310,-46.36260,-10.89440,48.05340,0.79020,-0.58630,-0.04270,0.17310
16.68750,38.45310,26.45310,-0.49360,-1.46900,0.60360,-59.63770,-13.91570,63.37320,0.78620,-0.59020,-0.04060,0.17850
16.64060,38.45310,26.46880,-0.59710,-1.55260,0.63940,-73.55370,-19.16470,78.44890,0.78110,-0.59500,-0.03830,0.18520
16.46880,38.32810,26.43750,-0.67050,-1.64060,0.65380,-86.70680,-25.78700,93.43310,0.77500,-0.60060,-0.03590,0.19320
16.25000,38.31250,26.28120,-0.68670,-1.73100,0.62050,-97.20490,-34.66760,109.97360,0.76790,-0.60670,-0.03330,0.20270
16.20310,38.40620,26.34380,-0.66120,-1.82550,0.55820,-103.82720,-47.11880,129.29120,0.75980,-0.61310,-0.03070,0.21410
16.09380,38.32810,26.46880,-0.64490,-1.87190,0.50150,-104.46800,-61.46210,150.83659,0.75100,-0.61920,-0.02790,0.22770
15.98440,38.34380,26.53120,-0.66800,-1.84180,0.46350,-95.55690,-70.55630,174.64030,0.74180,-0.62440,-0.02420,0.24320
15.92190,38.32810,26.60940,-0.70290,-1.78480,0.43760,-80.26760,-69.57980,200.61079,0.73270,-0.62840,-0.01870,0.26040
15.92190,38.32810,26.71880,-0.71400,-1.70880,0.40590,-65.89380,-61.30950,224.87230,0.72360,-0.63140,-0.01100,0.27860
15.87500,38.29690,26.75000,-0.70870,-1.61270,0.35500,-54.99910,-51.36080,243.36591,0.71410,-0.63380,-0.00140,0.29720
15.93750,38.21880,26.84380,-0.68910,-1.51960,0.28000,-47.46120,-44.95210,256.06119,0.70420,-0.63590,0.00920,0.31570
15.84380,38.12500,26.76560,-0.65390,-1.42820,0.18250,-43.46340,-44.21960,265.36911,0.69390,-0.63750,0.02000,0.33420
15.82810,38.04690,26.75000,-0.62750,-1.34210,0.08330,-42.54790,-46.08120,272.38809,0.68310,-0.63860,0.03090,0.35290
15.75000,37.90620,26.70310,-0.62990,-1.26710,0.00940,-40.99150,-45.44030,277.36249,0.67190,-0.63930,0.04220,0.37160
15.45310,37.67190,26.51560,-0.64350,-1.18900,-0.02690,-35.52880,-41.35100,281.05511,0.66040,-0.63940,0.05410,0.39000
14.98440,37.28120,26.23440,-0.63570,-1.10210,-0.02580,-27.65530,-36.22400,283.80170,0.64890,-0.63870,0.06670,0.40800
14.34380,36.79690,25.81250,-0.61770,-1.01400,-0.01490,-21.49080,-32.80610,285.35809,0.63740,-0.63750,0.07970,0.42550
13.54690,36.07810,25.29690,-0.60830,-0.92810,-0.02810,-17.82860,-32.65350,284.93079,0.62560,-0.63570,0.09270,0.44260
12.75000,35.21880,24.65620,-0.58970,-0.84000,-0.05380,-14.44120,-33.20280,280.65839,0.61390,-0.63330,0.10560,0.45930
11.95310,34.28120,23.96880,-0.56250,-0.72690,-0.08200,-11.45050,-31.52430,273.54779,0.60220,-0.63050,0.11830,0.47520
11.18750,33.20310,23.31250,-0.55890,-0.58730,-0.10780,-11.66410,-26.79410,267.35269,0.59030,-0.62770,0.13100,0.49030
10.15620,31.76560,22.50000,-0.58870,-0.45280,-0.10480,-19.04930,-16.26550,262.92770,0.57770,-0.62540,0.14390,0.50450
8.79690,30.06250,21.53120,-0.60790,-0.37550,-0.07140,-35.28470,2.86900,258.96039,0.56370,-0.62440,0.15680,0.51740
7.17190,28.09380,20.39060,-0.57490,-0.36800,-0.05020,-55.57890,29.20570,256.30539,0.54820,-0.62530,0.16990,0.52880
5.20310,25.76560,19.07810,-0.52520,-0.38390,-0.05010,-71.53960,57.22080,255.63400,0.53130,-0.62800,0.18310,0.53830
2.95310,23.15620,17.64060,-0.51690,-0.36130,-0.03570,-78.13140,81.54330,254.56590,0.51350,-0.63180,0.19700,0.54620
0.37500,20.15620,16.04690,-0.55710,-0.27220,-0.02170,-75.81200,100.89140,251.20889,0.49520,-0.63600,0.21180,0.55270
-2.34380,17.10940,14.17190,-0.60730,-0.17900,-0.03810,-71.17340,111.66410,244.37300,0.47670,-0.64010,0.22720,0.55810
-5.00000,14.00000,12.26560,-0.63030,-0.13320,-0.06480,-75.20170,109.80260,231.40300,0.45840,-0.64410,0.24150,0.56280
-7.54690,10.51560,10.23440,-0.63860,-0.12650,-0.08350,-90.52150,98.17540,211.41400,0.44020,-0.64820,0.25330,0.56740
-10.03120,6.87500,7.89060,-0.65660,-0.12660,-0.09140,-107.94710,79.80380,186.35910,0.42250,-0.65240,0.26190,0.57210
-12.26560,3.23440,5.50000,-0.67850,-0.10350,-0.08690,-120.15410,53.95540,160.14450,0.40580,-0.65600,0.26750,0.57740
-14.23440,-0.37500,3.12500,-0.67250,-0.07780,-0.09560,-124.73170,20.59970,136.03560,0.39070,-0.65850,0.27020,0.58370
-15.70310,-3.54690,0.78120,-0.61720,-0.07610,-0.12500,-119.75740,-17.18110,115.74140,0.37790,-0.65930,0.27050,0.59110
-16.68750,-6.29690,-1.20310,-0.53730,-0.08160,-0.13700,-108.58790,-57.67790,101.03190,0.36740,-0.65790,0.26900,0.59980
-17.45310,-8.85940,-3.00000,-0.48250,-0.06720,-0.11910,-97.32690,-97.35070,91.20530,0.35900,-0.65420,0.26630,0.61010
-17.89060,-11.06250,-4.68750,-0.45920,-0.04840,-0.09730,-87.40870,-127.71570,83.60640,0.35210,-0.64860,0.26260,0.62160
-18.12500,-13.15620,-6.15620,-0.43430,-0.05410,-0.08870,-76.97170,-144.46989,76.80100,0.34660,-0.64180,0.25860,0.63340
-18.32810,-15.31250,-7.60940,-0.41150,-0.05920,-0.08560,-66.13800,-149.65790,70.42280,0.34210,-0.63440,0.25440,0.64480
-18.57810,-17.31250,-9.01560,-0.39990,-0.03780,-0.07030,-57.34890,-145.17180,63.22070,0.33830,-0.62700,0.25060,0.65550
-18.68750,-18.96880,-10.32810,-0.38180,-0.02040,-0.05020,-52.28300,-133.63620,54.37060,0.33490,-0.62010,0.24690,0.66510
-18.73440,-20.35940,-11.34380,-0.36430,-0.04630,-0.03030,-49.90260,-119.56750,45.21530,0.33200,-0.61410,0.24310,0.67340
-18.76560,-21.42190,-12.15620,-0.38200,-0.09560,0.01360,-48.07160,-104.40030,37.49430,0.32980,-0.60910,0.23880,0.68060
-18.75000,-22.18750,-12.78120,-0.43140,-0.11920,0.08340,-45.66070,-89.35510,31.78750,0.32790,-0.60450,0.23440,0.68700
-18.73440,-22.62500,-13.14060,-0.45560,-0.12030,0.11550,-44.34840,-83.31270,29.49870,0.32610,-0.60010,0.23030,0.69310
-18.70310,-22.78120,-13.25000,-0.48360,-0.11740,0.16190,-42.67000,-75.89690,25.22630,0.32440,-0.59600,0.22630,0.69880
-18.64060,-22.67190,-13.12500,-0.49460,-0.11560,0.19830,-43.34130,-72.63150,20.86230,0.32270,-0.59210,0.22210,0.70430
-18.60940,-22.39060,-12.85940,-0.51060,-0.12260,0.23690,-44.56200,-70.95300,17.01700,0.32110,-0.58830,0.21780,0.70950
