hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
16.62500,38.15620,26.25000,-0.25330,-0.31650,0.92230,-8.49030,11.01720,-3.55180,0.92660,-0.12950,0.16280,-0.31330
16.68750,38.07810,26.21880,-0.26140,-0.32340,0.93610,-10.56550,8.97250,-4.16220,0.92630,-0.12930,0.16430,-0.31340
16.32810,37.84380,25.68750,-0.25760,-0.34500,0.94420,-12.45760,7.04990,-5.13870,0.92590,-0.12960,0.16590,-0.31350
16.53120,38.03120,25.73440,-0.24330,-0.37390,0.94570,-13.09840,6.40900,-6.05420,0.92530,-0.13120,0.16740,-0.31390
16.65620,38.10940,25.71880,-0.22860,-0.39510,0.94930,-11.14530,7.72130,-6.26790,0.92480,-0.13290,0.16820,-0.31440
16.62500,38.01560,25.57810,-0.22160,-0.39930,0.95640,-6.44560,10.95610,-5.65750,0.92420,-0.13420,0.16900,-0.31500
16.59380,37.92190,25.40620,-0.22230,-0.39030,0.96390,-0.15900,15.41170,-4.55890,0.92380,-0.13460,0.16960,-0.31580
16.60940,37.89060,25.20310,-0.22800,-0.37400,0.97110,6.24970,19.47050,-3.36870,0.92360,-0.13360,0.17000,-0.31650
16.64060,37.84380,25.04690,-0.23510,-0.35510,0.97410,9.91180,21.94250,-2.42270,0.92350,-0.13150,0.17090,-0.31720
16.64060,37.82810,24.89060,-0.24000,-0.34110,0.96660,8.59960,22.76640,-2.14800,0.92340,-0.12950,0.17200,-0.31770
16.60940,37.75000,24.75000,-0.24050,-0.33850,0.94720,3.13690,22.82750,-2.84990,0.92320,-0.12780,0.17330,-0.31820
16.60940,37.70310,24.60940,-0.23470,-0.35080,0.92450,-3.36330,23.13270,-4.34530,0.92280,-0.12760,0.17430,-0.31900
16.56250,37.65620,24.48440,-0.22600,-0.36880,0.90800,-8.06300,24.47540,-5.84060,0.92210,-0.12860,0.17610,-0.31980
16.54690,37.57810,24.34380,-0.22140,-0.38150,0.89710,-10.19920,27.37460,-6.08480,0.92120,-0.12970,0.17830,-0.32060
16.34380,37.34380,24.10940,-0.21990,-0.38600,0.88350,-10.65700,31.49450,-4.61990,0.92030,-0.13070,0.18090,-0.32130
16.21880,37.20310,23.84380,-0.22030,-0.38560,0.86730,-10.44340,36.16370,-2.23950,0.91940,-0.13150,0.18400,-0.32190
16.14060,37.12500,23.59380,-0.22590,-0.38650,0.85730,-8.97850,40.71080,0.26290,0.91850,-0.13200,0.18740,-0.32230
