hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
20.06250,43.82810,28.96880,0.99810,-0.27110,-0.02640,-0.22000,-3.93640,3.25360,0.67920,-0.37430,-0.59690,-0.20560
20.06250,43.79690,29.00000,0.99600,-0.27560,-0.01770,0.05470,-4.45520,3.04000,0.67860,-0.37490,-0.59740,-0.20510
19.75000,43.54690,28.84380,0.99420,-0.27460,-0.00570,2.25190,-5.09610,1.75830,0.67800,-0.37530,-0.59810,-0.20440
19.68750,43.50000,28.65620,0.99450,-0.27380,0.00960,6.15820,-5.92010,-0.13380,0.67840,-0.37480,-0.59810,-0.20400
19.82810,43.53120,28.79690,0.99030,-0.27150,0.02240,10.91890,-6.71350,-2.39210,0.67880,-0.37390,-0.59830,-0.20350
19.81250,43.60940,28.76560,0.98040,-0.26570,0.01900,15.52710,-8.05630,-4.83350,0.67930,-0.37250,-0.59890,-0.20290
19.68750,43.45310,28.92190,0.97290,-0.26460,0.00260,19.55540,-10.61980,-7.15290,0.67870,-0.37130,-0.60060,-0.20190
19.90620,43.60940,28.98440,0.97490,-0.26900,-0.00790,23.12590,-13.27480,-9.28910,0.67820,-0.37010,-0.60240,-0.20050
19.96880,43.70310,29.06250,0.98400,-0.27080,-0.00300,26.60490,-13.91570,-10.81500,0.67800,-0.36890,-0.60400,-0.19870
19.98440,43.75000,29.15620,0.99380,-0.26990,0.01040,29.47360,-12.05410,-11.02860,0.67860,-0.36660,-0.60510,-0.19750
20.06250,43.76560,29.12500,1.00080,-0.26910,0.02070,30.45020,-9.00240,-9.96050,0.67940,-0.36410,-0.60610,-0.19630
20.09380,43.78120,29.23440,1.00810,-0.26940,0.02450,28.74120,-6.04220,-8.03790,0.68030,-0.36190,-0.60670,-0.19520
20.10940,43.78120,29.25000,1.02070,-0.26920,0.02300,24.56030,-3.44820,-5.84060,0.68130,-0.35990,-0.60710,-0.19420
20.09380,43.76560,29.29690,1.03460,-0.26510,0.01700,18.94500,-1.00680,-3.61280,0.68210,-0.35810,-0.60730,-0.19380
20.07810,43.78120,29.26560,1.04280,-0.25690,0.01140,13.23830,1.64830,-1.14090,0.68270,-0.35660,-0.60760,-0.19390
20.10940,43.78120,29.28120,1.04310,-0.24740,0.01000,8.53850,4.30330,1.88030,0.68310,-0.35550,-0.60780,-0.19410
20.04690,43.76560,29.25000,1.03640,-0.23950,0.00990,4.93750,6.47010,4.90160,0.68350,-0.35470,-0.60760,-0.19450
19.98440,43.70310,29.29690,1.02530,-0.22900,0.00600,1.64160,7.41610,6.82420,0.68370,-0.35430,-0.60740,-0.19480
19.93750,43.70310,29.20310,1.01370,-0.21980,-0.00160,-2.26470,6.65320,7.03780,0.68380,-0.35420,-0.60730,-0.19530
20.00000,43.75000,29.23440,1.00520,-0.22220,-0.00690,-6.20140,4.73060,5.96970,0.68350,-0.35450,-0.60730,-0.19590
20.01560,43.78120,29.25000,1.00200,-0.23490,-0.00760,-8.21560,2.86900,4.35220,0.68290,-0.35500,-0.60740,-0.19640
20.07810,43.78120,29.32810,1.00360,-0.24750,-0.00690,-6.72020,1.92290,2.70430,0.68240,-0.35560,-0.60760,-0.19670
20.07810,43.85940,29.26560,1.00770,-0.25080,-0.00560,-2.60040,2.07550,1.17840,0.68190,-0.35590,-0.60790,-0.19690
20.10940,43.82810,29.32810,1.00920,-0.24160,-0.00340,1.70260,3.17420,-0.04230,0.68160,-0.35550,-0.60830,-0.19730
20.10940,43.85940,29.25000,1.00680,-0.23020,-0.00230,4.17450,4.36430,-0.53060,0.68160,-0.35480,-0.60870,-0.19770
20.12500,43.85940,29.31250,1.00110,-0.22820,0.00040,4.08300,4.63900,-0.40850,0.68160,-0.35400,-0.60900,-0.19820
20.09380,43.85940,29.31250,0.99600,-0.23240,0.00520,1.85520,3.87610,-0.13380,0.68150,-0.35330,-0.60930,-0.19890
20.09380,43.81250,29.34380,0.99650,-0.23980,0.00740,-1.10500,2.44170,0.38500,0.68130,-0.35280,-0.60950,-0.19960
20.07810,43.82810,29.26560,1.00140,-0.25060,0.00660,-3.60750,1.00740,1.20890,0.68130,-0.35370,-0.60920,-0.19910
20.07810,43.81250,29.32810,1.00660,-0.25780,0.00560,-5.25540,0.33600,2.00240,0.68120,-0.35480,-0.60880,-0.19860
20.03120,43.79690,29.26560,1.01030,-0.25990,0.00750,-6.04890,0.73270,2.36860,0.68130,-0.35580,-0.60820,-0.19810
20.01560,43.76560,29.28120,1.00990,-0.26220,0.01490,-6.32350,1.77030,2.39910,0.68170,-0.35650,-0.60740,-0.19810
20.03120,43.73440,29.21880,1.00630,-0.26520,0.02480,-6.47610,2.65540,2.30760,0.68220,-0.35690,-0.60650,-0.19820
20.04690,43.75000,29.28120,1.00240,-0.26900,0.03350,-6.62870,3.05210,2.36860,0.68280,-0.35740,-0.60560,-0.19840
20.01560,43.76560,29.23440,0.99850,-0.27390,0.03610,-6.62870,3.02160,2.46020,0.68330,-0.35790,-0.60470,-0.19850
20.04690,43.76560,29.28120,0.99600,-0.27600,0.03450,-6.44560,2.89950,2.33810,0.68380,-0.35850,-0.60380,-0.19860
19.98440,43.76560,29.20310,0.99520,-0.28210,0.02650,-5.56060,2.65540,1.63620,0.68420,-0.35920,-0.60290,-0.19840
19.98440,43.78120,29.28120,0.99540,-0.28880,0.01870,-3.88210,2.83850,0.65960,0.68450,-0.36000,-0.60220,-0.19800
19.92190,43.78120,29.23440,0.99340,-0.29330,0.01490,-1.16600,3.72350,0.23240,0.68480,-0.36060,-0.60160,-0.19750
19.96880,43.82810,29.25000,0.99120,-0.29290,0.01820,2.40450,5.27990,0.81220,0.68540,-0.36100,-0.60090,-0.19680
19.95310,43.85940,29.23440,0.99270,-0.29610,0.03140,5.18160,7.44660,1.94140,0.68640,-0.36100,-0.60000,-0.19620
20.01560,43.84380,29.29690,0.99150,-0.31170,0.04680,5.57830,10.07110,2.82640,0.68760,-0.36100,-0.59880,-0.19560
19.98440,43.84380,29.28120,0.98040,-0.33760,0.05080,3.50310,12.48200,3.28410,0.68890,-0.36110,-0.59750,-0.19510
20.01560,43.85940,29.39060,0.96390,-0.36320,0.03950,-0.89140,13.36700,3.61980,0.68990,-0.36170,-0.59610,-0.19470
19.93750,43.82810,29.35940,0.96140,-0.39170,0.01630,-10.93170,12.26840,5.54240,0.69040,-0.36310,-0.59470,-0.19470
