hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
20.89060,43.39060,31.18750,1.01840,-0.12200,0.18850,4.20500,-0.61000,0.65960,0.72620,-0.28150,-0.57550,-0.24920
20.85940,43.35940,31.15620,1.01800,-0.11970,0.19130,3.59470,-0.82360,0.38500,0.72640,-0.28060,-0.57560,-0.24950
20.89060,43.42190,31.10940,1.01580,-0.11850,0.19060,2.64870,-0.94570,0.23240,0.72650,-0.27980,-0.57570,-0.24990
20.60940,43.20310,31.00000,1.01280,-0.11860,0.18730,1.61110,-0.82360,0.26290,0.72630,-0.27900,-0.57610,-0.25040
20.81250,43.31250,31.06250,1.01080,-0.12040,0.18470,0.42090,-0.54900,0.32390,0.72590,-0.27910,-0.57670,-0.25030
20.78120,43.35940,30.98440,1.01120,-0.12350,0.18390,-0.83040,-0.27430,0.38500,0.72570,-0.27990,-0.57670,-0.24970
20.85940,43.28120,31.18750,1.01350,-0.12710,0.18340,-1.77640,-0.03020,0.35440,0.72570,-0.28080,-0.57660,-0.24920
20.98440,43.50000,31.14060,1.01520,-0.12960,0.18280,-2.05110,0.09190,0.29340,0.72570,-0.28160,-0.57640,-0.24870
21.09380,43.54690,31.32810,1.01540,-0.13090,0.18290,-1.62380,-0.03020,0.17130,0.72570,-0.28250,-0.57620,-0.24810
20.92190,43.34380,31.25000,1.01630,-0.13240,0.18390,-0.79980,-0.27430,-0.10330,0.72590,-0.28320,-0.57580,-0.24760
20.81250,43.32810,31.07810,1.01670,-0.13360,0.18490,0.17670,-0.45740,-0.62210,0.72630,-0.28360,-0.57540,-0.24720
20.82810,43.31250,31.12500,1.01500,-0.13350,0.18670,1.21430,-0.54900,-1.26300,0.72670,-0.28340,-0.57490,-0.24720
20.84380,43.34380,31.15620,1.01200,-0.13280,0.18940,2.12990,-0.57950,-1.75130,0.72710,-0.28300,-0.57450,-0.24730
20.81250,43.28120,31.09380,1.01040,-0.13160,0.19020,2.61810,-0.61000,-1.99540,0.72750,-0.28240,-0.57420,-0.24740
20.78120,43.29690,31.10940,1.01020,-0.12990,0.18870,2.43500,-0.48800,-1.93440,0.72770,-0.28150,-0.57420,-0.24790
20.81250,43.29690,31.10940,1.01060,-0.13010,0.18710,1.70260,-0.18280,-1.75130,0.72730,-0.28180,-0.57470,-0.24770
20.81250,43.29690,31.09380,1.01310,-0.13170,0.18710,0.60400,0.21400,-1.53760,0.72730,-0.28240,-0.57470,-0.24710
20.78120,43.21880,31.07810,1.01610,-0.13380,0.18660,-0.40310,0.58020,-1.32400,0.72720,-0.28300,-0.57470,-0.24670
20.73440,43.18750,31.03120,1.01810,-0.13700,0.18490,-0.86090,0.82430,-1.14090,0.72700,-0.28360,-0.57470,-0.24630
20.78120,43.26560,31.03120,1.02010,-0.14100,0.18430,-0.61670,0.97690,-0.95780,0.72700,-0.28430,-0.57470,-0.24580
20.85940,43.32810,31.10940,1.02030,-0.14320,0.18470,0.11570,1.06840,-0.74420,0.72710,-0.28500,-0.57440,-0.24530
20.76560,43.21880,31.10940,1.01940,-0.14320,0.18450,1.03120,1.06840,-0.53060,0.72720,-0.28560,-0.57430,-0.24470
20.46880,43.03120,30.81250,1.01830,-0.14170,0.18380,1.88570,0.91590,-0.25590,0.72700,-0.28600,-0.57450,-0.24410
20.54690,43.01560,30.85940,1.01740,-0.13780,0.18270,2.40450,0.70220,-0.04230,0.72670,-0.28540,-0.57500,-0.24450
20.56250,43.04690,30.85940,1.01620,-0.13240,0.18170,2.28240,0.51910,0.20190,0.72650,-0.28460,-0.57550,-0.24490
20.62500,43.10940,30.92190,1.01430,-0.12870,0.17970,1.55000,0.48860,0.44600,0.72620,-0.28400,-0.57600,-0.24530
20.68750,43.17190,30.95310,1.01210,-0.12810,0.17860,0.45140,0.61070,0.65960,0.72590,-0.28350,-0.57650,-0.24570
