hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
17.57810,39.57810,27.23440,1.02300,-0.11440,0.02470,1.61110,0.21400,-0.59160,0.54170,-0.51230,-0.47550,-0.46700
17.42190,39.50000,27.15620,1.02550,-0.11540,0.02390,0.81760,0.27500,-0.77470,0.54220,-0.51260,-0.47500,-0.46660
17.70310,39.57810,27.28120,1.02650,-0.11370,0.02360,0.11570,0.48860,-0.89680,0.54170,-0.51210,-0.47560,-0.46700
17.43750,39.43750,27.20310,1.02570,-0.11200,0.02420,-0.18950,0.64120,-0.77470,0.54130,-0.51150,-0.47600,-0.46770
17.60940,39.59380,27.39060,1.02510,-0.11140,0.02520,-0.40310,0.79380,-0.50000,0.54150,-0.51090,-0.47590,-0.46830
17.43750,39.53120,27.23440,1.02500,-0.11200,0.02580,-0.83040,1.09900,-0.19490,0.54190,-0.51140,-0.47520,-0.46790
17.35940,39.51560,27.20310,1.02460,-0.11280,0.02610,-1.44070,1.49570,-0.10330,0.54150,-0.51090,-0.47560,-0.46860
17.57810,39.43750,27.28120,1.02470,-0.11230,0.02500,-1.86800,1.80090,-0.19490,0.54150,-0.51140,-0.47540,-0.46820
17.46880,39.53120,27.20310,1.02560,-0.11210,0.02200,-2.02050,1.86190,-0.37800,0.54100,-0.51180,-0.47560,-0.46810
17.39060,39.29690,27.26560,1.02550,-0.11430,0.01930,-2.02050,1.80090,-0.50000,0.54080,-0.51230,-0.47570,-0.46780
17.56250,39.65620,27.21880,1.02270,-0.11800,0.01920,-1.89850,1.73980,-0.59160,0.54080,-0.51290,-0.47540,-0.46740
17.48440,39.39060,27.32810,1.02000,-0.12080,0.02020,-1.59330,1.61780,-0.71370,0.54110,-0.51350,-0.47490,-0.46690
17.60940,39.64060,27.35940,1.01980,-0.12000,0.02100,-0.95240,1.25150,-0.80520,0.54140,-0.51400,-0.47450,-0.46640
17.68750,39.67190,27.53120,1.02120,-0.11690,0.02150,-0.12840,0.67170,-0.83570,0.54090,-0.51420,-0.47500,-0.46640
