hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
13.31250,35.35940,23.32810,1.00740,-0.22480,-0.02740,1.36690,0.27500,-0.01180,0.68240,-0.29800,-0.65150,-0.14560
13.39060,35.60940,23.28120,1.00740,-0.22360,-0.02690,2.00780,0.58020,0.04930,0.68270,-0.29730,-0.65130,-0.14600
13.46880,35.53120,23.42190,1.00850,-0.22190,-0.02650,2.40450,0.51910,0.14080,0.68240,-0.29680,-0.65180,-0.14640
13.43750,35.68750,23.26560,1.00970,-0.21910,-0.02770,2.37400,0.30550,0.14080,0.68210,-0.29620,-0.65230,-0.14680
13.45310,35.54690,23.25000,1.01040,-0.21720,-0.02940,1.67210,0.15290,0.04930,0.68170,-0.29580,-0.65280,-0.14710
13.45310,35.46880,23.35940,1.01150,-0.21730,-0.02990,0.60400,0.12240,-0.04230,0.68120,-0.29560,-0.65340,-0.14730
13.57810,35.76560,23.51560,1.01230,-0.21910,-0.03020,-0.49470,-0.06070,-0.16440,0.68100,-0.29630,-0.65340,-0.14670
13.45310,35.78120,23.39060,1.01140,-0.22270,-0.03090,-1.28810,-0.42690,-0.34750,0.68100,-0.29700,-0.65320,-0.14610
13.71880,35.76560,23.53120,1.00960,-0.22660,-0.03120,-1.65430,-0.70160,-0.56110,0.68100,-0.29770,-0.65300,-0.14550
13.67190,35.82810,23.45310,1.00800,-0.22830,-0.03010,-1.47120,-0.67110,-0.68320,0.68120,-0.29830,-0.65260,-0.14490
13.54690,35.67190,23.71880,1.00630,-0.23000,-0.02930,-0.89140,-0.39640,-0.65260,0.68150,-0.29890,-0.65220,-0.14440
13.64060,35.93750,23.53120,1.00530,-0.23220,-0.02930,-0.03690,-0.24380,-0.56110,0.68170,-0.29940,-0.65190,-0.14380
13.50000,35.76560,23.59380,1.00730,-0.23120,-0.02900,0.84810,-0.27430,-0.46950,0.68210,-0.29980,-0.65140,-0.14320
13.75000,35.79690,23.54690,1.00970,-0.22770,-0.02820,1.51950,-0.33540,-0.31690,0.68230,-0.29900,-0.65150,-0.14380
13.75000,35.84380,23.78120,1.01090,-0.22500,-0.02930,1.88570,-0.30480,-0.25590,0.68200,-0.29830,-0.65190,-0.14430
13.64060,35.84380,23.70310,1.01230,-0.22310,-0.03160,1.88570,-0.30480,-0.16440,0.68160,-0.29790,-0.65250,-0.14460
13.51560,35.81250,23.56250,1.01350,-0.22140,-0.03180,1.45850,-0.45740,-0.04230,0.68120,-0.29740,-0.65300,-0.14510
13.67190,35.93750,23.53120,1.01530,-0.22110,-0.03070,0.78710,-0.85420,0.11030,0.68110,-0.29670,-0.65330,-0.14570
13.81250,35.89060,23.79690,1.01730,-0.22360,-0.02960,0.11570,-1.22040,0.17130,0.68160,-0.29680,-0.65280,-0.14550
13.68750,35.92190,23.81250,1.01680,-0.22660,-0.02970,-0.28100,-1.28140,0.11030,0.68170,-0.29750,-0.65260,-0.14480
13.70310,35.84380,23.89060,1.01400,-0.22850,-0.02910,-0.28100,-0.79310,0.01880,0.68190,-0.29800,-0.65220,-0.14410
13.53120,35.87500,23.50000,1.01190,-0.22910,-0.02660,0.14620,0.12240,-0.04230,0.68240,-0.29820,-0.65170,-0.14390
13.81250,35.90620,23.75000,1.00930,-0.22840,-0.02460,0.72600,1.00740,-0.01180,0.68300,-0.29810,-0.65110,-0.14380
13.82810,35.90620,23.84380,1.00620,-0.22620,-0.02520,1.18380,1.49570,0.11030,0.68350,-0.29760,-0.65070,-0.14410
13.79690,35.98440,23.87500,1.00460,-0.22330,-0.02700,1.24480,1.58720,0.17130,0.68320,-0.29730,-0.65120,-0.14440
13.82810,36.07810,23.75000,1.00350,-0.22130,-0.02750,0.87860,1.34310,0.07980,0.68280,-0.29690,-0.65160,-0.14480
13.93750,36.07810,23.76560,1.00300,-0.21990,-0.02630,0.08520,0.91590,-0.07280,0.68270,-0.29620,-0.65190,-0.14550
13.92190,35.92190,23.78120,1.00420,-0.21790,-0.02390,-1.07450,0.36650,-0.10330,0.68300,-0.29570,-0.65170,-0.14620
13.85940,35.98440,23.90620,1.00800,-0.21740,-0.02330,-2.41730,-0.36590,-0.04230,0.68310,-0.29520,-0.65160,-0.14690
13.82810,36.12500,23.82810,1.01230,-0.21900,-0.02480,-3.82110,-1.09830,0.04930,0.68250,-0.29520,-0.65220,-0.14750
13.92190,36.01560,23.92190,1.01370,-0.22110,-0.02740,-5.10280,-1.46450,-0.01180,0.68210,-0.29610,-0.65220,-0.14710
13.90620,36.01560,23.76560,1.01340,-0.22150,-0.02980,-6.17090,-1.28140,-0.19490,0.68150,-0.29690,-0.65250,-0.14710
13.87500,35.92190,23.95310,1.01120,-0.21400,-0.02970,-7.20850,-0.79310,-0.34750,0.68100,-0.29670,-0.65290,-0.14820
13.81250,36.06250,23.85940,1.00900,-0.20420,-0.02820,-9.07010,-0.30480,-0.40850,0.68060,-0.29660,-0.65300,-0.14940
13.82810,36.06250,23.82810,1.00930,-0.20290,-0.02850,-10.53490,0.03080,-0.37800,0.68030,-0.29650,-0.65310,-0.15080
13.84380,36.09380,23.67190,1.01210,-0.20710,-0.02880,-14.59380,1.19050,0.20190,0.67990,-0.29670,-0.65300,-0.15230
13.92190,36.07810,23.89060,1.01290,-0.21510,-0.02540,-19.17140,3.38780,1.63620,0.68020,-0.29800,-0.65200,-0.15320
13.78120,36.00000,23.84380,1.01040,-0.22080,-0.01890,-23.32180,6.59210,3.43670,0.68050,-0.29970,-0.65070,-0.15420
13.73440,36.12500,23.79690,1.01130,-0.22590,-0.01470,-27.25860,10.16270,5.29830,0.68090,-0.30160,-0.64900,-0.15540
13.81250,36.14060,23.68750,1.01260,-0.23420,-0.01500,-30.98170,13.21440,7.19040,0.68140,-0.30400,-0.64710,-0.15670
13.78120,35.93750,23.75000,1.00540,-0.24280,-0.01730,-33.88090,15.83900,8.53320,0.68180,-0.30680,-0.64500,-0.15790
13.53120,35.76560,23.57810,1.00190,-0.24960,-0.01910,-36.56640,18.15830,8.65520,0.68220,-0.30990,-0.64290,-0.15920
13.39060,35.78120,23.56250,1.00700,-0.24950,-0.02250,-40.32010,19.31800,7.43450,0.68230,-0.31310,-0.64070,-0.16080
13.42190,35.89060,23.35940,1.01180,-0.24780,-0.03140,-45.90480,18.86020,4.59640,0.68190,-0.31640,-0.63900,-0.16310
13.43750,35.75000,23.31250,1.01790,-0.25670,-0.04440,-53.50370,17.57850,0.26290,0.68110,-0.31980,-0.63740,-0.16610
13.35940,35.67190,23.25000,1.02120,-0.27860,-0.05210,-62.65900,16.14410,-4.43680,0.67990,-0.32370,-0.63570,-0.16970
13.35940,35.78120,23.37500,1.01420,-0.31540,-0.04510,-71.99730,14.83190,-7.91580,0.67850,-0.32790,-0.63390,-0.17390
13.40620,35.95310,23.40620,1.00210,-0.35970,-0.02790,-79.80980,13.73320,-9.50270,0.67700,-0.33260,-0.63180,-0.17860
13.53120,35.84380,23.42190,0.99540,-0.39720,-0.01430,-84.90630,12.72620,-8.89240,0.67530,-0.33750,-0.62970,-0.18350
13.29690,35.53120,23.28120,0.99370,-0.42340,-0.01150,-87.13410,11.35290,-5.59650,0.67340,-0.34270,-0.62740,-0.18820
13.26560,35.42190,23.20310,0.99280,-0.43840,-0.02220,-87.16460,9.15560,0.72070,0.67150,-0.34830,-0.62500,-0.19250
13.21880,35.34380,23.09380,1.00350,-0.45100,-0.04790,-86.00490,6.01230,9.05200,0.66950,-0.35440,-0.62270,-0.19620
13.23440,35.04690,23.04690,1.03100,-0.46540,-0.08150,-84.81470,2.99110,17.20010,0.66730,-0.36090,-0.62030,-0.19920
13.04690,34.64060,22.56250,1.05730,-0.48450,-0.11360,-84.38750,1.46520,23.24260,0.66510,-0.36770,-0.61790,-0.20170
12.93750,34.39060,22.65620,1.07080,-0.51660,-0.14520,-84.99780,2.44170,26.20280,0.66290,-0.37460,-0.61530,-0.20420
12.81250,34.40620,23.03120,1.08320,-0.57380,-0.18520,-91.04030,4.51690,26.78270,0.66050,-0.38190,-0.61240,-0.20700
12.85940,34.71880,23.60940,1.09750,-0.63570,-0.21930,-104.52910,4.60850,26.66060,0.65760,-0.38990,-0.60930,-0.21050
12.87500,34.90620,23.93750,1.10360,-0.68180,-0.23230,-117.07180,1.49570,26.84370,0.65400,-0.39870,-0.60600,-0.21450
13.15620,34.95310,24.20310,1.09720,-0.72540,-0.23640,-120.33720,-3.96700,28.40010,0.65010,-0.40770,-0.60290,-0.21840
12.93750,34.93750,23.82810,1.07990,-0.74500,-0.24390,-114.29470,-9.82630,33.22190,0.64610,-0.41680,-0.59990,-0.22140
12.87500,34.95310,23.59380,1.06580,-0.72060,-0.26010,-104.80370,-14.92280,42.74340,0.64220,-0.42590,-0.59700,-0.22320
12.89060,35.12500,23.12500,1.06690,-0.68110,-0.28470,-97.05230,-20.53800,55.56070,0.63850,-0.43520,-0.59410,-0.22370
12.90620,34.85940,22.92190,1.08060,-0.65660,-0.31210,-92.56620,-28.38100,68.86640,0.63460,-0.44510,-0.59110,-0.22290
12.92190,34.79690,22.78120,1.10530,-0.66260,-0.34330,-90.15530,-38.66540,80.92090,0.63040,-0.45560,-0.58840,-0.22090
12.81250,34.82810,22.78120,1.14160,-0.69610,-0.37530,-87.71390,-49.62130,90.13720,0.62590,-0.46660,-0.58580,-0.21780
12.73440,34.75000,22.67190,1.17720,-0.73580,-0.40330,-84.20440,-59.41740,95.99650,0.62100,-0.47780,-0.58340,-0.21380
12.85940,34.82810,22.60940,1.20650,-0.77170,-0.43070,-79.80980,-67.96230,99.38400,0.61580,-0.48900,-0.58140,-0.20900
12.84380,34.71880,22.48440,1.23960,-0.80310,-0.45950,-74.43880,-75.80530,101.39810,0.61030,-0.50000,-0.57970,-0.20340
