hall1,hall2,hall3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat1,quat2,quat3,quat4
16.57810,38.57810,26.62500,1.02560,0.07410,-0.03890,-9.40580,4.54740,2.39910,0.66390,-0.15480,-0.70310,-0.20240
16.60940,38.50000,26.53120,1.03180,0.05580,-0.02200,-9.34480,2.96050,1.60570,0.66440,-0.15590,-0.70230,-0.20250
16.51560,38.40620,26.75000,1.03970,0.04620,-0.01150,-6.04890,0.09190,0.90380,0.66480,-0.15670,-0.70170,-0.20250
16.37500,38.64060,26.65620,1.04420,0.05240,-0.00960,-1.34920,-2.71570,1.02580,0.66520,-0.15720,-0.70140,-0.20220
16.42190,38.59380,26.62500,1.04380,0.06920,-0.01700,2.49610,-4.11950,2.15500,0.66550,-0.15730,-0.70110,-0.20180
16.20310,38.26560,26.26560,1.04310,0.08570,-0.02920,4.23560,-3.38710,3.80290,0.66560,-0.15680,-0.70120,-0.20190
16.43750,38.20310,26.42190,1.04250,0.09620,-0.03820,3.93040,-0.91520,5.20670,0.66530,-0.15630,-0.70150,-0.20190
16.10940,38.14060,26.45310,1.04060,0.09970,-0.03480,2.22140,2.01450,5.96970,0.66540,-0.15580,-0.70150,-0.20210
16.14060,38.23440,26.39060,1.03940,0.09870,-0.02030,0.11570,4.05920,5.96970,0.66590,-0.15550,-0.70100,-0.20240
16.18750,38.45310,26.07810,1.03780,0.09680,-0.00760,-1.53230,4.85260,5.57300,0.66670,-0.15550,-0.70020,-0.20270
16.31250,38.26560,26.32810,1.03440,0.09850,-0.00600,-2.63090,5.00520,5.14570,0.66730,-0.15550,-0.69950,-0.20310
16.28120,38.23440,26.43750,1.03050,0.10620,-0.01510,-3.63800,5.12730,4.90160,0.66780,-0.15530,-0.69890,-0.20370
16.18750,38.32810,26.50000,1.02570,0.11450,-0.02660,-4.85870,5.18830,4.74900,0.66790,-0.15510,-0.69860,-0.20450
16.21880,38.50000,26.28120,1.02030,0.11210,-0.03020,-6.10990,4.73060,4.19970,0.66790,-0.15490,-0.69840,-0.20530
16.40620,38.39060,26.34380,1.01670,0.09740,-0.02280,-6.59820,3.38780,2.94840,0.66790,-0.15480,-0.69820,-0.20630
16.51560,38.42190,26.46880,1.01650,0.08110,-0.01210,-5.28590,1.34310,1.20890,0.66840,-0.15510,-0.69750,-0.20660
16.45310,38.43750,26.75000,1.01980,0.07610,-0.00790,-2.02050,-0.88470,-0.43900,0.66880,-0.15530,-0.69700,-0.20670
